School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Standard Score
Neches Elementary,https://www.schooldigger.com/go/TX/schools/3225003574/school.aspx,Neches Independent School District,https://www.schooldigger.com/go/TX/district/32250/search.aspx,3055 Fm 2574,Palestine,https://www.schooldigger.com/go/TX/city/Palestine/search.aspx,75803,Anderson County,(903) 584-3401,Yes,No,No,(n/a),244,23,10.5,53.3,7.4,0.4,0.4,14.3,0,4.1,73.4,79.3
Harmony Science Academy - Euless,https://www.schooldigger.com/go/TX/schools/0029212379/school.aspx,Harmony Science Academy (Waco),https://www.schooldigger.com/go/TX/district/00292/search.aspx,701 S Industrial Blvd Ste 115,Euless,https://www.schooldigger.com/go/TX/city/Euless/search.aspx,76040,Tarrant County,(817) 354-3000,Yes,Yes,No,(n/a),700,36.5,19.1,47.1,32,0.4,26.7,18.6,0.3,2.7,19.3,79.2
Spring Branch Middle,https://www.schooldigger.com/go/TX/schools/4110004692/school.aspx,Spring Branch Independent School District,https://www.schooldigger.com/go/TX/district/41100/search.aspx,1000 Piney Point,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77024,Harris County,(713) 281-4400,Yes,No,No,(n/a),1129,68.7,16.4,35.3,4,0.5,5.5,40,0,3.8,46.1,79.1
Borden County School,https://www.schooldigger.com/go/TX/schools/1086000552/school.aspx,Borden County Independent School District,https://www.schooldigger.com/go/TX/district/10860/search.aspx,240 W Kincaid St,Gail,https://www.schooldigger.com/go/TX/city/Gail/search.aspx,79738,Borden County,(806) 756-4450,Yes,No,No,(n/a),231,21.8,10.5,37.2,0,0.4,0,17.7,0,2.6,79.2,79.1
Archer City High School,https://www.schooldigger.com/go/TX/schools/0861000229/school.aspx,Archer City Independent School District,https://www.schooldigger.com/go/TX/district/08610/search.aspx,600 S Ash St,Archer City,https://www.schooldigger.com/go/TX/city/Archer+City/search.aspx,76351,Archer County,(940) 574-4713,No,No,No,(n/a),239,26.6,8.9,43.1,0.8,1.3,0,14.6,0,3.8,79.5,79
Whitharral School,https://www.schooldigger.com/go/TX/schools/4569005193/school.aspx,Whitharral Independent School District,https://www.schooldigger.com/go/TX/district/45690/search.aspx,201 2nd St,Whitharral,https://www.schooldigger.com/go/TX/city/Whitharral/search.aspx,79380,Hockley County,(806) 299-1135,Yes,No,No,(n/a),176,17.4,10,49.4,1.1,0,0,37.5,0,2.8,58.5,79
Sidney School,https://www.schooldigger.com/go/TX/schools/4017004556/school.aspx,Sidney Independent School District,https://www.schooldigger.com/go/TX/district/40170/search.aspx,4100 Hwy 1689,Sidney,https://www.schooldigger.com/go/TX/city/Sidney/search.aspx,76474,Comanche County,(254) 842-5500,Yes,No,No,(n/a),142,14,10,67.6,0,0,0,26.1,0,2.1,71.8,78.8
Knippa School,https://www.schooldigger.com/go/TX/schools/2580002911/school.aspx,Knippa Independent School District,https://www.schooldigger.com/go/TX/district/25800/search.aspx,100 Kessler St,Knippa,https://www.schooldigger.com/go/TX/city/Knippa/search.aspx,78870,Uvalde County,(830) 934-2177,Yes,No,No,(n/a),456,31.6,14.4,37.1,0,0.2,2,57.9,0,0,39.9,78.8
La Vernia J H,https://www.schooldigger.com/go/TX/schools/2631006287/school.aspx,La Vernia Independent School District,https://www.schooldigger.com/go/TX/district/26310/search.aspx,195 Bluebonnet Rd,La Vernia,https://www.schooldigger.com/go/TX/city/La+Vernia/search.aspx,78121,Wilson County,(830) 779-6650,No,No,No,(n/a),774,48,16.1,25.1,1.2,0.4,0.3,32,0,1.3,64.9,78.7
Union Grove J H,https://www.schooldigger.com/go/TX/schools/4353009083/school.aspx,Union Grove Independent School District,https://www.schooldigger.com/go/TX/district/43530/search.aspx,11220 Union Grove Rd,Gladewater,https://www.schooldigger.com/go/TX/city/Gladewater/search.aspx,75647,Upshur County,(903) 845-5506,Yes,No,No,(n/a),120,11.7,10.2,46.7,0.8,0.8,0,6.7,0,2.5,89.2,78.7
W E Pete Ford Middle,https://www.schooldigger.com/go/TX/schools/0789005842/school.aspx,Allen Independent School District,https://www.schooldigger.com/go/TX/district/07890/search.aspx,630 Park Pl Dr,Allen,https://www.schooldigger.com/go/TX/city/Allen/search.aspx,75002,Collin County,(972) 727-0590,No,No,No,(n/a),826,52.9,15.6,34.5,17.8,0.6,13,16.9,0.2,5.9,45.5,78.6
Paradise Middle,https://www.schooldigger.com/go/TX/schools/3426006770/school.aspx,Paradise Independent School District,https://www.schooldigger.com/go/TX/district/34260/search.aspx,338 Schoolhouse Rd,Paradise,https://www.schooldigger.com/go/TX/city/Paradise/search.aspx,76073,Wise County,(940) 969-5034,No,No,No,(n/a),283,20.2,13.9,24,0.7,0.7,0.7,15.2,0,1.4,81.3,78.6
Channing School,https://www.schooldigger.com/go/TX/schools/1362000857/school.aspx,Channing Independent School District,https://www.schooldigger.com/go/TX/district/13620/search.aspx,900 Greenwood Ave,Channing,https://www.schooldigger.com/go/TX/city/Channing/search.aspx,79018,Hartley County,(806) 235-3432,Yes,No,No,(n/a),168,18,9.3,75.6,0.6,0,0,44,0,0.6,54.8,78.5
Arbor Creek Middle,https://www.schooldigger.com/go/TX/schools/2730016940/school.aspx,Lewisville Independent School District,https://www.schooldigger.com/go/TX/district/27300/search.aspx,2109 Arbor Creek Dr,Carrollton,https://www.schooldigger.com/go/TX/city/Carrollton/search.aspx,75010,Denton County,(469) 713-5971,No,No,No,(n/a),868,57.3,15.1,20.3,13.5,0.3,15.9,21.8,0,5.4,43.1,78.5
Abbott School,https://www.schooldigger.com/go/TX/schools/0738000006/school.aspx,Abbott Independent School District,https://www.schooldigger.com/go/TX/district/07380/search.aspx,219 S First St,Abbott,https://www.schooldigger.com/go/TX/city/Abbott/search.aspx,76621,Hill County,(254) 582-3011,Yes,No,No,(n/a),274,25.1,10.9,28.5,1.5,0,0,16.1,0,2.6,79.9,78.5
Hunt School,https://www.schooldigger.com/go/TX/schools/2397002652/school.aspx,Hunt Independent School District,https://www.schooldigger.com/go/TX/district/23970/search.aspx,115 School Ln SW,Hunt,https://www.schooldigger.com/go/TX/city/Hunt/search.aspx,78024,Kerr County,(830) 238-4893,Yes,No,No,(n/a),184,16.4,11.1,40.2,0,0,0,33.2,0,1.6,65.2,78.4
Acton Middle,https://www.schooldigger.com/go/TX/schools/2139004811/school.aspx,Granbury Independent School District,https://www.schooldigger.com/go/TX/district/21390/search.aspx,1300 James Rd,Granbury,https://www.schooldigger.com/go/TX/city/Granbury/search.aspx,76048,Hood County,(817) 408-4800,Yes,No,No,(n/a),975,61.4,15.8,41.6,1.8,0.4,1.2,19.8,0.2,2.5,74.1,78.4
Eric Dahlstrom Middle,https://www.schooldigger.com/go/TX/schools/0001008836/school.aspx,Hays Consolidated Independent School District,https://www.schooldigger.com/go/TX/district/00010/search.aspx,3600 F M 967,Buda,https://www.schooldigger.com/go/TX/city/Buda/search.aspx,78610,Hays County,(512) 295-4717,No,No,No,(n/a),906,47.3,19.1,13.5,1.7,0.2,0.7,36.4,0,3.8,57.3,78.3
Texline School,https://www.schooldigger.com/go/TX/schools/4257004868/school.aspx,Texline Independent School District,https://www.schooldigger.com/go/TX/district/42570/search.aspx,302 E Pine St,Texline,https://www.schooldigger.com/go/TX/city/Texline/search.aspx,79087,Dallam County,(806) 362-4284,Yes,No,No,(n/a),199,20.9,9.5,52.8,0.5,0.5,0,50.3,0,2,46.7,78.2
Cayuga Middle,https://www.schooldigger.com/go/TX/schools/1320005623/school.aspx,Cayuga Independent School District,https://www.schooldigger.com/go/TX/district/13200/search.aspx,17750 N Us Hwy 287,Cayuga,https://www.schooldigger.com/go/TX/city/Cayuga/search.aspx,75861,Anderson County,(903) 928-2699,No,No,No,(n/a),133,12,11,40.6,2.3,0,0.8,9,0,4.5,83.5,78.2
Christoval High School,https://www.schooldigger.com/go/TX/schools/1401000886/school.aspx,Christoval Independent School District,https://www.schooldigger.com/go/TX/district/14010/search.aspx,20454 Ranch Rd 2084,Christoval,https://www.schooldigger.com/go/TX/city/Christoval/search.aspx,76935,Tom Green County,(325) 896-2355,No,No,No,(n/a),316,27.8,11.3,27.5,0,0.6,0.3,21.8,0,4.7,72.5,78.2
Oakrun Middle,https://www.schooldigger.com/go/TX/schools/3237021191/school.aspx,New Braunfels Independent School District,https://www.schooldigger.com/go/TX/district/32370/search.aspx,415 Timber Hollow,New Braunfels,https://www.schooldigger.com/go/TX/city/New+Braunfels/search.aspx,78132,Comal County,(830) 627-6400,No,No,No,(n/a),939,57.5,16.3,36.1,1.2,0.5,0.5,43.3,0.1,1.7,52.6,78.1
Ut Tyler University Academy At Tyler,https://www.schooldigger.com/go/TX/schools/0142712768/school.aspx,Ut Tyler University Academy,https://www.schooldigger.com/go/TX/district/01427/search.aspx,3900 University Blvd,Tyler,https://www.schooldigger.com/go/TX/city/Tyler/search.aspx,75799,Smith County,(903) 730-3988,Yes,Yes,No,(n/a),321,24.3,13.1,38,5.6,1.2,5.6,18.7,0,3.4,65.4,78
Vista Academy Of Willis,https://www.schooldigger.com/go/TX/schools/0016312179/school.aspx,Texas College Preparatory Academies,https://www.schooldigger.com/go/TX/district/00163/search.aspx,1488 Wellman Rd,Conroe,https://www.schooldigger.com/go/TX/city/Conroe/search.aspx,77384,Montgomery County,(936) 890-0100,No,Yes,No,(n/a),250,17,14.7,28.4,4.4,0.4,1.2,12.8,0.4,8,72.8,78
La Grange Middle,https://www.schooldigger.com/go/TX/schools/2610002934/school.aspx,La Grange Independent School District,https://www.schooldigger.com/go/TX/district/26100/search.aspx,650 E Travis,La Grange,https://www.schooldigger.com/go/TX/city/La+Grange/search.aspx,78945,Fayette County,(979) 968-4747,Yes,No,No,(n/a),310,23.4,13.1,51.3,8.7,0,0.3,40.3,0,2.3,48.4,77.8
Whitehouse J H,https://www.schooldigger.com/go/TX/schools/4560005185/school.aspx,Whitehouse Independent School District,https://www.schooldigger.com/go/TX/district/45600/search.aspx,406 W Main,Whitehouse,https://www.schooldigger.com/go/TX/city/Whitehouse/search.aspx,75791,Smith County,(903) 839-5590,No,No,No,(n/a),780,50.2,15.5,46.8,11.8,0.1,3.3,17.3,0.1,4.2,63.1,77.8
Great Hearts Monte Vista North,https://www.schooldigger.com/go/TX/schools/0144113102/school.aspx,Great Hearts Texas,https://www.schooldigger.com/go/TX/district/01441/search.aspx,319 Mulberry Ave,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78212,Bexar County,(210) 888-9485,Yes,Yes,No,(n/a),492,36.3,13.5,21.1,2.6,0,3,52.4,0,1.4,40.4,77.8
Faubion Middle,https://www.schooldigger.com/go/TX/schools/2985003361/school.aspx,McKinney Independent School District,https://www.schooldigger.com/go/TX/district/29850/search.aspx,2000 Rollins St,McKinney,https://www.schooldigger.com/go/TX/city/McKinney/search.aspx,75069,Collin County,(469) 302-6900,No,No,No,(n/a),1339,87.8,15.2,41.4,14.6,0.6,3.3,36.7,0.2,4.6,40,77.8
Creekwood Middle,https://www.schooldigger.com/go/TX/schools/2391005746/school.aspx,Humble Independent School District,https://www.schooldigger.com/go/TX/district/23910/search.aspx,3603 W Lake Houston Pkwy,Kingwood,https://www.schooldigger.com/go/TX/city/Kingwood/search.aspx,77339,Harris County,(281) 641-4400,No,No,No,(n/a),1181,71,16.6,17.8,4.7,0.3,2.7,23.2,0.2,3.5,65.5,77.8
Brazos Middle,https://www.schooldigger.com/go/TX/schools/4447005076/school.aspx,Brazos Independent School District,https://www.schooldigger.com/go/TX/district/44470/search.aspx,702 Educators Ln,Wallis,https://www.schooldigger.com/go/TX/city/Wallis/search.aspx,77485,Austin County,(979) 478-6814,No,No,No,(n/a),209,17.1,12.1,59.3,5.7,0,0.5,58.4,0,3.3,32.1,77.8
Noel Grisham Middle,https://www.schooldigger.com/go/TX/schools/3808004251/school.aspx,Round Rock Independent School District,https://www.schooldigger.com/go/TX/district/38080/search.aspx,10805 School House Ln,Austin,https://www.schooldigger.com/go/TX/city/Austin/search.aspx,78750,Williamson County,(512) 428-2650,No,No,No,(n/a),634,50,12.6,22.6,4.9,0.8,16.7,30.9,0.2,5.4,41.2,77.8
Henderson Middle,https://www.schooldigger.com/go/TX/schools/2241002249/school.aspx,Hardin-Jefferson Independent School District,https://www.schooldigger.com/go/TX/district/22410/search.aspx,3025 Hwy 326 S,Sour Lake,https://www.schooldigger.com/go/TX/city/Sour+Lake/search.aspx,77659,Hardin County,(409) 981-6420,No,No,No,(n/a),576,35.7,16.1,38.7,13.4,0,2.1,10.2,0,2.8,71.5,77.8
College Station Middle,https://www.schooldigger.com/go/TX/schools/0735000003/school.aspx,College Station Independent School District,https://www.schooldigger.com/go/TX/district/07350/search.aspx,900 Rock Prairie Rd,College Station,https://www.schooldigger.com/go/TX/city/College+Station/search.aspx,77845,Brazos County,(979) 764-5545,No,No,No,(n/a),666,54.9,12.1,37.7,15,0.3,10.1,22.7,0.3,4.2,47.4,77.7
Hartley School,https://www.schooldigger.com/go/TX/schools/2268002302/school.aspx,Hartley Independent School District,https://www.schooldigger.com/go/TX/district/22680/search.aspx,901 Johnson,Hartley,https://www.schooldigger.com/go/TX/city/Hartley/search.aspx,79044,Hartley County,(806) 365-4458,Yes,No,No,(n/a),236,20.5,11.5,58.9,0,0,0,62.3,0,0.8,36.9,77.7
Idalou Middle,https://www.schooldigger.com/go/TX/schools/2412002689/school.aspx,Idalou Independent School District,https://www.schooldigger.com/go/TX/district/24120/search.aspx,403 7th St,Idalou,https://www.schooldigger.com/go/TX/city/Idalou/search.aspx,79329,Lubbock County,(806) 892-1900,No,No,No,(n/a),313,22.3,14,30.4,0,0,0,41.9,0,0.3,57.8,77.6
Herman E Utley Middle,https://www.schooldigger.com/go/TX/schools/3765011839/school.aspx,Rockwall Independent School District,https://www.schooldigger.com/go/TX/district/37650/search.aspx,1201 Tl Townsend Dr,Rockwall,https://www.schooldigger.com/go/TX/city/Rockwall/search.aspx,75087,Rockwall County,(972) 771-5281,No,No,No,(n/a),857,47.7,17.9,25.9,12.7,0.7,3.3,24.4,0.2,4,54.7,77.6
Irons J H,https://www.schooldigger.com/go/TX/schools/1500012065/school.aspx,Conroe Independent School District,https://www.schooldigger.com/go/TX/district/15000/search.aspx,16780 Needham Rd,Conroe,https://www.schooldigger.com/go/TX/city/Conroe/search.aspx,77385,Montgomery County,(936) 709-8500,No,No,No,(n/a),1122,74,15.1,44.2,13.2,0.4,5,34.9,0.3,4.9,41.4,77.6
Caddo Mills Middle,https://www.schooldigger.com/go/TX/schools/1239005665/school.aspx,Caddo Mills Independent School District,https://www.schooldigger.com/go/TX/district/12390/search.aspx,2700 Gilmer,Caddo Mills,https://www.schooldigger.com/go/TX/city/Caddo+Mills/search.aspx,75135,Hunt County,(903) 527-3161,No,No,No,(n/a),470,31.8,14.7,27,1.5,0.9,0.4,19.8,0,3,74.5,77.5
Idea Najim College Preparatory,https://www.schooldigger.com/go/TX/schools/0021113660/school.aspx,Idea Public Schools,https://www.schooldigger.com/go/TX/district/00211/search.aspx,926 S Ww White Rd,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78220,Bexar County,(210) 239-4900,Yes,Yes,No,(n/a),156,14,11,93.6,35.9,0,0,60.3,0,0,3.8,77.5
Lubbock-Cooper Bush Middle,https://www.schooldigger.com/go/TX/schools/1518012535/school.aspx,Lubbock-Cooper Independent School District,https://www.schooldigger.com/go/TX/district/15180/search.aspx,3425 118th St,Lubbock,https://www.schooldigger.com/go/TX/city/Lubbock/search.aspx,79423,Lubbock County,(806) 776-0750,No,No,No,(n/a),1009,65.5,15.3,34.6,3.9,0.2,2.3,37.1,0,3,53.6,77.4
Mt Valley Middle,https://www.schooldigger.com/go/TX/schools/1473011948/school.aspx,Comal Independent School District,https://www.schooldigger.com/go/TX/district/14730/search.aspx,1165 Sattler Rd,Canyon Lake,https://www.schooldigger.com/go/TX/city/Canyon+Lake/search.aspx,78132,Comal County,(830) 885-1300,No,No,No,(n/a),805,48.6,16.5,44.7,1,0.6,0.9,33.2,0.1,2.6,61.6,77.4
Malakoff Middle,https://www.schooldigger.com/go/TX/schools/2878021339/school.aspx,Malakoff Independent School District,https://www.schooldigger.com/go/TX/district/28780/search.aspx,106 N Cedar,Malakoff,https://www.schooldigger.com/go/TX/city/Malakoff/search.aspx,75148,Henderson County,(903) 489-0264,Yes,No,No,(n/a),299,22.5,13.2,61.5,8,0.3,0.7,16.1,0,5,69.9,77.4
J W Williams Middle,https://www.schooldigger.com/go/TX/schools/3765007095/school.aspx,Rockwall Independent School District,https://www.schooldigger.com/go/TX/district/37650/search.aspx,625 E Fm 552,Rockwall,https://www.schooldigger.com/go/TX/city/Rockwall/search.aspx,75087,Rockwall County,(972) 771-8313,No,No,No,(n/a),808,41.6,19.4,17.8,8,0.7,2.8,17,0.1,5.4,65.8,77.3
Crownover Middle,https://www.schooldigger.com/go/TX/schools/1674009206/school.aspx,Denton Independent School District,https://www.schooldigger.com/go/TX/district/16740/search.aspx,1901 Creekside Dr,Corinth,https://www.schooldigger.com/go/TX/city/Corinth/search.aspx,76210,Denton County,(940) 369-4700,No,No,No,(n/a),874,64.4,13.5,27.5,8.2,0.8,4,29.7,0.5,3.5,53.2,77.1
Hart Independent School District,https://www.schooldigger.com/go/TX/schools/2265002300/school.aspx,Hart Independent School District,https://www.schooldigger.com/go/TX/district/22650/search.aspx,710 2nd St,Hart,https://www.schooldigger.com/go/TX/city/Hart/search.aspx,79043,Castro County,(806) 938-2141,Yes,No,No,(n/a),212,19.8,10.6,82.1,0,0,0,93.4,0,0.5,6.1,77
Arnold Middle,https://www.schooldigger.com/go/TX/schools/1611001177/school.aspx,Cypress-Fairbanks Independent School District,https://www.schooldigger.com/go/TX/district/16110/search.aspx,11111 Telge Rd,Cypress,https://www.schooldigger.com/go/TX/city/Cypress/search.aspx,77429,Harris County,(281) 897-4700,Yes,No,No,(n/a),1456,101,14.4,61.2,21.7,0.9,7.1,43.5,0.1,2.4,24.2,77
Renner Middle,https://www.schooldigger.com/go/TX/schools/3510006897/school.aspx,Plano Independent School District,https://www.schooldigger.com/go/TX/district/35100/search.aspx,5701 W Parker Rd,Plano,https://www.schooldigger.com/go/TX/city/Plano/search.aspx,75093,Collin County,(469) 752-5800,No,No,No,(n/a),1188,76.4,15.5,29.5,17.9,0.3,20.9,24.5,0,4.3,32.1,76.9
R C Barton Middle,https://www.schooldigger.com/go/TX/schools/0001006199/school.aspx,Hays Consolidated Independent School District,https://www.schooldigger.com/go/TX/district/00010/search.aspx,4950 Jack C Hays Trl,Buda,https://www.schooldigger.com/go/TX/city/Buda/search.aspx,78610,Hays County,(512) 268-1472,No,No,No,(n/a),740,47.2,15.6,31.6,2.4,0.4,0.9,50.8,0.3,4.5,40.7,76.8
Harry Stone Montessori Academy,https://www.schooldigger.com/go/TX/schools/1623000465/school.aspx,Dallas Independent School District,https://www.schooldigger.com/go/TX/district/16230/search.aspx,4747 Veterans Dr,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75216,Dallas County,(972) 794-3400,Yes,No,Yes,(n/a),663,40,16.5,59.1,34.8,0.3,0.9,57.5,0,1.2,5.3,76.7
Canton J H,https://www.schooldigger.com/go/TX/schools/1275000770/school.aspx,Canton Independent School District,https://www.schooldigger.com/go/TX/district/12750/search.aspx,1115 S Buffalo St,Canton,https://www.schooldigger.com/go/TX/city/Canton/search.aspx,75103,Van Zandt County,(903) 567-4329,Yes,No,No,(n/a),515,38,13.5,38.1,1.7,0.8,1.4,14.2,0,2.7,79.2,76.6
Dobie J H,https://www.schooldigger.com/go/TX/schools/3948007898/school.aspx,Schertz-Cibolo-U City Independent School District,https://www.schooldigger.com/go/TX/district/39480/search.aspx,395 W Borgfeld Rd,Cibolo,https://www.schooldigger.com/go/TX/city/Cibolo/search.aspx,78108,Guadalupe County,(210) 619-4100,No,No,No,(n/a),1369,69.9,19.5,22.4,14.2,0.5,1.3,42.4,0.2,8,33.3,76.5
Education Center International Academy 2,https://www.schooldigger.com/go/TX/schools/0018611928/school.aspx,Education Center International Academy,https://www.schooldigger.com/go/TX/district/00186/search.aspx,8200 Schrade Rd,Rowlett,https://www.schooldigger.com/go/TX/city/Rowlett/search.aspx,75088,Dallas County,(972) 412-8080,Yes,Yes,No,(n/a),218,17.3,12.5,55.5,22.5,0,7.8,31.7,0.5,0.9,36.7,76.5
John M Tidwell Middle,https://www.schooldigger.com/go/TX/schools/3318012301/school.aspx,Northwest Independent School District,https://www.schooldigger.com/go/TX/district/33180/search.aspx,3937 Haslet Roanoke Rd,Roanoke,https://www.schooldigger.com/go/TX/city/Roanoke/search.aspx,76262,Tarrant County,(817) 698-5900,No,No,No,(n/a),1035,64.8,15.9,17.6,10.5,0.7,5.9,21.5,0.2,2.5,58.6,76.4
Irion High School,https://www.schooldigger.com/go/TX/schools/3036003400/school.aspx,Irion County Independent School District,https://www.schooldigger.com/go/TX/district/30360/search.aspx,301 N 3rd St,Mertzon,https://www.schooldigger.com/go/TX/city/Mertzon/search.aspx,76941,Irion County,(325) 835-2881,Yes,No,No,(n/a),139,15.9,8.7,42.4,2.2,0,0,36.7,0,1.4,59.7,76.3
Newcastle School,https://www.schooldigger.com/go/TX/schools/3270011372/school.aspx,Newcastle Independent School District,https://www.schooldigger.com/go/TX/district/32700/search.aspx,505 Washington Ave,Newcastle,https://www.schooldigger.com/go/TX/city/Newcastle/search.aspx,76372,Young County,(940) 846-3531,Yes,No,No,(n/a),210,21.9,9.5,62.4,0,0,0,22.4,0,3.3,74.3,76.2
Artie L Henry Middle,https://www.schooldigger.com/go/TX/schools/2703009439/school.aspx,Leander Independent School District,https://www.schooldigger.com/go/TX/district/27030/search.aspx,100 N Vista Rdg Blvd,Cedar Park,https://www.schooldigger.com/go/TX/city/Cedar+Park/search.aspx,78613,Williamson County,(512) 570-3400,No,No,No,(n/a),1325,88.8,14.9,21,5.7,0.4,10.9,28.2,0.3,5.8,48.8,76.2
Victory Lakes Intermediate,https://www.schooldigger.com/go/TX/schools/1428009247/school.aspx,Clear Creek Independent School District,https://www.schooldigger.com/go/TX/district/14280/search.aspx,2880 W Walker,League City,https://www.schooldigger.com/go/TX/city/League+City/search.aspx,77573,Galveston County,(281) 284-3700,No,No,No,(n/a),1052,60.1,17.4,14.1,7.4,0.1,5.7,29,0.4,4.1,53.3,76.1
Robinson J H,https://www.schooldigger.com/go/TX/schools/3741004199/school.aspx,Robinson Independent School District,https://www.schooldigger.com/go/TX/district/37410/search.aspx,410 W Lyndale,Robinson,https://www.schooldigger.com/go/TX/city/Robinson/search.aspx,76706,McLennan County,(254) 662-3843,Yes,No,No,(n/a),399,32,12.4,37.6,2.5,0,0.8,33.1,0,1.8,61.9,76
Ridgeview Middle,https://www.schooldigger.com/go/TX/schools/3808009101/school.aspx,Round Rock Independent School District,https://www.schooldigger.com/go/TX/district/38080/search.aspx,2000 Via Sonoma Trl,Round Rock,https://www.schooldigger.com/go/TX/city/Round+Rock/search.aspx,78664,Williamson County,(512) 424-8400,No,No,No,(n/a),1359,95.6,14.2,18,9.3,0.4,10.2,31.3,0.3,4.9,43.6,76
Founders Classical Academy Of Schertz,https://www.schooldigger.com/go/TX/schools/0016313495/school.aspx,Texas College Preparatory Academies,https://www.schooldigger.com/go/TX/district/00163/search.aspx,8453 E Fm 1518 N,Schertz,https://www.schooldigger.com/go/TX/city/Schertz/search.aspx,78154,Bexar County,(972) 316-3663,No,Yes,No,(n/a),670,48.4,13.8,25.4,5.8,0.7,0.6,38.7,0,6.3,47.9,75.9
Harmony School Of Excellence-Houston,https://www.schooldigger.com/go/TX/schools/0027411244/school.aspx,Harmony School Of Excellence,https://www.schooldigger.com/go/TX/district/00274/search.aspx,7340 N Gessner Dr,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77040,Harris County,(713) 983-8668,Yes,Yes,No,(n/a),873,49.7,17.5,50.1,16,0.1,20.5,43.2,0.2,2.5,17.4,75.7
Stem Academy - Lewisville,https://www.schooldigger.com/go/TX/schools/0016312415/school.aspx,Texas College Preparatory Academies,https://www.schooldigger.com/go/TX/district/00163/search.aspx,650 Bennett Ln,Lewisville,https://www.schooldigger.com/go/TX/city/Lewisville/search.aspx,75057,Denton County,(972) 316-6700,No,Yes,No,(n/a),425,30.2,14,29.6,16,0,9.6,24.5,0,5.4,44.5,75.6
Kelly Lane Middle,https://www.schooldigger.com/go/TX/schools/3483011356/school.aspx,Pflugerville Independent School District,https://www.schooldigger.com/go/TX/district/34830/search.aspx,18900 Falcon Pointe,Pflugerville,https://www.schooldigger.com/go/TX/city/Pflugerville/search.aspx,78660,Travis County,(512) 594-2800,No,No,No,(n/a),1100,66.7,16.4,19.7,12.3,0.2,6.6,35.1,0.4,5.9,39.5,75.6
Fort Worth Academy Of Fine Arts,https://www.schooldigger.com/go/TX/schools/0023109030/school.aspx,Fort Worth Academy Of Fine Arts,https://www.schooldigger.com/go/TX/district/00231/search.aspx,3901 S Hulen St,Fort Worth,https://www.schooldigger.com/go/TX/city/Fort+Worth/search.aspx,76109,Tarrant County,(817) 924-1482,Yes,Yes,No,(n/a),362,32.4,11.1,13.8,13,0,2.5,23.8,0,4.1,56.6,75.6
Barack Obama Male Leadership Academy At A Maceo Smith,https://www.schooldigger.com/go/TX/schools/1623012569/school.aspx,Dallas Independent School District,https://www.schooldigger.com/go/TX/district/16230/search.aspx,3030 Stag,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75241,Dallas County,(972) 749-2100,Yes,No,Yes,(n/a),498,29,17.1,81.3,21.3,0.4,1,74.5,0,0.2,2.6,75.5
Era School,https://www.schooldigger.com/go/TX/schools/1860001744/school.aspx,Era Independent School District,https://www.schooldigger.com/go/TX/district/18600/search.aspx,108 Hargrove St,Era,https://www.schooldigger.com/go/TX/city/Era/search.aspx,76238,Cooke County,(940) 665-5961,Yes,No,No,(n/a),472,37.5,12.5,36.2,0,0.2,0.2,11.7,0,3.6,84.3,75.5
Medina Valley Middle,https://www.schooldigger.com/go/TX/schools/3006008876/school.aspx,Medina Valley Independent School District,https://www.schooldigger.com/go/TX/district/30060/search.aspx,8395 Fm 471 S,Castroville,https://www.schooldigger.com/go/TX/city/Castroville/search.aspx,78009,Medina County,(830) 931-2243,No,No,No,(n/a),625,39.3,15.8,50.6,2.2,0.2,0,59.5,0,1.6,36.5,75.5
Gunter Middle,https://www.schooldigger.com/go/TX/schools/2196006962/school.aspx,Gunter Independent School District,https://www.schooldigger.com/go/TX/district/21960/search.aspx,410 Tiger Ln,Gunter,https://www.schooldigger.com/go/TX/city/Gunter/search.aspx,75058,Grayson County,(903) 433-1545,No,No,No,(n/a),328,22.8,14.3,23.8,0.6,0.9,0.6,22.6,0,2.4,72.9,75.5
Trinity Springs Middle,https://www.schooldigger.com/go/TX/schools/2526011330/school.aspx,Keller Independent School District,https://www.schooldigger.com/go/TX/district/25260/search.aspx,3550 Keller Hicks Rd,Keller,https://www.schooldigger.com/go/TX/city/Keller/search.aspx,76244,Tarrant County,(817) 744-3500,No,No,No,(n/a),969,67.8,14.2,29.2,10.7,1.2,5.7,26.1,0,5.7,50.6,75.5
