School,School URL,District,District URL,City,CityURL,Zip,County,Phone,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent Homes Rented,Percent parents with less than High School education,Percent Parents with Masters and above education,Percent Home Incomes less than Median income,Percent using Food stamps,Percent of Crimes,Standard Score
Frenship Middle School,https://www.schooldigger.com/go/TX/schools/1983001946/school.aspx,Frenship Independent School District,https://www.schooldigger.com/go/TX/district/19830/search.aspx,Wolfforth,https://www.schooldigger.com/go/TX/city/Wolfforth/search.aspx,79382,Lubbock,(806) 866-4464,Yes,No,No,No,626,47,13.3,0.32,0.02,0,0.01,0.31,,,62.6
Krum Middle,https://www.schooldigger.com/go/TX/schools/2598005760/school.aspx,Krum Independent School District,https://www.schooldigger.com/go/TX/district/25980/search.aspx,Krum,https://www.schooldigger.com/go/TX/city/Krum/search.aspx,76249,Denton,(940) 482-6000,Yes,No,No,Yes,486,33,14.7,0.36,0.03,0,0,0.25,,,62.6
Early Middle,https://www.schooldigger.com/go/TX/schools/1779005700/school.aspx,Early Independent School District,https://www.schooldigger.com/go/TX/district/17790/search.aspx,Early,https://www.schooldigger.com/go/TX/city/Early/search.aspx,76801,Brown,(325) 643-5665,Yes,No,No,No,304,25,12.1,0.46,0.03,0,0.02,0.19,,,62.6
Labay Middle,https://www.schooldigger.com/go/TX/schools/1611006084/school.aspx,Cypress-Fairbanks Independent School District,https://www.schooldigger.com/go/TX/district/16110/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77095,Harris,(281) 463-5800,Yes,No,No,No,1478,90,16.4,0.56,0.19,0.01,0.09,0.47,,,62.5
Eastwood Middle,https://www.schooldigger.com/go/TX/schools/4668005317/school.aspx,Ysleta Independent School District,https://www.schooldigger.com/go/TX/district/46680/search.aspx,El Paso,https://www.schooldigger.com/go/TX/city/El+Paso/search.aspx,79935,El Paso,(915) 434-4300,Yes,No,No,Yes,965,60,16,0.67,0.02,0,0,0.9,,,62.5
Idea College Preparatory San Benito,https://www.schooldigger.com/go/TX/schools/0021112164/school.aspx,Idea Public Schools,https://www.schooldigger.com/go/TX/district/00211/search.aspx,San Benito,https://www.schooldigger.com/go/TX/city/San+Benito/search.aspx,78586,Cameron,(956) 399-5252,Yes,Yes,No,Yes,713,45,15.8,0.75,0.01,0,0.01,0.91,,,62.4
Spearman J H,https://www.schooldigger.com/go/TX/schools/4101004665/school.aspx,Spearman Independent School District,https://www.schooldigger.com/go/TX/district/41010/search.aspx,Spearman,https://www.schooldigger.com/go/TX/city/Spearman/search.aspx,79081,Hansford,(806) 659-2563,Yes,No,No,No,184,18,10.2,0.63,0,0,0,0.7,,,62.4
Luna Middle,https://www.schooldigger.com/go/TX/schools/3312010438/school.aspx,Northside Independent School District,https://www.schooldigger.com/go/TX/district/33120/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78253,Bexar,(210) 397-5300,Yes,No,No,No,1242,71,17.4,0.43,0.1,0,0.02,0.58,,,62.2
Sun Ridge Middle,https://www.schooldigger.com/go/TX/schools/4071008551/school.aspx,Socorro Independent School District,https://www.schooldigger.com/go/TX/district/40710/search.aspx,El Paso,https://www.schooldigger.com/go/TX/city/El+Paso/search.aspx,79938,El Paso,(915) 937-6600,Yes,No,No,No,876,53,16.5,0.61,0.04,0.01,0.01,0.87,,,62.2
Harmony School Of Business - Dallas,https://www.schooldigger.com/go/TX/schools/0029212871/school.aspx,Harmony Science Academy (Waco),https://www.schooldigger.com/go/TX/district/00292/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75252,Collin,(469) 226-6746,Yes,Yes,No,Yes,776,,15.5,0.46,0.25,0,0.23,0.29,,,62.2
Harleton J H,https://www.schooldigger.com/go/TX/schools/2250002275/school.aspx,Harleton Independent School District,https://www.schooldigger.com/go/TX/district/22500/search.aspx,Harleton,https://www.schooldigger.com/go/TX/city/Harleton/search.aspx,75651,Harrison,(903) 777-3010,No,No,No,No,169,13,13,0.4,0.04,0,0,0.08,,,62.1
Paso Del Norte School,https://www.schooldigger.com/go/TX/schools/4071009549/school.aspx,Socorro Independent School District,https://www.schooldigger.com/go/TX/district/40710/search.aspx,El Paso,https://www.schooldigger.com/go/TX/city/El+Paso/search.aspx,79938,El Paso,(915) 937-6200,Yes,No,No,Yes,1149,64,17.9,0.67,0.04,0,0.02,0.88,,,62.1
Lago Vista Middle,https://www.schooldigger.com/go/TX/schools/2640007469/school.aspx,Lago Vista Independent School District,https://www.schooldigger.com/go/TX/district/26400/search.aspx,Lago Vista,https://www.schooldigger.com/go/TX/city/Lago+Vista/search.aspx,78645,Travis,(512) 267-8300,Yes,No,No,No,398,26,15.3,0.3,0.01,0,0.02,0.2,,,62
W F George Middle,https://www.schooldigger.com/go/TX/schools/2426002704/school.aspx,Iowa Park Consolidated Independent School District,https://www.schooldigger.com/go/TX/district/24260/search.aspx,Iowa Park,https://www.schooldigger.com/go/TX/city/Iowa+Park/search.aspx,76367,Wichita,(940) 592-2196,Yes,No,No,No,370,29,12.7,0.43,0,0.01,0.01,0.08,,,62
Schindewolf Intermediate School,https://www.schooldigger.com/go/TX/schools/2574009281/school.aspx,Klein Independent School District,https://www.schooldigger.com/go/TX/district/25740/search.aspx,Spring,https://www.schooldigger.com/go/TX/city/Spring/search.aspx,77388,Harris,(832) 249-5900,No,No,No,No,1321,78,16.9,0.34,0.12,0,0.08,0.35,,,62
Texas Connections Academy At Houston,https://www.schooldigger.com/go/TX/schools/2364012363/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77042,Harris,(281) 661-8293,Yes,Yes,No,Yes,4444,,,0.44,0.12,0.01,0.03,0.26,,,61.9
Covington School,https://www.schooldigger.com/go/TX/schools/1548001121/school.aspx,Covington Independent School District,https://www.schooldigger.com/go/TX/district/15480/search.aspx,Covington,https://www.schooldigger.com/go/TX/city/Covington/search.aspx,76636,Hill,(254) 854-2215,Yes,No,No,Yes,297,22,13.5,0.48,0.01,0.01,0,0.11,,,61.8
Stripling Middle,https://www.schooldigger.com/go/TX/schools/1970001916/school.aspx,Fort Worth Independent School District,https://www.schooldigger.com/go/TX/district/19700/search.aspx,Fort Worth,https://www.schooldigger.com/go/TX/city/Fort+Worth/search.aspx,76107,Tarrant,(817) 815-1300,Yes,No,No,Yes,690,42,16.4,0.68,0.13,0,0.01,0.65,,,61.7
Academy J H,https://www.schooldigger.com/go/TX/schools/0747006348/school.aspx,Academy Independent School District,https://www.schooldigger.com/go/TX/district/07470/search.aspx,Little River Academy,https://www.schooldigger.com/go/TX/city/Little+River+Academy/search.aspx,76554,Bell,(254) 982-4620,Yes,No,No,No,406,27,15,0.39,0.03,0.01,0.01,0.22,,,61.7
Perkins Middle,https://www.schooldigger.com/go/TX/schools/1644021193/school.aspx,De Leon Independent School District,https://www.schooldigger.com/go/TX/district/16440/search.aspx,De Leon,https://www.schooldigger.com/go/TX/city/De+Leon/search.aspx,76444,Comanche,(254) 893-8230,Yes,No,No,Yes,134,14,9.5,0.52,0,0,0,0.31,,,61.6
Harmony Science Academy - Laredo,https://www.schooldigger.com/go/TX/schools/0026612090/school.aspx,Harmony Science Academy (San Antonio),https://www.schooldigger.com/go/TX/district/00266/search.aspx,Laredo,https://www.schooldigger.com/go/TX/city/Laredo/search.aspx,78041,Webb,(956) 712-1177,Yes,Yes,No,Yes,647,46,14,0.65,0.01,0,0.01,0.96,,,61.6
Lake Highlands J H,https://www.schooldigger.com/go/TX/schools/3702004139/school.aspx,Richardson Independent School District,https://www.schooldigger.com/go/TX/district/37020/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75238,Dallas,(469) 593-1600,Yes,No,No,No,817,51,16,0.56,0.26,0,0.08,0.33,,,61.5
Joaquin Junior High School,https://www.schooldigger.com/go/TX/schools/2481009018/school.aspx,Joaquin Independent School District,https://www.schooldigger.com/go/TX/district/24810/search.aspx,Joaquin,https://www.schooldigger.com/go/TX/city/Joaquin/search.aspx,75954,Shelby,(936) 269-3128,Yes,No,No,Yes,154,13,11.8,0.66,0.04,0,0,0.18,,,61.5
Driscoll El & Middle,https://www.schooldigger.com/go/TX/schools/1755008889/school.aspx,Driscoll Independent School District,https://www.schooldigger.com/go/TX/district/17550/search.aspx,Driscoll,https://www.schooldigger.com/go/TX/city/Driscoll/search.aspx,78351,Nueces,(361) 387-7349,Yes,No,No,No,286,24,11.9,0.71,0,0,0,0.87,,,61.5
Abernathy J H,https://www.schooldigger.com/go/TX/schools/0741000009/school.aspx,Abernathy Independent School District,https://www.schooldigger.com/go/TX/district/07410/search.aspx,Abernathy,https://www.schooldigger.com/go/TX/city/Abernathy/search.aspx,79311,Hale,(806) 298-4921,Yes,No,No,No,199,16,12.4,0.51,0.01,0.01,0,0.6,,,61.4
Ut Tyler Innovation Academy - Tyler,https://www.schooldigger.com/go/TX/schools/0142712768/school.aspx,Ut Tyler Innovation Academy,https://www.schooldigger.com/go/TX/district/01427/search.aspx,Tyler,https://www.schooldigger.com/go/TX/city/Tyler/search.aspx,75799,Smith,(903) 705-4330,No,Yes,No,No,245,13,18.8,0.16,0.04,0.01,0.02,0.11,,,61.3
Moore Mst Magnet School,https://www.schooldigger.com/go/TX/schools/4347004942/school.aspx,Tyler Independent School District,https://www.schooldigger.com/go/TX/district/43470/search.aspx,Tyler,https://www.schooldigger.com/go/TX/city/Tyler/search.aspx,75701,Smith,(903) 262-1640,Yes,No,Yes,No,,58,13.7,0.6,0.25,0,0.02,0.44,,,61.3
Eula J H,https://www.schooldigger.com/go/TX/schools/1869006852/school.aspx,Eula Independent School District,https://www.schooldigger.com/go/TX/district/18690/search.aspx,Clyde,https://www.schooldigger.com/go/TX/city/Clyde/search.aspx,79510,Callahan,(325) 529-3605,Yes,No,No,No,68,6,11.3,0.44,0.03,0,0,0.09,,,61.3
Corpus Christi Montessori School,https://www.schooldigger.com/go/TX/schools/0027911317/school.aspx,Corpus Christi Montessori School,https://www.schooldigger.com/go/TX/district/00279/search.aspx,Corpus Christi,https://www.schooldigger.com/go/TX/city/Corpus+Christi/search.aspx,78404,Nueces,(361) 883-9306,No,Yes,No,Yes,163,11,14.8,0.23,0.03,0.01,0.04,0.63,,,61.3
Ssg Manuel R Puentes,https://www.schooldigger.com/go/TX/schools/4071012872/school.aspx,Socorro Independent School District,https://www.schooldigger.com/go/TX/district/40710/search.aspx,El Paso,https://www.schooldigger.com/go/TX/city/El+Paso/search.aspx,79938,El Paso,(915) 937-9200,Yes,No,No,No,730,42,17.3,0.57,0.05,0.01,0.01,0.85,,,61.2
Whitesboro Middle,https://www.schooldigger.com/go/TX/schools/4563005188/school.aspx,Whitesboro Independent School District,https://www.schooldigger.com/go/TX/district/45630/search.aspx,Whitesboro,https://www.schooldigger.com/go/TX/city/Whitesboro/search.aspx,76273,Grayson,(903) 564-4240,Yes,No,No,No,370,27,13.7,0.49,0.01,0.03,0,0.12,,,61.1
Iola High School,https://www.schooldigger.com/go/TX/schools/2424002701/school.aspx,Iola Independent School District,https://www.schooldigger.com/go/TX/district/24240/search.aspx,Iola,https://www.schooldigger.com/go/TX/city/Iola/search.aspx,77861,Grimes,(936) 394-2361,Yes,No,No,Yes,202,24,8.4,0.42,0.05,0,0,0.13,,,61.1
Atascocita Middle,https://www.schooldigger.com/go/TX/schools/2391005877/school.aspx,Humble Independent School District,https://www.schooldigger.com/go/TX/district/23910/search.aspx,Humble,https://www.schooldigger.com/go/TX/city/Humble/search.aspx,77346,Harris,(281) 641-4600,No,No,No,No,1161,66,17.5,0.22,0.18,0.01,0.04,0.28,,,61.1
Running Brushy Middle,https://www.schooldigger.com/go/TX/schools/2703008959/school.aspx,Leander Independent School District,https://www.schooldigger.com/go/TX/district/27030/search.aspx,Cedar Park,https://www.schooldigger.com/go/TX/city/Cedar+Park/search.aspx,78613,Williamson,(512) 570-3300,Yes,No,No,Yes,1282,80,16,0.33,0.05,0.01,0.02,0.31,,,61.1
Thorndale Middle,https://www.schooldigger.com/go/TX/schools/4263007699/school.aspx,Thorndale Independent School District,https://www.schooldigger.com/go/TX/district/42630/search.aspx,Thorndale,https://www.schooldigger.com/go/TX/city/Thorndale/search.aspx,76577,Milam,(512) 898-2670,Yes,No,No,Yes,144,11,13,0.44,0.01,0,0,0.27,,,61
Kipp Sharpstown College Preparatory,https://www.schooldigger.com/go/TX/schools/0005412152/school.aspx,Kipp Inc Charter,https://www.schooldigger.com/go/TX/district/00054/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77063,Harris,(832) 328-1051,Yes,Yes,No,No,426,23,18.5,0.94,0.15,0,0.02,0.81,,,61
Follett School,https://www.schooldigger.com/go/TX/schools/1950001806/school.aspx,Follett Independent School District,https://www.schooldigger.com/go/TX/district/19500/search.aspx,Follett,https://www.schooldigger.com/go/TX/city/Follett/search.aspx,79034,Lipscomb,(806) 653-2301,Yes,No,No,Yes,192,19,10.1,0.48,0,0.01,0.01,0.3,,,60.9
Lomax J H,https://www.schooldigger.com/go/TX/schools/2619002950/school.aspx,La Porte Independent School District,https://www.schooldigger.com/go/TX/district/26190/search.aspx,La Porte,https://www.schooldigger.com/go/TX/city/La+Porte/search.aspx,77571,Harris,(281) 604-6701,Yes,No,No,Yes,626,38,16.4,0.43,0.03,0,0.02,0.49,,,60.9
Burbank Middle,https://www.schooldigger.com/go/TX/schools/2364002413/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77022,Harris,(713) 696-2720,Yes,No,Yes,No,1446,,18.5,0.94,0.06,0,0.01,0.93,,,60.8
Idea College Preparatory San Juan,https://www.schooldigger.com/go/TX/schools/0021112040/school.aspx,Idea Public Schools,https://www.schooldigger.com/go/TX/district/00211/search.aspx,San Juan,https://www.schooldigger.com/go/TX/city/San+Juan/search.aspx,78589,Hidalgo,(956) 588-4021,Yes,Yes,No,No,750,46,16.3,0.91,0,0,0.01,0.97,,,60.8
Stinson Middle,https://www.schooldigger.com/go/TX/schools/3312021114/school.aspx,Northside Independent School District,https://www.schooldigger.com/go/TX/district/33120/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78249,Bexar,(210) 397-3600,Yes,No,No,No,1115,72,15.4,0.38,0.06,0,0.06,0.62,,,60.8
Idea College Prep Weslaco,https://www.schooldigger.com/go/TX/schools/0021112495/school.aspx,Idea Public Schools,https://www.schooldigger.com/go/TX/district/00211/search.aspx,Weslaco,https://www.schooldigger.com/go/TX/city/Weslaco/search.aspx,78599,Hidalgo,(956) 351-4100,Yes,Yes,No,Yes,483,22,21.9,0.86,0,0,0.01,0.97,,,60.8
Redwater J H,https://www.schooldigger.com/go/TX/schools/3675005801/school.aspx,Redwater Independent School District,https://www.schooldigger.com/go/TX/district/36750/search.aspx,Redwater,https://www.schooldigger.com/go/TX/city/Redwater/search.aspx,75573,Bowie,(903) 671-3227,Yes,No,No,Yes,199,17,11.7,0.35,0.02,0,0.01,0.02,,,60.8
Spring Forest Middle,https://www.schooldigger.com/go/TX/schools/4110004693/school.aspx,Spring Branch Independent School District,https://www.schooldigger.com/go/TX/district/41100/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77079,Harris,(713) 251-4600,Yes,No,No,No,828,57,14.5,0.51,0.17,0.01,0.07,0.39,,,60.8
Fossil Hill Middle,https://www.schooldigger.com/go/TX/schools/2526006571/school.aspx,Keller Independent School District,https://www.schooldigger.com/go/TX/district/25260/search.aspx,Fort Worth,https://www.schooldigger.com/go/TX/city/Fort+Worth/search.aspx,76137,Tarrant,(817) 744-3050,Yes,No,No,Yes,918,66,13.9,0.49,0.13,0,0.11,0.36,,,60.7
Mickey Leland College Prep Academy For Young Men,https://www.schooldigger.com/go/TX/schools/2364012618/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77020,Harris,(713) 226-2668,Yes,No,Yes,Yes,461,28,16.4,0.71,0.49,0,0.02,0.47,,,60.6
Clyde J H,https://www.schooldigger.com/go/TX/schools/1445000936/school.aspx,Clyde Consolidated Independent School District,https://www.schooldigger.com/go/TX/district/14450/search.aspx,Clyde,https://www.schooldigger.com/go/TX/city/Clyde/search.aspx,79510,Callahan,(325) 893-5788,Yes,No,No,Yes,342,27,12.6,0.47,0.02,0,0.01,0.14,,,60.6
Kirbyville J H,https://www.schooldigger.com/go/TX/schools/2571002895/school.aspx,Kirbyville Consolidated Independent School District,https://www.schooldigger.com/go/TX/district/25710/search.aspx,Kirbyville,https://www.schooldigger.com/go/TX/city/Kirbyville/search.aspx,75956,Jasper,(409) 420-0692,Yes,No,No,Yes,194,16,12.1,0.5,0.09,0,0.01,0.07,,,60.6
Floresville Middle,https://www.schooldigger.com/go/TX/schools/1935001794/school.aspx,Floresville Independent School District,https://www.schooldigger.com/go/TX/district/19350/search.aspx,Floresville,https://www.schooldigger.com/go/TX/city/Floresville/search.aspx,78114,Wilson,(830) 393-5350,Yes,No,No,No,923,55,16.7,0.5,0.01,0.01,0,0.64,,,60.5
Space Center Intermediate,https://www.schooldigger.com/go/TX/schools/1428001083/school.aspx,Clear Creek Independent School District,https://www.schooldigger.com/go/TX/district/14280/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77058,Harris,(281) 284-3300,No,No,No,No,1052,68,15.4,0.29,0.07,0,0.14,0.28,,,60.5
Groves Middle,https://www.schooldigger.com/go/TX/schools/3543004016/school.aspx,Port Neches-Groves Independent School District,https://www.schooldigger.com/go/TX/district/35430/search.aspx,Groves,https://www.schooldigger.com/go/TX/city/Groves/search.aspx,77619,Jefferson,(409) 962-0225,Yes,No,No,Yes,568,42,13.5,0.46,0.01,0.01,0.03,0.27,,,60.5
Miami School,https://www.schooldigger.com/go/TX/schools/3048003429/school.aspx,Miami Independent School District,https://www.schooldigger.com/go/TX/district/30480/search.aspx,Miami,https://www.schooldigger.com/go/TX/city/Miami/search.aspx,79059,Roberts,(806) 868-3971,Yes,No,No,Yes,209,23,9,0.18,0.01,0.01,0,0.1,,,60.4
Excelsior Elementary,https://www.schooldigger.com/go/TX/schools/1884001762/school.aspx,Excelsior Independent School District,https://www.schooldigger.com/go/TX/district/18840/search.aspx,Center,https://www.schooldigger.com/go/TX/city/Center/search.aspx,75935,Shelby,(936) 598-5866,Yes,No,No,Yes,92,9,10.2,0.57,0.01,0,0,0.09,,,60.4
Brookesmith School,https://www.schooldigger.com/go/TX/schools/1155000627/school.aspx,Brookesmith Independent School District,https://www.schooldigger.com/go/TX/district/11550/search.aspx,Brookesmith,https://www.schooldigger.com/go/TX/city/Brookesmith/search.aspx,76827,Brown,(325) 643-3023,Yes,No,No,No,181,20,9,0.62,0,0,0.01,0.23,,,60.4
Harmony School Of Innovation - Garland,https://www.schooldigger.com/go/TX/schools/0029213199/school.aspx,Harmony Science Academy (Waco),https://www.schooldigger.com/go/TX/district/00292/search.aspx,Garland,https://www.schooldigger.com/go/TX/city/Garland/search.aspx,75040,Dallas,(972) 212-4777,Yes,Yes,No,Yes,456,34,13.4,0.47,0.24,0.01,0.14,0.3,,,60.4
South Middle,https://www.schooldigger.com/go/TX/schools/1818006102/school.aspx,Edinburg Consolidated Independent School District,https://www.schooldigger.com/go/TX/district/18180/search.aspx,Edinburg,https://www.schooldigger.com/go/TX/city/Edinburg/search.aspx,78539,Hidalgo,(956) 289-2415,Yes,No,No,Yes,,95,15.1,0.66,0,0,0.02,0.96,,,60.4
Haskell J H,https://www.schooldigger.com/go/TX/schools/2274011279/school.aspx,Haskell Consolidated Independent School District,https://www.schooldigger.com/go/TX/district/22740/search.aspx,Haskell,https://www.schooldigger.com/go/TX/city/Haskell/search.aspx,79521,Haskell,(940) 864-5981,Yes,No,No,No,134,12,11.1,0.6,0.05,0.01,0,0.36,,,60.4
Mt Valley Middle,https://www.schooldigger.com/go/TX/schools/1473011948/school.aspx,Comal Independent School District,https://www.schooldigger.com/go/TX/district/14730/search.aspx,Canyon Lake,https://www.schooldigger.com/go/TX/city/Canyon+Lake/search.aspx,78132,Comal,(830) 885-1300,Yes,No,No,No,720,45,16,0.5,0.01,0,0,0.24,,,60.3
Douglas Benold Middle,https://www.schooldigger.com/go/TX/schools/2060007487/school.aspx,Georgetown Independent School District,https://www.schooldigger.com/go/TX/district/20600/search.aspx,Georgetown,https://www.schooldigger.com/go/TX/city/Georgetown/search.aspx,78628,Williamson,(512) 943-5090,No,No,No,No,825,53,15.5,0.26,0.04,0.01,0.01,0.25,,,60.3
Anderson-Shiro Junior/Senior High School,https://www.schooldigger.com/go/TX/schools/0823000193/school.aspx,Anderson-Shiro Consolidated Independent School District,https://www.schooldigger.com/go/TX/district/08230/search.aspx,Anderson,https://www.schooldigger.com/go/TX/city/Anderson/search.aspx,77830,Grimes,(936) 873-4550,Yes,No,No,Yes,432,34,12.7,0.37,0.08,0.01,0,0.15,,,60.3
Bondy Intermediate,https://www.schooldigger.com/go/TX/schools/3432004691/school.aspx,Pasadena Independent School District,https://www.schooldigger.com/go/TX/district/34320/search.aspx,Pasadena,https://www.schooldigger.com/go/TX/city/Pasadena/search.aspx,77505,Harris,(713) 740-0430,Yes,No,No,Yes,998,60,16.6,0.63,0.05,0,0.04,0.76,,,60.3
Water Valley High School,https://www.schooldigger.com/go/TX/schools/4471005090/school.aspx,Water Valley Independent School District,https://www.schooldigger.com/go/TX/district/44710/search.aspx,Water Valley,https://www.schooldigger.com/go/TX/city/Water+Valley/search.aspx,76958,Tom Green,(325) 484-2478,Yes,No,No,Yes,138,14,9.8,0.47,0.03,0.01,0.01,0.19,,,60.3
Grapevine Middle,https://www.schooldigger.com/go/TX/schools/2166005737/school.aspx,Grapevine-Colleyville Independent School District,https://www.schooldigger.com/go/TX/district/21660/search.aspx,Grapevine,https://www.schooldigger.com/go/TX/city/Grapevine/search.aspx,76051,Tarrant,(817) 251-5660,Yes,No,No,No,733,49,14.9,0.37,0.05,0,0.04,0.36,,,60.3
Liberty Hill Middle,https://www.schooldigger.com/go/TX/schools/2566007784/school.aspx,Killeen Independent School District,https://www.schooldigger.com/go/TX/district/25660/search.aspx,Killeen,https://www.schooldigger.com/go/TX/city/Killeen/search.aspx,76542,Bell,(254) 336-1370,Yes,No,No,No,898,54,16.6,0.44,0.42,0,0.04,0.27,,,60.1
Robert P Brabham Middle,https://www.schooldigger.com/go/TX/schools/4590010968/school.aspx,Willis Independent School District,https://www.schooldigger.com/go/TX/district/45900/search.aspx,Willis,https://www.schooldigger.com/go/TX/city/Willis/search.aspx,77318,Montgomery,(936) 890-2312,Yes,No,No,Yes,791,44,17.9,0.49,0.05,0,0.01,0.31,,,60.1
Texas Serenity Academy,https://www.schooldigger.com/go/TX/schools/0015111306/school.aspx,Texas Serenity Academy,https://www.schooldigger.com/go/TX/district/00151/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77037,Harris,(281) 820-9540,Yes,Yes,No,No,408,27,15.1,0.92,0.39,0,0,0.6,,,60
Bridge City Middle,https://www.schooldigger.com/go/TX/schools/1131000608/school.aspx,Bridge City Independent School District,https://www.schooldigger.com/go/TX/district/11310/search.aspx,Bridge City,https://www.schooldigger.com/go/TX/city/Bridge+City/search.aspx,77611,Orange,(409) 735-1700,Yes,No,No,No,613,37,16.5,0.33,0.01,0.01,0.03,0.11,,,60
Malakoff Middle,https://www.schooldigger.com/go/TX/schools/2878021339/school.aspx,Malakoff Independent School District,https://www.schooldigger.com/go/TX/district/28780/search.aspx,Malakoff,https://www.schooldigger.com/go/TX/city/Malakoff/search.aspx,75148,Henderson,(903) 489-0264,Yes,No,No,No,266,,12,0.62,0.14,0.01,0,0.16,,,59.9
White Oak Middle,https://www.schooldigger.com/go/TX/schools/4548005174/school.aspx,White Oak Independent School District,https://www.schooldigger.com/go/TX/district/45480/search.aspx,White Oak,https://www.schooldigger.com/go/TX/city/White+Oak/search.aspx,75693,Gregg,(903) 291-2050,No,No,No,Yes,351,22,15.9,0.36,0.03,0.01,0,0.05,,,59.8
Cooper J H,https://www.schooldigger.com/go/TX/schools/1515001023/school.aspx,Cooper Independent School District,https://www.schooldigger.com/go/TX/district/15150/search.aspx,Cooper,https://www.schooldigger.com/go/TX/city/Cooper/search.aspx,75432,Delta,(903) 395-2111,Yes,No,No,No,192,13,14.7,0.58,0.1,0.02,0,0.14,,,59.8
School Of Science And Technology Corpus Christi,https://www.schooldigger.com/go/TX/schools/0140012144/school.aspx,School Of Science And Technology Discovery,https://www.schooldigger.com/go/TX/district/01400/search.aspx,Corpus Christi,https://www.schooldigger.com/go/TX/city/Corpus+Christi/search.aspx,78413,Nueces,(361) 851-2450,Yes,Yes,No,No,673,45,14.9,0.62,0.05,0,0.03,0.74,,,59.8
Harold Cade Middle,https://www.schooldigger.com/go/TX/schools/4415012287/school.aspx,Victoria Independent School District,https://www.schooldigger.com/go/TX/district/44150/search.aspx,Victoria,https://www.schooldigger.com/go/TX/city/Victoria/search.aspx,77904,Victoria,(361) 788-2840,Yes,No,No,No,811,51,15.9,0.43,0.05,0,0.02,0.5,,,59.8
Ingram Middle,https://www.schooldigger.com/go/TX/schools/2421013075/school.aspx,Ingram Independent School District,https://www.schooldigger.com/go/TX/district/24210/search.aspx,Ingram,https://www.schooldigger.com/go/TX/city/Ingram/search.aspx,78025,Kerr,(830) 367-4111,Yes,No,No,No,196,16,12.2,0.66,0.01,0,0.01,0.37,,,59.8
Gary School,https://www.schooldigger.com/go/TX/schools/2046002058/school.aspx,Gary Independent School District,https://www.schooldigger.com/go/TX/district/20460/search.aspx,Gary,https://www.schooldigger.com/go/TX/city/Gary/search.aspx,75643,Panola,(903) 685-2291,Yes,No,No,Yes,458,36,12.7,0.47,0,0,0,0.07,,,59.7
Watauga Middle,https://www.schooldigger.com/go/TX/schools/1023000505/school.aspx,Birdville Independent School District,https://www.schooldigger.com/go/TX/district/10230/search.aspx,Watauga,https://www.schooldigger.com/go/TX/city/Watauga/search.aspx,76148,Tarrant,(817) 547-4800,Yes,No,No,Yes,760,49,15.5,0.68,0.08,0.01,0.07,0.44,,,59.6
Lone Oak Middle,https://www.schooldigger.com/go/TX/schools/2802006294/school.aspx,Lone Oak Independent School District,https://www.schooldigger.com/go/TX/district/28020/search.aspx,Lone Oak,https://www.schooldigger.com/go/TX/city/Lone+Oak/search.aspx,75453,Hunt,(903) 662-5121,Yes,No,No,No,252,20,12.6,0.43,0.02,0.01,0.01,0.1,,,59.6
Lubbock-Cooper Middle,https://www.schooldigger.com/go/TX/schools/1518001025/school.aspx,Lubbock-Cooper Independent School District,https://www.schooldigger.com/go/TX/district/15180/search.aspx,Lubbock,https://www.schooldigger.com/go/TX/city/Lubbock/search.aspx,79423,Lubbock,(806) 863-3140,Yes,No,No,Yes,540,39,13.8,0.42,0.01,0,0.01,0.42,,,59.6
Canton J H,https://www.schooldigger.com/go/TX/schools/1275000770/school.aspx,Canton Independent School District,https://www.schooldigger.com/go/TX/district/12750/search.aspx,Canton,https://www.schooldigger.com/go/TX/city/Canton/search.aspx,75103,Van Zandt,(903) 567-4329,Yes,No,No,No,483,32,15,0.33,0.01,0.01,0,0.09,,,59.5
