School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score
West Nassau County High School,https://www.schooldigger.com/go/FL/schools/0135001317/school.aspx,Nassau,https://www.schooldigger.com/go/FL/district/01350/search.aspx,1 Warrior Dr,Callahan,https://www.schooldigger.com/go/FL/city/Callahan/search.aspx,32011,Nassau County,(904) 879-3461,9,12,No,No,No,No,933,50,18.6,39.40%,2.10%,0.10%,0.90%,4.90%,0.00%,4.10%,87.90%,62.7
Inlet Grove Community High School,https://www.schooldigger.com/go/FL/schools/0150001557/school.aspx,Palm Beach,https://www.schooldigger.com/go/FL/district/01500/search.aspx,600 W 28th St,Riviera Beach,https://www.schooldigger.com/go/FL/city/Riviera+Beach/search.aspx,33404,Palm Beach County,(561) 881-4600,9,12,Yes,Yes,No,No,815,43,18.9,67.20%,76.10%,0.40%,0.20%,17.40%,0.00%,2.10%,3.80%,62.7
Young Men's Preparatory Academy,https://www.schooldigger.com/go/FL/schools/0039007420/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,3001 NW 2nd Ave,Miami,https://www.schooldigger.com/go/FL/city/Miami/search.aspx,33127,Miami-Dade County,(305) 571-1111,6,12,Yes,No,Yes,No,185,15,12.3,68.10%,50.30%,0.00%,0.50%,46.50%,0.00%,0.50%,2.20%,62.6
Mandarin High School,https://www.schooldigger.com/go/FL/schools/0048002744/school.aspx,Duval,https://www.schooldigger.com/go/FL/district/00480/search.aspx,4831 Greenland Rd,Jacksonville,https://www.schooldigger.com/go/FL/city/Jacksonville/search.aspx,32258,Duval County,(904) 260-3911,9,12,No,No,Yes,No,2398,111,21.6,27.30%,19.90%,0.90%,4.70%,16.50%,0.50%,5.10%,52.30%,62.6
Jacksonville Classical Academy,https://www.schooldigger.com/go/FL/schools/0048008789/school.aspx,Duval,https://www.schooldigger.com/go/FL/district/00480/search.aspx,2043 Forest St,Jacksonville,https://www.schooldigger.com/go/FL/city/Jacksonville/search.aspx,32204,Duval County,(904) 288-7732,KG,12,No,Yes,No,No,760,0,,43.40%,34.70%,0.00%,1.80%,10.30%,0.10%,5.80%,47.20%,62.2
Robert Morgan Educational Center,https://www.schooldigger.com/go/FL/schools/0039004078/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,18180 SW 122nd Ave,Miami,https://www.schooldigger.com/go/FL/city/Miami/search.aspx,33177,Miami-Dade County,(305) 253-9920,9,12,Yes,No,Yes,No,1786,77,23.1,57.80%,23.50%,0.40%,1.30%,70.20%,0.20%,0.80%,3.60%,61.8
Lake Virtual Franchise,https://www.schooldigger.com/go/FL/schools/0105007880/school.aspx,Lake,https://www.schooldigger.com/go/FL/district/01050/search.aspx,200 W Golf Links Ave,Eustis,https://www.schooldigger.com/go/FL/city/Eustis/search.aspx,32726,Lake County,(352) 253-6550,KG,12,No,No,No,Yes,311,23.5,13.2,33.10%,9.00%,1.00%,2.60%,24.10%,0.30%,3.90%,59.20%,61.7
William H. Turner Technical Arts High School,https://www.schooldigger.com/go/FL/schools/0039001478/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,10151 NW 19th Ave,Miami,https://www.schooldigger.com/go/FL/city/Miami/search.aspx,33147,Miami-Dade County,(305) 691-8324,9,12,Yes,No,Yes,No,1252,52,24,68.50%,84.70%,0.00%,0.30%,14.30%,0.00%,0.30%,0.30%,61.6
New Dimensions High School,https://www.schooldigger.com/go/FL/schools/0147003467/school.aspx,Osceola,https://www.schooldigger.com/go/FL/district/01470/search.aspx,4900 Old Pleasnt Hill Rd,Kissimmee,https://www.schooldigger.com/go/FL/city/Kissimmee/search.aspx,34759,Polk County,(407) 870-9949,9,12,Yes,Yes,No,No,424,14,30.2,53.80%,21.00%,0.20%,3.50%,60.10%,0.50%,2.40%,12.30%,61.6
City Of Hialeah Educational Academy,https://www.schooldigger.com/go/FL/schools/0039007454/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,2590 W 76th St,Hialeah,https://www.schooldigger.com/go/FL/city/Hialeah/search.aspx,33016,Miami-Dade County,(305) 362-4006,6,12,Yes,Yes,No,No,975,0,,85.70%,1.10%,0.00%,0.30%,97.60%,0.00%,0.10%,0.80%,61.1
Duncan U. Fletcher High School,https://www.schooldigger.com/go/FL/schools/0048000748/school.aspx,Duval,https://www.schooldigger.com/go/FL/district/00480/search.aspx,700 Seagate Ave,Neptune Beach,https://www.schooldigger.com/go/FL/city/Neptune+Beach/search.aspx,32266,Duval County,(904) 247-5905,9,12,No,No,No,No,2192,92,23.8,24.20%,12.00%,0.50%,2.30%,11.90%,0.40%,6.30%,66.60%,61
Clay High School,https://www.schooldigger.com/go/FL/schools/0030000330/school.aspx,Clay,https://www.schooldigger.com/go/FL/district/00300/search.aspx,2025 Fl-16,Green Cove Springs,https://www.schooldigger.com/go/FL/city/Green+Cove+Springs/search.aspx,32043,Clay County,(904) 336-7175,9,12,No,No,No,No,1706,82,20.8,46.40%,12.30%,0.40%,0.70%,14.80%,0.40%,4.30%,67.10%,60.8
Tampa Bay Technical High School,https://www.schooldigger.com/go/FL/schools/0087002325/school.aspx,Hillsborough,https://www.schooldigger.com/go/FL/district/00870/search.aspx,6410 Orient Rd,Tampa,https://www.schooldigger.com/go/FL/city/Tampa/search.aspx,33610,Hillsborough County,(813) 744-8360,9,12,Yes,No,Yes,No,2121,92.5,22.9,58.20%,52.60%,0.00%,3.10%,28.90%,0.20%,4.80%,10.40%,60.7
Miami Palmetto Senior High School,https://www.schooldigger.com/go/FL/schools/0039000605/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,7431 SW 120th Street,Miami,https://www.schooldigger.com/go/FL/city/Miami/search.aspx,33156,Miami-Dade County,(305) 235-1360,9,12,No,No,Yes,No,2672,104,25.6,31.20%,12.00%,0.10%,2.00%,62.20%,0.00%,1.10%,22.60%,60.7
Mater Academy Lakes High School,https://www.schooldigger.com/go/FL/schools/0039007077/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,17300 NW 87th Ave,Hialeah,https://www.schooldigger.com/go/FL/city/Hialeah/search.aspx,33015,Miami-Dade County,(305) 512-3917,9,12,Yes,Yes,No,No,1199,41,29.2,73.20%,2.00%,0.00%,0.80%,94.80%,0.00%,0.10%,2.30%,60.7
Slam Academy At Apollo Beach,https://www.schooldigger.com/go/FL/schools/0087008667/school.aspx,Hillsborough,https://www.schooldigger.com/go/FL/district/00870/search.aspx,5150 N Us Hwy 41,Apollo Beach,https://www.schooldigger.com/go/FL/city/Apollo+Beach/search.aspx,33572,Hillsborough County,(813) 773-4560,KG,12,No,Yes,No,No,1243,63,19.7,100.00%,17.50%,0.20%,1.30%,40.80%,0.30%,7.40%,32.50%,60.6
Ocvs Virtual Franchise,https://www.schooldigger.com/go/FL/schools/0144007846/school.aspx,Orange,https://www.schooldigger.com/go/FL/district/01440/search.aspx,4000 Silver Star Rd,Orlando,https://www.schooldigger.com/go/FL/city/Orlando/search.aspx,32808,Orange County,(407) 317-3327,KG,12,No,No,No,Yes,1032,132,7.8,9.40%,17.40%,0.20%,4.90%,37.40%,0.90%,4.90%,34.20%,60.5
Hilliard Middle-Senior High,https://www.schooldigger.com/go/FL/schools/0135001315/school.aspx,Nassau,https://www.schooldigger.com/go/FL/district/01350/search.aspx,1 Flashes Ave,Hilliard,https://www.schooldigger.com/go/FL/city/Hilliard/search.aspx,32046,Nassau County,(904) 845-2171,6,12,No,No,No,No,783,40.8,19.1,51.60%,6.00%,0.00%,0.40%,1.70%,0.00%,4.20%,87.70%,60.3
Malone School,https://www.schooldigger.com/go/FL/schools/0096001069/school.aspx,Jackson,https://www.schooldigger.com/go/FL/district/00960/search.aspx,5361 9th St,Malone,https://www.schooldigger.com/go/FL/city/Malone/search.aspx,32445,Jackson County,(850) 482-9950,PK,12,Yes,No,No,No,562,39.5,14.2,58.90%,33.80%,0.00%,0.00%,10.90%,0.00%,8.70%,46.60%,59.8
Volusia Online Learning-Flvs (Franchise),https://www.schooldigger.com/go/FL/schools/0192008707/school.aspx,Volusia,https://www.schooldigger.com/go/FL/district/01920/search.aspx,250 Enterprise Rd,Deltona,https://www.schooldigger.com/go/FL/city/Deltona/search.aspx,32725,Volusia County,(386) 506-0014,KG,12,No,No,No,Yes,489,0,,26.00%,11.90%,0.20%,0.80%,17.80%,0.20%,4.30%,64.80%,59.6
North Fort Myers High School,https://www.schooldigger.com/go/FL/schools/0108001139/school.aspx,Lee,https://www.schooldigger.com/go/FL/district/01080/search.aspx,5000 Orange Grove Blvd,North Fort Myers,https://www.schooldigger.com/go/FL/city/North+Fort+Myers/search.aspx,33903,Lee County,(239) 995-2117,9,12,No,No,Yes,No,1831,79,23.1,36.90%,5.30%,0.10%,2.20%,31.70%,0.20%,3.90%,56.60%,59.6
Deane Bozeman School,https://www.schooldigger.com/go/FL/schools/0009004304/school.aspx,Bay,https://www.schooldigger.com/go/FL/district/00090/search.aspx,13410 Highway 77,Panama City,https://www.schooldigger.com/go/FL/city/Panama+City/search.aspx,32409,Bay County,(850) 767-1300,PK,12,No,No,No,No,1648,85.5,19.2,43.20%,0.50%,0.30%,0.10%,5.40%,0.10%,3.40%,90.20%,59.5
Riverview Academy High School,https://www.schooldigger.com/go/FL/schools/0087008927/school.aspx,Hillsborough,https://www.schooldigger.com/go/FL/district/00870/search.aspx,5471 N. University Drive,Coral Springs,https://www.schooldigger.com/go/FL/city/Coral+Springs/search.aspx,33067,Broward County,(813) 412-6111,9,12,(n/a),Yes,(n/a),No,156,1,156,48.70%,17.90%,0.00%,1.90%,48.10%,0.60%,7.70%,23.70%,59.5
West Orange High,https://www.schooldigger.com/go/FL/schools/0144001454/school.aspx,Orange,https://www.schooldigger.com/go/FL/district/01440/search.aspx,1625 Beulah Rd,Winter Garden,https://www.schooldigger.com/go/FL/city/Winter+Garden/search.aspx,34787,Orange County,(407) 905-2400,8,12,No,No,No,No,2792,110,25.3,26.30%,15.00%,0.20%,5.90%,30.40%,0.40%,3.00%,45.20%,59.1
Alonso High School,https://www.schooldigger.com/go/FL/schools/0087003711/school.aspx,Hillsborough,https://www.schooldigger.com/go/FL/district/00870/search.aspx,8302 Montague St,Tampa,https://www.schooldigger.com/go/FL/city/Tampa/search.aspx,33635,Hillsborough County,(813) 356-1525,9,12,No,No,No,No,2930,121,24.2,41.90%,6.00%,0.10%,6.10%,59.60%,0.20%,3.00%,25.10%,58.8
Matanzas High School,https://www.schooldigger.com/go/FL/schools/0054005533/school.aspx,Flagler,https://www.schooldigger.com/go/FL/district/00540/search.aspx,3535 Old Kings Rd N,Palm Coast,https://www.schooldigger.com/go/FL/city/Palm+Coast/search.aspx,32137,Flagler County,(386) 447-1575,8,12,No,No,No,No,1992,86,23.1,38.00%,11.60%,0.50%,2.20%,18.60%,0.20%,5.90%,61.10%,58.6
Parrish Community High School,https://www.schooldigger.com/go/FL/schools/0123008711/school.aspx,Manatee,https://www.schooldigger.com/go/FL/district/01230/search.aspx,11601 Erie Rd,Parrish,https://www.schooldigger.com/go/FL/city/Parrish/search.aspx,34219,Manatee County,(941) 803-9330,9,12,No,No,No,No,2133,88,24.2,35.20%,7.40%,0.20%,3.60%,21.30%,0.10%,4.50%,62.90%,58.6
Team Success A School Of Excellence,https://www.schooldigger.com/go/FL/schools/0123003200/school.aspx,Manatee,https://www.schooldigger.com/go/FL/district/01230/search.aspx,202 13th Ave E,Bradenton,https://www.schooldigger.com/go/FL/city/Bradenton/search.aspx,34208,Manatee County,(941) 714-7260,KG,12,Yes,Yes,No,No,1310,76,17.2,65.60%,5.20%,0.00%,0.10%,91.10%,0.00%,0.50%,3.10%,58.5
Arthur And Polly Mays Conservatory Of The Arts,https://www.schooldigger.com/go/FL/schools/0039007972/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,11700 SW 216th St,Goulds,https://www.schooldigger.com/go/FL/city/Goulds/search.aspx,33170,Miami-Dade County,(305) 233-2300,6,12,Yes,No,Yes,No,515,27,19,60.20%,35.00%,0.20%,0.40%,57.70%,0.00%,1.90%,4.90%,58.5
Middleburg High School,https://www.schooldigger.com/go/FL/schools/0030002053/school.aspx,Clay,https://www.schooldigger.com/go/FL/district/00300/search.aspx,3750 County Road 220,Middleburg,https://www.schooldigger.com/go/FL/city/Middleburg/search.aspx,32068,Clay County,(904) 336-8075,9,12,No,No,No,No,1856,95.6,19.4,51.50%,7.20%,0.40%,1.10%,10.50%,0.10%,4.40%,76.40%,58.4
Strawberry Crest High School,https://www.schooldigger.com/go/FL/schools/0087007001/school.aspx,Hillsborough,https://www.schooldigger.com/go/FL/district/00870/search.aspx,4691 Gallagher Rd,Dover,https://www.schooldigger.com/go/FL/city/Dover/search.aspx,33527,Hillsborough County,(813) 707-7522,9,12,No,No,Yes,No,2531,106.5,23.7,43.10%,4.60%,0.30%,14.70%,44.00%,0.00%,2.30%,34.20%,58
G-Star School Of The Arts,https://www.schooldigger.com/go/FL/schools/0150004131/school.aspx,Palm Beach,https://www.schooldigger.com/go/FL/district/01500/search.aspx,2065 Prairie Rd Bldg J,West Palm Beach,https://www.schooldigger.com/go/FL/city/West+Palm+Beach/search.aspx,33406,Palm Beach County,(561) 967-2023,9,12,Yes,Yes,No,No,693,41,16.9,44.60%,21.10%,0.00%,1.40%,40.30%,0.00%,3.00%,34.20%,57.8
Manatee School For The Arts,https://www.schooldigger.com/go/FL/schools/0123003429/school.aspx,Manatee,https://www.schooldigger.com/go/FL/district/01230/search.aspx,700 Haben Blvd,Palmetto,https://www.schooldigger.com/go/FL/city/Palmetto/search.aspx,34221,Manatee County,(941) 721-6800,6,12,No,Yes,No,No,2001,102,19.6,61.10%,9.40%,0.00%,1.40%,41.20%,0.10%,5.80%,42.10%,57.7
Burns Science And Technology Charter School,https://www.schooldigger.com/go/FL/schools/0192008038/school.aspx,Volusia,https://www.schooldigger.com/go/FL/district/01920/search.aspx,160 Ridge Rd,Oak Hill,https://www.schooldigger.com/go/FL/city/Oak+Hill/search.aspx,32759,Volusia County,(386) 210-4915,KG,12,No,Yes,No,No,1074,53,20.2,99.70%,2.20%,0.20%,2.30%,4.00%,0.10%,5.40%,85.80%,57.7
St. Augustine High School,https://www.schooldigger.com/go/FL/schools/0174001916/school.aspx,St. Johns,https://www.schooldigger.com/go/FL/district/01740/search.aspx,3205 Varella Ave,St Augustine,https://www.schooldigger.com/go/FL/city/St+Augustine/search.aspx,32084,St. Johns County,(904) 547-8530,9,12,No,No,No,No,1695,84.3,20.1,39.80%,15.00%,0.30%,1.60%,11.80%,0.20%,4.40%,66.70%,57.5
Orange Park High School,https://www.schooldigger.com/go/FL/schools/0030000323/school.aspx,Clay,https://www.schooldigger.com/go/FL/district/00300/search.aspx,2300 Kingsley Ave,Orange Park,https://www.schooldigger.com/go/FL/city/Orange+Park/search.aspx,32073,Clay County,(904) 336-8675,9,12,No,No,No,No,1926,91.6,21,61.30%,28.70%,0.40%,3.00%,21.70%,0.30%,7.10%,38.80%,57.4
Dunedin High School,https://www.schooldigger.com/go/FL/schools/0156001616/school.aspx,Pinellas,https://www.schooldigger.com/go/FL/district/01560/search.aspx,1651 Pinehurst Rd,Dunedin,https://www.schooldigger.com/go/FL/city/Dunedin/search.aspx,34698,Pinellas County,(727) 469-4100,9,12,No,No,Yes,No,1190,55,21.6,44.90%,10.00%,0.00%,1.50%,27.40%,1.30%,4.60%,55.10%,57.4
Olympic Heights Community High,https://www.schooldigger.com/go/FL/schools/0150002876/school.aspx,Palm Beach,https://www.schooldigger.com/go/FL/district/01500/search.aspx,20101 Lyons Rd,Boca Raton,https://www.schooldigger.com/go/FL/city/Boca+Raton/search.aspx,33434,Palm Beach County,(561) 852-6900,9,12,Yes,No,Yes,No,2330,119,19.5,28.10%,9.40%,0.30%,3.50%,34.30%,0.20%,3.00%,49.30%,57.3
Everglades City School,https://www.schooldigger.com/go/FL/schools/0033000336/school.aspx,Collier,https://www.schooldigger.com/go/FL/district/00330/search.aspx,415 School Dr,Everglades City,https://www.schooldigger.com/go/FL/city/Everglades+City/search.aspx,34139,Collier County,(239) 377-9800,PK,12,No,No,No,No,144,17.4,8.2,66.70%,1.40%,0.70%,0.00%,22.90%,0.00%,7.60%,67.40%,57.2
Mt. Dora High School,https://www.schooldigger.com/go/FL/schools/0105001099/school.aspx,Lake,https://www.schooldigger.com/go/FL/district/01050/search.aspx,700 N Highland St,Mount Dora,https://www.schooldigger.com/go/FL/city/Mount+Dora/search.aspx,32757,Lake County,(352) 383-2177,9,12,No,No,No,No,1412,65,21.7,30.60%,12.00%,0.30%,1.60%,30.90%,0.30%,4.80%,50.10%,57.2
Lake Howell High School,https://www.schooldigger.com/go/FL/schools/0171001895/school.aspx,Seminole,https://www.schooldigger.com/go/FL/district/01710/search.aspx,4200 Dike Rd,Winter Park,https://www.schooldigger.com/go/FL/city/Winter+Park/search.aspx,32792,Orange County,(407) 746-9050,9,12,No,No,No,No,2201,102.4,21.4,52.40%,9.40%,0.10%,3.10%,39.20%,0.30%,4.40%,43.40%,57
Nova High School,https://www.schooldigger.com/go/FL/schools/0018000234/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,3600 College Ave,Davie,https://www.schooldigger.com/go/FL/city/Davie/search.aspx,33314,Broward County,(754) 323-1650,9,12,No,No,No,No,2255,89.5,25.1,38.20%,59.70%,0.20%,4.70%,21.30%,0.40%,3.00%,10.80%,56.9
Western High School,https://www.schooldigger.com/go/FL/schools/0018002120/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,1200 SW 136th Ave,Davie,https://www.schooldigger.com/go/FL/city/Davie/search.aspx,33325,Broward County,(754) 323-2400,9,12,No,No,No,No,3640,141,25.8,35.70%,8.40%,0.10%,3.70%,54.20%,0.10%,2.50%,31.10%,56.9
Leon County Virtual School Franchise,https://www.schooldigger.com/go/FL/schools/0111007793/school.aspx,Leon,https://www.schooldigger.com/go/FL/district/01110/search.aspx,283 Trojan Trail,Tallahassee,https://www.schooldigger.com/go/FL/city/Tallahassee/search.aspx,32311,Leon County,(850) 487-7247,1,12,No,No,No,Yes,112,5,22.4,11.60%,27.70%,0.00%,3.60%,10.70%,0.00%,8.90%,49.10%,56.8
Everglades High School,https://www.schooldigger.com/go/FL/schools/0018004052/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,17100 SW 48th Ct,Miramar,https://www.schooldigger.com/go/FL/city/Miramar/search.aspx,33027,Broward County,(754) 323-0500,9,12,No,No,No,No,2033,84,24.2,43.30%,42.00%,0.30%,10.10%,39.30%,0.20%,1.80%,6.30%,56.8
Coral Shores High School,https://www.schooldigger.com/go/FL/schools/0132001292/school.aspx,Monroe,https://www.schooldigger.com/go/FL/district/01320/search.aspx,89901 Old Hwy,Tavernier,https://www.schooldigger.com/go/FL/city/Tavernier/search.aspx,33070,Monroe County,(305) 853-3222,9,12,No,No,No,No,753,43,17.5,39.20%,2.90%,0.10%,0.80%,42.50%,0.30%,1.70%,51.70%,56.7
Kids Community College Riverview South (K-12),https://www.schooldigger.com/go/FL/schools/0087005578/school.aspx,Hillsborough,https://www.schooldigger.com/go/FL/district/00870/search.aspx,10030 Mathog Rd,Riverview,https://www.schooldigger.com/go/FL/city/Riverview/search.aspx,33578,Hillsborough County,(813) 671-1440,KG,12,No,Yes,No,No,586,41,14.2,49.80%,37.50%,0.90%,2.20%,26.30%,0.20%,3.20%,29.70%,56.7
Brevard Virtual Franchise,https://www.schooldigger.com/go/FL/schools/0015005441/school.aspx,Brevard,https://www.schooldigger.com/go/FL/district/00150/search.aspx,1225 Clearlake Rd,Cocoa,https://www.schooldigger.com/go/FL/city/Cocoa/search.aspx,32922,Brevard County,(321) 633-3660,KG,12,No,No,No,Yes,226,47,4.8,7.50%,8.40%,0.00%,1.80%,13.70%,0.40%,10.20%,65.50%,56.6
Keystone Heights Junior/Senior High,https://www.schooldigger.com/go/FL/schools/0030000328/school.aspx,Clay,https://www.schooldigger.com/go/FL/district/00300/search.aspx,900 Orchid Ave,Keystone Heights,https://www.schooldigger.com/go/FL/city/Keystone+Heights/search.aspx,32656,Clay County,(904) 336-7775,7,12,No,No,No,No,1169,68.2,17.1,58.60%,2.00%,0.00%,0.30%,5.70%,0.00%,2.50%,89.50%,56.2
Branford High School,https://www.schooldigger.com/go/FL/schools/0183001948/school.aspx,Suwannee,https://www.schooldigger.com/go/FL/district/01830/search.aspx,405 Reynolds St NE,Branford,https://www.schooldigger.com/go/FL/city/Branford/search.aspx,32008,Suwannee County,(386) 935-5600,6,12,Yes,No,No,No,782,39.4,19.8,54.10%,2.80%,0.10%,0.00%,14.50%,0.00%,4.20%,78.40%,55.8
Pasco Eschool-Virtual Franchise,https://www.schooldigger.com/go/FL/schools/0153007660/school.aspx,Pasco,https://www.schooldigger.com/go/FL/district/01530/search.aspx,8916 Angeline School Way,Land O Lakes,https://www.schooldigger.com/go/FL/city/Land+O+Lakes/search.aspx,34638,Pasco County,(813) 346-1900,6,12,No,No,No,Yes,583,0,,0.50%,6.30%,0.70%,1.90%,18.00%,0.20%,6.20%,66.70%,55.7
A. Crawford Mosley High School,https://www.schooldigger.com/go/FL/schools/0009000067/school.aspx,Bay,https://www.schooldigger.com/go/FL/district/00090/search.aspx,501 Mosley Dr,Lynn Haven,https://www.schooldigger.com/go/FL/city/Lynn+Haven/search.aspx,32444,Bay County,(850) 767-4400,9,12,No,No,No,No,1838,78.5,23.4,34.50%,8.70%,0.30%,1.90%,10.60%,0.40%,6.40%,71.80%,55.7
Lake Mary High School,https://www.schooldigger.com/go/FL/schools/0171002261/school.aspx,Seminole,https://www.schooldigger.com/go/FL/district/01710/search.aspx,655 Longwood Lake Mary Rd,Lake Mary,https://www.schooldigger.com/go/FL/city/Lake+Mary/search.aspx,32746,Seminole County,(407) 320-9550,9,12,No,No,No,No,2684,130,20.6,43.60%,12.00%,0.30%,3.20%,31.30%,0.20%,3.60%,49.40%,55.6
Atlantic Coast High School,https://www.schooldigger.com/go/FL/schools/0048007629/school.aspx,Duval,https://www.schooldigger.com/go/FL/district/00480/search.aspx,9735 R G Skinner Pkwy,Jacksonville,https://www.schooldigger.com/go/FL/city/Jacksonville/search.aspx,32256,Duval County,(904) 538-5120,9,12,No,No,No,No,2768,118,23.4,33.90%,28.40%,0.50%,7.20%,22.60%,0.30%,7.30%,33.70%,55.5
Walton High School,https://www.schooldigger.com/go/FL/schools/0198002025/school.aspx,Walton,https://www.schooldigger.com/go/FL/district/01980/search.aspx,449 Walton Rd,Defuniak Springs,https://www.schooldigger.com/go/FL/city/Defuniak+Springs/search.aspx,32433,Walton County,(850) 892-1270,9,12,No,No,No,No,898,48.4,18.5,67.10%,9.10%,0.30%,0.60%,19.60%,0.40%,5.50%,64.50%,55.4
Paxton School,https://www.schooldigger.com/go/FL/schools/0198002020/school.aspx,Walton,https://www.schooldigger.com/go/FL/district/01980/search.aspx,21893 Us Highway 331 N,Paxton,https://www.schooldigger.com/go/FL/city/Paxton/search.aspx,32538,Walton County,(850) 892-1230,PK,12,No,No,No,No,795,51.8,15.3,62.30%,2.60%,0.50%,0.40%,3.80%,0.30%,4.50%,87.90%,55.4
Wakulla High School,https://www.schooldigger.com/go/FL/schools/0195002017/school.aspx,Wakulla,https://www.schooldigger.com/go/FL/district/01950/search.aspx,3237 Coastal Hwy,Crawfordville,https://www.schooldigger.com/go/FL/city/Crawfordville/search.aspx,32327,Wakulla County,(850) 926-7125,9,12,No,No,No,No,1386,77,18,32.90%,11.70%,0.00%,0.70%,4.60%,0.30%,5.60%,77.10%,55.1
Ocoee High,https://www.schooldigger.com/go/FL/schools/0144005638/school.aspx,Orange,https://www.schooldigger.com/go/FL/district/01440/search.aspx,1925 Ocoee Crown Point Pkwy,Ocoee,https://www.schooldigger.com/go/FL/city/Ocoee/search.aspx,34761,Orange County,(407) 905-3000,9,12,No,No,No,No,2599,101,25.7,50.40%,50.60%,0.30%,3.70%,28.50%,1.10%,1.70%,14.00%,55.1
Lake Minneola High School,https://www.schooldigger.com/go/FL/schools/0105007689/school.aspx,Lake,https://www.schooldigger.com/go/FL/district/01050/search.aspx,101 N Hancock Rd,Minneola,https://www.schooldigger.com/go/FL/city/Minneola/search.aspx,34715,Lake County,(352) 394-9600,9,12,No,No,No,No,2281,92.5,24.6,24.80%,15.10%,1.00%,4.00%,32.70%,0.10%,3.60%,43.50%,54.9
Law Enforcement Officers Memorial High School,https://www.schooldigger.com/go/FL/schools/0039007496/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,300 NW 2nd Ave,Miami,https://www.schooldigger.com/go/FL/city/Miami/search.aspx,33128,Miami-Dade County,(305) 371-0400,9,12,Yes,No,Yes,No,299,18,16.6,61.20%,34.80%,0.00%,1.00%,60.20%,0.30%,0.30%,3.30%,54.9
William T. Dwyer High School,https://www.schooldigger.com/go/FL/schools/0150002877/school.aspx,Palm Beach,https://www.schooldigger.com/go/FL/district/01500/search.aspx,13601 N Military Trl,West Palm Beach,https://www.schooldigger.com/go/FL/city/West+Palm+Beach/search.aspx,33410,Palm Beach County,(561) 625-7800,9,12,Yes,No,Yes,No,2320,121,19.1,36.90%,27.20%,0.10%,3.10%,19.90%,0.10%,4.10%,45.60%,54.8
Mater Academy Charter High School,https://www.schooldigger.com/go/FL/schools/0039003838/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,7901 NW 103rd St,Hialeah Gardens,https://www.schooldigger.com/go/FL/city/Hialeah+Gardens/search.aspx,33016,Miami-Dade County,(305) 828-1886,9,12,Yes,Yes,No,No,1650,50,33,81.90%,3.40%,0.00%,0.10%,95.50%,0.10%,0.10%,0.90%,54.7
Altha Public School,https://www.schooldigger.com/go/FL/schools/0021000293/school.aspx,Calhoun,https://www.schooldigger.com/go/FL/district/00210/search.aspx,25820 NE Fuqua Cir,Altha,https://www.schooldigger.com/go/FL/city/Altha/search.aspx,32421,Calhoun County,(850) 762-3121,PK,12,Yes,No,No,No,640,37.5,17,55.30%,0.20%,0.20%,0.20%,4.80%,0.00%,5.00%,89.70%,54.6
Space Coast Junior/Senior High School,https://www.schooldigger.com/go/FL/schools/0015002977/school.aspx,Brevard,https://www.schooldigger.com/go/FL/district/00150/search.aspx,6150 Banyan St,Cocoa,https://www.schooldigger.com/go/FL/city/Cocoa/search.aspx,32927,Brevard County,(321) 638-0750,7,12,No,No,No,No,1488,76,19.5,48.10%,5.50%,0.40%,1.40%,9.60%,0.10%,8.20%,74.80%,54.5
Land O' Lakes High School,https://www.schooldigger.com/go/FL/schools/0153001586/school.aspx,Pasco,https://www.schooldigger.com/go/FL/district/01530/search.aspx,20325 Gator Ln,Land O Lakes,https://www.schooldigger.com/go/FL/city/Land+O+Lakes/search.aspx,34638,Pasco County,(813) 794-9400,9,12,No,No,Yes,No,2278,92.4,24.6,21.50%,6.40%,0.20%,7.20%,26.60%,0.20%,4.50%,54.90%,54.3
Deltona High School,https://www.schooldigger.com/go/FL/schools/0192002641/school.aspx,Volusia,https://www.schooldigger.com/go/FL/district/01920/search.aspx,100 Wolf Pack Run,Deltona,https://www.schooldigger.com/go/FL/city/Deltona/search.aspx,32725,Volusia County,(386) 789-7252,9,12,Yes,No,No,No,1787,88.5,20.1,55.30%,14.50%,0.10%,0.80%,46.50%,0.20%,3.50%,34.40%,54.1
