School,District,City,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent Homes Rented,Percent parents with less than High School education,Percent Parents with Masters and above education,Percent Home Incomes less than Median income,Percent using Food stamps,Percent of Crimes,Percent White1
Texas High School 147,Northwest Independent School District,Justin,76247,Denton,(817) 215-0200,9,12,No,No,No,Yes,4318,170,16.4,0.2,0.06,0.01,0.02,0.21,0,0.02,0.68
Texas High School 148,Happy Independent School District,Happy,79042,Swisher,(806) 558-5311,7,12,Yes,No,No,No,287,16,7.4,0.41,0.02,0,0,0.18,0,0.03,0.78
Texas High School 149,Krum Independent School District,Krum,76249,Denton,(940) 482-6000,9,12,No,No,No,No,3393,43,13.8,0.27,0.02,0.01,0.01,0.21,0,0.02,0.75
Texas High School 150,Thrall Independent School District,Thrall,76578,Williamson,(512) 898-5193,9,12,No,No,No,No,1467,18,11.6,0.23,0.02,0.01,0,0.21,0,0.03,0.73
Texas High School 151,Burnham Wood Charter School District,El Paso,79912,El Paso,(915) 584-4024,5,12,No,No,No,Yes,3864,41,13,0.52,0.03,0,0.02,0.86,0,0.01,0.08
Texas High School 152,Katy Independent School District,Houston,77084,Harris,(281) 237-3000,9,12,Yes,No,No,Yes,1939,159,17.3,0.58,0.17,0,0.06,0.53,0,0.02,0.21
Texas High School 153,Bullard Independent School District,Bullard,75757,Cherokee,(903) 894-3272,9,12,No,No,No,Yes,1661,62,11.6,0.3,0.05,0.01,0,0.06,0,0.01,0.86
Texas High School 154,Sam Rayburn Independent School District,Ivanhoe,75447,Fannin,(903) 664-2165,7,12,No,No,No,No,606,20,8.4,0.29,0.01,0.02,0,0.1,0,0.02,0.85
Texas High School 155,Sharyland Independent School District,Mission,78572,Hidalgo,(956) 580-5300,9,12,Yes,No,No,Yes,2126,106,16.8,0.5,0.01,0,0.02,0.92,0,0,0.05
Texas High School 156,Lewisville Independent School District,The Colony,75056,Denton,(469) 713-5178,9,12,Yes,No,No,No,2091,139,14.2,0.36,0.11,0.01,0.06,0.32,0,0.04,0.48
Texas High School 157,Deer Park Independent School District,Deer Park,77536,Harris,(832) 668-7200,9,12,Yes,No,No,Yes,3641,258,15.9,0.37,0.02,0,0.01,0.5,0,0.02,0.45
Texas High School 158,Palmer Independent School District,Palmer,75152,Ellis,(972) 449-3487,9,12,Yes,No,No,Yes,2399,29,10.8,0.42,0.01,0.01,0,0.37,0,0.01,0.6
Texas High School 159,Cross Roads Independent School District,Malakoff,75148,Henderson,(903) 489-1275,9,12,Yes,No,No,No,3588,18,10.1,0.37,0.01,0,0,0.09,0,0.01,0.9
Texas High School 160,Hartley Independent School District,Hartley,79044,Hartley,(806) 365-4458,PK,12,Yes,No,No,No,206,20,11.1,0.76,0,0,0,0.64,0,0,0.35
Texas High School 161,Weimar Independent School District,Weimar,78962,Colorado,(979) 725-9504,8,12,No,No,No,No,1509,19,10.6,0.39,0.12,0,0,0.33,0,0.03,0.53
Texas High School 162,Wolfe City Independent School District,Wolfe City,75496,Hunt,(903) 496-2891,9,12,Yes,No,No,Yes,312,16,10.5,0.49,0.05,0.01,0.01,0.1,0,0.01,0.82
Texas High School 163,Harmony Science Academy (Waco),Waco,76710,McLennan,(254) 751-7878,KG,12,Yes,Yes,No,No,3124,56,13.6,0.8,0.08,0,0.01,0.72,0,0.01,0.18
Texas High School 164,Abbott Independent School District,Abbott,76621,Hill,(254) 582-3011,PK,12,Yes,No,No,No,2636,24,11,0.22,0,0,0,0.1,0,0.02,0.88
Texas High School 165,Idea Public Schools,San Juan,78589,Hidalgo,(956) 588-4021,6,12,Yes,Yes,No,Yes,3823,46,16.3,0.91,0,0,0.01,0.97,0,0,0.02
Texas High School 166,Aspermont Independent School District,Aspermont,79502,Stonewall,(940) 989-2707,6,12,Yes,No,No,Yes,2903,14,8.5,0.4,0.04,0,0.01,0.3,0,0.01,0.64
Texas High School 167,Brownsville Independent School District,Brownsville,78520,Cameron,(956) 574-5600,9,12,Yes,No,No,No,137,138,15.8,0.94,0,0,0.01,0.96,0,0,0.03
Texas High School 168,Hico Independent School District,Hico,76457,Hamilton,(254) 796-2184,7,12,Yes,No,No,No,3550,27,9.5,0.55,0,0,0,0.24,0,0,0.75
Texas High School 169,Texas College Preparatory Academies,Lewisville,75057,Denton,(888) 644-4789,2,12,Yes,Yes,No,Yes,610,,,0.44,0.11,0.01,0.03,0.29,0,0.04,0.52
Texas High School 170,Priddy Independent School District,Priddy,76870,Mills,(325) 966-3323,PK,12,Yes,No,No,No,2361,14,8.2,0.7,0,0,0,0.29,0,0,0.71
Texas High School 171,Midlothian Independent School District,Midlothian,76065,Ellis,(972) 775-8226,9,12,No,Yes,No,Yes,1343,141,16.9,0.16,0.06,0,0.02,0.21,0,0.02,0.69
Texas High School 172,Kipp Austin Public Schools Inc,Austin,78724,Travis,(512) 637-6870,9,12,No,No,No,Yes,2742,42,13.4,0.93,0.02,0,0,0.97,0,0,0
Texas High School 173,Newman International Academy Of Arlington,Arlington,76013,Tarrant,(817) 459-8555,PK,12,No,No,No,Yes,4090,68,12.7,0.45,0.33,0,0.06,0.23,0,0.04,0.35
Texas High School 174,Houston Independent School District,Houston,77098,Harris,(713) 522-5960,9,12,No,No,No,No,1737,141,23.3,0.48,0.31,0,0.04,0.37,0,0.02,0.26
Texas High School 175,Elysian Fields Independent School District,Elysian Fields,75642,Harrison,(903) 633-2420,9,12,(n/a),No,No,Yes,2652,30,10.6,0.44,0.14,0,0,0.03,0,0,0.83
Texas High School 176,Eula Independent School District,Clyde,79510,Callahan,(325) 529-3605,9,12,No,No,No,Yes,3192,14,7.9,0.48,0,0.01,0.01,0.12,0,0.05,0.81
Texas High School 177,McLean Independent School District,McLean,79057,Gray,(806) 779-2301,PK,12,Yes,No,No,No,2052,25,8.2,0.44,0.01,0.01,0,0.18,0,0.01,0.79
Texas High School 178,Dublin Independent School District,Dublin,76446,Erath,(254) 445-0362,7,12,Yes,No,No,No,1524,38,12.2,0.67,0.02,0,0,0.59,0,0.01,0.38
Texas High School 179,Bob Hope School,Port Arthur,77642,Jefferson,(409) 983-3244,6,12,No,No,No,Yes,1676,31,14.4,0.89,0.03,0,0,0.94,0,0.01,0.02
Texas High School 180,North East Independent School District,San Antonio,78217,Bexar,(210) 356-7600,9,12,Yes,No,No,Yes,1267,153,16.6,0.46,0.09,0,0.03,0.55,0,0.03,0.29
Texas High School 181,Water Valley Independent School District,Water Valley,76958,Tom Green,(325) 484-2478,7,12,No,No,No,No,578,14,9.8,0.47,0.03,0.01,0.01,0.19,0,0.02,0.75
Texas High School 182,La Grange Independent School District,La Grange,78945,Fayette,(979) 968-4800,9,12,Yes,No,No,Yes,1682,47,12.8,0.38,0.07,0.01,0.01,0.29,0,0.03,0.61
Texas High School 183,Panola Charter School,Marshall,75672,Harrison,(903) 935-4109,8,12,Yes,No,No,Yes,935,4,22.2,0.3,0.14,0,0.01,0.03,0,0.02,0.8
Texas High School 184,Sudan Independent School District,Sudan,79371,Lamb,(806) 227-2336,8,12,Yes,No,No,Yes,2324,21,7.5,0.47,0.02,0,0,0.53,0,0.02,0.43
Texas High School 185,Mansfield Independent School District,Mansfield,76063,Tarrant,(817) 299-1100,9,12,No,No,No,Yes,2790,104,18.7,0.32,0.15,0,0.02,0.25,0,0.04,0.54
Texas High School 186,Georgetown Independent School District,Georgetown,78626,Williamson,(512) 943-5100,9,12,No,No,No,Yes,1623,121,15,0.23,0.03,0,0.01,0.26,0,0.02,0.67
Texas High School 187,Lampasas Independent School District,Lampasas,76550,Lampasas,(512) 564-2310,9,12,Yes,No,No,No,3956,70,14.5,0.44,0.03,0.01,0.02,0.23,0.01,0.02,0.7
Texas High School 188,Idea Public Schools,Alamo,78516,Hidalgo,(956) 588-4005,6,12,No,No,No,No,1642,35,18.4,0.98,0,0,0,0.99,0,0,0.01
Texas High School 189,Lovelady Independent School District,Lovelady,75851,Houston,(936) 636-7636,7,12,No,No,No,No,940,24,9.5,0.34,0.08,0,0.01,0.05,0,0.03,0.83
Texas High School 190,Perrin-Whitt Consolidated Independent School District,Perrin,76486,Jack,(940) 798-3845,7,12,No,No,No,Yes,1853,16,10.1,0.4,0,0.01,0,0.13,0,0.01,0.86
Texas High School 191,Pflugerville Independent School District,Pflugerville,78660,Travis,(512) 594-0500,9,12,Yes,No,No,Yes,1783,144,15.6,0.44,0.23,0,0.07,0.41,0,0.04,0.24
Texas High School 192,Eustace Independent School District,Eustace,75124,Henderson,(903) 425-5161,9,12,No,No,No,Yes,2177,41,11,0.6,0.03,0.02,0,0.1,0,0.03,0.83
Texas High School 193,Wellington Independent School District,Wellington,79095,Collingsworth,(806) 447-3172,9,12,No,No,No,No,3199,19,8.4,0.55,0.05,0.01,0,0.44,0,0.01,0.49
Texas High School 194,Pewitt Consolidated Independent School District,Omaha,75571,Morris,(903) 884-2293,9,12,Yes,No,No,No,1543,26,10.6,0.58,0.13,0,0,0.08,0,0.07,0.72
Texas High School 195,Nocona Independent School District,Nocona,76255,Montague,(940) 825-3264,9,12,Yes,No,No,Yes,968,24,10.1,0.44,0,0.01,0,0.24,0,0.03,0.71
Texas High School 196,Decatur Independent School District,Decatur,76234,Wise,(940) 393-7200,9,12,No,No,No,Yes,4313,60,14.9,0.32,0.01,0.01,0,0.3,0,0.01,0.67
Texas High School 197,Lake Dallas Independent School District,Corinth,76205,Denton,(940) 497-4031,9,12,No,No,No,Yes,3184,79,16.1,0.28,0.06,0.01,0.02,0.24,0,0.05,0.61
Texas High School 198,North Hopkins Independent School District,Sulphur Springs,75482,Hopkins,(903) 945-2192,7,12,Yes,No,No,No,654,20,9.4,0.55,0.01,0.02,0,0.22,0,0.05,0.71
Texas High School 199,Ponder Independent School District,Ponder,76259,Denton,(940) 479-8312,9,12,No,Yes,No,Yes,4337,29,13.7,0.29,0.01,0.01,0.01,0.16,0,0.02,0.79
Texas High School 200,Aquilla Independent School District,Aquilla,76622,Hill,(254) 694-3770,PK,12,No,No,No,Yes,3180,22,12.5,0.52,0.01,0.02,0,0.15,0,0.02,0.81
Texas High School 201,Blanco Independent School District,Blanco,78606,Blanco,(830) 833-4337,9,12,No,No,No,Yes,996,28,10.2,0.45,0,0,0,0.35,0,0.02,0.62
Texas High School 202,Port Neches-Groves Independent School District,Port Neches,77651,Jefferson,(409) 729-7644,9,12,No,No,No,No,2224,103,13.9,0.31,0.02,0,0.06,0.19,0,0.02,0.71
Texas High School 203,El Paso Independent School District,El Paso,79912,El Paso,(915) 834-2460,9,12,(n/a),No,No,Yes,1756,145,17.7,0.42,0.01,0,0.03,0.78,0,0.01,0.17
Texas High School 204,Houston Independent School District,Houston,77033,Harris,(713) 733-1111,9,12,No,No,No,Yes,945,17,10.9,0.66,0.34,0,0.01,0.65,0,0,0
Texas High School 205,Harmony Science Academy (El Paso),El Paso,79924,El Paso,(915) 757-2929,KG,12,Yes,No,No,No,3016,56,15,0.69,0.06,0,0.01,0.79,0,0.03,0.11
Texas High School 206,Round Rock Independent School District,Round Rock,78664,Williamson,(512) 428-7000,9,12,Yes,No,No,No,1464,174,14.1,0.4,0.17,0,0.05,0.45,0,0.04,0.3
Texas High School 207,Rotan Independent School District,Rotan,79546,Fisher,(325) 735-3041,9,12,No,No,No,Yes,426,13,4.9,0.38,0.06,0,0.02,0.34,0,0.02,0.56
Texas High School 208,Blanket Independent School District,Blanket,76432,Brown,(325) 748-3341,PK,12,Yes,No,No,Yes,4201,21,10,0.49,0.02,0.02,0.01,0.25,0.01,0.01,0.69
Texas High School 209,Mesquite Independent School District,Mesquite,75150,Dallas,(972) 882-5300,9,12,No,No,No,No,327,113,15.4,0.51,0.26,0.01,0.05,0.37,0,0.03,0.29
Texas High School 210,Bremond Independent School District,Bremond,76629,Robertson,(254) 746-7145,9,12,Yes,No,No,Yes,4207,16,8.8,0.38,0.16,0.01,0.01,0.12,0,0.02,0.67
Texas High School 211,Rule Independent School District,Rule,79547,Haskell,(940) 997-2246,PK,12,Yes,No,No,Yes,2941,17,7.1,0.77,0.01,0,0,0.43,0,0.04,0.53
Texas High School 212,Garland Independent School District,Garland,75043,Dallas,(972) 240-3740,9,12,Yes,No,No,Yes,2471,158,14.6,0.56,0.3,0,0.06,0.41,0,0.02,0.2
Texas High School 213,McGregor Independent School District,Mc Gregor,76657,McLennan,(254) 840-2853,9,12,No,No,No,Yes,1861,38,11,0.71,0.12,0.01,0.01,0.42,0,0.01,0.44
Texas High School 214,Dallas Independent School District,Dallas,75214,Dallas,(972) 502-4400,9,12,No,No,No,Yes,1536,100,16.9,0.6,0.09,0,0.01,0.66,0,0.01,0.22
Texas High School 215,Sanger Independent School District,Sanger,76266,Denton,(940) 458-7497,9,12,Yes,No,No,No,2557,52,15.3,0.36,0.03,0.01,0.01,0.25,0,0.02,0.68
Texas High School 216,Neches Independent School District,Palestine,75803,Anderson,(903) 584-3443,9,12,No,No,No,No,2874,12,9.5,0.42,0.07,0,0.01,0.09,0,0.03,0.81
Texas High School 217,Savoy Independent School District,Savoy,75479,Fannin,(903) 965-4024,7,12,No,No,No,No,3548,14,9.7,0.48,0.01,0.02,0.01,0.05,0,0.07,0.85
