rank,name,founded,Address,city,state,zip,revenue,Growth,Headcount,Industry,Raw_revenue
1197,BELL INFO SOLUTIONS,1/1/2011,1400 Shepard Dr Suite 200,Sterling,VA,20164,12.7 million,346,110,IT Services,12676367
1198,Jellyfish,1/1/2005,250 S. President Street Unit 10,Baltimore,MD,21202,74.3 million,344,332,Advertising & Marketing,74343952
1199,Sparkle In Pink,1/1/2011,12800 South 313 West Suite 308,Draper,UT,84020,8.5 million,344,25,Retail,8495443
1200,First Freedom Preservation,1/1/2008,7 Church Lane STE 22,Pikesville,MD,21208,5.2 million,344,24,Real Estate,5190000
1201,MarkSYS,1/1/2011,"3725 Cincinnati Ave, Ste 200 ",Rocklin,CA,95765,33.7 million,343,70,Advertising & Marketing,33697941
1202,LinTech Global,1/1/2007,34119 W 12 Mile Road STE 200,Farmington Hills,MI,48331,25.3 million,343,160,Government Services,25255036
1203,Safe Haven Security Services,1/1/2001,520 E 19th Avenue ,Kansas City,MO,64116,78.1 million,343,705,Security,78093519
1204,GO Pull-It,1/1/2012,7282 Commonwealth Ave ,Jacksonville,FL,32220,4.2 million,342,22,Consumer Products & Services,4217919
1205,Xtek Partners,1/1/2003,5532 Shier Rings Rd ,Dublin,OH,43016,27.2 million,341,37,Computer Hardware,27191672
1206,Hunter Quinn Homes,1/1/2010,852 Lowcountry Blvd STE 100A,Mount Pleasant,SC,29464,15.3 million,341,17,Construction,15296176
1207,Excelleum Coaching and Consulting,1/1/2013,3555 Harbor Gateway South Suite A,Costa Mesa,CA,92626,2.5 million,341,8,Real Estate,2458937
1208,Sath,1/1/2005,200 W. Central Rd ,Schaumburg,IL,60195,4.6 million,341,18,IT Services,4553000
1209,Camp Gladiator,1/1/2008,9185 Research Blvd ,Austin,TX,78703,29.4 million,341,55,Consumer Products & Services,29377003
1210,Ruoff Home Mortgage,1/1/1984,1700 Magnavox Way Suite 220,Fort Wayne,IN,46804,74.2 million,340,395,Financial Services,74238464
1211,Atlas Executive Consulting,1/1/2006,1535 Hobby Street Suite 210,North Charleston,SC,29405,9.5 million,340,67,Government Services,9450829
1212,Distritech,1/1/2008,8292 NW 14th Street ,Doral,FL,33126,55.5 million,340,32,Consumer Products & Services,55526110
1213,The Patient Experience Project,1/1/2012,4 Congress Place 4 Congress Place,Saratoga Springs,NY,12866,7.4 million,339,42,Advertising & Marketing,7399897
1214,Lowers Risk Group,1/1/2007,125 E Hirst Rd ,Purcellville,VA,20132,56.4 million,339,500,Business Products & Services,56374506
1215,B.O.S.S. Retirement Solutions,1/1/2008,3400 N. Ashton Blvd. Suite 190 ,Lehi,UT,84045,4.6 million,337,18,Financial Services,4568184
1216,Renatus,1/1/2010,1312 West 75 North ,Centerville,UT,84014,17.2 million,337,12,Education,17230678
1217,Baker Electric Solar,1/1/2007,2140 Enterprise St. ,Escondido,CA,92029,63.3 million,337,185,Energy,63261230
1218,Landmark Roofing,1/1/2011,221 Bedford Rd. Ste. 300 ,Bedford,TX,76022,6.4 million,336,32,Construction,6400000
1219,Radiance Solar,1/1/2007,916 Joseph E. Lowery Blvd. NW; Suite 2 ,Atlanta,GA,30318,24.7 million,335,41,Energy,24680000
1220,New Vision Properties,1/1/2008,331 8th Street NE ,Washington,DC,20002,3.8 million,335,14,Real Estate,3828756
1221,ORC Services,1/1/2010,"401 Sebastian Blvd, ste A ",Sebastian,FL,32958,3.2 million,335,15,Environmental Services,3188426
1222,American Cyber,1/1/2011,11324 Chapel Rd ,Clifton,VA,20124,8.3 million,334,53,Government Services,8345915
1223,Metric Theory,1/1/2012,755 Sansome Street Suite 200,San Francisco,CA,94111,10.4 million,334,64,Advertising & Marketing,10396221
1224,Raymer Oil Company,1/1/1945,PO BOX 327 ,Troutman,NC,28166,75.1 million,334,70,Retail,75117000
1225,Heritage Group,1/1/2011,5034 Park Avenue ,Des Moines,IA,50321,3.4 million,334,155,Environmental Services,3358856
1226,Innovative Homecare Solutions,1/1/2006,1025 Ogden Ave Suite 200,Lisle,IL,60532,2.5 million,334,198,Health,2530537
1227,Tangenz,1/1/2008,3100 West Ray Road Suite 201,Chandler,AZ,85226,3.9 million,333,50,IT Services,3948931
1228,Water Liberty,1/1/2013,3773 Howard Hughes Parkway Suite 500 South,Las Vegas,NV,89169,4.1 million,332,11,Consumer Products & Services,4055968
1229,Priority Lighting,1/1/2009,77551 El Dina Court Suite H ,Palm Desert,CA,92211,3.7 million,332,6,Construction,3697858
1230,Sales Partnerships,1/1/1997,350 Interlocken Blvd Suite 280,Broomfield,CO,80021,26.6 million,332,300,Business Products & Services,26591011
1231,Capture Higher Ed,1/1/2011,2303 River Road Suite 201,Louisville,KY,40206,6 million,331,57,Education,5992409
1232,Amicon Management,1/1/1996,7430 NE 4th Court Studio B,Miami,FL,33138,2 million,331,15,Construction,2000920
1233,B3 Group,1/1/2008,222 CATOCTIN CIR SE STE 200,Leesburg,VA,20175,3.7 million,331,52,IT Services,3684339
1234,Solect Energy,1/1/2009,89 Hayden Rowe Street ,Hopkinton,MA,1748,53.7 million,330,59,Energy,53717364
1235,Michael Hyatt & Company,1/1/2012,PO Box 1221 ,Franklin,TN,37065,7.3 million,330,20,Business Products & Services,7296649
1236,1Rivet,1/1/2005,1861 Wiehle Ave Suite 130,Reston,VA,20152,13 million,330,34,IT Services,13014000
1237,Lynker Technologies,1/1/2007,202 Church Street Suite #202,Leesburg,VA,20175,12 million,330,152,Government Services,11980951
1238,Florida Premier Realty of the Palm Beaches,1/1/2011,7318 lake worth rd ,Lake Worth,FL,33467,3.4 million,330,170,Real Estate,3386873
1239,Gold Coast IT Solutions,1/1/2006,"12730 Fair Lakes Circle, Suite 102 Suite 102",Fairfax,VA,22033,7.2 million,330,140,IT Services,7231513
1240,Petticoat-Schmitt Civil Contractors,1/1/2007,6380 Phillips Hwy ,Jacksonville,FL,32216,54.4 million,329,173,Construction,54414800
1241,Nityo Infotech,1/1/2005,666 Plainsboro Road Suite 1285,Plainsboro,NJ,8536,114.9 million,329,7500,IT Services,114902216
1242,Allied Universal,1/1/1965,1551 N. Tustin Ave. Ste. 650,Santa Ana,CA,92705,3.4 billion,329,140000,Security,3431623000
1243,The Surface Masters,1/1/2011,1393 Cobb Industrial Way ,Marietta,GA,30066,3.1 million,329,12,Construction,3134489
1244,Noribachi,1/1/2008,1515 240th Street ,Harbor City,CA,90710,38.1 million,328,125,Manufacturing,38050000
1245,Yochana IT Solutions,1/1/2009,23000 Commerce Drive ,Farmington Hills,MI,48335,56.5 million,328,400,Human Resources,56530741
1246,5thColumn,1/1/2012,640 N. LaSale Suite 650,Chicago,IL,60654,2.9 million,328,35,Security,2930964
1247,Influence & Co.,1/1/2011,2005 W. Broadway Suite 210 ,Columbia,MO,65203,5.5 million,328,72,Advertising & Marketing,5462654
1248,PUNCH Cyber Analytics Group,1/1/2012,20319 Portsmouth Blvd ,Ashburn,VA,20147,3.2 million,328,15,Security,3200375
1249,Redeemers Group,1/1/2007,3351 Millbranch Road ,Memphis,TN,38116,4.7 million,327,31,Construction,4650876
1250,MP Consulting Services,1/1/2012,4213 Belmar Blvd ,Wall Township,NJ,7753,6.6 million,327,8,Construction,6606978
1251,MaxGen Energy Services,1/1/2008,1690 Scenic Avenue ,Costa Mesa,CA,62626,22.5 million,327,187,Energy,22467131
1252,Two Octobers,1/1/2010,1060 Bannock St. #200,Denver,CO,80204,2.3 million,327,24,Advertising & Marketing,2321923
1253,EXOS,1/1/1999,2629 E Rose Garden Lane ,Phoenix,AZ,85050,149.4 million,327,3176,Health,149394702
1254,Brown Button Estate Sale Services,1/1/2011,901 Woodswether RD ,Kansas City,MO,64105,2.2 million,326,18,Retail,2154658
1255,SCORE A SCORE,1/1/2010,8455 Beverly Blvd Ste 309,Los Angeles,CA,90048,2.8 million,326,4,Media,2792827
1256,Pacifica Consulting Services,1/1/2012,"2730, South St. Peters Pkwy. Suite 106 A",St. Peters,MO,63303,4.4 million,326,230,IT Services,4415396
1257,The Cobalt Companies,1/1/2002,1107 West Monroe St 1107 West Monroe St,Austin,TX,78704,2 million,325,2,Construction,2045384
1258,Regulated Capital Consultants,1/1/2010,"4355 Cobb Parkway, Suite J255 ",Atlanta,GA,30339,12 million,325,33,Business Products & Services,12013843
1259,Ultimate Jet Vacations,1/1/2012,2440 NE Miami Gardens Dr Suite 107,Aventura,FL,33180,22.5 million,325,21,Travel & Hospitality,22478586
1260,The Revel Group,1/1/2007,1402 North Western Avenue ,Chicago,IL,60622,24.9 million,325,300,Travel & Hospitality,24923062
1261,TopstepTrader,1/1/2012,130 S. Jefferson Suite 200,Chicago,IL,60660,5.1 million,324,28,Financial Services,5068475
1262,B&B Heating and Air,1/1/2007,77 Cedar Lane Suite 105,Trussville,AL,35173,2.5 million,324,17,Construction,2529785
1263,Progressive Freight,1/1/2003,211 Industrial Boulevard 211 Industrial Boulevard,Thomasville,GA,31799,9.2 million,324,11,Logistics & Transportation,9221452
1264,Alarm Grid,1/1/2012,4699 N Federal HWY Suite D,Lighthouse Point,FL,33064,2 million,324,8,Security,2018297
1265,Appraisal Nation,1/1/2007,500 Gregson Drive Suite 120 ,Cary,NC,27511,24.4 million,324,120,Real Estate,24357000
1266,Tunnel Hill Partners,1/1/2008,90 North Broadway Suite 220 ,Jericho,NY,11753,272.7 million,323,486,Environmental Services,272740000
1267,Mattingly Concrete,1/1/1987,10620 Bellefontaine Street ,Indianapolis,IN,46280,3.3 million,323,26,Construction,3344357
1268,AMC Bridge,1/1/1999,10 Lake Shore Dr.S. ,Randolph,NJ,7869,11.8 million,323,318,Software,11825266
1269,Y Charter,1/1/2012,3363 ne 163 st ste 507,North Miami Beach,FL,33160,2.5 million,322,7,Travel & Hospitality,2495499
1270,MAKO Design + Invent,1/1/1999,2501 East 9th Street ,Austin,TX,78702,2.1 million,322,21,Manufacturing,2101338
1271,Agilis Systems,1/1/2004,16305 Swingley Ridge Road Suite 100,St. Louis,MO,63017,19.2 million,322,82,Software,19201637
1272,Equity Prime Mortgage,1/1/2008,5 Concourse Pkwy Suite 2250,Atlanta,GA,30328,62.9 million,321,250,Financial Services,62865001
1273,World Wide Land Transfer,1/1/2005,8 Interplex Drive 117,Trevose,PA,19053,7.1 million,321,31,Real Estate,7080374
1274,Symphonic Distribution,1/1/2006,2318 Cypress Cove Unit 102,Wesley Chapel,FL,33544,5.4 million,321,20,Media,5402894
1275,Senture,1/1/2003,460 Industrial Blvd ,London,KY,40741,60.3 million,320,1339,Government Services,60261963
1276,Blackstone Medical Services,1/1/2010,550 N. Reo St. Suite 106,Tampa,FL,33609,3.1 million,320,35,Health,3133531
1277,SoftPath Technologies,1/1/2006,16801 Newburgh Rd Ste 112,Livonia,MI,48154,9.3 million,320,117,IT Services,9258309
1278,E3 Federal Solutions,1/1/2004,8281 Greensboro Drive Suite 400,McLean,VA,22102,77.4 million,319,426,Government Services,77407692
1279,Intero Real Estate Services,1/1/2012,10641 Church Street ,Rancho Cucamonga,CA,91730,18.4 million,319,69,Real Estate,18414547
1280,Rogers Healy and Associates,1/1/2007,"4925 Greenville Ave., #360 ",Dallas,TX,75206,9.5 million,319,303,Real Estate,9542783
1281,V Digital Services,1/1/2013,1201 E. Jefferson Street ,Phoenix,AZ,85034,8.5 million,319,47,Advertising & Marketing,8514711
1282,Cambay Consulting,1/1/2012,1838 Snake River Road Suite A ,Katy,TX,77449,7.9 million,318,155,IT Services,7888911
1283,Northwest Healthcare,1/1/1999,4317 NE Thurston Way Suite 220,Vancouver,WA,98662,5.4 million,318,140,Health,5357465
1284,CONSTRUCTION PROS OF NJ,1/1/2011,209 CHESNUT STREET ,Newark,NJ,7105,21.3 million,318,50,Construction,21306764
1285,vTech Solution,1/1/2006,1100 H Street NW Suite 450,Washington,DC,20005,7.2 million,318,67,Government Services,7160311
1286,Commodore Leasing,1/1/2011,P.O. Box 58924 ,Nashville,TN,37205,4.6 million,318,40,Retail,4579583
1287,Futureshirts,1/1/1996,3720 Keystone Ave ,Nashville,TN,37211,17.6 million,318,28,Consumer Products & Services,17567519
1288,VOX DJs,1/1/1984,500 S Sepulveda Blvd. Suite 211,Manhattan Beach,CA,90266,2.6 million,318,80,Business Products & Services,2631550
1289,Income Store,1/1/2009,212 Slalom Ct ,Minooka,IL,60447,13.9 million,317,88,IT Services,13892000
1290,CPC Strategy,1/1/2007,707 Broadway Ste 1900,San Diego,CA,92101,8.6 million,317,75,Advertising & Marketing,8648345
1291,Infoverity,1/1/2011,5131 Post Road Suite 220 5131 Post Road Suite 220,Dublin,OH,43017,12.3 million,317,54,IT Services,12299000
1292,Crossbar Electronic Cigarettes,1/1/2012,1555 S. Main St. ,London,KY,40741,2.2 million,317,2,Consumer Products & Services,2199898
1293,MedSource,1/1/1997,16902 El Camino Real 16902,Houston,TX,77058,28.6 million,317,125,Health,28584551
1294,Virool,1/1/2012,3043 Mission St ,San Francisco,CA,94110,12.2 million,317,55,Advertising & Marketing,12150719
1295,Movement Mortgage,1/1/2008,8024 Calvin Hall Road ,Fort Mill,SC,29707,579.9 million,316,4000,Financial Services,579925117
1296,Firespring,1/1/1992,1201 Infinity Court ,Lincoln,NE,68502,28.2 million,316,229,Business Products & Services,28170418
1297,ProviderTrust,1/1/2010,2300 Charlotte Ave. #104 2300 Charlotte Ave. #104,Nashville,TN,37203,6.4 million,316,48,Software,6425820
1298,AcctTwo,1/1/2010,1111 North Loop West Suite 250,Houston,TX,77008,8.9 million,315,50,Business Products & Services,8910807
1299,Launch Digital Marketing,1/1/2011,1864 High Grove Lane Suite 100,Naperville,IL,60540,20.9 million,315,124,Advertising & Marketing,20943666
1300,Choice Home Warranty,1/1/2008,1090 King Georges Post Road ,Edison,NJ,8837,112.5 million,315,250,Insurance,112474900
1301,Tailgate Guys,1/1/2009,PO Box 3885 ,Auburn,AL,36831,10.2 million,315,83,Travel & Hospitality,10206366
1302,BELAY,1/1/2010,PO Box 105603 #81527,Atlanta,GA,30028,11.7 million,314,68,Business Products & Services,11690917
1303,PeopleDoc,1/1/2008,535 8 avenue 18fl,New York City,NY,10018,9.5 million,314,165,Human Resources,9478000
1304,Rang Technologies,1/1/2005,15 Corporate Pl S Suite# 356,Piscataway,NJ,8854,11.2 million,314,150,IT Services,11163711
1305,LiveIntent,1/1/2009,100 Church Street 7th floor,New York City,NY,10007,85.3 million,314,205,Advertising & Marketing,85294000
1306,Midwest Restoration,1/1/2008,2230 BOHM DRIVE ,Little Chute,WI,54140,2 million,314,12,Construction,2036664
1307,Alcohol by Volume,1/1/2010,8940 Carmel Valley Road ,Carmel,CA,93923,18.6 million,313,17,Food & Beverage,18557418
1308,Eventellect,1/1/2005,3311 W. Alabama St. Suite 200 ,Houston,TX,77098,82.5 million,312,21,Retail,82494164
1309,Sports Addix,1/1/2006,13565 Grand River Avenue SE Suite A,Lowell,MI,49331,3.3 million,312,58,Consumer Products & Services,3293978
1310,The Bridge Group,1/1/1995,53 Point Drive ,Bumpass,VA,23024,4.1 million,311,16,Advertising & Marketing,4071257
1311,InfoTrust,1/1/2004,4340 Glendale-Milford Suite 200,Cincinnati,OH,45242,4.3 million,311,29,Advertising & Marketing,4262087
1312,Ad Exchange Group,1/1/2013,18400 Von Karman Ave Ste. 1000,Irvine,CA,92612,99.2 million,311,28,Advertising & Marketing,99227729
1313,Blue Ridge Product Solutions,1/1/2009,"1001 Boulders Parkway, Suite 560 ",Richmond,VA,23225,13.3 million,311,9,Retail,13321650
1314,Auto Data Direct,1/1/1999,1379 Cross Creek Cir ,Tallahassee,FL,32301,13.4 million,311,42,IT Services,13443381
1315,Enseo,1/1/2000,1680 Prospect Dr. Ste. 100,Richardson,TX,75081,44.1 million,310,91,Media,44136427
1316,BIG RED DOG,1/1/2009,2021 E. 5th Street Suite 200,Austin,TX,78702,13.4 million,310,105,Engineering,13405923
1317,FranchiseHelp,1/1/2010,159 Bleecker St Unit 2C,New York City,NY,10012,5.9 million,310,20,Business Products & Services,5902637
1318,Alliance Cost Containment,1/1/1992,10503 Timberwood Circle Suite 120,Louisville,KY,40223,5.5 million,310,26,Business Products & Services,5521117
1319,GovSmart,1/1/2009,706 Forest St. Suite C,Charlottesville,VA,22903,104.2 million,310,25,Computer Hardware,104194536
1320,Compton Construction,1/1/2012,2323 W 5th Ave 215,Columbus,OH,43204,10.5 million,309,17,Construction,10520094
1321,Auben Realty,1/1/2009,1918 Central Avenue ,Augusta,GA,30904,7.4 million,308,50,Real Estate,7448515
1322,Cognitive Medical Systems,1/1/2010,9444 Waples Street Ste. 300,San Diego,CA,92121,13.1 million,308,43,Health,13083620
1323,Inspira Marketing,1/1/2008,50 Washington Street Suite #1,Norwalk,CT,6854,64.1 million,308,77,Advertising & Marketing,64072381
1324,Devbridge Group,1/1/2008,343 W. Erie St. Suite 600,Chicago,IL,60654,17.1 million,308,216,Software,17100732
1325,Silverback Strategies,1/1/2007,625 N Washington St. STE 250,Alexandria,VA,22314,4.6 million,307,22,Advertising & Marketing,4646817
1326,Monte Sano Research,1/1/2009,600 Boulevard south Suite 104,Huntsville,AL,35802,9.7 million,307,60,Government Services,9723930
1327,IdentiCom Sign Solutions,1/1/2009,24657 Halsted Road ,Farmington Hills,MI,48335,2.9 million,307,17,Business Products & Services,2916621
1328,Maantic,1/1/2009,1202 Kifer Rd ,Sunnyvale,CA,94086,9.1 million,307,90,IT Services,9109065
1329,Nutronics,1/1/1995,1851 Lefthand Cir. STE G ,Longmont,CO,80501,10 million,306,20,Engineering,10001174
1330,Audience Partners,1/1/2007,630 W. Germantown Pike Suite 250,Plymouth Meeting,PA,19462,38 million,306,66,Advertising & Marketing,38001215
1331,Wright Brothers,1/1/2005,750 B St. Suite 2880,San Diego,CA,92101,4.3 million,306,7,Real Estate,4327043
1332,GuidePoint Security,1/1/2011,2201 Cooperative Way Suite 225,Herndon,VA,20171,158.6 million,306,196,Security,158575365
1333,INNOVATIVE REASONING,1/1/2009,12000 Research Parkway Suite 450,Orlando,FL,32826,22.8 million,305,175,Government Services,22780699
1334,DigitalGreenMedia,1/1/2009,32045 Castle Court #202,Evergreen,CO,80439,2 million,305,4,Energy,2011964
1335,Business Promotion,1/1/2008,752 East 1180 South Suite 100,American Fork,UT,84003,11 million,305,140,Advertising & Marketing,11049387
1336,Dynamis,1/1/2008,8260 Willow Oaks Corporate Drive Suite 800,Fairfax,VA,22031,24.3 million,305,143,Government Services,24252497
1337,BidMed,1/1/2012,1016 w jackson st ,Chicago,IL,60607,5.7 million,304,8,Health,5655446
1338,ClearCompany,1/1/2004,11 Beacon Street 13th Floor,Boston,MA,2108,8.3 million,304,78,Human Resources,8328440
1339,Home Base Appraisal Management,1/1/2009,867 East 9400 South ,Sandy,UT,84094,13.5 million,304,50,Real Estate,13490483
1340,Rocket 55,1/1/2008,807 Broadway Street NE Suite 170,Minneapolis,MN,55413,4.2 million,304,40,Advertising & Marketing,4200000
1341,"Ian, Evan & Alexander",1/1/1999,20098 Ashbrook Place Suite 260,Ashburn,VA,20147,44.7 million,303,233,Government Services,44705143
1342,RV Horizons,1/1/2010,2875 South Orange Avenue Suite 500 #4080,Orlando,FL,32806,76.3 million,303,700,Real Estate,76264000
1343,Budget Dumpster,1/1/2009,830 Canterbury Rd. ,Westlake,OH,44145,39.1 million,303,70,Environmental Services,39102214
1344,TechLink Services,1/1/2007,750 NW Charbonneau Dr. Suite 201,Bend,OR,97703,10.7 million,303,46,IT Services,10746265
1345,Hospicelink,1/1/2011,2625 2nd Ave N,Birmingham,AL,35203,56.4 million,303,37,Health,56443598
1346,Workbox Staffing,1/1/1997,1350 Scribner Ave NW ,Grand Rapids,MI,49504,48.4 million,303,78,Human Resources,48426174
1347,NewFoundry,1/1/2012,1950 Manchester Rd ,Ann Arbor,MI,48104,2.2 million,303,21,Software,2224000
1348,Shopoff Realty Investments,1/1/1992,2 Park Plaza Suite 700,Irvine,CA,92614,16.2 million,303,71,Real Estate,16191307
1349,Brent Industries,1/1/2005,9952 Mountain rd ,Middleport,NY,14105,17.6 million,303,21,Consumer Products & Services,17642679
1350,Criterion Systems,1/1/2005,8330 Boone Blvd. Suite 400,Vienna,VA,22182,48.6 million,302,233,Government Services,48584456
1351,MavTel Global Solutions,1/1/2013,500 N. Akard St Suite 2020,Dallas,TX,75201,1.7 million,302,16,Manufacturing,1693061
1352,Simpli.fi,1/1/2010,1407 Texas Street ,Fort Worth,TX,76102,79.9 million,301,186,Advertising & Marketing,79941372
1353,Cookie Cutters Haircuts For Kids,1/1/1994,3115 E. Lion Lane Suite 160,Holladay,UT,84121,2.2 million,301,240,Retail,2213494
1354,Global Food Solutions,1/1/2004,159 Adams Avenue ,Hauppauge,NY,11788,14.6 million,301,8,Food & Beverage,14598198
1355,Light Efficient Design,1/1/2008,188 NW Highway ,Cary,IL,60013,37.4 million,301,28,Manufacturing,37367394
1356,spa810,1/1/2013,7950 E. REDFIELD RD. STE: 280 ,Scottsdale,AZ,85260,2.4 million,300,32,Consumer Products & Services,2395149
1357,Cross Renovation,1/1/2009,34133 Schoolcraft ,Livonia,MI,48150,6.2 million,300,50,Construction,6215290
1358,Elite Pacific Properties,1/1/2005,4211 Waialae Ave. Suite 106,Honolulu,HI,96816,22.3 million,300,18,Real Estate,22330557
1359,CATMEDIA,1/1/1997,3776 LaVista Road Suite 200,Tucker,GA,30084,20.2 million,300,24,Government Services,20199716
1360,RENOVO Solutions,1/1/2009,"4 Executive Circle, Suite 185 ",Irvine,CA,92614,67.6 million,300,275,Health,67631000
1361,Vintech Solutions,1/1/2010,9715 OLIVE BLVD FL 2 ,Saint Louis,MO,63132,11.7 million,300,162,IT Services,11684185
1362,Tamarack Consulting,1/1/2001,411 Washington Ave N Suite 215,Minneapolis,MN,55401,2.6 million,299,18,Software,2633023
1363,Clutch Holdings,1/1/2012,"201 S Maple Way, Suite 250 ",Ambler,PA,19002,7.2 million,299,64,Advertising & Marketing,7229685
1364,High Wire Networks,1/1/2001,30 N. Lincoln St. Suite G,Batavia,IL,60510,11 million,298,55,Business Products & Services,11049000
1365,Distillery,1/1/2012,1848 Lincoln Blvd Suite 100,Santa Monica,CA,90404,5 million,298,100,Software,4974474
1366,Amati Auto Group,1/1/2009,PO Box 842 ,Manchester,NH,3105,6.7 million,298,16,Retail,6710462
1367,Honolulu Roofing Company,1/1/2002,94-260 Pupuole Street ,Waipahu,HI,96797,8.4 million,298,30,Construction,8414309
1368,The Cutting Board Company,1/1/2012,2578 Old Rockbridge Rd. ,Norcross,GA,30071,2.2 million,298,5,Consumer Products & Services,2195625
1369,Future Force,1/1/2000,11515 Punta Dulcina ,San Diego,CA,92131,4.4 million,297,1,Business Products & Services,4352803
1370,Money Tree Lead Systems,1/1/2013,2633 W College Rd ,Springfield,MO,65802,2.2 million,297,15,Software,2225237
1371,The Vested Group,1/1/2011,1021 East 15 St. ,Plano,TX,75074,4 million,297,25,IT Services,3993171
1372,GreenBanana SEO,1/1/2009,50 Dunham Road Suite 4000,Beverly,MA,1915,4.2 million,297,18,Advertising & Marketing,4177800
1373,PharmaPoint,1/1/2010,2 Perimeter Park South Suite 300E,Birmingham,AL,35243,29 million,297,50,Health,29000867
1374,P.L.A.Y. Pet Lifestyle And You,1/1/2011,246 2nd Street Unit A 246 2nd Street Unit A,San Francisco,CA,94105,2.5 million,297,7,Consumer Products & Services,2514221
1375,San Francisco Salt Company,1/1/2002,30984 Santana Street ,Hayward,CA,94544,13.9 million,297,33,Consumer Products & Services,13908102
1376,Vee Technologies,1/1/2004,90 Park Avenue Suite 1700,New York City,NY,10016,17.4 million,297,16,Business Products & Services,17431997
1377,Industrial Security Integrators,1/1/2010,516 Herndon Pkwy Suite D,Herndon,VA,20170,2.6 million,297,24,Government Services,2617734
1378,Madwire,1/1/2009,"3420 E. Harmony Rd. Building 5, 3rd Floor",Fort Collins,CO,80528,52.8 million,296,315,Advertising & Marketing,52824140
1379,ETA Transit Systems,1/1/2003,7700 Congress Avenue Suite 3212,Boca Raton,FL,38487,3.2 million,296,25,Software,3200000
1380,Monster Technology,1/1/2012,"15342 Hawthorne Blvd, Suite 306 15342 Hawthorne Blvd, Suite 306",Lawndale,CA,90260,4 million,296,17,IT Services,3962520
1381,Premier Private Jets,1/1/2003,2384 SE Liberator Lane Ste 103 ,Stuart,FL,34996,4.5 million,296,15,Logistics & Transportation,4493283
1382,ClearObject,1/1/2010,8626 E 116th Street Suite 300,Fishers,IN,46038,15.3 million,295,55,IT Services,15292190
1383,"Zarbees, Naturals",1/1/2008,11650 S. State St. Ste. #101,Draper,UT,84020,55.9 million,295,27,Health,55871749
1384,Mayvin,1/1/2008,4312 Evergreen Lane Suite D,Annandale,VA,22003,15.5 million,295,100,Government Services,15493000
1385,C3 Group,1/1/2012,8400 E Crescent Pkwy Suite 630,Greenwood Village,CO,80111,3.2 million,294,12,Insurance,3194044
1386,BEYOND20,1/1/2006,60 E Rio Salado Parkway Suite 900,Tempe,AZ,85281,4.8 million,294,18,IT Services,4803386
1387,Great Lakes Caring,1/1/1994,900 Cooper Street ,Jackson,MI,49202,513.4 million,294,2390,Health,513440487
1388,CFO Alliance,1/1/2008,1408 N Westshore Blvd. # 801,Tampa,FL,33607,2 million,293,12,Business Products & Services,2039000
1389,SupplyCore,1/1/1987,303 North Main Street Suite 800,Rockford,IL,61101,289.9 million,293,207,Government Services,289939985
1390,Complete Data Products,1/1/1986,5755 New King Drive ,Troy,MI,48098,2.5 million,293,11,IT Services,2510100
1391,Appalachian Antique Hardwoods,1/1/1995,635 Sonoma Rd ,Waynesville,NC,28786,5.1 million,293,33,Manufacturing,5101397
1392,Legal Shred,1/1/2007,11806 S US Hwy 41 ,Gibsonton,FL,33534,2.3 million,293,25,Business Products & Services,2293816
1393,Nationwide IT Services,1/1/2006,4600E Pinecrest Office Park Drive ,Alexandria,VA,22312,9.3 million,292,81,IT Services,9296000
1394,LG Fairmont,1/1/2010,225 Broadway Suite 2140,New York City,NY,10007,5.7 million,292,200,Real Estate,5652567
1395,SHOP MELEE,1/1/2012,16W231 S. Frontage Road Suite 10 16W231 S. Frontage Road Suite 10,Willowbrook,IL,60527,2.7 million,292,35,Consumer Products & Services,2703066
1396,Personal Comfort,1/1/2012,3601 Vineland Road Suite 5,Orlando,FL,32811,12.9 million,292,12,Retail,12946744
1397,OAG GLOBAL,1/1/2011,7110 N. Fresno St. Suite 120,Fresno,CA,93720,18.9 million,292,12,Food & Beverage,18894950
1398,Firstmile,1/1/2011,2080 Industrial Road Suite C,Salt Lake City,UT,84104,53 million,291,110,Logistics & Transportation,52997773
1399,Trinity Solar,1/1/1994,2211 Allenwood Road ,Wall,NJ,7719,221.2 million,291,1247,Energy,221242302
1400,SchoolStatus,1/1/2012,6222 US Hwy 98 Suite 300,Hattiesburg,MS,39402,2.5 million,291,25,Education,2500000
1401,FATHOM Water Management,1/1/2009,21410 N 19th Avenue Suite 201,Phoenix,AZ,85027,25.9 million,291,131,Software,25894278
1402,Bourbon and Boweties,1/1/2013,122 Linsley Ave ,Brandon,FL,33511,3.3 million,290,7,Consumer Products & Services,3335529
1403,Contracting Resources Group,1/1/2002,1133 Light St 1133,Baltimore,MD,21230,7.5 million,290,32,Government Services,7543523
1404,Macs LTC Pharmacy Solutions,1/1/2012,643 Edgemoor Road Suite B,Powell,TN,37849,3.1 million,290,15,Health,3108389
1405,CVP (Customer Value Partners),1/1/2003,3701 Pender Drive ,Fairfax,VA,22030,41.9 million,290,172,Business Products & Services,41882201
1406,ClickDimensions,1/1/2010,5901 Peachtree Dunwoody Road Suite B500,Atlanta,GA,30328,22.7 million,290,155,Software,22729943
1407,Hatch Realty,1/1/2012,4215 31st Ave S Suite A,Fargo,ND,58104,4.2 million,289,38,Real Estate,4232002
