School,School_URL,District,District_URL,Address,City,City_URL,Zip,County,Phone,Is_Title_I,Is_Charter,Is_Magnet,Is_Virtual,Number_Students,Number_Full-time_Teachers,Student/Teacher_Ratio,Percent_Free/Disc_Lunch,Percent_African_American,Percent_American_Indian,Percent_Asian,Percent_Hispanic,Percent_Pacific_Islander,Percent_Two_or_More_Races,Percent_White,Standard_Score
Liberty High School,https://www.schooldigger.com/go/WA/schools/0438000693/school.aspx,Liberty School District,https://www.schooldigger.com/go/WA/district/04380/search.aspx,6404 E Spangle-Waverly Rd,Spangle,https://www.schooldigger.com/go/WA/city/Spangle/search.aspx,99031,Spokane County,(509) 245-3229,No,No,No,No,185,10.8,17,30.8,1.6,0,1.6,6.5,0,3.2,87,76.2
Cedarcrest High School,https://www.schooldigger.com/go/WA/schools/0456000716/school.aspx,Riverview School District,https://www.schooldigger.com/go/WA/district/04560/search.aspx,29000 NE 150th St,Duvall,https://www.schooldigger.com/go/WA/city/Duvall/search.aspx,98019,King County,(425) 844-4800,No,No,No,No,947,46.1,20.5,10.9,0.8,0.2,3.2,13.6,0.2,5.3,76.1,76.1
Coupeville High School,https://www.schooldigger.com/go/WA/schools/0180000290/school.aspx,Coupeville School District,https://www.schooldigger.com/go/WA/district/01800/search.aspx,501 South Main Street,Coupeville,https://www.schooldigger.com/go/WA/city/Coupeville/search.aspx,98239,Island County,(360) 678-2413,No,No,No,No,285,15.9,17.9,25.6,0.7,0,1.8,12.3,0.4,13.7,71.2,76
Mead Senior High School,https://www.schooldigger.com/go/WA/schools/0492000749/school.aspx,Mead School District,https://www.schooldigger.com/go/WA/district/04920/search.aspx,302 W Hastings Rd,Spokane,https://www.schooldigger.com/go/WA/city/Spokane/search.aspx,99218,Spokane County,(509) 465-7000,No,No,No,No,1747,81.8,21.3,17,1.3,0.5,1.3,7.9,0.2,10.1,78.6,75.9
General William H. Harrison Preparatory School,https://www.schooldigger.com/go/WA/schools/0141003000/school.aspx,Clover Park School District,https://www.schooldigger.com/go/WA/district/01410/search.aspx,9103 Lakewood Dr SW,Lakewood,https://www.schooldigger.com/go/WA/city/Lakewood/search.aspx,98499,Pierce County,(253) 583-5418,No,No,No,No,741,39.9,18.5,60.5,7,0.1,5.9,43.6,1.8,12.7,28.9,75.5
Middle College High School,https://www.schooldigger.com/go/WA/schools/0771002349/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,401 NE Northgate Way,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98125,King County,(206) 366-7940,No,No,No,No,84,12.3,6.8,38.1,27.4,1.2,14.3,7.1,1.2,10.7,36.9,75.3
Gig Harbor High,https://www.schooldigger.com/go/WA/schools/0669001793/school.aspx,Peninsula School District,https://www.schooldigger.com/go/WA/district/06690/search.aspx,5101 Rosedale St NW,Gig Harbor,https://www.schooldigger.com/go/WA/city/Gig+Harbor/search.aspx,98335,Pierce County,(253) 530-1400,No,No,No,No,1478,61.5,23.9,11.5,0.6,0.2,2,9.2,0.1,10.4,77.4,75.2
Davenport Senior High School,https://www.schooldigger.com/go/WA/schools/0201000303/school.aspx,Davenport School District,https://www.schooldigger.com/go/WA/district/02010/search.aspx,801 7th Street,Davenport,https://www.schooldigger.com/go/WA/city/Davenport/search.aspx,99122,Lincoln County,(509) 725-4021,Yes,No,No,No,297,18,16.4,42.1,0,3,0.7,3.4,0.3,5.7,86.9,75.1
Mossyrock Junior/Senior High School,https://www.schooldigger.com/go/WA/schools/0525000796/school.aspx,Mossyrock School District,https://www.schooldigger.com/go/WA/district/05250/search.aspx,295 Williams St,Mossyrock,https://www.schooldigger.com/go/WA/city/Mossyrock/search.aspx,98564,Lewis County,(360) 983-3183,No,No,No,No,243,15.6,15.5,53.9,0.4,1.2,0.4,30.5,1.2,1.2,64.6,74.9
La Center High School,https://www.schooldigger.com/go/WA/schools/0417001049/school.aspx,La Center School District,https://www.schooldigger.com/go/WA/district/04170/search.aspx,725 Highland Road,La Center,https://www.schooldigger.com/go/WA/city/La+Center/search.aspx,98629,Clark County,(360) 263-1700,No,No,No,No,501,25.2,19.8,20,0.6,1,0.8,7.8,0,3.8,86,74.7
Mount Si High School,https://www.schooldigger.com/go/WA/schools/0804001330/school.aspx,Snoqualmie Valley School District,https://www.schooldigger.com/go/WA/district/08040/search.aspx,8651 Meadowbrook Way SE,Snoqualmie,https://www.schooldigger.com/go/WA/city/Snoqualmie/search.aspx,98065,King County,(425) 831-8100,No,No,No,No,2061,90.2,22.8,9.5,0.9,0.3,6.9,8.3,0.3,5.1,78.1,74.2
Colville Senior High School,https://www.schooldigger.com/go/WA/schools/0163000282/school.aspx,Colville School District,https://www.schooldigger.com/go/WA/district/01630/search.aspx,154 Highway 20 E,Colville,https://www.schooldigger.com/go/WA/city/Colville/search.aspx,99114,Stevens County,(509) 684-7800,No,No,No,No,507,25,20.2,42.2,0.2,1.2,0.2,4.7,0,6.5,87,73.5
Friday Harbor High School,https://www.schooldigger.com/go/WA/schools/0765001125/school.aspx,San Juan Island School District,https://www.schooldigger.com/go/WA/district/07650/search.aspx,45 Blair Street,Friday Harbor,https://www.schooldigger.com/go/WA/city/Friday+Harbor/search.aspx,98250,San Juan County,(360) 378-5215,No,No,No,No,236,13.6,17.3,33.1,0.4,0.4,2.1,21.2,0,5.1,70.3,73.5
Meridian High School,https://www.schooldigger.com/go/WA/schools/0501000768/school.aspx,Meridian School District,https://www.schooldigger.com/go/WA/district/05010/search.aspx,194 W Laurel Road,Bellingham,https://www.schooldigger.com/go/WA/city/Bellingham/search.aspx,98226,Whatcom County,(360) 398-8111,No,No,No,No,457,22.6,20.2,34.8,0.7,0.9,8.1,23.9,0,5.5,61.1,73
Rainier Senior High School,https://www.schooldigger.com/go/WA/schools/0711001058/school.aspx,Rainier School District,https://www.schooldigger.com/go/WA/district/07110/search.aspx,308 2nd St W,Rainier,https://www.schooldigger.com/go/WA/city/Rainier/search.aspx,98576,Thurston County,(360) 446-2205,No,No,No,No,242,13.4,18,44.6,0.4,0,0.8,12.4,0.4,11.2,74.8,72.9
Mt Spokane High School,https://www.schooldigger.com/go/WA/schools/0492002599/school.aspx,Mead School District,https://www.schooldigger.com/go/WA/district/04920/search.aspx,6015 E Mt. Spokane Park Dr,Mead,https://www.schooldigger.com/go/WA/city/Mead/search.aspx,99021,Spokane County,(509) 465-7200,No,No,No,No,1611,76.3,21.1,19.8,1.1,0.2,1.5,6,3,7.2,80.8,72.8
Liberty Bell Junior Senior High,https://www.schooldigger.com/go/WA/schools/0502000770/school.aspx,Methow Valley School District,https://www.schooldigger.com/go/WA/district/05020/search.aspx,24 Twin Lakes Rd.,Winthrop,https://www.schooldigger.com/go/WA/city/Winthrop/search.aspx,98862,Okanogan County,(509) 996-2215,No,No,No,No,269,18.2,14.7,29.7,0.7,0,0.4,8.2,0,5.2,85.5,72.6
Columbia High And Elementary,https://www.schooldigger.com/go/WA/schools/0156000278/school.aspx,Columbia (Stevens) School District,https://www.schooldigger.com/go/WA/district/01560/search.aspx,4961B Hunters Shop Road,Hunters,https://www.schooldigger.com/go/WA/city/Hunters/search.aspx,99137,Stevens County,(509) 722-3311,Yes,No,No,No,103,12.5,8.2,62.1,1,31.1,1.9,14.6,0,7.8,43.7,72.6
Ritzville High School,https://www.schooldigger.com/go/WA/schools/0738001111/school.aspx,Ritzville School District,https://www.schooldigger.com/go/WA/district/07380/search.aspx,209 E Wellsandt Avenue,Ritzville,https://www.schooldigger.com/go/WA/city/Ritzville/search.aspx,99169,Adams County,(509) 659-1720,No,No,No,No,98,9.6,10.2,42.9,0,3.1,1,7.1,1,1,86.7,72.5
Steilacoom High,https://www.schooldigger.com/go/WA/schools/0846001807/school.aspx,Steilacoom Hist. School District,https://www.schooldigger.com/go/WA/district/08460/search.aspx,54 Sentinel Drive,Steilacoom,https://www.schooldigger.com/go/WA/city/Steilacoom/search.aspx,98388,Pierce County,(253) 983-2300,No,No,No,No,963,44.2,21.7,20.5,7,0.4,9,16.2,1.9,15.8,49.7,72.2
North Kitsap High School,https://www.schooldigger.com/go/WA/schools/0576000852/school.aspx,North Kitsap School District,https://www.schooldigger.com/go/WA/district/05760/search.aspx,1780 NE Hostmark St,Poulsbo,https://www.schooldigger.com/go/WA/city/Poulsbo/search.aspx,98370,Kitsap County,(360) 396-3100,No,No,No,No,975,39.5,24.6,22.3,1.5,0.7,4.5,15.7,0.6,10.6,66.3,72.1
Tahoma Senior High School,https://www.schooldigger.com/go/WA/schools/0876001519/school.aspx,Tahoma School District,https://www.schooldigger.com/go/WA/district/08760/search.aspx,23499 SE Tahoma Way,Maple Valley,https://www.schooldigger.com/go/WA/city/Maple+Valley/search.aspx,98038,King County,(425) 413-6200,No,No,No,No,2732,116.1,23.5,12.6,2.1,0.6,6,11.2,0.5,10.1,69.4,72.1
Medical Lake High School,https://www.schooldigger.com/go/WA/schools/0495000755/school.aspx,Medical Lake School District,https://www.schooldigger.com/go/WA/district/04950/search.aspx,200 E. Barker St.,Medical Lake,https://www.schooldigger.com/go/WA/city/Medical+Lake/search.aspx,99022,Spokane County,(509) 565-3200,No,No,No,No,517,28.1,18.3,32.1,2.3,0.2,1.2,7.4,0.6,8.5,79.9,71.5
Adna Middle/High School,https://www.schooldigger.com/go/WA/schools/0006000013/school.aspx,Adna School District,https://www.schooldigger.com/go/WA/district/00060/search.aspx,121 Adna School Rd.,Chehalis,https://www.schooldigger.com/go/WA/city/Chehalis/search.aspx,98532,Lewis County,(360) 748-8552,Yes,No,No,No,372,21.2,17.5,28.8,1.1,1.1,1.1,8.6,0,1.9,86.3,71.3
Hanford High School,https://www.schooldigger.com/go/WA/schools/0732001095/school.aspx,Richland School District,https://www.schooldigger.com/go/WA/district/07320/search.aspx,450 Hanford Street,Richland,https://www.schooldigger.com/go/WA/city/Richland/search.aspx,99352,Benton County,(509) 967-6500,No,No,No,No,1993,85.9,23.2,3.8,1.4,0.8,5,19.5,0.1,3.9,69.4,71.2
Lakeside High School,https://www.schooldigger.com/go/WA/schools/0564002321/school.aspx,Nine Mile Falls School District,https://www.schooldigger.com/go/WA/district/05640/search.aspx,5909 Hwy 291,Nine Mile Falls,https://www.schooldigger.com/go/WA/city/Nine+Mile+Falls/search.aspx,99026,Stevens County,(509) 340-4200,No,No,No,No,484,26.4,18.2,22.7,1.2,1.2,0.4,6,0.8,4.8,85.5,70.7
Industrial Design Engineering and Art,https://www.schooldigger.com/go/WA/schools/0870003575/school.aspx,Tacoma School District,https://www.schooldigger.com/go/WA/district/08700/search.aspx,6701 S Park Ave,Tacoma,https://www.schooldigger.com/go/WA/city/Tacoma/search.aspx,98444,Pierce County,(253) 571-7906,No,No,Yes,No,388,18.3,21.1,38.7,8,0.3,4.4,13.7,0.5,11.3,60.1,70.2
Mountlake Terrace High School,https://www.schooldigger.com/go/WA/schools/0240000356/school.aspx,Edmonds School District,https://www.schooldigger.com/go/WA/district/02400/search.aspx,21801 44th Ave W,Mountlake Terrace,https://www.schooldigger.com/go/WA/city/Mountlake+Terrace/search.aspx,98043,Snohomish County,(425) 431-7776,No,No,No,No,1448,63.6,22.7,27.3,5.6,0.6,13.3,17.5,0.9,10.7,51.2,69.9
Cashmere High School,https://www.schooldigger.com/go/WA/schools/0096000168/school.aspx,Cashmere School District,https://www.schooldigger.com/go/WA/district/00960/search.aspx,329 Tigner Road,Cashmere,https://www.schooldigger.com/go/WA/city/Cashmere/search.aspx,98815,Chelan County,(509) 782-2914,Yes,No,No,No,486,26.9,18,38.9,0.4,0.6,0.4,40.7,0.2,3.9,53.5,69.7
Rosalia Elementary & Secondary School,https://www.schooldigger.com/go/WA/schools/0756002422/school.aspx,Rosalia School District,https://www.schooldigger.com/go/WA/district/07560/search.aspx,916 South Josephine,Rosalia,https://www.schooldigger.com/go/WA/city/Rosalia/search.aspx,99170,Whitman County,(509) 523-3061,Yes,No,No,No,184,15.9,11.5,63,0,0.5,0.5,3.8,0,4.3,90.8,69.7
Orcas Island High School,https://www.schooldigger.com/go/WA/schools/0630000945/school.aspx,Orcas Island School District,https://www.schooldigger.com/go/WA/district/06300/search.aspx,715 School Rd,Eastsound,https://www.schooldigger.com/go/WA/city/Eastsound/search.aspx,98245,San Juan County,(360) 376-2287,No,No,No,No,130,10.7,12.1,45.4,0,0.8,3.1,13.8,0.8,8.5,73.1,69.5
Garfield High School,https://www.schooldigger.com/go/WA/schools/0771001171/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,400 23 Ave,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98122,King County,(206) 252-2270,No,No,No,No,1729,72.8,23.7,30.2,24.5,0.3,14.5,8.1,0.4,10.6,41.1,69.1
Port Angeles High School,https://www.schooldigger.com/go/WA/schools/0682001002/school.aspx,Port Angeles School District,https://www.schooldigger.com/go/WA/district/06820/search.aspx,304 E Park Ave,Port Angeles,https://www.schooldigger.com/go/WA/city/Port+Angeles/search.aspx,98362,Clallam County,(360) 452-7602,No,No,No,No,868,50.1,17.3,41.8,0.9,3.8,2.8,9.9,0.2,10.5,71.8,69.1
Bonney Lake High School,https://www.schooldigger.com/go/WA/schools/0861002998/school.aspx,Sumner School District,https://www.schooldigger.com/go/WA/district/08610/search.aspx,10920 199th Ave Ct E,Bonney Lake,https://www.schooldigger.com/go/WA/city/Bonney+Lake/search.aspx,98391,Pierce County,(253) 891-5700,No,No,No,No,1486,69.4,21.4,26.8,1.3,0.8,2.4,14.9,0.6,9.8,70.3,69
Pe Ell School,https://www.schooldigger.com/go/WA/schools/0666000977/school.aspx,Pe Ell School District,https://www.schooldigger.com/go/WA/district/06660/search.aspx,519 N. 2nd Street,Pe Ell,https://www.schooldigger.com/go/WA/city/Pe+Ell/search.aspx,98572,Lewis County,(360) 291-3244,Yes,No,No,No,265,21,12.6,55.8,0,1.9,0.4,4.9,0,7.2,85.7,68
Waterville High School,https://www.schooldigger.com/go/WA/schools/0960001628/school.aspx,Waterville School District,https://www.schooldigger.com/go/WA/district/09600/search.aspx,200 E BIRCH St.,Waterville,https://www.schooldigger.com/go/WA/city/Waterville/search.aspx,98858,Douglas County,(509) 745-8583,Yes,No,No,No,134,11.6,11.4,48.5,0,1.5,1.5,32.8,0,3,60.4,67.6
Lake Stevens Senior High School,https://www.schooldigger.com/go/WA/schools/0420000653/school.aspx,Lake Stevens School District,https://www.schooldigger.com/go/WA/district/04200/search.aspx,2908 113th Ave NE,Lake Stevens,https://www.schooldigger.com/go/WA/city/Lake+Stevens/search.aspx,98258,Snohomish County,(425) 335-1515,No,No,No,No,2034,85,23.9,22.2,1.9,0.2,5.3,14.9,0.7,8.6,68.4,67.6
PI Program,https://www.schooldigger.com/go/WA/schools/0129002630/school.aspx,Chimacum School District,https://www.schooldigger.com/go/WA/district/01290/search.aspx,91 West Valley Rd,Chimacum,https://www.schooldigger.com/go/WA/city/Chimacum/search.aspx,98325,Jefferson County,(360) 302-5855,No,No,No,No,69,2.4,28.6,36.2,1.4,1.4,0,8.7,0,14.5,73.9,67.5
Sammamish Senior High,https://www.schooldigger.com/go/WA/schools/0039000085/school.aspx,Bellevue School District,https://www.schooldigger.com/go/WA/district/00390/search.aspx,100  140th Avenue SE,Bellevue,https://www.schooldigger.com/go/WA/city/Bellevue/search.aspx,98005,King County,(425) 456-7600,No,No,No,No,1246,63,19.7,31.3,4.9,0.3,20.5,22.6,0.5,9,42,67.2
Nooksack Valley High School,https://www.schooldigger.com/go/WA/schools/0567000839/school.aspx,Nooksack Valley School District,https://www.schooldigger.com/go/WA/district/05670/search.aspx,3326 East Badger Road,Everson,https://www.schooldigger.com/go/WA/city/Everson/search.aspx,98247,Whatcom County,(360) 966-0106,No,No,No,No,475,25.9,18.3,52.4,0.2,2.5,1.3,36,0.4,3.6,56,66.8
Kentwood High School,https://www.schooldigger.com/go/WA/schools/0396001840/school.aspx,Kent School District,https://www.schooldigger.com/go/WA/district/03960/search.aspx,25800 164th Ave SE,Covington,https://www.schooldigger.com/go/WA/city/Covington/search.aspx,98042,King County,(253) 373-7680,No,No,No,No,1840,76.9,23.9,40.8,9.9,0.2,24.6,18.8,2.2,9.1,35.3,66.4
Tumwater High School,https://www.schooldigger.com/go/WA/schools/0910001544/school.aspx,Tumwater School District,https://www.schooldigger.com/go/WA/district/09100/search.aspx,700 Israel Road,Tumwater,https://www.schooldigger.com/go/WA/city/Tumwater/search.aspx,98501,Thurston County,(360) 709-7600,No,No,No,No,1094,54.6,20,25,2,0.6,2,13.4,0.4,9.4,72.1,65.9
Lewis and Clark High School,https://www.schooldigger.com/go/WA/schools/0927001579/school.aspx,Vancouver School District,https://www.schooldigger.com/go/WA/district/09270/search.aspx,2901 General Anderson Ave,Vancouver,https://www.schooldigger.com/go/WA/city/Vancouver/search.aspx,98661,Clark County,(360) 313-4350,No,No,No,No,77,8.1,9.4,37.7,2.6,1.3,0,15.6,0,15.6,64.9,65.9
Blaine High School,https://www.schooldigger.com/go/WA/schools/0057000132/school.aspx,Blaine School District,https://www.schooldigger.com/go/WA/district/00570/search.aspx,1055 H Street,Blaine,https://www.schooldigger.com/go/WA/city/Blaine/search.aspx,98230,Whatcom County,(360) 332-6045,No,No,No,No,637,35.7,17.8,45.4,2,1.7,4.4,14.9,0.9,7.4,68.6,65.7
South Kitsap High School,https://www.schooldigger.com/go/WA/schools/0816001357/school.aspx,South Kitsap School District,https://www.schooldigger.com/go/WA/district/08160/search.aspx,425 Mitchell Ave,Port Orchard,https://www.schooldigger.com/go/WA/city/Port+Orchard/search.aspx,98366,Kitsap County,(360) 874-5600,No,No,No,No,2474,125.1,19.7,33.3,1.8,0.9,3.7,11.5,2.1,11.8,68.1,65.6
West Seattle High School,https://www.schooldigger.com/go/WA/schools/0771001262/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,3000 California Av SW,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98116,King County,(206) 252-8800,No,No,No,No,1139,54.6,20.8,16.4,6.6,0.6,7.1,10.7,0.3,11.7,62.9,65.4
Hockinson High School,https://www.schooldigger.com/go/WA/schools/0357002938/school.aspx,Hockinson School District,https://www.schooldigger.com/go/WA/district/03570/search.aspx,16819 NE 159 St,Brush Prairie,https://www.schooldigger.com/go/WA/city/Brush+Prairie/search.aspx,98606,Clark County,(360) 448-6450,No,No,No,No,660,29.2,22.5,16.1,1.1,0.5,3,5,0.2,3,87.3,65.4
Timberline High School,https://www.schooldigger.com/go/WA/schools/0585000872/school.aspx,North Thurston Public Schools,https://www.schooldigger.com/go/WA/district/05850/search.aspx,6120 Mullen Rd SE,Lacey,https://www.schooldigger.com/go/WA/city/Lacey/search.aspx,98503,Thurston County,(360) 412-4860,No,No,No,No,1437,61,23.5,37.2,6.4,0.4,6.8,18.5,3.4,13.6,50.7,65.3
Manson High School,https://www.schooldigger.com/go/WA/schools/0474000728/school.aspx,Manson School District,https://www.schooldigger.com/go/WA/district/04740/search.aspx,1000 Totem Pole Rd,Manson,https://www.schooldigger.com/go/WA/city/Manson/search.aspx,98831,Chelan County,(509) 687-9585,Yes,No,No,No,216,11.6,18.4,63.9,0.5,1.4,0,57.4,0,1.4,39.4,64.7
Ellensburg High School,https://www.schooldigger.com/go/WA/schools/0246000365/school.aspx,Ellensburg School District,https://www.schooldigger.com/go/WA/district/02460/search.aspx,1203 E Capitol,Ellensburg,https://www.schooldigger.com/go/WA/city/Ellensburg/search.aspx,98926,Kittitas County,(509) 925-8300,No,No,No,No,932,49.9,18.6,38.6,0.9,0.8,2.1,18.6,0,2.8,74.6,64.5
Deer Park High School,https://www.schooldigger.com/go/WA/schools/0207001759/school.aspx,Deer Park School District,https://www.schooldigger.com/go/WA/district/02070/search.aspx,S. 800 Weber Road,Deer Park,https://www.schooldigger.com/go/WA/city/Deer+Park/search.aspx,99006,Spokane County,(509) 464-5900,No,No,No,No,669,34.8,19.2,47.5,1.3,2.4,1.3,5.4,0.1,0.3,89.1,64.4
Chimacum Junior/Senior High School,https://www.schooldigger.com/go/WA/schools/0129000233/school.aspx,Chimacum School District,https://www.schooldigger.com/go/WA/district/01290/search.aspx,91 West Valley Rd,Chimacum,https://www.schooldigger.com/go/WA/city/Chimacum/search.aspx,98325,Jefferson County,(360) 302-5900,No,No,No,No,303,14,21.5,47.9,0.3,0.7,1.7,7.3,0.3,11.6,77.9,64.3
Kettle Falls High School,https://www.schooldigger.com/go/WA/schools/0399001967/school.aspx,Kettle Falls School District,https://www.schooldigger.com/go/WA/district/03990/search.aspx,1275 Juniper St,Kettle Falls,https://www.schooldigger.com/go/WA/city/Kettle+Falls/search.aspx,99141,Stevens County,(509) 738-6388,No,No,No,No,258,12.3,20.9,53.9,0.4,3.1,0.4,6.6,0,7.8,81.4,64
Columbia High School,https://www.schooldigger.com/go/WA/schools/0981001664/school.aspx,White Salmon Valley School District,https://www.schooldigger.com/go/WA/district/09810/search.aspx,1455 NW Bruin Country Rd,White Salmon,https://www.schooldigger.com/go/WA/city/White+Salmon/search.aspx,98672,Klickitat County,(509) 493-1970,No,No,No,No,330,19.2,17.1,38.5,0,0.9,0.3,34.8,0,2.7,61.2,63.8
Charles Francis Adams High School,https://www.schooldigger.com/go/WA/schools/0132000234/school.aspx,Clarkston School District,https://www.schooldigger.com/go/WA/district/01320/search.aspx,401 Chestnut St,Clarkston,https://www.schooldigger.com/go/WA/city/Clarkston/search.aspx,99403,Asotin County,(509) 758-5591,No,No,No,No,815,39.7,20.4,51.7,1.3,1.6,1.6,7.6,0,4.8,83.1,63.3
Willapa Valley Middle-High,https://www.schooldigger.com/go/WA/schools/0987001673/school.aspx,Willapa Valley School District,https://www.schooldigger.com/go/WA/district/09870/search.aspx,22 Viking Way,Raymond,https://www.schooldigger.com/go/WA/city/Raymond/search.aspx,98561,Pacific County,(360) 942-2006,Yes,No,No,No,199,12.1,16.3,39.2,0,0,1,11.1,0,6.5,81.4,63.1
Touchet Elementary & High School,https://www.schooldigger.com/go/WA/schools/0900001536/school.aspx,Touchet School District,https://www.schooldigger.com/go/WA/district/09000/search.aspx,90 Champion Street,Touchet,https://www.schooldigger.com/go/WA/city/Touchet/search.aspx,99360,Walla Walla County,(509) 394-2352,Yes,No,No,No,212,19.4,10.9,50.5,0,0.9,0,47.2,0,1.9,50,63
Bellingham High School,https://www.schooldigger.com/go/WA/schools/0042000099/school.aspx,Bellingham School District,https://www.schooldigger.com/go/WA/district/00420/search.aspx,2020 Cornwall Ave,Bellingham,https://www.schooldigger.com/go/WA/city/Bellingham/search.aspx,98225,Whatcom County,(360) 676-6575,No,No,No,No,1194,56.4,21.1,29.6,1.1,0.8,3.5,16.1,0.1,7.2,70.4,62.6
Edmonds Woodway High School,https://www.schooldigger.com/go/WA/schools/0240002673/school.aspx,Edmonds School District,https://www.schooldigger.com/go/WA/district/02400/search.aspx,7600  212th Street SW,Edmonds,https://www.schooldigger.com/go/WA/city/Edmonds/search.aspx,98026,Snohomish County,(425) 431-7900,No,No,No,No,1485,63.8,23.2,28.4,6.7,0.5,13.6,22,0.7,10.3,46,62.6
West Valley High School,https://www.schooldigger.com/go/WA/schools/0972001654/school.aspx,West Valley School District (Yakima),https://www.schooldigger.com/go/WA/district/09720/search.aspx,9800 Zier Rd,Yakima,https://www.schooldigger.com/go/WA/city/Yakima/search.aspx,98908,Yakima County,(509) 972-5900,No,No,No,No,1539,65,23.6,40.8,0.5,0.8,3.3,30.5,0.2,2.2,62.4,62.6
Freeman High School,https://www.schooldigger.com/go/WA/schools/0297000485/school.aspx,Freeman School District,https://www.schooldigger.com/go/WA/district/02970/search.aspx,S 14626 Jackson,Rockford,https://www.schooldigger.com/go/WA/city/Rockford/search.aspx,99030,Spokane County,(509) 291-3721,No,No,No,No,313,16.5,18.9,18.2,1,0.3,2.6,5.4,0,2.2,88.5,62.5
Union High School,https://www.schooldigger.com/go/WA/schools/0270003222/school.aspx,Evergreen School District (Clark),https://www.schooldigger.com/go/WA/district/02700/search.aspx,6201 NW Friberg-Strunk St,Camas,https://www.schooldigger.com/go/WA/city/Camas/search.aspx,98607,Clark County,(360) 604-6250,No,No,No,No,2056,85.3,24,28.8,2.7,0.3,11.8,16,1.9,8.7,58.5,62.2
Meadowdale High School,https://www.schooldigger.com/go/WA/schools/0240000352/school.aspx,Edmonds School District,https://www.schooldigger.com/go/WA/district/02400/search.aspx,6002 168th St SW,Lynnwood,https://www.schooldigger.com/go/WA/city/Lynnwood/search.aspx,98037,Snohomish County,(425) 431-7650,No,No,No,No,1500,63.2,23.7,35.3,8.1,0.3,13.7,23.1,1.3,9.7,43.8,62
North Thurston High School,https://www.schooldigger.com/go/WA/schools/0585000869/school.aspx,North Thurston Public Schools,https://www.schooldigger.com/go/WA/district/05850/search.aspx,600 Sleater Kinney Rd NE,Lacey,https://www.schooldigger.com/go/WA/city/Lacey/search.aspx,98506,Thurston County,(360) 412-4800,No,No,No,No,1415,66.4,21.2,39.9,3.7,0.8,11.5,20,2.5,12.9,48.4,61.8
Lynden Academy,https://www.schooldigger.com/go/WA/schools/0462003022/school.aspx,Lynden School District,https://www.schooldigger.com/go/WA/district/04620/search.aspx,1986 Main St Suite A,Lynden,https://www.schooldigger.com/go/WA/city/Lynden/search.aspx,98264,Whatcom County,(360) 354-6675,No,No,No,No,433,13,33.2,8.1,1.4,0.5,1.2,7.9,0,3.7,85.5,61.5
Paideia High School,https://www.schooldigger.com/go/WA/schools/0924003327/school.aspx,Valley School District,https://www.schooldigger.com/go/WA/district/09240/search.aspx,3043 Huffman Road,Valley,https://www.schooldigger.com/go/WA/city/Valley/search.aspx,99181,Stevens County,(509) 937-2655,No,No,No,No,69,7.3,9.3,65.2,1.4,1.4,0,7.2,1.4,8.7,79.7,61.2
Secondary Academy for Success,https://www.schooldigger.com/go/WA/schools/0591000892/school.aspx,Northshore School District,https://www.schooldigger.com/go/WA/district/05910/search.aspx,22107 23rd Dr SE,Bothell,https://www.schooldigger.com/go/WA/city/Bothell/search.aspx,98021,Snohomish County,(425) 408-6600,No,No,No,No,93,10.4,8.9,32.3,3.2,2.2,0,18.3,0,9.7,64.5,61
Lewis & Clark High School,https://www.schooldigger.com/go/WA/schools/0825001388/school.aspx,Spokane School District,https://www.schooldigger.com/go/WA/district/08250/search.aspx,521 W 4Th Ave,Spokane,https://www.schooldigger.com/go/WA/city/Spokane/search.aspx,99204,Spokane County,(509) 354-7000,No,No,No,No,1859,84.6,21.9,37.2,3.8,1.2,3.4,9.7,3.1,12.6,66.1,60.8
The Community School,https://www.schooldigger.com/go/WA/schools/0825003401/school.aspx,Spokane School District,https://www.schooldigger.com/go/WA/district/08250/search.aspx,1025 W Spofford Ave,Spokane,https://www.schooldigger.com/go/WA/city/Spokane/search.aspx,99205,Spokane County,(509) 354-3810,No,No,No,No,156,9.5,16.4,41.7,2.6,0.6,0,9,0,7.1,80.1,60.7
Stanwood High School,https://www.schooldigger.com/go/WA/schools/0834001423/school.aspx,Stanwood-Camano School District,https://www.schooldigger.com/go/WA/district/08340/search.aspx,7400 272nd St NW,Stanwood,https://www.schooldigger.com/go/WA/city/Stanwood/search.aspx,98292,Snohomish County,(360) 629-1300,No,No,No,No,1280,59.3,21.5,23.8,1.1,0.8,1.6,11.9,0.4,5.8,78.5,60.6
Kingston High School,https://www.schooldigger.com/go/WA/schools/0576003201/school.aspx,North Kitsap School District,https://www.schooldigger.com/go/WA/district/05760/search.aspx,26201 Siyaya Avenue NE,Kingston,https://www.schooldigger.com/go/WA/city/Kingston/search.aspx,98346,Kitsap County,(360) 396-3300,No,No,Yes,No,611,23.9,25.5,34.5,1,8.3,2.8,15.2,1,11,60.7,60.4
