School,School_URL,District,District_URL,Address,City,City_URL,Zip,County,Phone,Is_Title_I,Is_Charter,Is_Magnet,Is_Virtual,Number_Students,Number_Full-time_Teachers,Student_Teacher_Ratio,Percent_Free_Disc_Lunch,Percent_African_American,Percent_American_Indian,Percent_Asian,Percent_Hispanic,Percent_Pacific_Islander,Percent_Two_or_More_Races,Percent_White,Standard_Score
Morristown Junior-Senior High School,https://www.schooldigger.com/go/IN/schools/0321000418/school.aspx,Shelby Eastern Schools,https://www.schooldigger.com/go/IN/district/03210/search.aspx,223 S Patterson St,Morristown,https://www.schooldigger.com/go/IN/city/Morristown/search.aspx,46161,Shelby County,(765) 763-1221,No,No,No,No,317,24.9,12.6,36,0.6,0,0.6,1.6,0.3,0.9,95.9,70.9
DeKalb High School,https://www.schooldigger.com/go/IN/schools/0159000220/school.aspx,DeKalb County Ctl United School District,https://www.schooldigger.com/go/IN/district/01590/search.aspx,3424 Cr 427,Waterloo,https://www.schooldigger.com/go/IN/city/Waterloo/search.aspx,46793,DeKalb County,(260) 920-1012,No,No,No,No,1085,55,19.6,30.7,0.4,0.1,1,3.7,0,1.9,92.9,70.9
Sheridan High School,https://www.schooldigger.com/go/IN/schools/0648001127/school.aspx,Sheridan Community Schools,https://www.schooldigger.com/go/IN/district/06480/search.aspx,24185 N Hinesley Rd,Sheridan,https://www.schooldigger.com/go/IN/city/Sheridan/search.aspx,46069,Hamilton County,(317) 758-4431,No,No,No,No,338,29.3,11.5,37.6,0.6,0,0,4.1,0,1.8,93.5,70.3
Waldron Junior-Senior High School,https://www.schooldigger.com/go/IN/schools/0321000420/school.aspx,Shelby Eastern Schools,https://www.schooldigger.com/go/IN/district/03210/search.aspx,102 N East St,Waldron,https://www.schooldigger.com/go/IN/city/Waldron/search.aspx,46182,Shelby County,(765) 525-6822,No,No,No,No,280,25.4,10.9,46.1,0,0,0.4,2.5,0,0,97.1,70.2
Kankakee Valley High School,https://www.schooldigger.com/go/IN/schools/0528000933/school.aspx,Kankakee Valley School Corp,https://www.schooldigger.com/go/IN/district/05280/search.aspx,3923 W Sr 10,Wheatfield,https://www.schooldigger.com/go/IN/city/Wheatfield/search.aspx,46392,Jasper County,(219) 956-3143,No,No,No,No,1021,67.1,15.2,36,0.1,0.4,0.3,10.5,0,1,87.8,70
Western High School,https://www.schooldigger.com/go/IN/schools/0447000756/school.aspx,Western School Corporation,https://www.schooldigger.com/go/IN/district/04470/search.aspx,2600 S 600 W,Russiaville,https://www.schooldigger.com/go/IN/city/Russiaville/search.aspx,46902,Howard County,(765) 883-5541,No,No,No,No,826,54.2,15.2,24.2,3.5,0.2,1.7,2.5,0.1,4.8,87,69.6
New Technical Institute,https://www.schooldigger.com/go/IN/schools/0345002464/school.aspx,Evansville Vanderburgh School Corp,https://www.schooldigger.com/go/IN/district/03450/search.aspx,1901 Lynch Rd,Evansville,https://www.schooldigger.com/go/IN/city/Evansville/search.aspx,47711,Vanderburgh County,(812) 435-0967,No,No,No,No,239,60,3.9,38.5,6.3,0,3.3,3.3,0,5.9,81.2,69.3
Chesterton Senior High School,https://www.schooldigger.com/go/IN/schools/0280000333/school.aspx,Duneland School Corporation,https://www.schooldigger.com/go/IN/district/02800/search.aspx,2125 S 11th St,Chesterton,https://www.schooldigger.com/go/IN/city/Chesterton/search.aspx,46304,Porter County,(219) 983-3730,No,No,No,No,2084,102.7,20.2,23.1,2,0.2,1.2,13,0,3.4,80.3,69.2
Eastern Hancock High School,https://www.schooldigger.com/go/IN/schools/0312000410/school.aspx,Eastern Hancock County Com School Corp,https://www.schooldigger.com/go/IN/district/03120/search.aspx,10320 E 250 N,Charlottesville,https://www.schooldigger.com/go/IN/city/Charlottesville/search.aspx,46117,Hancock County,(317) 936-5595,No,No,No,No,395,30.7,12.8,28.6,0,0.5,0,1.8,0,1.3,96.5,68.5
Greencastle Senior High School,https://www.schooldigger.com/go/IN/schools/0399000690/school.aspx,Greencastle Community School Corp,https://www.schooldigger.com/go/IN/district/03990/search.aspx,910 E Washington St,Greencastle,https://www.schooldigger.com/go/IN/city/Greencastle/search.aspx,46135,Putnam County,(765) 653-9711,No,No,No,No,484,29,16.6,43.6,0.6,0.2,1,3.3,0,3.1,91.7,68.3
Avon High School,https://www.schooldigger.com/go/IN/schools/0027000057/school.aspx,Avon Community School Corp,https://www.schooldigger.com/go/IN/district/00270/search.aspx,7575 E Cr 150 S,Avon,https://www.schooldigger.com/go/IN/city/Avon/search.aspx,46123,Hendricks County,(317) 544-5000,No,No,No,No,3201,157.7,20.2,29.4,17.3,0.2,6,10.4,0,5,61.2,68.2
Argos Community Junior-Senior High School,https://www.schooldigger.com/go/IN/schools/0018000048/school.aspx,Argos Community Schools,https://www.schooldigger.com/go/IN/district/00180/search.aspx,500 Yearick Ave,Argos,https://www.schooldigger.com/go/IN/city/Argos/search.aspx,46501,Marshall County,(574) 892-5137,No,No,No,No,347,24.2,14.3,46.7,0.9,0.3,0,4.6,0,1.7,92.5,67.4
John Glenn High School,https://www.schooldigger.com/go/IN/schools/0912001505/school.aspx,John Glenn School Corporation,https://www.schooldigger.com/go/IN/district/09120/search.aspx,201 John Glenn Dr,Walkerton,https://www.schooldigger.com/go/IN/city/Walkerton/search.aspx,46574,St. Joseph County,(574) 586-3195,No,No,No,No,639,40.5,15.7,35.5,0.6,0.5,0.3,6.7,0,2.8,89,67.3
New Prairie High School,https://www.schooldigger.com/go/IN/schools/0756001298/school.aspx,New Prairie United School Corp,https://www.schooldigger.com/go/IN/district/07560/search.aspx,5333 N Cougar Rd,New Carlisle,https://www.schooldigger.com/go/IN/city/New+Carlisle/search.aspx,46552,LaPorte County,(574) 654-7271,No,No,No,No,977,54.1,18,30.1,0.6,0,0.3,9.6,0,3.8,85.7,67.2
Tri-West Senior High School,https://www.schooldigger.com/go/IN/schools/0810001387/school.aspx,North West Hendricks Schools,https://www.schooldigger.com/go/IN/district/08100/search.aspx,7883 N Sr 39,Lizton,https://www.schooldigger.com/go/IN/city/Lizton/search.aspx,46149,Hendricks County,(317) 994-4000,No,No,No,No,582,31,18.7,16.5,0.2,0.3,0.7,1.7,0.5,2.2,94.3,67.1
Yorktown High School,https://www.schooldigger.com/go/IN/schools/0723001217/school.aspx,Yorktown Community Schools,https://www.schooldigger.com/go/IN/district/07230/search.aspx,1100 S Tiger Dr,Yorktown,https://www.schooldigger.com/go/IN/city/Yorktown/search.aspx,47396,Delaware County,(765) 759-2550,No,No,No,No,786,44.4,17.6,29.8,5,0,2.8,4.2,0,5.9,82.2,67
Paoli Junior & Senior High School,https://www.schooldigger.com/go/IN/schools/0864001438/school.aspx,Paoli Community School Corp,https://www.schooldigger.com/go/IN/district/08640/search.aspx,501 Elm St,Paoli,https://www.schooldigger.com/go/IN/city/Paoli/search.aspx,47454,Orange County,(812) 723-3905,No,No,No,No,594,37,16,49.3,0.3,0.2,0.5,2.9,0,2.4,93.8,66.7
North Posey High School,https://www.schooldigger.com/go/IN/schools/0795001366/school.aspx,MSD North Posey County Schools,https://www.schooldigger.com/go/IN/district/07950/search.aspx,5900 High School Rd,Poseyville,https://www.schooldigger.com/go/IN/city/Poseyville/search.aspx,47633,Posey County,(812) 673-4242,No,No,No,No,421,34.7,12.1,25.2,0.7,0,0.7,1.7,0,3.3,93.6,66.6
McCutcheon High School,https://www.schooldigger.com/go/IN/schools/1134001830/school.aspx,Tippecanoe School Corp,https://www.schooldigger.com/go/IN/district/11340/search.aspx,4951 Us 231 S,Lafayette,https://www.schooldigger.com/go/IN/city/Lafayette/search.aspx,47909,Tippecanoe County,(765) 474-1488,No,No,No,No,1805,118.9,15.1,37.5,6.7,0.1,1.1,19.6,0,3.5,69,66.4
Franklin Central High School,https://www.schooldigger.com/go/IN/schools/0375000597/school.aspx,Franklin Township Com School Corp,https://www.schooldigger.com/go/IN/district/03750/search.aspx,6215 S Franklin Rd,Indianapolis,https://www.schooldigger.com/go/IN/city/Indianapolis/search.aspx,46259,Marion County,(317) 862-6646,No,No,No,No,3064,143.8,21.2,38.6,9.7,0.3,8.1,9.3,0.1,5.8,66.7,66.1
Francis Joseph Reitz High School,https://www.schooldigger.com/go/IN/schools/0345000466/school.aspx,Evansville Vanderburgh School Corp,https://www.schooldigger.com/go/IN/district/03450/search.aspx,350 Dreier Blvd,Evansville,https://www.schooldigger.com/go/IN/city/Evansville/search.aspx,47712,Vanderburgh County,(812) 435-8206,No,No,No,No,1101,155.1,7,37.6,4.2,0.1,1,2.4,0.1,5.5,86.7,66.1
Henryville Junior & Senior High School,https://www.schooldigger.com/go/IN/schools/0021201531/school.aspx,Borden-Henryville School Corp,https://www.schooldigger.com/go/IN/district/00212/search.aspx,213 N Ferguson St,Henryville,https://www.schooldigger.com/go/IN/city/Henryville/search.aspx,47126,Clark County,(812) 294-1455,No,No,No,No,490,32.5,15,28.2,1,0,0.2,2.4,0,2.9,93.5,66.1
Bloomfield Junior-Senior High School,https://www.schooldigger.com/go/IN/schools/0060000113/school.aspx,Bloomfield School District,https://www.schooldigger.com/go/IN/district/00600/search.aspx,501 W Spring St,Bloomfield,https://www.schooldigger.com/go/IN/city/Bloomfield/search.aspx,47424,Greene County,(812) 384-4550,No,No,No,No,375,28.3,13.2,37.9,0.3,0.3,0.8,3.7,0,0.8,94.1,65.8
Western Boone Junior-Senior High School,https://www.schooldigger.com/go/IN/schools/1299002066/school.aspx,Western Boone County Com School District,https://www.schooldigger.com/go/IN/district/12990/search.aspx,1205 N Sr 75,Thorntown,https://www.schooldigger.com/go/IN/city/Thorntown/search.aspx,46071,Boone County,(765) 482-6143,No,No,No,No,840,47.3,17.7,32.7,0.6,0.1,0.1,3.1,0.1,1.4,94.5,65.4
Southmont Senior High School,https://www.schooldigger.com/go/IN/schools/1045001716/school.aspx,South Montgomery Com School Corp,https://www.schooldigger.com/go/IN/district/10450/search.aspx,6425 Us 231 S,Crawfordsville,https://www.schooldigger.com/go/IN/city/Crawfordsville/search.aspx,47933,Montgomery County,(765) 866-0350,No,No,No,No,488,40.7,11.9,33,0.2,0,0.2,3.1,0,2,94.5,65.2
Bremen Senior High School,https://www.schooldigger.com/go/IN/schools/0090000168/school.aspx,Bremen Public Schools,https://www.schooldigger.com/go/IN/district/00900/search.aspx,511 W Grant St,Bremen,https://www.schooldigger.com/go/IN/city/Bremen/search.aspx,46506,Marshall County,(574) 546-3511,No,No,No,No,507,33.1,15.2,34.1,0.6,0,0.4,26.6,0,0.8,71.6,64.8
Southwood Junior-Senior High School,https://www.schooldigger.com/go/IN/schools/1218001948/school.aspx,MSD Wabash County Schools,https://www.schooldigger.com/go/IN/district/12180/search.aspx,564 E Sr 124,Wabash,https://www.schooldigger.com/go/IN/city/Wabash/search.aspx,46992,Wabash County,(260) 563-8050,No,No,No,No,391,31.3,12.4,39.4,0.5,0,0.5,4.1,0,2.6,92.3,64.3
Bluffton High School,https://www.schooldigger.com/go/IN/schools/0072000146/school.aspx,MSD Bluffton-Harrison,https://www.schooldigger.com/go/IN/district/00720/search.aspx,1 Tiger Trl,Bluffton,https://www.schooldigger.com/go/IN/city/Bluffton/search.aspx,46714,Wells County,(260) 824-3724,No,No,No,No,477,33.4,14.2,41.3,2.1,0,1.3,7.1,0.6,1.5,87.4,63.9
Eastside Junior-Senior High School,https://www.schooldigger.com/go/IN/schools/0306000405/school.aspx,DeKalb County Eastern Com School District,https://www.schooldigger.com/go/IN/district/03060/search.aspx,603 E Green St,Butler,https://www.schooldigger.com/go/IN/city/Butler/search.aspx,46721,DeKalb County,(260) 868-2186,No,No,No,No,620,38.8,15.9,31.1,1.8,0.6,0.2,2.6,0,0.3,94.5,63.8
Lebanon Senior High School,https://www.schooldigger.com/go/IN/schools/0579001041/school.aspx,Lebanon Community School Corp,https://www.schooldigger.com/go/IN/district/05790/search.aspx,510 Essex Dr,Lebanon,https://www.schooldigger.com/go/IN/city/Lebanon/search.aspx,46052,Boone County,(765) 482-0400,No,No,No,No,1017,52,19.5,33.6,3.1,0.1,1.5,8.2,0,3.7,83.4,63.7
Madison-Grant Junior/Senior High School,https://www.schooldigger.com/go/IN/schools/0624001097/school.aspx,Madison-Grant United School Corp,https://www.schooldigger.com/go/IN/district/06240/search.aspx,11700 S/E 00 W,Fairmount,https://www.schooldigger.com/go/IN/city/Fairmount/search.aspx,46928,Grant County,(765) 536-0032,No,No,No,No,535,37.1,14.3,38.3,1.1,0.2,0.6,3,0,1.9,93.3,63
Westview Junior-Senior High School,https://www.schooldigger.com/go/IN/schools/1311002079/school.aspx,Westview School Corporation,https://www.schooldigger.com/go/IN/district/13110/search.aspx,1635 S 600 W,Topeka,https://www.schooldigger.com/go/IN/city/Topeka/search.aspx,46571,LaGrange County,(260) 768-4146,No,No,No,No,732,45.3,16.1,27.7,0.4,0,0.7,5.3,0.1,1.4,92.1,62.8
Hamilton Community High School,https://www.schooldigger.com/go/IN/schools/0423000724/school.aspx,Hamilton Community Schools,https://www.schooldigger.com/go/IN/district/04230/search.aspx,903 S Wayne St,Hamilton,https://www.schooldigger.com/go/IN/city/Hamilton/search.aspx,46742,DeKalb County,(260) 488-2161,No,No,No,No,175,15,11.6,44.6,0,1.1,1.1,3.4,0,1.1,93.1,62.4
East Central High School,https://www.schooldigger.com/go/IN/schools/1119001802/school.aspx,Sunman-Dearborn Com School Corp,https://www.schooldigger.com/go/IN/district/11190/search.aspx,1 Trojan Pl - Suite A,Saint Leon,https://www.schooldigger.com/go/IN/city/Saint+Leon/search.aspx,47012,Dearborn County,(812) 576-4811,No,No,No,No,1286,67.5,19,19.7,0.4,0.1,0.5,1.2,0,2.7,95,61.8
Eastern Greene High School,https://www.schooldigger.com/go/IN/schools/0309000408/school.aspx,Eastern Greene Schools,https://www.schooldigger.com/go/IN/district/03090/search.aspx,11064 E St Rd 54,Bloomfield,https://www.schooldigger.com/go/IN/city/Bloomfield/search.aspx,47424,Greene County,(812) 825-5621,No,No,No,No,308,28.4,10.8,44.5,0.3,0.3,0.6,1.3,0,1.9,95.5,61.7
William W Borden High School,https://www.schooldigger.com/go/IN/schools/0021201540/school.aspx,Borden-Henryville School Corp,https://www.schooldigger.com/go/IN/district/00212/search.aspx,301 West St,Borden,https://www.schooldigger.com/go/IN/city/Borden/search.aspx,47106,Clark County,(812) 967-2087,No,No,No,No,332,22.2,14.9,21.7,0.3,0,0.6,2.4,0,0.9,95.8,61.2
Manchester Junior-Senior High School,https://www.schooldigger.com/go/IN/schools/0627001103/school.aspx,Manchester Community Schools,https://www.schooldigger.com/go/IN/district/06270/search.aspx,1 Squire Dr,North Manchester,https://www.schooldigger.com/go/IN/city/North+Manchester/search.aspx,46962,Wabash County,(260) 982-2196,No,No,No,No,695,37.8,18.3,38.7,0.7,1.2,1.2,7.8,0,3.6,85.6,61.1
Norwell High School,https://www.schooldigger.com/go/IN/schools/0822001410/school.aspx,Northern Wells Community Schools,https://www.schooldigger.com/go/IN/district/08220/search.aspx,1100 E Us 224,Ossian,https://www.schooldigger.com/go/IN/city/Ossian/search.aspx,46777,Wells County,(260) 543-2213,No,No,No,No,829,43.9,18.8,22.6,0.7,0,1.1,3.7,0,2.1,92.4,61
Lapel Senior High School,https://www.schooldigger.com/go/IN/schools/1288002328/school.aspx,Frankton-Lapel Community Schools,https://www.schooldigger.com/go/IN/district/12880/search.aspx,1850 S 900 W,Lapel,https://www.schooldigger.com/go/IN/city/Lapel/search.aspx,46051,Madison County,(765) 534-3036,No,No,No,No,468,32.3,14.4,22.6,1.1,0,0.6,2.6,0,2.8,92.9,60.9
Boone Grove High School,https://www.schooldigger.com/go/IN/schools/0918001521/school.aspx,Porter Township School Corp,https://www.schooldigger.com/go/IN/district/09180/search.aspx,260 S 500 W,Valparaiso,https://www.schooldigger.com/go/IN/city/Valparaiso/search.aspx,46385,Porter County,(219) 476-3455,No,No,No,No,501,28,17.8,22.4,2.6,0.2,0,11,0,2.2,84,60.9
North Central High School,https://www.schooldigger.com/go/IN/schools/1272002021/school.aspx,MSD Washington Township,https://www.schooldigger.com/go/IN/district/12720/search.aspx,1801 E 86th St,Indianapolis,https://www.schooldigger.com/go/IN/city/Indianapolis/search.aspx,46240,Marion County,(317) 259-5301,No,No,No,No,3754,187.7,19.9,46.6,38.2,0.2,3.7,19,0,6.3,32.6,60.8
Springs Valley Community High School,https://www.schooldigger.com/go/IN/schools/1098001795/school.aspx,Springs Valley Com School Corp,https://www.schooldigger.com/go/IN/district/10980/search.aspx,326 S Larry Bird Blvd,French Lick,https://www.schooldigger.com/go/IN/city/French+Lick/search.aspx,47432,Orange County,(812) 936-9984,No,No,No,No,462,29.2,15.7,46.5,3.7,0.2,0.2,3.5,0,6.1,86.4,60.7
Mooresville High School,https://www.schooldigger.com/go/IN/schools/0714001207/school.aspx,Mooresville Con School Corp,https://www.schooldigger.com/go/IN/district/07140/search.aspx,550 N Indiana St,Mooresville,https://www.schooldigger.com/go/IN/city/Mooresville/search.aspx,46158,Morgan County,(317) 831-9203,No,No,No,No,1341,68.1,19.6,30.9,0.6,0.4,0.7,2.2,0,3.1,93,60.5
Pioneer Junior-Senior High School,https://www.schooldigger.com/go/IN/schools/0894001491/school.aspx,Pioneer Regional School Corp,https://www.schooldigger.com/go/IN/district/08940/search.aspx,417 South Chicago Street,Royal Center,https://www.schooldigger.com/go/IN/city/Royal+Center/search.aspx,46978,Cass County,(574) 643-3145,No,No,No,No,465,31.5,14.7,47.3,0.9,0.4,1.1,6.2,0,2.6,88.8,60.3
Southridge High School,https://www.schooldigger.com/go/IN/schools/1087001779/school.aspx,Southwest Dubois County School Corp,https://www.schooldigger.com/go/IN/district/10870/search.aspx,1110 S Main St,Huntingburg,https://www.schooldigger.com/go/IN/city/Huntingburg/search.aspx,47542,Dubois County,(812) 683-2272,No,No,No,No,515,33.9,15.1,28.5,0.8,0,0.4,24.5,0,1.4,73,60.3
Warsaw Community High School,https://www.schooldigger.com/go/IN/schools/1242001999/school.aspx,Warsaw Community Schools,https://www.schooldigger.com/go/IN/district/12420/search.aspx,1 Tiger Ln,Warsaw,https://www.schooldigger.com/go/IN/city/Warsaw/search.aspx,46580,Kosciusko County,(574) 371-5099,No,No,No,No,2067,131.6,15.6,40.8,1.9,0.1,1.4,23.3,0,3,70.2,60.1
Northfield Junior-Senior High School,https://www.schooldigger.com/go/IN/schools/1218001945/school.aspx,MSD Wabash County Schools,https://www.schooldigger.com/go/IN/district/12180/search.aspx,154 W 200 N,Wabash,https://www.schooldigger.com/go/IN/city/Wabash/search.aspx,46992,Wabash County,(260) 563-8050,No,No,No,No,418,37.9,11,42.6,0.7,0.5,0.2,1.2,0,1.7,95.7,59.7
Lawrenceburg High School,https://www.schooldigger.com/go/IN/schools/0570001037/school.aspx,Lawrenceburg Community School Corp,https://www.schooldigger.com/go/IN/district/05700/search.aspx,100 Tiger Blvd,Lawrenceburg,https://www.schooldigger.com/go/IN/city/Lawrenceburg/search.aspx,47025,Dearborn County,(812) 537-7219,No,No,No,No,704,38.2,18.3,34.2,0.9,0,1,2.6,0,5.7,89.9,59.7
Edgewood High School,https://www.schooldigger.com/go/IN/schools/0948001546/school.aspx,Richland-Bean Blossom C S C,https://www.schooldigger.com/go/IN/district/09480/search.aspx,601 S Edgewood Dr,Ellettsville,https://www.schooldigger.com/go/IN/city/Ellettsville/search.aspx,47429,Monroe County,(812) 876-2277,No,No,No,No,765,49.5,15.4,29.4,0.7,0.3,0.4,3.7,0.4,3.4,91.2,59.4
Hebron High School,https://www.schooldigger.com/go/IN/schools/0075000153/school.aspx,MSD Boone Township,https://www.schooldigger.com/go/IN/district/00750/search.aspx,509 S Main St,Hebron,https://www.schooldigger.com/go/IN/city/Hebron/search.aspx,46341,Porter County,(219) 996-4771,No,No,No,No,357,23,15.5,31.9,1.7,0.3,1.1,11.5,0,1.7,83.8,59.3
Daleville Junior-Senior High School,https://www.schooldigger.com/go/IN/schools/0984001603/school.aspx,Daleville Community Schools,https://www.schooldigger.com/go/IN/district/09840/search.aspx,8400 S Bronco Dr,Daleville,https://www.schooldigger.com/go/IN/city/Daleville/search.aspx,47334,Delaware County,(765) 378-3371,No,No,No,No,458,25.4,18,42.4,0.9,0,0.7,3.7,0.4,2.4,91.9,59.3
Highland High School,https://www.schooldigger.com/go/IN/schools/0456000763/school.aspx,School Town of Highland,https://www.schooldigger.com/go/IN/district/04560/search.aspx,9135 Erie St,Highland,https://www.schooldigger.com/go/IN/city/Highland/search.aspx,46322,Lake County,(219) 922-5610,No,No,No,No,1061,60.8,17.4,35.4,7.6,0,0.8,34,0,3,54.5,58.9
Eastern High School,https://www.schooldigger.com/go/IN/schools/0300000395/school.aspx,East Washington School Corp,https://www.schooldigger.com/go/IN/district/03000/search.aspx,1100 N Eastern School RD E-3,Pekin,https://www.schooldigger.com/go/IN/city/Pekin/search.aspx,47165,Washington County,(812) 967-3931,No,No,No,No,414,26,15.9,37.2,0,0.2,0,2.7,0,1.9,95.2,58.8
Frankton Junior-Senior High School,https://www.schooldigger.com/go/IN/schools/1288002050/school.aspx,Frankton-Lapel Community Schools,https://www.schooldigger.com/go/IN/district/12880/search.aspx,610 Clyde St,Frankton,https://www.schooldigger.com/go/IN/city/Frankton/search.aspx,46044,Madison County,(765) 754-7879,Yes,No,No,No,756,39,19.3,39.7,0.7,0,0.1,4.1,0.1,4.9,90.1,58.5
Fairfield Junior-Senior High School,https://www.schooldigger.com/go/IN/schools/0348000491/school.aspx,Fairfield Community Schools,https://www.schooldigger.com/go/IN/district/03480/search.aspx,67530 Us 33,Goshen,https://www.schooldigger.com/go/IN/city/Goshen/search.aspx,46526,Elkhart County,(574) 831-2184,No,No,No,No,837,52.2,16,24.6,1.1,0.2,0.4,7,0,1.8,89.5,58.4
Northridge High School,https://www.schooldigger.com/go/IN/schools/0660001165/school.aspx,Middlebury Community Schools,https://www.schooldigger.com/go/IN/district/06600/search.aspx,56779 Northridge Dr,Middlebury,https://www.schooldigger.com/go/IN/city/Middlebury/search.aspx,46540,Elkhart County,(574) 825-2142,No,No,No,No,1412,87,16.2,25.3,0.8,0.2,1.3,11.1,0.1,2.5,83.9,57.7
Attica High School,https://www.schooldigger.com/go/IN/schools/0021000050/school.aspx,Attica Consolidated School Corp,https://www.schooldigger.com/go/IN/district/00210/search.aspx,211 E Sycamore St,Attica,https://www.schooldigger.com/go/IN/city/Attica/search.aspx,47918,Fountain County,(765) 762-7000,No,No,No,No,315,23.3,13.5,49.8,1.9,0,0,4.4,0,1.9,91.7,57.6
Columbia City High School,https://www.schooldigger.com/go/IN/schools/0228000267/school.aspx,Whitley County Con Schools,https://www.schooldigger.com/go/IN/district/02280/search.aspx,1600 South State Road 9,Columbia City,https://www.schooldigger.com/go/IN/city/Columbia+City/search.aspx,46725,Whitley County,(260) 244-6136,No,No,No,No,1082,64.6,16.7,20.2,0.8,0.4,0.6,3.6,0,3.4,91.1,57.3
Bellmont Senior High School,https://www.schooldigger.com/go/IN/schools/0768001314/school.aspx,North Adams Community Schools,https://www.schooldigger.com/go/IN/district/07680/search.aspx,1000 North Adams Dr,Decatur,https://www.schooldigger.com/go/IN/city/Decatur/search.aspx,46733,Adams County,(260) 724-7121,No,No,No,No,647,46.2,14,33.8,1.2,0.2,0.6,11.7,0,3.2,83,57.3
Lowell Senior High School,https://www.schooldigger.com/go/IN/schools/1146001852/school.aspx,Tri-Creek School Corporation,https://www.schooldigger.com/go/IN/district/11460/search.aspx,2051 E Commercial Ave,Lowell,https://www.schooldigger.com/go/IN/city/Lowell/search.aspx,46356,Lake County,(219) 696-7733,No,No,No,No,1093,56.6,19.2,25.5,0.8,0.1,0.5,10.6,0,2.2,85.8,57.2
Brownstown Central High School,https://www.schooldigger.com/go/IN/schools/0105000180/school.aspx,Brownstown County Com School Corp,https://www.schooldigger.com/go/IN/district/01050/search.aspx,500 N Elm St,Brownstown,https://www.schooldigger.com/go/IN/city/Brownstown/search.aspx,47220,Jackson County,(812) 358-3453,No,No,No,No,512,31.8,16,31.1,0,0.2,0.2,2,0,0.6,97.1,57.2
Ben Davis University High School,https://www.schooldigger.com/go/IN/schools/1281002410/school.aspx,MSD Wayne Township,https://www.schooldigger.com/go/IN/district/12810/search.aspx,1155 S High School Rd,Indianapolis,https://www.schooldigger.com/go/IN/city/Indianapolis/search.aspx,46241,Marion County,(317) 988-7800,No,No,No,No,412,21,19.6,64.6,32.3,0,1,37.4,0,3.2,26.2,57
Clinton Prairie Junior-Senior High School,https://www.schooldigger.com/go/IN/schools/0216000258/school.aspx,Clinton Prairie School Corporation,https://www.schooldigger.com/go/IN/district/02160/search.aspx,2400 S Cr 450 W,Frankfort,https://www.schooldigger.com/go/IN/city/Frankfort/search.aspx,46041,Clinton County,(765) 659-3305,No,No,No,No,544,36.5,14.9,35.3,0.4,0,0,8.5,0,1.5,89.7,56.7
Indiana Connections Academy,https://www.schooldigger.com/go/IN/schools/0009802474/school.aspx,Indiana Connections Academy,https://www.schooldigger.com/go/IN/district/00098/search.aspx,6640 Intech Blvd - Ste 250,Indianapolis,https://www.schooldigger.com/go/IN/city/Indianapolis/search.aspx,46278,Marion County,(317) 550-3188,Yes,Yes,No,Yes,6687,159.2,42,41.2,7.3,0.3,1.3,7.5,0.1,5.2,78.3,56.5
Shenandoah High School,https://www.schooldigger.com/go/IN/schools/0828001420/school.aspx,Shenandoah School Corporation,https://www.schooldigger.com/go/IN/district/08280/search.aspx,7354 W Us 36,Middletown,https://www.schooldigger.com/go/IN/city/Middletown/search.aspx,47356,Henry County,(765) 354-6640,No,No,No,No,418,34,12.2,27.8,0.5,0,0.2,1.9,0,3.1,94.3,56.3
Tri Central Middle-High School,https://www.schooldigger.com/go/IN/schools/0804001379/school.aspx,Tri-Central Community Schools,https://www.schooldigger.com/go/IN/district/08040/search.aspx,2115 W 500 N,Sharpsville,https://www.schooldigger.com/go/IN/city/Sharpsville/search.aspx,46068,Tipton County,(765) 963-2560,No,No,No,No,422,30,14,44.1,0,0.2,0.2,7.6,0,4.5,87.4,56.2
Perry Meridian High School,https://www.schooldigger.com/go/IN/schools/0882001464/school.aspx,Perry Township Schools,https://www.schooldigger.com/go/IN/district/08820/search.aspx,401 W Meridian School Rd,Indianapolis,https://www.schooldigger.com/go/IN/city/Indianapolis/search.aspx,46217,Marion County,(317) 789-4400,No,No,No,No,2371,120.6,19.6,58.5,7,0.1,24.1,13.3,0,4.5,50.9,56.1
Steel City Academy,https://www.schooldigger.com/go/IN/schools/0017102614/school.aspx,Steel City Academy,https://www.schooldigger.com/go/IN/district/00171/search.aspx,2650 W 35th Avenue,Gary,https://www.schooldigger.com/go/IN/city/Gary/search.aspx,46408,Lake County,(219) 750-1010,Yes,Yes,No,No,415,13,31.9,76.4,94,0,0,2.4,0,2.4,1.2,55.9
Bedford-North Lawrence High School,https://www.schooldigger.com/go/IN/schools/0786001337/school.aspx,North Lawrence Com Schools,https://www.schooldigger.com/go/IN/district/07860/search.aspx,595 N Stars Blvd,Bedford,https://www.schooldigger.com/go/IN/city/Bedford/search.aspx,47421,Lawrence County,(812) 279-9756,No,No,No,No,1472,191.7,7.6,42.9,0.3,0,0.7,2.6,0,2.4,93.9,55.8
Mount Vernon High School,https://www.schooldigger.com/go/IN/schools/0729001226/school.aspx,MSD Mount Vernon,https://www.schooldigger.com/go/IN/district/07290/search.aspx,700 Harriett St,Mount Vernon,https://www.schooldigger.com/go/IN/city/Mount+Vernon/search.aspx,47620,Posey County,(812) 838-4356,No,No,No,No,636,46.9,13.5,33.5,1.7,0.2,0.2,3.6,0,3.9,90.4,55.8
