 Number of team members, Deadline in Days, Task complexity, Project type, Skill level, Communication frequency, Number of tasks, Team motivation, Number of stakeholders, Number of meetings, Decision making, Team experience in years, Number of changes, Project duration  in days, Project complexity,Project Completion Time
14,39, High, Web development, Expert, Weekly,4, High,3,1, Fast,5,0,35, High,32
6,37, Medium, Desktop app, Beginner, Weekly,14, Low,4,0, Moderate,9,1,36, Medium,36
5,69, High, Mobile app, Advanced, Daily,12, Medium,4,1, Slow,9,3,42, High,66
13,56, Low, Web development, Expert, Weekly,10, High,4,2, Fast,6,3,54, Low,51
6,41, Medium, Desktop app, Beginner, Daily,5, Low,4,0, Moderate,9,3,47, Medium,46
9,79, Low, Mobile app, Expert, Weekly,13, High,3,1, Fast,5,1,44, Low,41
5,50, High, Web development, Advanced, Daily,11, Medium,5,2, Slow,6,2,51, High,36
8,54, Medium, Mobile app, Beginner, Weekly,14, Low,2,1, Moderate,8,0,59, Medium,34
11,55, High, Desktop app, Expert, Daily,6, High,2,2, Fast,9,2,40, High,52
6,35, Low, Web development, Advanced, Weekly,12, Medium,3,1, Slow,9,2,34, Low,48
12,71, Medium, Desktop app, Beginner, Daily,7, Low,4,0, Moderate,5,1,50, Medium,36
4,76, High, Web development, Expert, Weekly,9, High,3,1, Fast,10,0,43, High,54
10,69, Low, Web development, Expert, Daily,4, High,3,1, Fast,5,1,42, Low,34
13,35, High, Mobile app, Advanced, Weekly,11, Medium,3,1, Slow,9,0,32, High,35
13,40, Medium, Desktop app, Beginner, Daily,7, Low,2,1, Moderate,10,3,58, Medium,45
6,59, High, Web development, Expert, Weekly,7, High,4,1, Fast,9,2,32, High,42
9,45, Low, Mobile app, Advanced, Daily,13, Medium,4,0, Slow,7,2,46, Low,62
8,73, High, Desktop app, Beginner, Weekly,10, Low,3,2, Moderate,8,1,36, High,61
5,73, Low, Web development, Expert, Daily,9, High,5,1, Fast,5,3,37, Low,57
12,35, Medium, Mobile app, Advanced, Weekly,6, Medium,3,1, Slow,7,2,48, Medium,57
9,50, High, Desktop app, Beginner, Weekly,6, Low,5,1, Moderate,6,2,59, High,70
13,73, Low, Web development, Expert, Daily,10, High,5,0, Fast,10,0,51, Low,73
14,61, Medium, Mobile app, Advanced, Weekly,4, Medium,4,2, Slow,5,3,54, Medium,54
8,69, Low, Web development, Expert, Daily,8, High,5,1, Fast,5,1,37, Low,55
11,39, Medium, Desktop app, Beginner, Weekly,9, Low,4,1, Moderate,7,1,60, Medium,44
13,48, High, Mobile app, Advanced, Daily,12, Medium,3,1, Slow,5,2,30, High,43
10,36, Low, Web development, Expert, Weekly,4, High,3,0, Fast,9,2,43, Low,51
7,47, Medium, Desktop app, Beginner, Daily,12, Low,3,1, Moderate,10,0,40, Medium,40
8,74, Low, Mobile app, Expert, Weekly,13, High,5,0, Fast,10,0,40, Low,61
5,53, High, Web development, Advanced, Daily,4, Medium,4,1, Slow,8,2,31, High,63
10,31, Medium, Mobile app, Beginner, Weekly,14, Low,2,1, Moderate,7,2,40, Medium,57
11,80, High, Desktop app, Expert, Daily,13, High,5,0, Fast,8,1,54, High,37
13,34, Low, Web development, Advanced, Weekly,11, Medium,3,1, Slow,9,1,40, Low,50
8,75, Medium, Desktop app, Beginner, Daily,5, Low,2,2, Moderate,8,1,58, Medium,63
5,65, High, Web development, Expert, Weekly,7, High,2,2, Fast,7,0,54, High,67
13,40, Medium, Desktop app, Beginner, Weekly,12, Low,5,0, Moderate,5,2,38, Medium,55
14,76, High, Mobile app, Advanced, Daily,10, Medium,4,2, Slow,7,3,38, High,59
6,34, Low, Web development, Expert, Weekly,5, High,3,2, Fast,6,2,51, Low,70
10,46, Medium, Desktop app, Beginner, Daily,5, Low,5,2, Moderate,8,3,40, Medium,37
9,71, Low, Mobile app, Expert, Weekly,8, High,2,1, Fast,7,0,39, Low,38
13,43, High, Web development, Advanced, Daily,12, Medium,4,2, Slow,8,0,57, High,42
12,30, Medium, Mobile app, Beginner, Weekly,8, Low,4,0, Moderate,8,2,40, Medium,41
6,55, High, Desktop app, Expert, Daily,13, High,3,2, Fast,5,2,52, High,63
5,60, Low, Web development, Advanced, Weekly,11, Medium,3,1, Slow,6,1,33, Low,47
11,79, Medium, Desktop app, Beginner, Daily,11, Low,2,0, Moderate,9,0,37, Medium,47
11,74, High, Web development, Expert, Weekly,9, High,5,1, Fast,8,1,47, High,32
10,75, Low, Web development, Expert, Daily,7, High,5,0, Fast,5,0,58, Low,60
5,44, High, Mobile app, Advanced, Weekly,13, Medium,4,1, Slow,8,2,59, High,68
11,71, Medium, Desktop app, Beginner, Daily,12, Low,3,0, Moderate,10,0,31, Medium,69
8,73, High, Web development, Expert, Weekly,13, High,3,2, Fast,10,2,36, High,44
9,51, Low, Mobile app, Advanced, Daily,4, Medium,3,0, Slow,6,1,43, Low,38
9,77, High, Desktop app, Beginner, Weekly,4, Low,5,1, Moderate,9,1,32, High,60
13,74, Low, Web development, Expert, Daily,11, High,2,2, Fast,5,1,56, Low,56
12,68, Medium, Mobile app, Advanced, Weekly,4, Medium,5,0, Slow,9,2,45, Medium,58
8,68, Low, Web development, Expert, Daily,5, High,3,2, Fast,10,2,52, Low,38
7,35, High, Mobile app, Advanced, Weekly,13, Medium,2,0, Slow,5,0,51, High,38
11,51, Medium, Desktop app, Beginner, Daily,12, Low,3,0, Moderate,5,0,34, Medium,39
7,63, High, Web development, Expert, Weekly,6, High,2,0, Fast,7,3,30, High,53
11,47, Low, Mobile app, Advanced, Daily,14, Medium,3,2, Slow,5,1,47, Low,57
4,37, High, Desktop app, Beginner, Weekly,13, Low,2,0, Moderate,7,1,47, High,57
7,80, Low, Web development, Expert, Daily,8, High,3,2, Fast,6,0,30, Low,38
10,52, Medium, Mobile app, Advanced, Weekly,6, Medium,5,0, Slow,6,0,45, Medium,69
7,41, Low, Web development, Expert, Daily,14, High,2,2, Fast,7,0,46, Low,65
13,47, Medium, Desktop app, Beginner, Weekly,12, Low,3,1, Moderate,8,2,36, Medium,51
6,79, High, Mobile app, Advanced, Daily,11, Medium,3,1, Slow,7,1,35, High,33
14,46, Low, Web development, Expert, Weekly,9, High,5,2, Fast,5,3,39, Low,74
14,63, Medium, Desktop app, Beginner, Daily,7, Low,4,0, Moderate,6,1,48, Medium,52
10,66, Low, Mobile app, Expert, Weekly,6, High,5,1, Fast,7,2,30, Low,67
14,35, High, Web development, Advanced, Daily,10, Medium,2,0, Slow,10,3,53, High,57
10,63, Medium, Mobile app, Beginner, Weekly,4, Low,2,1, Moderate,9,0,33, Medium,32
9,32, High, Desktop app, Expert, Daily,13, High,3,0, Fast,10,2,45, High,53
7,40, Low, Web development, Advanced, Weekly,9, Medium,3,2, Slow,10,0,50, Low,60
8,46, Medium, Desktop app, Beginner, Daily,13, Low,5,0, Moderate,7,1,31, Medium,55
14,37, High, Web development, Expert, Weekly,13, High,3,0, Fast,7,0,55, High,51
10,63, Low, Web development, Expert, Daily,11, High,4,1, Fast,10,1,39, Low,50
7,33, High, Mobile app, Advanced, Weekly,13, Medium,2,2, Slow,5,0,35, High,47
5,55, Medium, Desktop app, Beginner, Daily,4, Low,2,2, Moderate,8,1,50, Medium,65
13,48, High, Web development, Expert, Weekly,5, High,4,2, Fast,9,1,40, High,61
12,38, Low, Mobile app, Advanced, Daily,7, Medium,4,1, Slow,5,0,31, Low,34
10,69, High, Desktop app, Beginner, Weekly,11, Low,4,1, Moderate,6,1,51, High,37
8,33, Low, Web development, Expert, Daily,8, High,4,0, Fast,5,0,55, Low,59
13,66, Medium, Mobile app, Advanced, Weekly,5, Medium,5,0, Slow,10,2,40, Medium,68
10,56, Low, Web development, Expert, Daily,6, High,4,2, Fast,9,1,51, Low,51
4,73, Medium, Desktop app, Beginner, Weekly,12, Low,2,0, Moderate,9,0,50, Medium,69
13,57, High, Mobile app, Advanced, Daily,8, Medium,5,0, Slow,7,3,47, High,71
7,36, Low, Web development, Expert, Weekly,12, High,3,0, Fast,5,0,33, Low,50
4,72, Medium, Desktop app, Beginner, Daily,5, Low,5,1, Moderate,7,0,42, Medium,32
13,37, Low, Mobile app, Expert, Weekly,5, High,3,1, Fast,10,0,32, Low,68
8,76, High, Web development, Advanced, Daily,9, Medium,5,1, Slow,6,3,59, High,71
11,59, Medium, Mobile app, Beginner, Weekly,7, Low,3,0, Moderate,8,1,38, Medium,48
9,76, High, Desktop app, Expert, Daily,11, High,3,1, Fast,7,2,41, High,66
4,80, Low, Web development, Advanced, Weekly,9, Medium,3,2, Slow,7,2,43, Low,40
14,31, Medium, Desktop app, Beginner, Daily,7, Low,4,1, Moderate,8,1,59, Medium,47
12,33, High, Web development, Expert, Weekly,14, High,4,0, Fast,9,0,45, High,60
14,70, Low, Web development, Expert, Daily,13, High,2,0, Fast,8,1,45, Low,69
4,36, High, Mobile app, Advanced, Weekly,4, Medium,3,1, Slow,7,0,60, High,64
11,50, Medium, Desktop app, Beginner, Daily,9, Low,4,0, Moderate,6,2,35, Medium,57
14,75, High, Web development, Expert, Weekly,14, High,2,2, Fast,9,1,60, High,37
14,53, Low, Mobile app, Advanced, Daily,9, Medium,3,1, Slow,9,1,31, Low,55
12,48, High, Desktop app, Beginner, Weekly,9, Low,2,0, Moderate,10,2,60, High,62
7,60, Low, Web development, Expert, Daily,7, High,4,0, Fast,9,0,54, Low,49
6,49, Medium, Mobile app, Advanced, Weekly,14, Medium,2,1, Slow,7,3,31, Medium,37
10,70, Low, Web development, Expert, Daily,5, High,2,2, Fast,9,3,53, Low,70
6,67, Medium, Desktop app, Beginner, Weekly,7, Low,3,0, Moderate,5,0,44, Medium,42
6,79, High, Mobile app, Advanced, Daily,5, Medium,5,0, Slow,8,3,33, High,64
9,32, Low, Web development, Expert, Weekly,4, High,3,1, Fast,5,0,55, Low,64
11,76, Medium, Desktop app, Beginner, Daily,4, Low,5,0, Moderate,6,0,42, Medium,62
13,51, Low, Mobile app, Expert, Weekly,13, High,4,1, Fast,9,2,41, Low,45
10,41, High, Web development, Advanced, Daily,8, Medium,4,0, Slow,10,3,31, High,36
12,67, Medium, Mobile app, Beginner, Weekly,7, Low,4,1, Moderate,10,0,49, Medium,71
11,41, High, Desktop app, Expert, Daily,7, High,2,0, Fast,5,0,44, High,71
10,77, Low, Web development, Advanced, Weekly,9, Medium,4,2, Slow,6,0,49, Low,56
9,48, Medium, Desktop app, Beginner, Daily,7, Low,4,0, Moderate,7,0,59, Medium,62
11,80, High, Web development, Expert, Weekly,4, High,2,0, Fast,10,2,41, High,35
4,47, Low, Web development, Expert, Daily,4, High,4,2, Fast,10,0,35, Low,68
7,34, High, Mobile app, Advanced, Weekly,14, Medium,4,1, Slow,5,2,54, High,32
9,51, Medium, Desktop app, Beginner, Daily,9, Low,5,1, Moderate,6,1,52, Medium,49
6,50, High, Web development, Expert, Weekly,7, High,3,0, Fast,5,2,54, High,49
11,73, Low, Mobile app, Advanced, Daily,9, Medium,5,1, Slow,10,2,52, Low,70
6,57, High, Desktop app, Beginner, Weekly,9, Low,5,0, Moderate,10,0,35, High,54
6,64, Low, Web development, Expert, Daily,12, High,3,1, Fast,5,2,52, Low,33
7,63, Medium, Mobile app, Advanced, Weekly,4, Medium,2,2, Slow,8,0,51, Medium,61
13,76, Low, Web development, Expert, Daily,10, High,3,0, Fast,5,3,37, Low,56
6,34, Medium, Desktop app, Beginner, Weekly,13, Low,2,2, Moderate,7,3,44, Medium,40
9,56, High, Mobile app, Advanced, Daily,11, Medium,3,2, Slow,8,0,44, High,51
8,62, Low, Web development, Expert, Weekly,11, High,2,0, Fast,10,3,36, Low,40
10,73, Medium, Desktop app, Beginner, Daily,14, Low,2,0, Moderate,10,1,32, Medium,55
5,69, Low, Mobile app, Expert, Weekly,5, High,2,0, Fast,5,0,37, Low,49
8,43, High, Web development, Advanced, Daily,13, Medium,5,0, Slow,9,2,49, High,41
4,46, Medium, Mobile app, Beginner, Weekly,14, Low,2,2, Moderate,5,1,34, Medium,60
6,52, High, Desktop app, Expert, Daily,10, High,5,1, Fast,5,2,37, High,37
9,75, Low, Web development, Advanced, Weekly,5, Medium,4,1, Slow,10,1,52, Low,47
14,62, Medium, Desktop app, Beginner, Daily,8, Low,3,0, Moderate,7,3,50, Medium,53
4,64, High, Web development, Expert, Weekly,11, High,2,1, Fast,5,3,54, High,51
14,60, Low, Web development, Expert, Daily,8, High,3,0, Fast,8,1,40, Low,66
13,68, High, Mobile app, Advanced, Weekly,9, Medium,4,0, Slow,10,0,31, High,44
9,56, Medium, Desktop app, Beginner, Daily,11, Low,2,1, Moderate,8,0,57, Medium,63
10,61, High, Web development, Expert, Weekly,7, High,4,0, Fast,10,2,38, High,52
14,78, Low, Mobile app, Advanced, Daily,13, Medium,2,1, Slow,7,2,49, Low,55
11,78, High, Desktop app, Beginner, Weekly,13, Low,5,1, Moderate,7,0,46, High,52
6,67, Low, Web development, Expert, Daily,7, High,5,1, Fast,7,2,36, Low,69
11,52, Medium, Mobile app, Advanced, Weekly,5, Medium,2,1, Slow,6,0,59, Medium,34
11,73, Low, Web development, Expert, Daily,6, High,2,2, Fast,5,3,45, Low,72
5,31, Medium, Desktop app, Beginner, Weekly,5, Low,3,2, Moderate,6,3,46, Medium,66
12,43, High, Mobile app, Advanced, Daily,14, Medium,4,2, Slow,10,1,45, High,65
12,67, Low, Web development, Expert, Weekly,7, High,4,0, Fast,7,2,59, Low,53
7,79, Medium, Desktop app, Beginner, Daily,8, Low,3,1, Moderate,8,2,45, Medium,72
5,80, Low, Mobile app, Expert, Weekly,12, High,2,2, Fast,10,2,54, Low,57
5,69, High, Web development, Advanced, Daily,14, Medium,5,1, Slow,10,2,59, High,57
11,45, Medium, Mobile app, Beginner, Weekly,7, Low,2,2, Moderate,7,0,31, Medium,70
14,47, High, Desktop app, Expert, Daily,14, High,5,2, Fast,10,3,53, High,65
7,79, Low, Web development, Advanced, Weekly,5, Medium,3,2, Slow,6,0,45, Low,40
6,74, Medium, Desktop app, Beginner, Daily,9, Low,5,1, Moderate,8,0,44, Medium,35
8,48, High, Web development, Expert, Weekly,13, High,5,0, Fast,10,2,35, High,48
14,56, Low, Web development, Expert, Daily,11, High,5,0, Fast,6,1,52, Low,35
12,64, High, Mobile app, Advanced, Weekly,7, Medium,3,2, Slow,6,1,40, High,50
4,67, Medium, Desktop app, Beginner, Daily,9, Low,4,1, Moderate,10,3,46, Medium,48
12,34, High, Web development, Expert, Weekly,9, High,3,1, Fast,10,0,58, High,50
13,39, Low, Mobile app, Advanced, Daily,12, Medium,2,0, Slow,10,1,32, Low,46
11,77, High, Desktop app, Beginner, Weekly,4, Low,5,1, Moderate,9,2,44, High,52
6,70, Low, Web development, Expert, Daily,6, High,4,1, Fast,6,2,51, Low,55
14,31, Medium, Mobile app, Advanced, Weekly,11, Medium,3,2, Slow,9,3,58, Medium,66
11,39, Low, Web development, Expert, Daily,8, High,5,1, Fast,10,2,31, Low,42
12,75, Medium, Desktop app, Beginner, Weekly,9, Low,5,0, Moderate,6,0,47, Medium,55
5,33, High, Mobile app, Advanced, Daily,6, Medium,4,2, Slow,8,0,39, High,44
13,52, Low, Web development, Expert, Weekly,14, High,2,0, Fast,10,0,49, Low,63
11,45, Medium, Desktop app, Beginner, Daily,14, Low,4,0, Moderate,9,3,47, Medium,60
11,44, Low, Mobile app, Expert, Weekly,10, High,4,1, Fast,7,0,50, Low,64
11,40, High, Web development, Advanced, Daily,7, Medium,4,1, Slow,9,0,59, High,42
4,63, Medium, Mobile app, Beginner, Weekly,7, Low,2,1, Moderate,8,1,31, Medium,44
8,49, High, Desktop app, Expert, Daily,4, High,3,2, Fast,8,2,53, High,60
14,43, Low, Web development, Advanced, Weekly,5, Medium,2,1, Slow,7,0,59, Low,34
8,33, Medium, Desktop app, Beginner, Daily,14, Low,4,1, Moderate,9,1,38, Medium,33
14,72, High, Web development, Expert, Weekly,14, High,3,1, Fast,7,3,44, High,48
10,46, Low, Web development, Expert, Daily,9, High,4,1, Fast,7,2,56, Low,36
5,80, High, Mobile app, Advanced, Weekly,9, Medium,3,2, Slow,6,3,52, High,64
4,31, Medium, Desktop app, Beginner, Daily,9, Low,4,2, Moderate,10,3,48, Medium,70
8,57, High, Web development, Expert, Weekly,10, High,4,1, Fast,7,3,39, High,52
13,57, Low, Mobile app, Advanced, Daily,8, Medium,3,2, Slow,8,0,56, Low,42
12,53, High, Desktop app, Beginner, Weekly,13, Low,3,2, Moderate,9,3,55, High,68
13,54, Low, Web development, Expert, Daily,5, High,2,0, Fast,10,1,57, Low,50
4,75, Medium, Mobile app, Advanced, Weekly,6, Medium,3,0, Slow,9,3,45, Medium,55
13,78, Low, Web development, Expert, Daily,4, High,2,0, Fast,10,1,52, Low,64
12,72, Medium, Desktop app, Beginner, Weekly,11, Low,2,2, Moderate,8,3,59, Medium,72
13,73, High, Mobile app, Advanced, Daily,10, Medium,2,1, Slow,9,0,43, High,46
13,66, Low, Web development, Expert, Weekly,4, High,5,0, Fast,6,2,34, Low,72
7,66, Medium, Desktop app, Beginner, Daily,9, Low,2,0, Moderate,6,3,40, Medium,41
10,34, Low, Mobile app, Expert, Weekly,5, High,2,2, Fast,7,0,60, Low,67
11,47, High, Web development, Advanced, Daily,10, Medium,2,0, Slow,8,2,41, High,55
6,44, Medium, Mobile app, Beginner, Weekly,11, Low,5,2, Moderate,7,3,58, Medium,34
12,55, High, Desktop app, Expert, Daily,9, High,2,1, Fast,6,2,50, High,46
12,65, Low, Web development, Advanced, Weekly,6, Medium,5,1, Slow,5,3,57, Low,72
10,41, Medium, Desktop app, Beginner, Daily,14, Low,3,1, Moderate,7,1,36, Medium,70
8,42, High, Web development, Expert, Weekly,5, High,2,0, Fast,6,3,52, High,62
10,35, Low, Web development, Expert, Daily,7, High,4,2, Fast,10,3,59, Low,70
13,78, High, Mobile app, Advanced, Weekly,10, Medium,5,0, Slow,7,1,41, High,39
14,41, Medium, Desktop app, Beginner, Daily,14, Low,5,2, Moderate,5,3,31, Medium,60
10,62, High, Web development, Expert, Weekly,9, High,2,1, Fast,6,3,36, High,63
8,33, Low, Mobile app, Advanced, Daily,7, Medium,4,0, Slow,5,3,56, Low,46
14,58, High, Desktop app, Beginner, Weekly,11, Low,4,2, Moderate,10,1,50, High,37
10,73, Low, Web development, Expert, Daily,13, High,4,0, Fast,6,3,32, Low,37
11,77, Medium, Mobile app, Advanced, Weekly,7, Medium,4,0, Slow,7,0,43, Medium,52
5,53, Low, Web development, Expert, Daily,8, High,3,1, Fast,10,1,46, Low,35
6,61, Medium, Desktop app, Beginner, Weekly,12, Low,2,0, Moderate,10,0,49, Medium,39
9,53, High, Mobile app, Advanced, Daily,13, Medium,3,1, Slow,7,0,49, High,38
12,45, Low, Web development, Expert, Weekly,5, High,4,2, Fast,6,0,53, Low,32
7,75, Medium, Desktop app, Beginner, Daily,6, Low,2,0, Moderate,6,2,56, Medium,67
13,63, Low, Mobile app, Expert, Weekly,4, High,5,2, Fast,5,2,34, Low,44
8,32, High, Web development, Advanced, Daily,4, Medium,3,2, Slow,8,0,34, High,67
12,66, Medium, Mobile app, Beginner, Weekly,11, Low,3,0, Moderate,5,3,53, Medium,66
4,52, High, Desktop app, Expert, Daily,10, High,4,2, Fast,6,3,42, High,38
5,73, Low, Web development, Advanced, Weekly,8, Medium,2,0, Slow,8,0,36, Low,63
8,70, Medium, Desktop app, Beginner, Daily,11, Low,2,1, Moderate,9,0,48, Medium,72
9,48, High, Web development, Expert, Weekly,13, High,5,2, Fast,5,2,39, High,68
11,56, Low, Web development, Expert, Daily,8, High,5,0, Fast,5,3,60, Low,69
7,33, High, Mobile app, Advanced, Weekly,11, Medium,5,1, Slow,7,3,57, High,47
6,75, Medium, Desktop app, Beginner, Daily,7, Low,4,0, Moderate,9,0,53, Medium,73
9,75, High, Web development, Expert, Weekly,13, High,4,0, Fast,9,1,47, High,62
13,30, Low, Mobile app, Advanced, Daily,12, Medium,4,0, Slow,6,0,46, Low,35
11,75, High, Desktop app, Beginner, Weekly,4, Low,4,1, Moderate,8,1,60, High,33
10,51, Low, Web development, Expert, Daily,9, High,3,1, Fast,5,3,44, Low,36
4,76, Medium, Mobile app, Advanced, Weekly,5, Medium,2,1, Slow,6,1,40, Medium,54
6,35, Low, Web development, Expert, Daily,11, High,4,1, Fast,7,1,57, Low,74
14,60, Medium, Desktop app, Beginner, Weekly,4, Low,5,2, Moderate,7,0,51, Medium,52
11,78, High, Mobile app, Advanced, Daily,13, Medium,2,0, Slow,10,2,50, High,66
14,33, Low, Web development, Expert, Weekly,12, High,4,2, Fast,10,1,30, Low,52
10,76, Medium, Desktop app, Beginner, Daily,14, Low,5,2, Moderate,6,0,47, Medium,57
14,73, Low, Mobile app, Expert, Weekly,7, High,4,2, Fast,7,3,30, Low,42
12,62, High, Web development, Advanced, Daily,5, Medium,3,1, Slow,6,2,34, High,37
4,59, Medium, Mobile app, Beginner, Weekly,12, Low,2,1, Moderate,9,0,32, Medium,73
7,59, High, Desktop app, Expert, Daily,11, High,2,1, Fast,6,2,53, High,32
5,76, Low, Web development, Advanced, Weekly,8, Medium,2,1, Slow,5,3,38, Low,70
5,53, Medium, Desktop app, Beginner, Daily,6, Low,3,0, Moderate,5,1,32, Medium,38
14,48, High, Web development, Expert, Weekly,12, High,5,0, Fast,5,0,50, High,53
6,64, Low, Web development, Expert, Daily,6, High,3,1, Fast,8,2,32, Low,52
13,72, High, Mobile app, Advanced, Weekly,9, Medium,3,0, Slow,6,2,54, High,54
9,37, Medium, Desktop app, Beginner, Daily,10, Low,5,0, Moderate,9,1,56, Medium,41
6,50, High, Web development, Expert, Weekly,10, High,4,1, Fast,5,0,60, High,65
4,74, Low, Mobile app, Advanced, Daily,8, Medium,5,2, Slow,5,1,33, Low,49
10,65, High, Desktop app, Beginner, Weekly,14, Low,5,1, Moderate,10,3,38, High,47
7,33, Low, Web development, Expert, Daily,7, High,3,2, Fast,8,3,59, Low,50
5,79, Medium, Mobile app, Advanced, Weekly,14, Medium,4,0, Slow,5,0,32, Medium,43
10,36, Low, Web development, Expert, Daily,6, High,4,1, Fast,9,1,34, Low,74
7,62, Medium, Desktop app, Beginner, Weekly,4, Low,4,1, Moderate,7,2,52, Medium,51
8,45, High, Mobile app, Advanced, Daily,12, Medium,4,0, Slow,8,1,42, High,71
7,57, Low, Web development, Expert, Weekly,12, High,4,0, Fast,7,2,30, Low,39
6,54, Medium, Desktop app, Beginner, Daily,8, Low,5,0, Moderate,10,0,35, Medium,44
10,31, Low, Mobile app, Expert, Weekly,6, High,2,0, Fast,7,2,42, Low,60
9,55, High, Web development, Advanced, Daily,11, Medium,4,2, Slow,10,3,51, High,36
14,51, Medium, Mobile app, Beginner, Weekly,7, Low,5,1, Moderate,8,2,53, Medium,53
10,79, High, Desktop app, Expert, Daily,11, High,4,2, Fast,5,0,46, High,53
11,67, Low, Web development, Advanced, Weekly,12, Medium,2,2, Slow,10,2,38, Low,38
5,31, Medium, Desktop app, Beginner, Daily,9, Low,3,0, Moderate,10,2,56, Medium,43
8,50, High, Web development, Expert, Weekly,8, High,4,0, Fast,10,3,54, High,41
8,47, Medium, Desktop app, Beginner, Weekly,12, Low,2,1, Moderate,5,2,39, Medium,54
12,49, High, Mobile app, Advanced, Daily,14, Medium,5,0, Slow,8,3,37, High,68
10,40, Low, Web development, Expert, Weekly,13, High,5,0, Fast,7,0,58, Low,33
7,78, Medium, Desktop app, Beginner, Daily,5, Low,4,1, Moderate,7,3,53, Medium,32
7,53, Low, Mobile app, Expert, Weekly,13, High,3,1, Fast,10,0,35, Low,71
6,49, High, Web development, Advanced, Daily,11, Medium,3,2, Slow,7,1,30, High,63
9,46, Medium, Mobile app, Beginner, Weekly,4, Low,5,0, Moderate,7,2,44, Medium,63
5,65, High, Desktop app, Expert, Daily,4, High,4,0, Fast,5,3,52, High,40
10,66, Low, Web development, Advanced, Weekly,5, Medium,3,1, Slow,5,1,35, Low,65
7,78, Medium, Desktop app, Beginner, Daily,9, Low,2,1, Moderate,10,0,60, Medium,34
7,62, High, Web development, Expert, Weekly,8, High,5,0, Fast,7,0,30, High,48
12,61, Low, Web development, Expert, Daily,6, High,4,1, Fast,9,2,57, Low,50
6,49, High, Mobile app, Advanced, Weekly,11, Medium,4,1, Slow,10,2,39, High,58
11,30, Medium, Desktop app, Beginner, Daily,5, Low,5,0, Moderate,5,0,36, Medium,34
12,37, High, Web development, Expert, Weekly,4, High,4,2, Fast,10,1,44, High,60
10,51, Low, Mobile app, Advanced, Daily,9, Medium,2,1, Slow,10,2,57, Low,68
6,62, High, Desktop app, Beginner, Weekly,11, Low,4,2, Moderate,10,0,52, High,50
12,30, Low, Web development, Expert, Daily,9, High,4,1, Fast,5,1,51, Low,73
8,58, Medium, Mobile app, Advanced, Weekly,14, Medium,5,1, Slow,9,1,34, Medium,33
8,41, High, Desktop app, Beginner, Weekly,11, Low,3,2, Moderate,10,3,35, High,58
11,34, Low, Web development, Expert, Daily,13, High,2,2, Fast,10,2,35, Low,32
6,71, Medium, Mobile app, Advanced, Weekly,8, Medium,3,2, Slow,7,3,57, Medium,49
7,79, Low, Web development, Expert, Daily,7, High,4,1, Fast,7,0,30, Low,60
6,60, Medium, Desktop app, Beginner, Weekly,13, Low,4,2, Moderate,10,2,54, Medium,73
11,79, High, Mobile app, Advanced, Daily,4, Medium,2,1, Slow,9,2,48, High,74
9,74, Low, Web development, Expert, Weekly,6, High,4,1, Fast,10,0,60, Low,52
8,76, Medium, Desktop app, Beginner, Daily,4, Low,5,1, Moderate,7,1,52, Medium,49
4,59, Low, Mobile app, Expert, Weekly,11, High,5,2, Fast,6,3,55, Low,47
8,70, High, Web development, Advanced, Daily,6, Medium,4,1, Slow,7,1,44, High,56
14,72, Medium, Mobile app, Beginner, Weekly,5, Low,5,0, Moderate,6,1,30, Medium,41
6,78, High, Desktop app, Expert, Daily,9, High,2,1, Fast,7,1,49, High,44
9,46, Low, Web development, Advanced, Weekly,7, Medium,2,2, Slow,5,3,53, Low,51
7,71, Medium, Desktop app, Beginner, Daily,10, Low,2,0, Moderate,7,1,56, Medium,33
13,66, High, Web development, Expert, Weekly,10, High,2,0, Fast,10,3,53, High,63
5,56, Medium, Desktop app, Beginner, Weekly,10, Low,5,2, Moderate,8,1,51, Medium,73
6,49, High, Mobile app, Advanced, Daily,13, Medium,2,2, Slow,7,2,59, High,59
14,57, Low, Web development, Expert, Weekly,12, High,2,0, Fast,9,1,51, Low,63
12,59, Medium, Desktop app, Beginner, Daily,13, Low,4,0, Moderate,5,1,40, Medium,33
8,54, Low, Mobile app, Expert, Weekly,14, High,5,2, Fast,6,0,48, Low,64
14,31, High, Web development, Advanced, Daily,6, Medium,3,1, Slow,5,1,52, High,55
7,56, Medium, Mobile app, Beginner, Weekly,4, Low,4,0, Moderate,9,0,59, Medium,47
12,71, High, Desktop app, Expert, Daily,6, High,2,1, Fast,6,3,46, High,54
12,59, Low, Web development, Advanced, Weekly,10, Medium,5,1, Slow,8,0,32, Low,53
7,33, Medium, Desktop app, Beginner, Daily,11, Low,2,2, Moderate,9,3,60, Medium,59
6,53, High, Web development, Expert, Weekly,10, High,4,0, Fast,5,0,41, High,62
5,30, Low, Web development, Expert, Daily,10, High,5,1, Fast,5,1,53, Low,50
10,36, High, Mobile app, Advanced, Weekly,5, Medium,3,1, Slow,7,1,45, High,63
9,65, Medium, Desktop app, Beginner, Daily,13, Low,5,1, Moderate,6,3,47, Medium,69
5,74, High, Web development, Expert, Weekly,9, High,4,1, Fast,8,0,43, High,44
7,51, Low, Mobile app, Advanced, Daily,14, Medium,4,0, Slow,9,1,54, Low,63
7,68, High, Desktop app, Beginner, Weekly,14, Low,3,1, Moderate,10,0,38, High,34
