Rank,School,School URL,District,District URL,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Standard Score
73,Collins Hill High School,https://www.schooldigger.com/go/GA/schools/0255000959/school.aspx,Gwinnett County,https://www.schooldigger.com/go/GA/district/02550/search.aspx,Suwanee,https://www.schooldigger.com/go/GA/city/Suwanee/search.aspx,30024,Gwinnett,(770) 682-4100,9,12,No,No,No,No,3145,160.5,19.5,0.40,0.29,0.00,0.13,0.26,0.00,0.05,0.28,70
74,Fannin County High School,https://www.schooldigger.com/go/GA/schools/0210000912/school.aspx,Fannin County,https://www.schooldigger.com/go/GA/district/02100/search.aspx,Blue Ridge,https://www.schooldigger.com/go/GA/city/Blue+Ridge/search.aspx,30513,Fannin,(706) 632-2081,9,12,No,No,No,No,911,60.4,15,0.52,0.00,0.00,0.00,0.04,0.00,0.03,0.92,69.9
75,Duluth High School,https://www.schooldigger.com/go/GA/schools/0255001118/school.aspx,Gwinnett County,https://www.schooldigger.com/go/GA/district/02550/search.aspx,Duluth,https://www.schooldigger.com/go/GA/city/Duluth/search.aspx,30096,Gwinnett,(770) 476-5206,9,12,Yes,No,No,No,2731,145.6,18.7,0.56,0.30,0.00,0.17,0.31,0.00,0.04,0.18,69.9
76,River Ridge High School,https://www.schooldigger.com/go/GA/schools/0111004019/school.aspx,Cherokee County,https://www.schooldigger.com/go/GA/district/01110/search.aspx,Woodstock,https://www.schooldigger.com/go/GA/city/Woodstock/search.aspx,30188,Cherokee,(770) 721-6500,9,12,No,No,No,No,1756,98.6,17.8,0.23,0.09,0.00,0.04,0.17,0.00,0.04,0.66,69.9
77,Chamblee Charter High School,https://www.schooldigger.com/go/GA/schools/0174000692/school.aspx,Dekalb County,https://www.schooldigger.com/go/GA/district/01740/search.aspx,Chamblee,https://www.schooldigger.com/go/GA/city/Chamblee/search.aspx,30341,DeKalb,(678) 676-6902,9,12,Yes,Yes,No,No,1651,92,17.9,0.37,0.31,0.01,0.11,0.26,0.00,0.03,0.29,69.9
78,Heard County High School,https://www.schooldigger.com/go/GA/schools/0279001201/school.aspx,Heard County,https://www.schooldigger.com/go/GA/district/02790/search.aspx,Franklin,https://www.schooldigger.com/go/GA/city/Franklin/search.aspx,30217,Heard,(706) 675-3656,9,12,No,No,No,No,636,37.3,17,0.63,0.12,0.00,0.01,0.03,0.00,0.03,0.81,69.9
79,Jackson County High School,https://www.schooldigger.com/go/GA/schools/0294002134/school.aspx,Jackson County,https://www.schooldigger.com/go/GA/district/02940/search.aspx,Jefferson,https://www.schooldigger.com/go/GA/city/Jefferson/search.aspx,30549,Jackson,(706) 367-5003,9,12,No,No,No,No,1174,64.4,18.2,0.32,0.05,0.00,0.04,0.12,0.00,0.03,0.77,69.4
80,Heritage High School,https://www.schooldigger.com/go/GA/schools/0093003688/school.aspx,Catoosa County,https://www.schooldigger.com/go/GA/district/00930/search.aspx,Ringgold,https://www.schooldigger.com/go/GA/city/Ringgold/search.aspx,30736,Catoosa,(706) 937-6464,9,12,No,No,No,No,1320,83.9,15.7,0.33,0.02,0.00,0.01,0.03,0.00,0.03,0.91,68.9
81,Lee County High School,https://www.schooldigger.com/go/GA/schools/0327000057/school.aspx,Lee County,https://www.schooldigger.com/go/GA/district/03270/search.aspx,Leesburg,https://www.schooldigger.com/go/GA/city/Leesburg/search.aspx,31763,Lee,(229) 903-2260,9,12,Yes,No,No,No,1365,75.7,18,0.38,0.24,0.00,0.03,0.03,0.00,0.03,0.67,68.7
82,Wheeler High School,https://www.schooldigger.com/go/GA/schools/0129000529/school.aspx,Cobb County,https://www.schooldigger.com/go/GA/district/01290/search.aspx,Marietta,https://www.schooldigger.com/go/GA/city/Marietta/search.aspx,30068,Cobb,(770) 578-3266,9,12,No,No,No,No,2165,123.5,17.5,0.47,0.40,0.00,0.11,0.19,0.00,0.03,0.27,68.5
83,Sprayberry High School,https://www.schooldigger.com/go/GA/schools/0129000545/school.aspx,Cobb County,https://www.schooldigger.com/go/GA/district/01290/search.aspx,Marietta,https://www.schooldigger.com/go/GA/city/Marietta/search.aspx,30066,Cobb,(770) 578-3200,9,12,No,No,No,No,1693,98.2,17.2,0.41,0.28,0.01,0.07,0.20,0.00,0.06,0.39,68.3
84,Kell High School,https://www.schooldigger.com/go/GA/schools/0129002526/school.aspx,Cobb County,https://www.schooldigger.com/go/GA/district/01290/search.aspx,Marietta,https://www.schooldigger.com/go/GA/city/Marietta/search.aspx,30066,Cobb,(678) 494-7844,9,12,No,No,No,No,1559,82.3,18.9,0.35,0.24,0.00,0.02,0.17,0.00,0.04,0.54,68.1
85,Southeast Bulloch High School,https://www.schooldigger.com/go/GA/schools/0063003550/school.aspx,Bulloch County,https://www.schooldigger.com/go/GA/district/00630/search.aspx,Brooklet,https://www.schooldigger.com/go/GA/city/Brooklet/search.aspx,30415,Bulloch,(912) 842-8440,9,12,No,No,No,No,967,48.4,19.9,0.45,0.12,0.00,0.01,0.05,0.00,0.03,0.79,67.9
86,Northgate High School,https://www.schooldigger.com/go/GA/schools/0150001108/school.aspx,Coweta County,https://www.schooldigger.com/go/GA/district/01500/search.aspx,Newnan,https://www.schooldigger.com/go/GA/city/Newnan/search.aspx,30265,Coweta,(770) 463-5585,9,12,No,No,No,No,1820,103,17.6,0.24,0.13,0.00,0.02,0.08,0.00,0.03,0.74,67.7
87,Richmond Hill High School,https://www.schooldigger.com/go/GA/schools/0057001873/school.aspx,Bryan County,https://www.schooldigger.com/go/GA/district/00570/search.aspx,Richmond Hill,https://www.schooldigger.com/go/GA/city/Richmond+Hill/search.aspx,31324,Bryan,(912) 459-5151,9,12,No,No,No,No,2097,104.8,20,0.25,0.17,0.00,0.04,0.08,0.00,0.04,0.67,67.7
88,Arabia Mountain High School - Academy of Engineering- Medic,https://www.schooldigger.com/go/GA/schools/0174003915/school.aspx,Dekalb County,https://www.schooldigger.com/go/GA/district/01740/search.aspx,Lithonia,https://www.schooldigger.com/go/GA/city/Lithonia/search.aspx,30038,DeKalb,(678) 875-3602,9,12,Yes,No,No,No,1423,74.5,19.1,0.49,0.98,0.00,0.00,0.02,0.00,0.01,0.00,67.4
89,Early College Academy of Columbus at Waverly Terrace,https://www.schooldigger.com/go/GA/schools/0387003636/school.aspx,Muscogee County,https://www.schooldigger.com/go/GA/district/03870/search.aspx,Columbus,https://www.schooldigger.com/go/GA/city/Columbus/search.aspx,31904,Muscogee,(706) 565-2965,9,12,Yes,No,No,No,170,10.5,16.1,1.00,0.82,0.00,0.00,0.03,0.01,0.04,0.10,67.4
90,Grovetown High School,https://www.schooldigger.com/go/GA/schools/0141003903/school.aspx,Columbia County,https://www.schooldigger.com/go/GA/district/01410/search.aspx,Grovetown,https://www.schooldigger.com/go/GA/city/Grovetown/search.aspx,30813,Columbia,(706) 447-2102,9,12,No,No,No,No,1956,104.7,18.6,0.39,0.37,0.01,0.02,0.14,0.00,0.06,0.40,66.5
91,Northside High School,https://www.schooldigger.com/go/GA/schools/0387002583/school.aspx,Muscogee County,https://www.schooldigger.com/go/GA/district/03870/search.aspx,Columbus,https://www.schooldigger.com/go/GA/city/Columbus/search.aspx,31909,Muscogee,(706) 748-2920,9,12,No,No,No,No,1404,79.5,17.6,0.35,0.28,0.01,0.02,0.07,0.00,0.06,0.56,66
92,Armuchee High School,https://www.schooldigger.com/go/GA/schools/0219002375/school.aspx,Floyd County,https://www.schooldigger.com/go/GA/district/02190/search.aspx,Rome,https://www.schooldigger.com/go/GA/city/Rome/search.aspx,30165,Floyd,(706) 236-1888,9,12,Yes,No,No,No,526,34,15.4,0.23,0.03,0.00,0.01,0.03,0.00,0.02,0.91,65.9
93,Savannah Early College High School,https://www.schooldigger.com/go/GA/schools/0102004196/school.aspx,Savannah-Chatham County,https://www.schooldigger.com/go/GA/district/01020/search.aspx,Savannah,https://www.schooldigger.com/go/GA/city/Savannah/search.aspx,31404,Chatham,(912) 395-2535,9,12,No,No,No,No,193,11.1,17.3,0.60,0.73,0.00,0.02,0.06,0.00,0.05,0.14,65.8
94,Sandy Creek High School,https://www.schooldigger.com/go/GA/schools/0213002167/school.aspx,Fayette County,https://www.schooldigger.com/go/GA/district/02130/search.aspx,Tyrone,https://www.schooldigger.com/go/GA/city/Tyrone/search.aspx,30290,Fayette,(770) 969-2840,9,12,No,No,No,No,1207,83,14.5,0.34,0.56,0.01,0.03,0.16,0.00,0.05,0.20,65.7
95,Dunwoody High School,https://www.schooldigger.com/go/GA/schools/0174000690/school.aspx,Dekalb County,https://www.schooldigger.com/go/GA/district/01740/search.aspx,Dunwoody,https://www.schooldigger.com/go/GA/city/Dunwoody/search.aspx,30338,DeKalb,(678) 874-8502,9,12,No,No,No,No,1840,102.5,17.9,0.25,0.16,0.01,0.07,0.25,0.00,0.02,0.49,65.5
96,North Cobb High School,https://www.schooldigger.com/go/GA/schools/0129000525/school.aspx,Cobb County,https://www.schooldigger.com/go/GA/district/01290/search.aspx,Kennesaw,https://www.schooldigger.com/go/GA/city/Kennesaw/search.aspx,30144,Cobb,(770) 975-6685,9,12,No,No,No,No,2900,145,20,0.40,0.35,0.00,0.05,0.16,0.00,0.05,0.39,65.5
97,Carrollton High School,https://www.schooldigger.com/go/GA/schools/0087000334/school.aspx,Carrollton City,https://www.schooldigger.com/go/GA/district/00870/search.aspx,Carrollton,https://www.schooldigger.com/go/GA/city/Carrollton/search.aspx,30117,Carroll,(770) 834-7726,9,12,No,No,No,No,1525,84.7,18,0.47,0.30,0.00,0.01,0.17,0.00,0.05,0.47,65.3
98,South Effingham High School,https://www.schooldigger.com/go/GA/schools/0198001594/school.aspx,Effingham County,https://www.schooldigger.com/go/GA/district/01980/search.aspx,Guyton,https://www.schooldigger.com/go/GA/city/Guyton/search.aspx,31312,Effingham,(912) 728-7511,9,12,No,No,No,No,1594,87.8,18.1,0.26,0.09,0.00,0.01,0.06,0.00,0.03,0.80,64.9
99,Rabun County High School,https://www.schooldigger.com/go/GA/schools/0432001520/school.aspx,Rabun County,https://www.schooldigger.com/go/GA/district/04320/search.aspx,Tiger,https://www.schooldigger.com/go/GA/city/Tiger/search.aspx,30576,Rabun,(706) 782-4526,9,12,No,No,No,No,642,49.2,13,0.56,0.01,0.01,0.00,0.14,0.00,0.01,0.83,64.9
100,Ola High School,https://www.schooldigger.com/go/GA/schools/0282003414/school.aspx,Henry County,https://www.schooldigger.com/go/GA/district/02820/search.aspx,McDonough,https://www.schooldigger.com/go/GA/city/McDonough/search.aspx,30252,Henry,(770) 288-3222,9,12,No,No,No,No,1577,94.3,16.7,0.26,0.22,0.00,0.01,0.05,0.00,0.03,0.70,64.9
101,East Jackson Comprehensive High School,https://www.schooldigger.com/go/GA/schools/0294003421/school.aspx,Jackson County,https://www.schooldigger.com/go/GA/district/02940/search.aspx,Commerce,https://www.schooldigger.com/go/GA/city/Commerce/search.aspx,30529,Jackson,(706) 336-8900,8,12,Yes,No,No,No,926,61,15.1,0.59,0.06,0.00,0.02,0.15,0.00,0.04,0.73,64.8
102,West Laurens High School,https://www.schooldigger.com/go/GA/schools/0189003887/school.aspx,Laurens County,https://www.schooldigger.com/go/GA/district/01890/search.aspx,Dexter,https://www.schooldigger.com/go/GA/city/Dexter/search.aspx,31019,Laurens,(478) 875-1000,9,12,No,No,No,No,1236,70.3,17.5,0.46,0.25,0.00,0.01,0.03,0.00,0.01,0.70,64.2
103,Eastside High School,https://www.schooldigger.com/go/GA/schools/0393001023/school.aspx,Newton County,https://www.schooldigger.com/go/GA/district/03930/search.aspx,Covington,https://www.schooldigger.com/go/GA/city/Covington/search.aspx,30014,Newton,(770) 784-2920,9,12,Yes,No,No,No,1395,77.6,17.9,0.46,0.34,0.00,0.01,0.05,0.00,0.03,0.56,63.9
104,Richmond County Technical Career Magnet School,https://www.schooldigger.com/go/GA/schools/0438004069/school.aspx,Richmond County,https://www.schooldigger.com/go/GA/district/04380/search.aspx,Augusta,https://www.schooldigger.com/go/GA/city/Augusta/search.aspx,30906,Richmond,(706) 823-5580,6,12,Yes,No,No,No,415,25,16.6,0.97,0.79,0.00,0.01,0.04,0.01,0.02,0.13,63.8
105,Riverwood International Charter School,https://www.schooldigger.com/go/GA/schools/0228000987/school.aspx,Fulton County,https://www.schooldigger.com/go/GA/district/02280/search.aspx,Atlanta,https://www.schooldigger.com/go/GA/city/Atlanta/search.aspx,30328,Fulton,(470) 254-1980,9,12,No,Yes,No,No,1547,95.4,16.2,0.40,0.25,0.00,0.03,0.37,0.00,0.03,0.32,63.2
106,Towns County High School,https://www.schooldigger.com/go/GA/schools/0507002999/school.aspx,Towns County,https://www.schooldigger.com/go/GA/district/05070/search.aspx,Hiawassee,https://www.schooldigger.com/go/GA/city/Hiawassee/search.aspx,30546,Towns,(706) 896-4131,9,12,Yes,No,No,No,350,25.1,13.9,0.41,0.00,0.00,0.01,0.02,0.00,0.01,0.96,63.1
107,Lowndes High School,https://www.schooldigger.com/go/GA/schools/0339001310/school.aspx,Lowndes County,https://www.schooldigger.com/go/GA/district/03390/search.aspx,Valdosta,https://www.schooldigger.com/go/GA/city/Valdosta/search.aspx,31601,Lowndes,(229) 245-2260,9,12,No,No,No,No,3005,159.6,18.8,0.42,0.25,0.00,0.01,0.08,0.00,0.04,0.62,61.7
108,Cartersville High School,https://www.schooldigger.com/go/GA/schools/0090000341/school.aspx,Cartersville City,https://www.schooldigger.com/go/GA/district/00900/search.aspx,Cartersville,https://www.schooldigger.com/go/GA/city/Cartersville/search.aspx,30120,Bartow,(770) 382-3200,9,12,No,No,No,No,1261,66.1,19,0.46,0.23,0.00,0.02,0.17,0.00,0.03,0.55,61.5
109,North Atlanta High School,https://www.schooldigger.com/go/GA/schools/0012002212/school.aspx,Atlanta Public Schools,https://www.schooldigger.com/go/GA/district/00120/search.aspx,Atlanta,https://www.schooldigger.com/go/GA/city/Atlanta/search.aspx,30327,Fulton,(404) 802-4700,9,12,Yes,No,No,No,1833,112.7,16.2,0.35,0.41,0.00,0.02,0.21,0.00,0.03,0.33,61.4
110,Newnan High School,https://www.schooldigger.com/go/GA/schools/0150000754/school.aspx,Coweta County,https://www.schooldigger.com/go/GA/district/01500/search.aspx,Newnan,https://www.schooldigger.com/go/GA/city/Newnan/search.aspx,30263,Coweta,(770) 254-2880,9,12,Yes,No,No,No,2257,128,17.6,0.43,0.27,0.00,0.00,0.06,0.00,0.03,0.63,61.3
111,Woodville-Tompkins Technical and Career High School,https://www.schooldigger.com/go/GA/schools/0102004044/school.aspx,Savannah-Chatham County,https://www.schooldigger.com/go/GA/district/01020/search.aspx,Savannah,https://www.schooldigger.com/go/GA/city/Savannah/search.aspx,31408,Chatham,(912) 395-6750,9,12,No,No,No,No,581,40.9,14.2,0.58,0.67,0.00,0.02,0.12,0.00,0.07,0.12,61.2
112,Madison County High School,https://www.schooldigger.com/go/GA/schools/0348001333/school.aspx,Madison County,https://www.schooldigger.com/go/GA/district/03480/search.aspx,Danielsville,https://www.schooldigger.com/go/GA/city/Danielsville/search.aspx,30633,Madison,(706) 795-2197,9,12,No,No,No,No,1347,90.2,14.9,0.54,0.09,0.00,0.02,0.10,0.00,0.03,0.76,59.4
113,North Springs High School,https://www.schooldigger.com/go/GA/schools/0228001024/school.aspx,Fulton County,https://www.schooldigger.com/go/GA/district/02280/search.aspx,Atlanta,https://www.schooldigger.com/go/GA/city/Atlanta/search.aspx,30328,Fulton,(470) 254-2490,9,12,No,No,No,No,1626,95,17.1,0.46,0.52,0.00,0.02,0.15,0.00,0.03,0.28,59.3
114,Centennial High School,https://www.schooldigger.com/go/GA/schools/0228002181/school.aspx,Fulton County,https://www.schooldigger.com/go/GA/district/02280/search.aspx,Roswell,https://www.schooldigger.com/go/GA/city/Roswell/search.aspx,30076,Fulton,(470) 254-4230,9,12,No,No,No,No,1996,123.3,16.1,0.34,0.24,0.00,0.05,0.23,0.00,0.04,0.45,59
115,North Paulding High School,https://www.schooldigger.com/go/GA/schools/0402003625/school.aspx,Paulding County,https://www.schooldigger.com/go/GA/district/04020/search.aspx,Dallas,https://www.schooldigger.com/go/GA/city/Dallas/search.aspx,30132,Paulding,(770) 443-9400,9,12,No,No,No,No,2201,110.8,19.8,0.19,0.14,0.00,0.01,0.09,0.00,0.03,0.73,59
116,Ringgold High School,https://www.schooldigger.com/go/GA/schools/0093000353/school.aspx,Catoosa County,https://www.schooldigger.com/go/GA/district/00930/search.aspx,Ringgold,https://www.schooldigger.com/go/GA/city/Ringgold/search.aspx,30736,Catoosa,(706) 935-2254,9,12,No,No,No,No,1055,70.7,14.9,0.43,0.03,0.00,0.01,0.03,0.00,0.02,0.91,59
117,Central High School,https://www.schooldigger.com/go/GA/schools/0084000331/school.aspx,Carroll County,https://www.schooldigger.com/go/GA/district/00840/search.aspx,Carrollton,https://www.schooldigger.com/go/GA/city/Carrollton/search.aspx,30116,Carroll,(770) 834-3386,9,12,No,No,No,No,1200,63.4,18.9,0.54,0.16,0.00,0.00,0.08,0.00,0.06,0.71,59
118,Cherokee High School,https://www.schooldigger.com/go/GA/schools/0111000432/school.aspx,Cherokee County,https://www.schooldigger.com/go/GA/district/01110/search.aspx,Canton,https://www.schooldigger.com/go/GA/city/Canton/search.aspx,30114,Cherokee,(770) 721-5300,9,12,No,No,No,No,2677,160.1,16.7,0.36,0.09,0.00,0.01,0.21,0.00,0.03,0.66,58.1
119,Effingham County High School,https://www.schooldigger.com/go/GA/schools/0198000890/school.aspx,Effingham County,https://www.schooldigger.com/go/GA/district/01980/search.aspx,Springfield,https://www.schooldigger.com/go/GA/city/Springfield/search.aspx,31329,Effingham,(912) 754-6404,9,12,No,No,No,No,1867,102.9,18.1,0.37,0.21,0.00,0.01,0.07,0.00,0.04,0.67,57.3
120,Sonoraville High School,https://www.schooldigger.com/go/GA/schools/0243003374/school.aspx,Gordon County,https://www.schooldigger.com/go/GA/district/02430/search.aspx,Calhoun,https://www.schooldigger.com/go/GA/city/Calhoun/search.aspx,30701,Gordon,(706) 602-0320,9,12,No,No,No,No,1120,70.7,15.8,0.50,0.02,0.00,0.01,0.11,0.00,0.02,0.84,57.1
121,Fayette County High School,https://www.schooldigger.com/go/GA/schools/0213002168/school.aspx,Fayette County,https://www.schooldigger.com/go/GA/district/02130/search.aspx,Fayetteville,https://www.schooldigger.com/go/GA/city/Fayetteville/search.aspx,30214,Fayette,(770) 460-3540,9,12,No,No,No,No,1364,89.5,15.2,0.40,0.58,0.01,0.05,0.11,0.00,0.07,0.18,57.1
122,Perry High School,https://www.schooldigger.com/go/GA/schools/0288001222/school.aspx,Houston County,https://www.schooldigger.com/go/GA/district/02880/search.aspx,Perry,https://www.schooldigger.com/go/GA/city/Perry/search.aspx,31069,Houston,(478) 988-6297,9,12,Yes,No,No,No,1338,75.2,17.7,0.50,0.35,0.00,0.02,0.06,0.00,0.03,0.54,56.8
123,Stephens County High School,https://www.schooldigger.com/go/GA/schools/0456001619/school.aspx,Stephens County,https://www.schooldigger.com/go/GA/district/04560/search.aspx,Toccoa,https://www.schooldigger.com/go/GA/city/Toccoa/search.aspx,30577,Stephens,(706) 886-6825,9,12,No,No,No,No,1145,72.6,15.7,0.49,0.14,0.00,0.01,0.05,0.00,0.05,0.75,56.7
124,Trion High School,https://www.schooldigger.com/go/GA/schools/0513002467/school.aspx,Trion City,https://www.schooldigger.com/go/GA/district/05130/search.aspx,Trion,https://www.schooldigger.com/go/GA/city/Trion/search.aspx,30753,Chattooga,(706) 734-7316,9,12,No,No,No,No,410,29.5,13.8,0.39,0.01,0.00,0.01,0.14,0.00,0.00,0.84,56.6
125,Georgia Connections Academy,https://www.schooldigger.com/go/GA/schools/0022704031/school.aspx,State Charter Schools- Georgia Connections Academy,https://www.schooldigger.com/go/GA/district/00227/search.aspx,Duluth,https://www.schooldigger.com/go/GA/city/Duluth/search.aspx,30097,Fulton,(678) 825-3258,KG,12,Yes,Yes,No,Yes,3987,104.5,38.1,0.44,0.35,0.00,0.02,0.08,0.00,0.05,0.50,56.5
126,Walnut Grove High School,https://www.schooldigger.com/go/GA/schools/0539003901/school.aspx,Walton County,https://www.schooldigger.com/go/GA/district/05390/search.aspx,Loganville,https://www.schooldigger.com/go/GA/city/Loganville/search.aspx,30052,Walton,(678) 507-3900,9,12,No,No,No,No,1457,76,19.1,0.37,0.18,0.00,0.01,0.04,0.00,0.03,0.75,56.5
127,Ware County High School,https://www.schooldigger.com/go/GA/schools/0543001777/school.aspx,Ware County,https://www.schooldigger.com/go/GA/district/05430/search.aspx,Waycross,https://www.schooldigger.com/go/GA/city/Waycross/search.aspx,31503,Ware,(912) 287-2351,9,12,Yes,No,No,No,1578,98.6,16,0.90,0.36,0.00,0.01,0.07,0.00,0.03,0.54,56.2
128,East Coweta High School,https://www.schooldigger.com/go/GA/schools/0150002028/school.aspx,Coweta County,https://www.schooldigger.com/go/GA/district/01500/search.aspx,Sharpsburg,https://www.schooldigger.com/go/GA/city/Sharpsburg/search.aspx,30277,Coweta,(770) 254-2850,9,12,No,No,No,No,2976,152.5,19.5,0.34,0.23,0.00,0.03,0.10,0.00,0.04,0.59,56.2
129,Lakeside High School,https://www.schooldigger.com/go/GA/schools/0174000721/school.aspx,Dekalb County,https://www.schooldigger.com/go/GA/district/01740/search.aspx,Atlanta,https://www.schooldigger.com/go/GA/city/Atlanta/search.aspx,30345,DeKalb,(678) 874-6702,9,12,Yes,No,No,No,2196,117,18.7,0.39,0.26,0.00,0.07,0.32,0.00,0.02,0.33,55.6
130,Alexander High School,https://www.schooldigger.com/go/GA/schools/0186001976/school.aspx,Douglas County,https://www.schooldigger.com/go/GA/district/01860/search.aspx,Douglasville,https://www.schooldigger.com/go/GA/city/Douglasville/search.aspx,30135,Douglas,(770) 651-6000,9,12,No,No,No,No,1805,103.3,17.4,0.37,0.27,0.00,0.01,0.08,0.00,0.05,0.59,55.5
131,Brunswick High School,https://www.schooldigger.com/go/GA/schools/0240001068/school.aspx,Glynn County,https://www.schooldigger.com/go/GA/district/02400/search.aspx,Brunswick,https://www.schooldigger.com/go/GA/city/Brunswick/search.aspx,31520,Glynn,(912) 267-4200,9,12,No,No,No,No,1758,93,18.9,0.60,0.41,0.00,0.02,0.10,0.00,0.03,0.43,55.2
132,McEachern High School,https://www.schooldigger.com/go/GA/schools/0129000533/school.aspx,Cobb County,https://www.schooldigger.com/go/GA/district/01290/search.aspx,Powder Springs,https://www.schooldigger.com/go/GA/city/Powder+Springs/search.aspx,30127,Cobb,(770) 222-3710,9,12,No,No,No,No,2364,120.5,19.6,0.60,0.69,0.00,0.01,0.16,0.00,0.03,0.10,55.1
133,Westlake High School,https://www.schooldigger.com/go/GA/schools/0228001031/school.aspx,Fulton County,https://www.schooldigger.com/go/GA/district/02280/search.aspx,Atlanta,https://www.schooldigger.com/go/GA/city/Atlanta/search.aspx,30331,Fulton,(470) 254-6400,9,12,No,No,No,No,2181,120.1,18.1,0.55,0.96,0.00,0.01,0.02,0.00,0.01,0.00,54.7
134,Habersham Central High School,https://www.schooldigger.com/go/GA/schools/0258001145/school.aspx,Habersham County,https://www.schooldigger.com/go/GA/district/02580/search.aspx,Mount Airy,https://www.schooldigger.com/go/GA/city/Mount+Airy/search.aspx,30563,Habersham,(706) 778-7161,9,12,No,No,No,No,1398,81,17.2,0.54,0.02,0.00,0.03,0.27,0.00,0.03,0.66,54.7
135,Islands High School,https://www.schooldigger.com/go/GA/schools/0102003978/school.aspx,Savannah-Chatham County,https://www.schooldigger.com/go/GA/district/01020/search.aspx,Savannah,https://www.schooldigger.com/go/GA/city/Savannah/search.aspx,31410,Chatham,(912) 395-2000,9,12,No,No,No,No,1022,59.7,17.1,0.28,0.17,0.01,0.05,0.04,0.00,0.06,0.67,54.5
136,Baconton Community Charter School,https://www.schooldigger.com/go/GA/schools/0369002416/school.aspx,Mitchell County,https://www.schooldigger.com/go/GA/district/03690/search.aspx,Baconton,https://www.schooldigger.com/go/GA/city/Baconton/search.aspx,31716,Mitchell,(229) 787-9999,KG,12,No,Yes,No,No,851,49.3,17.2,1.00,0.18,0.00,0.02,0.05,0.00,0.02,0.74,54.4
137,Bowdon High School,https://www.schooldigger.com/go/GA/schools/0084000330/school.aspx,Carroll County,https://www.schooldigger.com/go/GA/district/00840/search.aspx,Bowdon,https://www.schooldigger.com/go/GA/city/Bowdon/search.aspx,30108,Carroll,(770) 258-5408,9,12,No,No,No,No,432,23.8,18.1,0.54,0.12,0.00,0.01,0.04,0.00,0.07,0.76,54.4
138,Northwest Whitfield County High School,https://www.schooldigger.com/go/GA/schools/0570001819/school.aspx,Whitfield County,https://www.schooldigger.com/go/GA/district/05700/search.aspx,Tunnel Hill,https://www.schooldigger.com/go/GA/city/Tunnel+Hill/search.aspx,30755,Whitfield,(706) 673-6533,9,12,No,No,No,No,1358,67.9,20,0.53,0.02,0.00,0.01,0.27,0.00,0.03,0.67,54.3
139,Oglethorpe County High School,https://www.schooldigger.com/go/GA/schools/0399001468/school.aspx,Oglethorpe County,https://www.schooldigger.com/go/GA/district/03990/search.aspx,Lexington,https://www.schooldigger.com/go/GA/city/Lexington/search.aspx,30648,Oglethorpe,(706) 743-8124,9,12,Yes,No,No,No,643,40.6,15.8,0.54,0.19,0.00,0.01,0.07,0.00,0.03,0.70,54.3
140,Brantley County High School,https://www.schooldigger.com/go/GA/schools/0048000258/school.aspx,Brantley County,https://www.schooldigger.com/go/GA/district/00480/search.aspx,Nahunta,https://www.schooldigger.com/go/GA/city/Nahunta/search.aspx,31553,Brantley,(912) 462-5121,9,12,No,No,No,No,993,56.6,17.5,0.68,0.03,0.01,0.01,0.02,0.00,0.01,0.93,54.3
141,Norcross High School,https://www.schooldigger.com/go/GA/schools/0255001132/school.aspx,Gwinnett County,https://www.schooldigger.com/go/GA/district/02550/search.aspx,Norcross,https://www.schooldigger.com/go/GA/city/Norcross/search.aspx,30092,Gwinnett,(770) 448-3674,9,12,Yes,No,No,No,3805,209.8,18.1,0.67,0.30,0.00,0.07,0.46,0.00,0.03,0.14,53.8
142,Druid Hills High School,https://www.schooldigger.com/go/GA/schools/0174000665/school.aspx,Dekalb County,https://www.schooldigger.com/go/GA/district/01740/search.aspx,Atlanta,https://www.schooldigger.com/go/GA/city/Atlanta/search.aspx,30307,Fulton,(678) 874-6302,9,12,Yes,No,No,No,1320,85,15.5,0.41,0.46,0.00,0.13,0.13,0.00,0.04,0.24,53.4
143,South Cobb High School,https://www.schooldigger.com/go/GA/schools/0129000574/school.aspx,Cobb County,https://www.schooldigger.com/go/GA/district/01290/search.aspx,Austell,https://www.schooldigger.com/go/GA/city/Austell/search.aspx,30106,Cobb,(770) 819-2611,9,12,Yes,No,No,No,2014,117,17.2,0.74,0.64,0.00,0.01,0.25,0.00,0.02,0.08,53.4
144,Berrien High School,https://www.schooldigger.com/go/GA/schools/0039000192/school.aspx,Berrien County,https://www.schooldigger.com/go/GA/district/00390/search.aspx,Nashville,https://www.schooldigger.com/go/GA/city/Nashville/search.aspx,31639,Berrien,(229) 686-7428,9,12,No,No,No,No,797,52.2,15.2,0.84,0.12,0.00,0.01,0.10,0.00,0.02,0.76,53.2
145,Schley Middle High School,https://www.schooldigger.com/go/GA/schools/0447002428/school.aspx,Schley County,https://www.schooldigger.com/go/GA/district/04470/search.aspx,Ellaville,https://www.schooldigger.com/go/GA/city/Ellaville/search.aspx,31806,Schley,(229) 937-0560,6,12,Yes,No,No,No,687,44.2,15.5,0.50,0.14,0.00,0.02,0.05,0.00,0.00,0.79,53.1
