Rank,School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Standard Score
65,Cresskill High School,https://www.schooldigger.com/go/NJ/schools/0360000324/school.aspx,Cresskill Public School District,https://www.schooldigger.com/go/NJ/district/03600/search.aspx,1 Lincoln Dr,Cresskill,https://www.schooldigger.com/go/NJ/city/Cresskill/search.aspx,7626,Bergen County,(201) 227-7791,9,12,No,No,(n/a),No,541,53.3,10.1,0.01,0.01,0.00,0.34,0.06,0.00,0.01,0.60,74
66,Hillsborough High School,https://www.schooldigger.com/go/NJ/schools/0723005222/school.aspx,Hillsborough Township Public School District,https://www.schooldigger.com/go/NJ/district/07230/search.aspx,466 Raider Boulevard,Hillsborough,https://www.schooldigger.com/go/NJ/city/Hillsborough/search.aspx,8844,Somerset County,(908) 431-6600,9,12,No,No,(n/a),No,2309,181,12.7,0.08,0.05,0.00,0.25,0.08,0.00,0.00,0.62,73.4
67,Rumson-Fair Haven Regional High School,https://www.schooldigger.com/go/NJ/schools/1440004094/school.aspx,Rumson-Fair Haven Regional High School District,https://www.schooldigger.com/go/NJ/district/14400/search.aspx,74 Ridge Road,Rumson,https://www.schooldigger.com/go/NJ/city/Rumson/search.aspx,7760,Monmouth County,(732) 842-1597,9,12,Yes,No,(n/a),No,983,84.8,11.5,0.00,0.00,0.00,0.01,0.03,0.00,0.02,0.93,72.9
68,Marlboro High School,https://www.schooldigger.com/go/NJ/schools/0561003804/school.aspx,Freehold Regional High School District,https://www.schooldigger.com/go/NJ/district/05610/search.aspx,95 North Main Street,Marlboro,https://www.schooldigger.com/go/NJ/city/Marlboro/search.aspx,7746,Monmouth County,(732) 617-8393,9,12,No,No,(n/a),No,1822,127.2,14.3,0.04,0.02,0.00,0.18,0.06,0.00,0.02,0.72,72.8
69,Wayne Valley High School,https://www.schooldigger.com/go/NJ/schools/1728004964/school.aspx,Wayne Township Public School District,https://www.schooldigger.com/go/NJ/district/17280/search.aspx,551 Valley Road,Wayne,https://www.schooldigger.com/go/NJ/city/Wayne/search.aspx,7470,Passaic County,(973) 317-2200,9,12,Yes,No,(n/a),No,1250,117.2,10.6,0.08,0.02,0.00,0.08,0.11,0.00,0.00,0.79,72.3
70,Ramsey High School,https://www.schooldigger.com/go/NJ/schools/1359000730/school.aspx,Ramsey School District,https://www.schooldigger.com/go/NJ/district/13590/search.aspx,256 E  Main Street,Ramsey,https://www.schooldigger.com/go/NJ/city/Ramsey/search.aspx,7446,Bergen County,(201) 785-2300,9,12,No,No,(n/a),No,870,80.4,10.8,0.06,0.00,0.00,0.08,0.09,0.00,0.02,0.80,72.2
71,West Windsor-Plainsboro High School North,https://www.schooldigger.com/go/NJ/schools/1770000191/school.aspx,West Windsor-Plainsboro Regional School District,https://www.schooldigger.com/go/NJ/district/17700/search.aspx,90 Grovers Mill Road,Plainsboro,https://www.schooldigger.com/go/NJ/city/Plainsboro/search.aspx,8536,Middlesex County,(609) 716-5100,9,12,Yes,No,(n/a),No,1463,116.6,12.5,0.07,0.09,0.00,0.65,0.04,0.00,0.01,0.22,71.4
72,Clearview Regional High School,https://www.schooldigger.com/go/NJ/schools/0321002506/school.aspx,Clearview Regional High School District,https://www.schooldigger.com/go/NJ/district/03210/search.aspx,625 Breakneck Rd,Mullica Hill,https://www.schooldigger.com/go/NJ/city/Mullica+Hill/search.aspx,8062,Gloucester County,(856) 223-2790,9,12,Yes,No,(n/a),No,1450,105.1,13.7,0.12,0.05,0.00,0.04,0.04,0.00,0.02,0.86,71.4
73,Robbinsville High School,https://www.schooldigger.com/go/NJ/schools/1710000549/school.aspx,Robbinsville Public Schools,https://www.schooldigger.com/go/NJ/district/17100/search.aspx,155 Robbinsville Edinburg Rd,Robbinsville,https://www.schooldigger.com/go/NJ/city/Robbinsville/search.aspx,8691,Mercer County,(609) 632-0950,9,12,No,No,(n/a),No,1053,74,14.2,0.04,0.03,0.00,0.26,0.05,0.00,0.01,0.66,71
74,Somerset County Vocational Technical High School,https://www.schooldigger.com/go/NJ/schools/1506005278/school.aspx,Somerset County Vocational and Technical School District,https://www.schooldigger.com/go/NJ/district/15060/search.aspx,14 Vogt Drive,Bridgewater,https://www.schooldigger.com/go/NJ/city/Bridgewater/search.aspx,8807,Somerset County,(908) 526-8900,9,12,Yes,No,(n/a),No,330,60,5.4,0.17,0.09,0.00,0.26,0.19,0.00,0.02,0.46,70.6
75,Bridgewater-Raritan High School,https://www.schooldigger.com/go/NJ/schools/0228000173/school.aspx,Bridgewater-Raritan Regional School District,https://www.schooldigger.com/go/NJ/district/02280/search.aspx,600 Garretson Road,Bridgewater,https://www.schooldigger.com/go/NJ/city/Bridgewater/search.aspx,8807,Somerset County,(908) 231-8660,9,12,No,No,(n/a),No,2827,227.7,12.4,0.11,0.03,0.00,0.25,0.17,0.01,0.01,0.53,70.5
76,Parsippany Hills High School,https://www.schooldigger.com/go/NJ/schools/1248004432/school.aspx,Parsippany-Troy Hills Township School District,https://www.schooldigger.com/go/NJ/district/12480/search.aspx,20 Rita Drive,Morris Plains,https://www.schooldigger.com/go/NJ/city/Morris+Plains/search.aspx,7950,Morris County,(973) 682-2815,9,12,No,No,(n/a),No,1075,101,10.6,0.12,0.04,0.00,0.38,0.12,0.00,0.02,0.43,70.3
77,Mountain Lakes High School,https://www.schooldigger.com/go/NJ/schools/1101004416/school.aspx,Mountain Lakes Public School District,https://www.schooldigger.com/go/NJ/district/11010/search.aspx,96 Powerville Rd.,Mountain Lakes,https://www.schooldigger.com/go/NJ/city/Mountain+Lakes/search.aspx,7046,Morris County,(973) 334-8400,9,12,No,No,(n/a),No,675,63.9,10.5,0.01,0.01,0.01,0.11,0.05,0.00,0.01,0.81,69.8
78,Dumont High School,https://www.schooldigger.com/go/NJ/schools/0399000340/school.aspx,Dumont Public School District,https://www.schooldigger.com/go/NJ/district/03990/search.aspx,101 New Milford Ave,Dumont,https://www.schooldigger.com/go/NJ/city/Dumont/search.aspx,7628,Bergen County,(201) 387-3000,9,12,No,No,(n/a),No,802,68.2,11.7,0.09,0.03,0.01,0.13,0.26,0.02,0.00,0.56,69.4
79,North Hunterdon High School,https://www.schooldigger.com/go/NJ/schools/1161003024/school.aspx,North Hunterdon-Voorhees Regional High School District,https://www.schooldigger.com/go/NJ/district/11610/search.aspx,1445 State Route 31,Annandale,https://www.schooldigger.com/go/NJ/city/Annandale/search.aspx,8801,Hunterdon County,(908) 735-5191,9,12,No,No,(n/a),No,1584,123.2,12.8,0.02,0.02,0.00,0.06,0.06,0.00,0.01,0.84,69.2
80,Scotch Plains-Fanwood High School,https://www.schooldigger.com/go/NJ/schools/1467005676/school.aspx,Scotch Plains-Fanwood School District,https://www.schooldigger.com/go/NJ/district/14670/search.aspx,667 Westfield Road,Scotch Plains,https://www.schooldigger.com/go/NJ/city/Scotch+Plains/search.aspx,7076,Union County,(908) 889-8600,9,12,Yes,No,(n/a),No,1574,114.4,13.7,0.06,0.10,0.00,0.07,0.09,0.00,0.04,0.70,68.9
81,Cherry Hill High School East,https://www.schooldigger.com/go/NJ/schools/0300001418/school.aspx,Cherry Hill School District,https://www.schooldigger.com/go/NJ/district/03000/search.aspx,1750 Kresson Rd.,Cherry Hill,https://www.schooldigger.com/go/NJ/city/Cherry+Hill/search.aspx,8003,Camden County,(856) 424-2222,9,12,No,No,(n/a),No,2196,138,15.9,0.12,0.06,0.00,0.24,0.06,0.00,0.03,0.61,68.6
82,Hanover Park High School,https://www.schooldigger.com/go/NJ/schools/0666004244/school.aspx,Hanover Park Regional High School District,https://www.schooldigger.com/go/NJ/district/06660/search.aspx,63 Mt  Pleasant Avenue,East Hanover,https://www.schooldigger.com/go/NJ/city/East+Hanover/search.aspx,7936,Morris County,(973) 887-0300,9,12,No,No,(n/a),No,839,76.6,10.9,0.04,0.04,0.00,0.09,0.07,0.00,0.01,0.79,68.4
83,Cinnaminson High School,https://www.schooldigger.com/go/NJ/schools/0312001020/school.aspx,Cinnaminson Township School District,https://www.schooldigger.com/go/NJ/district/03120/search.aspx,1197 Riverton Road,Cinnaminson,https://www.schooldigger.com/go/NJ/city/Cinnaminson/search.aspx,8077,Burlington County,(856) 829-7770,9,12,Yes,No,(n/a),No,797,69,11.5,0.16,0.09,0.00,0.03,0.06,0.00,0.03,0.78,68.1
84,Voorhees High School,https://www.schooldigger.com/go/NJ/schools/1161003026/school.aspx,North Hunterdon-Voorhees Regional High School District,https://www.schooldigger.com/go/NJ/district/11610/search.aspx,256 County Route 513,Glen Gardner,https://www.schooldigger.com/go/NJ/city/Glen+Gardner/search.aspx,8826,Hunterdon County,(908) 638-6116,9,12,Yes,No,(n/a),No,982,83.1,11.8,0.04,0.03,0.00,0.04,0.06,0.00,0.01,0.87,68.1
85,Glen Rock High School,https://www.schooldigger.com/go/NJ/schools/0597000484/school.aspx,Glen Rock Public School District,https://www.schooldigger.com/go/NJ/district/05970/search.aspx,400 Hamilton Avenue,Glen Rock,https://www.schooldigger.com/go/NJ/city/Glen+Rock/search.aspx,7452,Bergen County,(201) 445-7700,9,12,No,No,(n/a),No,731,77.6,9.4,0.01,0.01,0.00,0.09,0.04,0.00,0.02,0.84,67.6
86,Mercer County Technical School STEM Academy,https://www.schooldigger.com/go/NJ/schools/0995003415/school.aspx,Area Vocational Technical Schools of Mercer County,https://www.schooldigger.com/go/NJ/district/09950/search.aspx,229 Bull Run Road,Pennington,https://www.schooldigger.com/go/NJ/city/Pennington/search.aspx,8534,Mercer County,(609) 570-3400,9,12,Yes,No,(n/a),No,99,7,14,0.30,0.21,0.00,0.10,0.27,0.00,0.06,0.35,67.4
87,Midland Park Junior/Senior High School,https://www.schooldigger.com/go/NJ/schools/1014000608/school.aspx,Midland Park School District,https://www.schooldigger.com/go/NJ/district/10140/search.aspx,250 Prospect St,Midland Park,https://www.schooldigger.com/go/NJ/city/Midland+Park/search.aspx,7432,Bergen County,(201) 444-7400,7,12,Yes,No,(n/a),No,398,45.3,8.7,0.07,0.01,0.00,0.05,0.13,0.00,0.00,0.81,67.3
88,Princeton High School,https://www.schooldigger.com/go/NJ/schools/1341003182/school.aspx,Princeton Public Schools,https://www.schooldigger.com/go/NJ/district/13410/search.aspx,151 Moore Street,Princeton,https://www.schooldigger.com/go/NJ/city/Princeton/search.aspx,8540,Mercer County,(609) 806-4280,9,12,No,No,(n/a),No,1590,129.2,12.3,0.09,0.05,0.00,0.24,0.11,0.00,0.05,0.55,66.9
89,Metuchen High School,https://www.schooldigger.com/go/NJ/schools/0999003392/school.aspx,Metuchen Public School District,https://www.schooldigger.com/go/NJ/district/09990/search.aspx,400 Grove Ave,Metuchen,https://www.schooldigger.com/go/NJ/city/Metuchen/search.aspx,8840,Middlesex County,(732) 321-8744,9,12,Yes,No,(n/a),No,716,57.1,12.5,0.08,0.04,0.00,0.23,0.09,0.00,0.01,0.63,66.3
90,Sparta High School,https://www.schooldigger.com/go/NJ/schools/1551005396/school.aspx,Sparta Township Public School District,https://www.schooldigger.com/go/NJ/district/15510/search.aspx,70 West Mountain Road,Sparta,https://www.schooldigger.com/go/NJ/city/Sparta/search.aspx,7871,Sussex County,(973) 729-6191,9,12,Yes,No,(n/a),No,1074,97.2,11,0.04,0.02,0.00,0.05,0.05,0.00,0.00,0.88,66.3
91,Parsippany High School,https://www.schooldigger.com/go/NJ/schools/1248004430/school.aspx,Parsippany-Troy Hills Township School District,https://www.schooldigger.com/go/NJ/district/12480/search.aspx,309 Baldwin Rd,Parsippany,https://www.schooldigger.com/go/NJ/city/Parsippany/search.aspx,7054,Morris County,(973) 263-7001,9,12,Yes,No,(n/a),No,913,86.4,10.5,0.20,0.04,0.00,0.34,0.15,0.00,0.03,0.45,66.3
92,Matawan Regional High School,https://www.schooldigger.com/go/NJ/schools/0975003958/school.aspx,Matawan-Aberdeen Regional School District,https://www.schooldigger.com/go/NJ/district/09750/search.aspx,450 Atlantic Avenue,Aberdeen,https://www.schooldigger.com/go/NJ/city/Aberdeen/search.aspx,7747,Monmouth County,(732) 705-5200,9,12,No,No,(n/a),No,1112,93,11.9,0.26,0.15,0.00,0.06,0.16,0.00,0.01,0.61,65.9
93,Kingsway Regional High School,https://www.schooldigger.com/go/NJ/schools/0798002580/school.aspx,Kingsway Regional School District,https://www.schooldigger.com/go/NJ/district/07980/search.aspx,201 Kings Highway,Woolwich Twp,https://www.schooldigger.com/go/NJ/city/Woolwich+Twp/search.aspx,8085,Gloucester County,(856) 467-3300,9,12,Yes,No,(n/a),No,1752,134.5,13,0.13,0.12,0.00,0.05,0.06,0.00,0.01,0.77,65.7
94,Red Bank Regional High School,https://www.schooldigger.com/go/NJ/schools/1375004084/school.aspx,Red Bank Regional School District,https://www.schooldigger.com/go/NJ/district/13750/search.aspx,101 Ridge Road,Little Silver,https://www.schooldigger.com/go/NJ/city/Little+Silver/search.aspx,7739,Monmouth County,(732) 842-8000,9,12,Yes,No,(n/a),No,1208,119.5,10.1,0.29,0.06,0.00,0.02,0.34,0.00,0.01,0.57,65.4
95,West Windsor-Plainsboro High School South,https://www.schooldigger.com/go/NJ/schools/1770003258/school.aspx,West Windsor-Plainsboro Regional School District,https://www.schooldigger.com/go/NJ/district/17700/search.aspx,346 Clarksville Road,West Windsor,https://www.schooldigger.com/go/NJ/city/West+Windsor/search.aspx,8550,Mercer County,(609) 716-5050,9,12,Yes,No,(n/a),No,1607,116.5,13.7,0.05,0.05,0.00,0.65,0.04,0.00,0.01,0.25,64.9
96,Middletown High School South,https://www.schooldigger.com/go/NJ/schools/1011003978/school.aspx,Middletown Township Public School District,https://www.schooldigger.com/go/NJ/district/10110/search.aspx,900 Nut Swamp Road,Middletown,https://www.schooldigger.com/go/NJ/city/Middletown/search.aspx,7748,Monmouth County,(732) 706-6111,9,12,No,No,(n/a),No,1565,120.3,13,0.08,0.01,0.00,0.02,0.05,0.00,0.00,0.91,64.8
97,Leonia High School,https://www.schooldigger.com/go/NJ/schools/0852000534/school.aspx,Leonia Public School District,https://www.schooldigger.com/go/NJ/district/08520/search.aspx,100 Christie Heights Street,Leonia,https://www.schooldigger.com/go/NJ/city/Leonia/search.aspx,7605,Bergen County,(201) 302-5200,9,12,Yes,No,(n/a),No,740,62.6,11.8,0.14,0.06,0.00,0.36,0.23,0.00,0.02,0.34,64.5
98,Lakeland Regional High School,https://www.schooldigger.com/go/NJ/schools/0819004818/school.aspx,Lakeland Regional High School District,https://www.schooldigger.com/go/NJ/district/08190/search.aspx,205 Conklintown Road,Wanaque,https://www.schooldigger.com/go/NJ/city/Wanaque/search.aspx,7465,Passaic County,(973) 835-1900,9,12,Yes,No,(n/a),No,930,86.5,10.7,0.13,0.03,0.01,0.04,0.14,0.00,0.02,0.77,64.2
99,Manasquan High School,https://www.schooldigger.com/go/NJ/schools/0942003940/school.aspx,Manasquan School District,https://www.schooldigger.com/go/NJ/district/09420/search.aspx,167 Broad Street,Manasquan,https://www.schooldigger.com/go/NJ/city/Manasquan/search.aspx,8736,Monmouth County,(732) 528-8820,9,12,No,No,(n/a),No,969,72.9,13.2,0.13,0.01,0.00,0.02,0.12,0.00,0.00,0.85,64.2
100,Randolph High School,https://www.schooldigger.com/go/NJ/schools/1365004486/school.aspx,Randolph Township School District,https://www.schooldigger.com/go/NJ/district/13650/search.aspx,511 Millbrook Avenue,Randolph,https://www.schooldigger.com/go/NJ/city/Randolph/search.aspx,7869,Morris County,(973) 361-2400,9,12,No,No,(n/a),No,1587,140.2,11.3,0.08,0.03,0.00,0.09,0.13,0.01,0.00,0.73,64.1
101,Allentown High School,https://www.schooldigger.com/go/NJ/schools/1656004124/school.aspx,Upper Freehold Regional School District,https://www.schooldigger.com/go/NJ/district/16560/search.aspx,27 High Street,Allentown,https://www.schooldigger.com/go/NJ/city/Allentown/search.aspx,8501,Monmouth County,(609) 259-7292,9,12,Yes,No,(n/a),No,1206,89.4,13.4,0.07,0.05,0.00,0.03,0.04,0.00,0.01,0.88,63.9
102,Bergen Arts and Sciences Charter School,https://www.schooldigger.com/go/NJ/schools/0071502923/school.aspx,Bergen Arts and Science Charter School,https://www.schooldigger.com/go/NJ/district/00715/search.aspx,200 MacArthur Avenue,Garfield,https://www.schooldigger.com/go/NJ/city/Garfield/search.aspx,7026,Bergen County,(201) 773-9140,KG,12,Yes,Yes,(n/a),No,1163,83,14,0.47,0.11,0.00,0.09,0.45,0.00,0.01,0.35,63.8
103,Point Pleasant Beach High School,https://www.schooldigger.com/go/NJ/schools/1332004702/school.aspx,Point Pleasant Beach School District,https://www.schooldigger.com/go/NJ/district/13320/search.aspx,700 Trenton Avenue,Point Pleasant Beach,https://www.schooldigger.com/go/NJ/city/Point+Pleasant+Beach/search.aspx,8742,Ocean County,(732) 899-1817,9,12,Yes,No,(n/a),No,367,37.9,9.6,0.10,0.00,0.00,0.02,0.08,0.00,0.01,0.89,63.7
104,East Brunswick High School,https://www.schooldigger.com/go/NJ/schools/0411003294/school.aspx,East Brunswick Township School District,https://www.schooldigger.com/go/NJ/district/04110/search.aspx,380 Cranbury Road,E Brunswick,https://www.schooldigger.com/go/NJ/city/E+Brunswick/search.aspx,8816,Middlesex County,(732) 613-6904,10,12,No,No,(n/a),No,2095,164.9,12.7,0.18,0.05,0.00,0.34,0.07,0.00,0.01,0.53,63.6
105,Paramus High School,https://www.schooldigger.com/go/NJ/schools/1242000688/school.aspx,Paramus Public School District,https://www.schooldigger.com/go/NJ/district/12420/search.aspx,99 East Century Road,Paramus,https://www.schooldigger.com/go/NJ/city/Paramus/search.aspx,7652,Bergen County,(201) 261-7800,9,12,Yes,No,(n/a),No,1265,106.3,11.9,0.06,0.02,0.00,0.29,0.11,0.00,0.01,0.58,63.3
106,Monroe Township High School,https://www.schooldigger.com/go/NJ/schools/1050003438/school.aspx,Monroe Township School District,https://www.schooldigger.com/go/NJ/district/10500/search.aspx,200 Schoolhouse Road,Monroe Township,https://www.schooldigger.com/go/NJ/city/Monroe+Township/search.aspx,8831,Middlesex County,(732) 521-2882,9,12,Yes,No,(n/a),No,2330,179.7,12.9,0.09,0.05,0.00,0.32,0.08,0.00,0.01,0.55,62.4
107,Delaware Valley Regional High School,https://www.schooldigger.com/go/NJ/schools/0375002978/school.aspx,Delaware Valley Regional High School District,https://www.schooldigger.com/go/NJ/district/03750/search.aspx,19 Senator Stout Rd,Frenchtown,https://www.schooldigger.com/go/NJ/city/Frenchtown/search.aspx,8825,Hunterdon County,(908) 996-2131,9,12,Yes,No,(n/a),No,721,68.4,10.5,0.07,0.01,0.00,0.02,0.04,0.00,0.01,0.93,62.3
108,Morris Knolls High School,https://www.schooldigger.com/go/NJ/schools/1074004354/school.aspx,Morris Hills Regional School District,https://www.schooldigger.com/go/NJ/district/10740/search.aspx,50 Knoll Drive,Denville,https://www.schooldigger.com/go/NJ/city/Denville/search.aspx,7834,Morris County,(973) 664-2201,9,12,No,No,(n/a),No,1434,128.4,11.1,0.08,0.03,0.00,0.06,0.14,0.00,0.01,0.76,62.3
109,Governor Livingston High School,https://www.schooldigger.com/go/NJ/schools/0153000201/school.aspx,Berkeley Heights School District,https://www.schooldigger.com/go/NJ/district/01530/search.aspx,175 Watchung Boulevard,Berkeley Heights,https://www.schooldigger.com/go/NJ/city/Berkeley+Heights/search.aspx,7922,Union County,(908) 464-3100,9,12,Yes,No,(n/a),No,965,86,11.2,0.03,0.01,0.00,0.07,0.12,0.00,0.05,0.76,62.2
110,County Prep High School,https://www.schooldigger.com/go/NJ/schools/0757005906/school.aspx,Hudson County Schools of Technology School District,https://www.schooldigger.com/go/NJ/district/07570/search.aspx,525 Montgomery Street,Jersey City,https://www.schooldigger.com/go/NJ/city/Jersey+City/search.aspx,7306,Hudson County,(201) 631-6302,9,12,Yes,No,(n/a),No,945,88.2,10.7,0.60,0.11,0.01,0.24,0.41,0.02,0.01,0.21,61.9
111,Pompton Lakes High School,https://www.schooldigger.com/go/NJ/schools/1335004930/school.aspx,Pompton Lakes School District,https://www.schooldigger.com/go/NJ/district/13350/search.aspx,44 Lakeside Avenue,Pompton Lakes,https://www.schooldigger.com/go/NJ/city/Pompton+Lakes/search.aspx,7442,Passaic County,(973) 835-7100,9,12,No,No,(n/a),No,642,52.4,12.2,0.13,0.03,0.01,0.06,0.17,0.01,0.00,0.72,61.7
112,Middlesex High School,https://www.schooldigger.com/go/NJ/schools/1005003404/school.aspx,Middlesex Borough School District,https://www.schooldigger.com/go/NJ/district/10050/search.aspx,300 John F. Kennedy Drive,Middlesex,https://www.schooldigger.com/go/NJ/city/Middlesex/search.aspx,8846,Middlesex County,(732) 317-6000,9,12,No,No,(n/a),No,638,60.4,10.5,0.25,0.06,0.00,0.08,0.30,0.00,0.02,0.54,61.2
113,Westwood Junior/Senior High School,https://www.schooldigger.com/go/NJ/schools/1782000906/school.aspx,Westwood Regional School District,https://www.schooldigger.com/go/NJ/district/17820/search.aspx,701 Ridgewood Road,Township Of Washington,https://www.schooldigger.com/go/NJ/city/Township+Of+Washington/search.aspx,7676,Bergen County,(201) 664-0880,8,12,No,No,(n/a),No,1059,102.8,10.3,0.10,0.04,0.00,0.07,0.14,0.00,0.01,0.74,61.2
114,Liberty High School,https://www.schooldigger.com/go/NJ/schools/0783000391/school.aspx,Jersey City Public Schools,https://www.schooldigger.com/go/NJ/district/07830/search.aspx,299 Sip Avenue,Jersey City,https://www.schooldigger.com/go/NJ/city/Jersey+City/search.aspx,7306,Hudson County,(201) 714-4373,9,12,Yes,No,(n/a),No,222,22,10,0.74,0.23,0.00,0.18,0.38,0.01,0.00,0.19,61.1
115,Mount Olive High School,https://www.schooldigger.com/go/NJ/schools/1098004398/school.aspx,Mount Olive Township School District,https://www.schooldigger.com/go/NJ/district/10980/search.aspx,18 Corey Road,Flanders,https://www.schooldigger.com/go/NJ/city/Flanders/search.aspx,7836,Morris County,(973) 927-2208,9,12,No,No,(n/a),No,1503,113,13.3,0.14,0.07,0.00,0.11,0.14,0.00,0.02,0.65,60.9
116,Shawnee High School,https://www.schooldigger.com/go/NJ/schools/0849001096/school.aspx,Lenape Regional High School District,https://www.schooldigger.com/go/NJ/district/08490/search.aspx,600 Tabernacle Road,Medford,https://www.schooldigger.com/go/NJ/city/Medford/search.aspx,8055,Burlington County,(609) 654-7544,9,12,No,No,(n/a),No,1597,127,12.5,0.06,0.02,0.00,0.04,0.05,0.00,0.01,0.89,60.2
117,Kittatinny Regional High School,https://www.schooldigger.com/go/NJ/schools/0806005372/school.aspx,Kittatinny Regional School District,https://www.schooldigger.com/go/NJ/district/08060/search.aspx,77 Halsey Road,Newton,https://www.schooldigger.com/go/NJ/city/Newton/search.aspx,7860,Sussex County,(973) 383-1800,7,12,Yes,No,(n/a),No,941,97.5,9.6,0.12,0.00,0.00,0.01,0.04,0.01,0.01,0.93,60.2
118,Verona High School,https://www.schooldigger.com/go/NJ/schools/1674002448/school.aspx,Verona Public School District,https://www.schooldigger.com/go/NJ/district/16740/search.aspx,151 Fairview Ave,Verona,https://www.schooldigger.com/go/NJ/city/Verona/search.aspx,7044,Essex County,(973) 571-6750,9,12,No,No,(n/a),No,705,49.2,14.3,0.00,0.03,0.01,0.06,0.10,0.00,0.00,0.79,59.5
119,Lenape Valley Regional High School,https://www.schooldigger.com/go/NJ/schools/0850005378/school.aspx,Lenape Valley Regional High School District,https://www.schooldigger.com/go/NJ/district/08500/search.aspx,28 Sparta Road,Stanhope,https://www.schooldigger.com/go/NJ/city/Stanhope/search.aspx,7874,Sussex County,(973) 347-7600,9,12,Yes,No,(n/a),No,691,58,11.9,0.14,0.04,0.00,0.03,0.14,0.01,0.00,0.78,59.3
120,Montclair High School,https://www.schooldigger.com/go/NJ/schools/1056002166/school.aspx,Montclair Public School District,https://www.schooldigger.com/go/NJ/district/10560/search.aspx,100 Chestnut St,Montclair,https://www.schooldigger.com/go/NJ/city/Montclair/search.aspx,7042,Essex County,(973) 509-4100,9,12,No,No,(n/a),No,2081,153.6,13.5,0.17,0.27,0.00,0.06,0.13,0.00,0.05,0.50,59.2
121,Hopewell Valley Central High School,https://www.schooldigger.com/go/NJ/schools/0753003136/school.aspx,Hopewell Valley Regional School District,https://www.schooldigger.com/go/NJ/district/07530/search.aspx,259 Pennington Titusville Rd,Pennington,https://www.schooldigger.com/go/NJ/city/Pennington/search.aspx,8534,Mercer County,(609) 737-4003,9,12,No,No,(n/a),No,1125,109.5,10.2,0.04,0.03,0.00,0.10,0.03,0.00,0.04,0.80,59.1
122,New Egypt High School,https://www.schooldigger.com/go/NJ/schools/1323000341/school.aspx,Plumsted Township School District,https://www.schooldigger.com/go/NJ/district/13230/search.aspx,117 Evergreen Road,New Egypt,https://www.schooldigger.com/go/NJ/city/New+Egypt/search.aspx,8533,Ocean County,(609) 758-6800,9,12,Yes,No,(n/a),No,427,41.4,10.3,0.19,0.02,0.01,0.01,0.08,0.00,0.00,0.88,59
123,James Caldwell High School,https://www.schooldigger.com/go/NJ/schools/0258002008/school.aspx,Caldwell-West Caldwell School District,https://www.schooldigger.com/go/NJ/district/02580/search.aspx,265 Westville Ave,West Caldwell,https://www.schooldigger.com/go/NJ/city/West+Caldwell/search.aspx,7006,Essex County,(973) 228-6981,9,12,No,No,(n/a),No,817,72.3,11.3,0.09,0.02,0.00,0.04,0.10,0.00,0.01,0.84,58.9
124,East Orange STEM Academy High School,https://www.schooldigger.com/go/NJ/schools/0423002040/school.aspx,East Orange School District,https://www.schooldigger.com/go/NJ/district/04230/search.aspx,129 Renshaw Avenue,East Orange,https://www.schooldigger.com/go/NJ/city/East+Orange/search.aspx,7017,Essex County,(973) 266-5900,6,12,Yes,No,(n/a),No,638,48.7,13,0.53,0.93,0.00,0.00,0.06,0.00,0.01,0.01,58.9
125,Butler High School,https://www.schooldigger.com/go/NJ/schools/0252004166/school.aspx,Butler Public School District,https://www.schooldigger.com/go/NJ/district/02520/search.aspx,38 Bartholdi Avenue,Butler,https://www.schooldigger.com/go/NJ/city/Butler/search.aspx,7405,Morris County,(973) 492-2000,9,12,Yes,No,(n/a),No,493,41.4,11.9,0.21,0.01,0.00,0.01,0.20,0.01,0.01,0.76,58.7
126,Mercer County Technical School Health Sciences Academy,https://www.schooldigger.com/go/NJ/schools/0995003409/school.aspx,Area Vocational Technical Schools of Mercer County,https://www.schooldigger.com/go/NJ/district/09950/search.aspx,1085 Old Trenton Road,Trenton,https://www.schooldigger.com/go/NJ/city/Trenton/search.aspx,8690,Mercer County,(609) 586-5144,9,12,No,No,(n/a),No,100,9.2,10.8,0.29,0.15,0.01,0.35,0.27,0.00,0.03,0.19,58.4
127,Hasbrouck Heights High School,https://www.schooldigger.com/go/NJ/schools/0693000512/school.aspx,Hasbrouck Heights School District,https://www.schooldigger.com/go/NJ/district/06930/search.aspx,365 Boulevard,Hasbrouck Heights,https://www.schooldigger.com/go/NJ/city/Hasbrouck+Heights/search.aspx,7604,Bergen County,(201) 288-6150,9,12,No,No,(n/a),No,548,46,11.9,0.17,0.04,0.00,0.13,0.25,0.00,0.00,0.58,58.4
128,South Brunswick High School,https://www.schooldigger.com/go/NJ/schools/1521003610/school.aspx,South Brunswick School District,https://www.schooldigger.com/go/NJ/district/15210/search.aspx,750 Ridge Road,Monmouth Junction,https://www.schooldigger.com/go/NJ/city/Monmouth+Junction/search.aspx,8852,Middlesex County,(732) 329-4044,9,12,No,No,(n/a),No,2939,199.2,14.7,0.12,0.08,0.00,0.56,0.08,0.00,0.02,0.27,58.2
