Order Priority,Discount,Unit Price,Shipping Cost,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Region,State or Province,City,Postal Code,Order Date,Ship Date,Profit,Sales
Not Specified,0.06,8.6,6.19,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Central,Nebraska,Papillion,68046,3/11/2015,3/12/2015,-46.115,79.4
Not Specified,0.1,14.42,6.75,Regular Air,Corporate,Office Supplies,Appliances,Medium Box,Central,Nebraska,Papillion,68046,6/19/2015,6/22/2015,-20.104,15.49
Not Specified,0.04,9.11,2.25,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,West,Utah,Roy,84067,6/1/2015,6/4/2015,-3.496,18.59
Not Specified,0.07,64.65,35,Regular Air,Corporate,Office Supplies,Storage & Organization,Large Box,West,Utah,Roy,84067,6/1/2015,6/3/2015,-717.072,834.08
Low,0.09,6.48,6.86,Regular Air,Corporate,Office Supplies,Paper,Small Box,West,Utah,Roy,84067,3/6/2015,3/8/2015,-62.23,50.88
Not Specified,0.01,150.98,30,Delivery Truck,Consumer,Furniture,Chairs & Chairmats,Jumbo Drum,South,South Carolina,Hilton Head Island,29915,1/6/2015,1/8/2015,131.382,958.46
Not Specified,0.01,28.28,13.99,Express Air,Consumer,Office Supplies,Storage & Organization,Medium Box,South,South Carolina,Hilton Head Island,29915,1/6/2015,1/8/2015,-89.292,368.84
Not Specified,0.03,35.99,1.1,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,South,South Carolina,Hilton Head Island,29915,1/6/2015,1/7/2015,-211.036,30.86
Low,0.04,50.98,6.5,Regular Air,Consumer,Technology,Computer Peripherals,Small Box,West,Utah,Roy,84067,3/28/2015,4/3/2015,-13.28,568.25
Low,0.02,6.48,5.14,Regular Air,Consumer,Office Supplies,Paper,Small Box,West,Utah,Roy,84067,3/28/2015,3/30/2015,-48.68,126.66
Medium,0.03,35.99,5,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,South,Florida,New Smyrna Beach,32168,4/29/2015,4/30/2015,-184.548,93.82
Critical,0.06,179.99,13.99,Express Air,Small Business,Technology,Telephones and Communication,Medium Box,South,Florida,Miami,33132,1/9/2015,1/11/2015,1220.03784,8332.91
Low,0.09,5.84,0.83,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,West,Washington,Walla Walla,99362,5/21/2015,5/25/2015,-2.87,5.9
Low,0.04,6.24,5.22,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,South,Tennessee,Smyrna,37167,1/12/2015,1/17/2015,4.3809,80.23
Low,0.09,260.98,41.91,Delivery Truck,Small Business,Furniture,Bookcases,Jumbo Box,South,Tennessee,Spring Hill,37174,1/12/2015,1/19/2015,-100.744,2044.9
Critical,0,11.97,4.98,Regular Air,Home Office,Office Supplies,Appliances,Small Box,Central,Texas,Abilene,79605,5/21/2015,5/24/2015,3.384,53.3
Medium,0.01,6.98,1.6,Regular Air,Home Office,Office Supplies,Paper,Wrap Bag,Central,Texas,Amarillo,79109,5/25/2015,5/26/2015,0.346,21.93
Not Specified,0.01,5.18,2.04,Regular Air,Corporate,Office Supplies,Paper,Wrap Bag,South,Arkansas,Texarkana,71854,2/22/2015,2/24/2015,-17.654,28.46
High,0.01,14.42,6.75,Regular Air,Corporate,Office Supplies,Appliances,Medium Box,West,Colorado,Wheat Ridge,80033,1/24/2015,1/24/2015,-13.826,89.91
High,0,11.66,8.99,Express Air,Corporate,Office Supplies,Pens & Art Supplies,Small Pack,West,California,Gilroy,95020,1/9/2015,1/11/2015,-203.67,138.51
Not Specified,0.07,6.08,0.91,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,West,California,Goleta,93117,3/7/2015,3/8/2015,19.57,41.96
Low,0.1,50.98,22.24,Regular Air,Corporate,Furniture,Office Furnishings,Large Box,West,California,Hacienda Heights,91745,2/25/2015,2/27/2015,98.12,300.63
Not Specified,0.08,19.9,5.29,Regular Air,Corporate,Office Supplies,Appliances,Medium Box,West,California,Hacienda Heights,91745,3/7/2015,3/9/2015,107.11,240.46
Not Specified,0.02,3.36,6.27,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,West,California,Hacienda Heights,91745,3/7/2015,3/9/2015,-216.154,74.08
Critical,0.06,1.26,0.7,Regular Air,Corporate,Office Supplies,Rubber Bands,Wrap Bag,West,California,Hacienda Heights,91745,4/30/2015,4/30/2015,-6.6096,5.28
High,0.05,4.24,5.41,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,West,California,Hesperia,92345,3/16/2015,3/18/2015,-89.217,50.83
Critical,0.06,1.76,0.7,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,East,Connecticut,Branford,6405,4/30/2015,5/2/2015,1.2236,39.26
Critical,0.02,24.98,8.79,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,East,Connecticut,Danbury,6810,4/30/2015,5/1/2015,4.3148,606.51
Critical,0.05,35.99,5.99,Express Air,Corporate,Technology,Telephones and Communication,Wrap Bag,East,Maine,Lewiston,4240,4/30/2015,5/2/2015,-125.83296,64.89
Critical,0.03,14.2,5.3,Regular Air,Corporate,Furniture,Office Furnishings,Wrap Bag,Central,Indiana,East Chicago,46312,5/27/2015,5/28/2015,122.21,267.2
Low,0.04,6.48,5.16,Express Air,Corporate,Office Supplies,Paper,Small Box,Central,Indiana,East Chicago,46312,2/26/2015,3/2/2015,-11.1332,86.79
Not Specified,0.04,29.18,8.55,Express Air,Corporate,Furniture,Office Furnishings,Small Box,Central,Minnesota,Shoreview,55126,2/25/2015,2/27/2015,201.7353,292.37
Not Specified,0,80.98,35,Regular Air,Corporate,Office Supplies,Storage & Organization,Large Box,Central,Minnesota,Shoreview,55126,2/25/2015,2/27/2015,-684.78,682.79
Critical,0.06,6.48,8.88,Regular Air,Corporate,Office Supplies,Paper,Small Box,Central,Minnesota,Shoreview,55126,3/6/2015,3/7/2015,-237.47,125.77
Critical,0.09,349.45,60,Delivery Truck,Corporate,Furniture,Tables,Jumbo Drum,Central,Minnesota,Shoreview,55126,3/6/2015,3/7/2015,-2946.051,3918.98
Not Specified,0.03,14.2,5.3,Regular Air,Home Office,Furniture,Office Furnishings,Wrap Bag,West,Nevada,Reno,89502,3/15/2015,3/17/2015,21.5556,31.24
Not Specified,0.01,5.94,9.92,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,West,Nevada,Reno,89502,5/20/2015,5/23/2015,-239.315,74.77
Not Specified,0,6.48,5.11,Regular Air,Home Office,Office Supplies,Paper,Small Box,West,Nevada,Reno,89502,5/20/2015,5/22/2015,-33.31,127.81
High,0.04,4.37,5.15,Regular Air,Small Business,Office Supplies,Appliances,Small Box,West,Utah,Salt Lake City,84106,2/21/2015,2/22/2015,-74.4796,78.59
High,0.09,155.99,8.99,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,West,Utah,Salt Lake City,84106,2/21/2015,2/23/2015,-232.22056,497.11
Critical,0.07,5.68,1.39,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,West,Arizona,Scottsdale,85254,3/25/2015,3/27/2015,18.6438,27.02
Critical,0.06,22.84,11.54,Regular Air,Small Business,Office Supplies,Paper,Small Box,West,Arizona,Scottsdale,85254,3/25/2015,3/27/2015,-31.24,27.67
Critical,0.06,25.98,14.36,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Central,Texas,Amarillo,79109,5/24/2015,5/25/2015,55.888,1033.56
Critical,0.08,1.81,0.75,Regular Air,Consumer,Furniture,Chairs & Chairmats,Jumbo Drum,Central,Texas,Bedford,76021,1/5/2015,1/6/2015,1.3224,19.97
Critical,0.04,125.99,5.26,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,Central,Texas,Bedford,76021,1/5/2015,1/5/2015,455.4207,660.03
Critical,0.01,8.34,0.96,Regular Air,Corporate,Furniture,Office Furnishings,Wrap Bag,East,District of Columbia,Washington,20024,1/10/2015,1/12/2015,29.332,199.12
Critical,0.06,3.28,3.97,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,East,District of Columbia,Washington,20024,1/10/2015,1/11/2015,-86,63.14
Low,0.02,1.14,0.7,Regular Air,Corporate,Office Supplies,Rubber Bands,Wrap Bag,East,District of Columbia,Washington,20024,2/2/2015,2/2/2015,-0.49,44.85
Critical,0.01,8.34,0.96,Regular Air,Corporate,Furniture,Office Furnishings,Wrap Bag,Central,Texas,Denton,76201,1/10/2015,1/12/2015,34.3482,49.78
Critical,0.06,3.28,3.97,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Central,Texas,Denton,76201,1/10/2015,1/11/2015,-66.65,16.62
Critical,0.06,47.98,3.61,Regular Air,Corporate,Technology,Computer Peripherals,Small Pack,Central,Texas,Denton,76201,6/20/2015,6/22/2015,35.955,517.68
High,0.04,90.97,28,Delivery Truck,Small Business,Technology,Office Machines,Jumbo Drum,East,New York,New York City,10039,1/12/2015,1/13/2015,-173.0952,573.31
High,0.07,20.34,35,Regular Air,Small Business,Office Supplies,Storage & Organization,Large Box,East,New York,New York City,10039,1/12/2015,1/13/2015,-96.16,140.23
Not Specified,0.02,12.53,0.49,Regular Air,Small Business,Office Supplies,Labels,Small Box,East,New York,New York City,10039,1/27/2015,1/27/2015,263.4,594.44
Not Specified,0.07,5.18,2.04,Express Air,Small Business,Office Supplies,Paper,Wrap Bag,East,New York,New York City,10039,1/27/2015,1/29/2015,37.31,228.5
High,0.04,90.97,28,Delivery Truck,Small Business,Technology,Office Machines,Jumbo Drum,East,Pennsylvania,Altoona,16602,1/12/2015,1/13/2015,-173.0952,191.1
High,0.07,20.34,35,Regular Air,Small Business,Office Supplies,Storage & Organization,Large Box,East,Pennsylvania,Altoona,16602,1/12/2015,1/13/2015,-96.16,28.05
Not Specified,0.02,12.53,0.49,Regular Air,Small Business,Office Supplies,Labels,Small Box,East,Pennsylvania,Altoona,16602,1/27/2015,1/27/2015,104.7213,151.77
Not Specified,0.07,5.18,2.04,Express Air,Small Business,Office Supplies,Paper,Wrap Bag,East,Pennsylvania,Altoona,16602,1/27/2015,1/29/2015,37.31,57.13
Not Specified,0,5.98,1.49,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,East,Massachusetts,Wilmington,1887,3/12/2015,3/14/2015,80.6748,116.92
Critical,0.09,35.99,5.99,Regular Air,Home Office,Technology,Telephones and Communication,Wrap Bag,South,Kentucky,Henderson,42420,2/26/2015,2/27/2015,114.3165,151.6
Medium,0.09,2.6,2.4,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,South,Kentucky,Henderson,42420,6/17/2015,6/19/2015,1107.408,31.73
Critical,0,5.28,5.61,Regular Air,Corporate,Office Supplies,Paper,Small Box,South,Arkansas,Texarkana,71854,5/14/2015,5/14/2015,-149.212,85.26
Not Specified,0.05,7.64,5.83,Regular Air,Corporate,Office Supplies,Paper,Wrap Bag,East,West Virginia,Wheeling,26003,1/31/2015,2/2/2015,-21.018,16.6
Not Specified,0.04,218.75,69.64,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,East,West Virginia,Wheeling,26003,1/31/2015,2/1/2015,-655.529875,2285.41
High,0.01,59.76,9.71,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,East,West Virginia,Wheeling,26003,4/4/2015,4/6/2015,354.3288,513.52
High,0.06,350.98,30,Delivery Truck,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,Central,Texas,Bryan,77803,1/4/2015,1/5/2015,-489.4156,346.52
Low,0.05,161.55,19.99,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,Central,Texas,Burleson,76028,1/4/2015,1/11/2015,35.31,499.31
High,0.05,35.51,6.31,Regular Air,Consumer,Office Supplies,Storage & Organization,Small Box,West,California,Rancho Cucamonga,91730,4/12/2015,4/14/2015,6.11,73.1
Critical,0.09,58.14,36.61,Delivery Truck,Corporate,Furniture,Bookcases,Jumbo Box,West,California,Rancho Cucamonga,91730,5/20/2015,5/21/2015,187.412,2115.06
High,0.1,8.34,2.64,Regular Air,Consumer,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,West,California,Redding,96003,4/12/2015,4/12/2015,-6.34,47.95
Low,0.1,15.98,4,Regular Air,Corporate,Technology,Computer Peripherals,Small Box,West,California,Redlands,92374,3/27/2015,4/1/2015,92.7222,134.38
High,0.03,8.04,8.94,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,West,California,Redlands,92374,4/12/2015,4/14/2015,-160.2755,76.77
Not Specified,0.01,65.99,8.99,Express Air,Small Business,Technology,Telephones and Communication,Small Box,West,California,Rancho Cucamonga,91730,5/20/2015,5/21/2015,396.972,782
Critical,0.03,2.18,1.38,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,East,Maine,Augusta,4330,4/6/2015,4/6/2015,-7.04,15.73
Critical,0.01,170.98,35.89,Delivery Truck,Small Business,Furniture,Bookcases,Jumbo Box,East,New Jersey,Old Bridge,8857,4/6/2015,4/8/2015,538.52,1719.07
Critical,0.05,6.04,2.14,Express Air,Corporate,Office Supplies,Paper,Wrap Bag,West,California,Redlands,92374,2/17/2015,2/19/2015,-4.14,8.41
Not Specified,0.05,5.98,5.46,Regular Air,Corporate,Office Supplies,Paper,Small Box,West,California,Redlands,92374,6/27/2015,6/27/2015,-31.885,104.95
Not Specified,0.01,65.99,3.99,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,West,California,Redondo Beach,90278,6/27/2015,6/28/2015,-95.2105,166.59
Low,0.09,100.98,35.84,Delivery Truck,Home Office,Furniture,Bookcases,Jumbo Box,East,Connecticut,New Milford,6776,4/14/2015,4/19/2015,-193.58,396.19
Not Specified,0.03,31.74,12.62,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,West,California,Saratoga,95070,3/6/2015,3/6/2015,-4.301,98.7
Critical,0.09,90.98,56.2,Express Air,Home Office,Furniture,Office Furnishings,Medium Box,East,Maine,Auburn,4210,3/1/2015,3/2/2015,-1570.32,1782.44
Critical,0.08,14.2,5.3,Express Air,Home Office,Furniture,Office Furnishings,Wrap Bag,East,New Jersey,Bayonne,7002,1/11/2015,1/13/2015,27.23,72.11
Critical ,0.06,40.98,2.99,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,West,California,Los Angeles,90049,1/2/2015,1/4/2015,-19.0992,124.81
Low,0.02,48.04,5.09,Regular Air,Consumer,Office Supplies,Paper,Small Box,West,California,Los Angeles,90049,3/22/2015,3/26/2015,373.67,881.32
Critical,0.06,40.98,2.99,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,Central,Minnesota,Prior Lake,55372,1/2/2015,1/4/2015,-14.80188,41.6
Low,0.05,1500.97,29.7,Delivery Truck,Consumer,Technology,Office Machines,Jumbo Drum,Central,Minnesota,Prior Lake,55372,3/22/2015,3/22/2015,-2561.3235,1497.22
Low,0.02,48.04,5.09,Regular Air,Consumer,Office Supplies,Paper,Small Box,Central,Minnesota,Prior Lake,55372,3/22/2015,3/26/2015,168.9189,244.81
Low,0.03,4.28,1.6,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,Central,Minnesota,Prior Lake,55372,3/22/2015,3/29/2015,-6.2,4.55
Low,0.1,7.31,0.49,Regular Air,Small Business,Office Supplies,Labels,Small Box,Central,Texas,Highland Village,75067,2/12/2015,2/21/2015,19.0647,27.63
Low,0.08,6.7,1.56,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Central,Texas,Highland Village,75067,2/12/2015,2/12/2015,10.56,31.21
Not Specified,0.01,145.45,17.85,Delivery Truck,Corporate,Technology,Office Machines,Jumbo Drum,Central,Texas,Burleson,76028,3/22/2015,3/23/2015,837.6807,1214.03
Low,0.03,2.94,0.96,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,West,California,Redondo Beach,90278,2/4/2015,2/8/2015,-4.2,3.51
Not Specified,0.05,124.49,51.94,Delivery Truck,Home Office,Furniture,Tables,Jumbo Box,West,California,Redwood City,94061,2/24/2015,2/24/2015,-44.1636,120.12
Low,0.03,2.94,0.96,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,Central,Illinois,Chicago,60610,2/4/2015,2/8/2015,-4.2,7.01
Medium,0,170.98,35.89,Delivery Truck,Consumer,Furniture,Bookcases,Jumbo Box,South,Virginia,Rose Hill,24281,4/20/2015,4/21/2015,-102.662,1452.18
Low,0.03,284.98,69.55,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,West,California,Riverside,92503,2/28/2015,3/5/2015,-116.584,619.38
Low,0,12.99,14.37,Regular Air,Corporate,Furniture,Office Furnishings,Large Box,West,California,Riverside,92503,2/28/2015,2/28/2015,12.8961,18.69
Low,0.1,2.22,5,Regular Air,Corporate,Office Supplies,Appliances,Small Box,East,Massachusetts,Boston,2108,4/4/2015,4/9/2015,-21.3192,8.8
Medium,0,37.76,12.9,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,East,Vermont,South Burlington,5403,2/5/2015,2/6/2015,93.8468,477.2
Low,0.09,300.97,7.18,Regular Air,Corporate,Technology,Computer Peripherals,Small Box,South,Arkansas,Searcy,72143,4/27/2015,4/27/2015,17.772,2848.38
High,0.05,4.28,5.17,Regular Air,Small Business,Office Supplies,Paper,Small Box,West,California,Oxnard,93030,2/19/2015,2/19/2015,-104.57,38.58
High,0.1,400.98,76.37,Delivery Truck,Small Business,Furniture,Tables,Jumbo Box,East,Maine,Sanford,4073,3/14/2015,3/15/2015,-969.048366,810.47
Low,0.09,7.64,5.83,Regular Air,Small Business,Office Supplies,Paper,Wrap Bag,East,Maine,West Scarborough,4070,5/10/2015,5/15/2015,4.032,72.83
Low,0.08,67.84,0.99,Regular Air,Small Business,Office Supplies,Appliances,Small Box,East,New Jersey,Bayonne,7002,1/24/2015,1/29/2015,-23.6344,63.66
High,0.08,45.19,1.99,Regular Air,Small Business,Technology,Computer Peripherals,Small Pack,East,New Jersey,Ridgewood,7450,3/14/2015,3/15/2015,-71.83,127.22
High,0.03,33.98,19.99,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,East,Vermont,Bennington,5201,3/14/2015,3/15/2015,-0.74,432.44
Low,0.06,10.14,2.27,Regular Air,Small Business,Office Supplies,Paper,Wrap Bag,Central,Illinois,Buffalo Grove,60089,3/4/2015,3/4/2015,-3.88,12.18
High,0.02,40.99,17.48,Regular Air,Small Business,Office Supplies,Paper,Small Box,Central,Illinois,Buffalo Grove,60089,2/27/2015,2/28/2015,551.0928,950.43
High,0.01,3.15,0.49,Regular Air,Home Office,Office Supplies,Labels,Small Box,East,Maine,Gorham,4038,5/25/2015,5/27/2015,17.5053,25.37
High,0.1,550.98,45.7,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,East,Maine,Saco,4072,6/19/2015,6/21/2015,818.546175,6963.67
Critical,0.09,28.48,1.99,Regular Air,Home Office,Technology,Computer Peripherals,Small Pack,South,Arkansas,Bryant,72022,3/1/2015,3/2/2015,-17.15,160.17
Critical,0,2.08,5.33,Regular Air,Home Office,Furniture,Office Furnishings,Small Box,South,Arkansas,Bryant,72022,3/1/2015,3/3/2015,-29.54,7.47
Critical,0.06,45.99,4.99,Express Air,Home Office,Technology,Telephones and Communication,Small Box,South,Arkansas,Bryant,72022,3/1/2015,3/2/2015,-329.784,370.81
Not Specified,0.08,10.91,2.99,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,South,Arkansas,Bryant,72022,3/5/2015,3/6/2015,-2.1,119.99
Medium,0,43.98,8.99,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Small Pack,South,North Carolina,Apex,27502,3/18/2015,3/18/2015,829.467,650.7
High,0.02,6.48,7.86,Express Air,Home Office,Office Supplies,Paper,Small Box,South,North Carolina,Asheville,28806,6/12/2015,6/13/2015,111.222,11.41
Medium,0.05,35.89,14.72,Regular Air,Home Office,Office Supplies,Envelopes,Small Box,South,North Carolina,Cary,27511,4/8/2015,4/9/2015,22.866,680.39
Medium,0,11.48,5.43,Regular Air,Home Office,Office Supplies,Paper,Small Box,South,North Carolina,Cary,27511,4/8/2015,4/8/2015,115.728,75.52
Critical,0.09,517.48,16.63,Delivery Truck,Small Business,Technology,Office Machines,Jumbo Box,Central,Kansas,Pittsburg,66762,3/7/2015,3/7/2015,909.36,2354.54
Critical,0.07,4.13,5.04,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,Central,Kansas,Pittsburg,66762,2/6/2015,2/7/2015,-76.4244,79.06
Critical,0,4.48,2.5,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,Central,Kansas,Pittsburg,66762,2/6/2015,2/8/2015,8.732,65.14
Critical,0.02,39.06,10.55,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,East,Pennsylvania,Wilkinsburg,15221,5/15/2015,5/15/2015,442.0899,640.71
Critical,0.1,37.7,2.99,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,East,Pennsylvania,Wilkinsburg,15221,5/15/2015,5/16/2015,455.124,659.6
Not Specified,0.08,65.99,5.92,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,East,New York,Central Islip,11722,2/7/2015,2/7/2015,624.40164,1137.6
High,0.1,5.98,3.85,Regular Air,Small Business,Technology,Computer Peripherals,Small Pack,East,New York,Central Islip,11722,5/29/2015,5/30/2015,18.922,151.55
High,0.07,2.61,0.5,Regular Air,Small Business,Office Supplies,Labels,Small Box,East,New York,Central Islip,11722,5/29/2015,6/1/2015,39.3507,57.03
High,0.1,73.98,4,Regular Air,Small Business,Technology,Computer Peripherals,Small Box,East,New York,Cheektowaga,14225,3/12/2015,3/13/2015,-229.87,347.23
High,0.05,51.98,10.17,Regular Air,Small Business,Technology,Office Machines,Medium Box,East,New York,Cheektowaga,14225,3/12/2015,3/13/2015,329.9787,478.23
Medium,0.07,7.08,2.35,Express Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,East,New York,Commack,11725,3/29/2015,3/30/2015,30.49,93.82
Not Specified,0.05,83.1,6.13,Express Air,Small Business,Technology,Computer Peripherals,Small Box,East,New York,Commack,11725,5/8/2015,5/9/2015,1152.5277,1670.33
Critical,0.07,125.99,2.5,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,East,Ohio,Delaware,43015,3/13/2015,3/13/2015,-604.406,100.59
Critical,0.03,99.99,19.99,Regular Air,Home Office,Technology,Computer Peripherals,Small Box,East,Ohio,Dublin,43017,3/13/2015,3/14/2015,293.66,598.38
Critical,0.1,7.64,5.83,Regular Air,Corporate,Office Supplies,Paper,Wrap Bag,South,Florida,Belle Glade,33430,6/16/2015,6/17/2015,-403.1874,39.36
Critical,0.06,55.94,4,Regular Air,Small Business,Technology,Computer Peripherals,Small Box,West,California,Woodland,95695,4/17/2015,4/18/2015,-13.77,322.77
Critical,0.07,6.3,0.5,Regular Air,Small Business,Office Supplies,Labels,Small Box,West,California,Woodland,95695,4/17/2015,4/17/2015,44.9121,65.09
Critical,0,14.42,6.75,Express Air,Small Business,Office Supplies,Appliances,Medium Box,West,California,Yuba City,95991,5/16/2015,5/17/2015,9.33,98.96
Critical,0.02,209.84,21.21,Regular Air,Home Office,Furniture,Office Furnishings,Large Box,West,California,Los Angeles,90004,6/14/2015,6/14/2015,2593.14,13546.94
Critical,0.01,194.3,11.54,Regular Air,Home Office,Furniture,Office Furnishings,Large Box,West,California,Los Angeles,90004,6/14/2015,6/16/2015,1162.76,6401.65
High,0,6.68,5.66,Regular Air,Home Office,Office Supplies,Paper,Small Box,West,California,Los Angeles,90004,2/27/2015,2/28/2015,-76.94,617.4
High,0,6.68,5.66,Regular Air,Home Office,Office Supplies,Paper,Small Box,East,Massachusetts,Boston,2109,2/27/2015,2/28/2015,-40.0088,157.78
Not Specified,0.03,5.44,7.46,Express Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,West,Arizona,Surprise,85374,5/25/2015,5/27/2015,-51.704,26.31
Not Specified,0.08,26.38,5.58,Regular Air,Corporate,Office Supplies,Paper,Small Box,West,Arizona,Surprise,85374,5/25/2015,5/26/2015,144.7482,209.78
Not Specified,0.06,20.99,2.5,Regular Air,Corporate,Technology,Telephones and Communication,Wrap Bag,West,Arizona,Surprise,85374,5/25/2015,5/27/2015,-112.189,17.83
Medium,0.09,138.75,52.42,Delivery Truck,Small Business,Furniture,Tables,Jumbo Box,South,Georgia,Atlanta,30318,3/24/2015,3/25/2015,-445.9717763,2527.79
Low,0.07,6.3,0.5,Regular Air,Small Business,Office Supplies,Labels,Small Box,South,Georgia,Atlanta,30318,5/30/2015,5/30/2015,4.1674,121.87
Medium,0.09,138.75,52.42,Delivery Truck,Small Business,Furniture,Tables,Jumbo Box,East,New York,Coram,11727,3/24/2015,3/25/2015,-335.317125,659.42
Low,0.04,22.38,15.1,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,East,New York,Coram,11727,5/30/2015,6/7/2015,16.0218,403.53
Low,0.06,17.78,5.03,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,East,New York,Coram,11727,5/30/2015,6/2/2015,38.0673,55.17
Critical,0.01,15.99,13.18,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Central,Illinois,Burbank,60459,2/18/2015,2/20/2015,-99.43544,377.44
Low,0.04,22.84,16.87,Regular Air,Home Office,Office Supplies,Paper,Small Box,Central,Illinois,Calumet City,60409,3/16/2015,3/16/2015,-97.28,286.4
Medium,0.02,15.94,5.45,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Small Pack,Central,Illinois,Carbondale,62901,5/14/2015,5/15/2015,139.612,664.34
Not Specified,0.01,150.89,60.2,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,East,Pennsylvania,Bethlehem,18018,3/27/2015,3/30/2015,-505.76,473.53
High,0.04,19.23,6.15,Regular Air,Home Office,Furniture,Office Furnishings,Small Pack,Central,Illinois,Romeoville,60441,3/9/2015,3/10/2015,152.4348,220.92
Not Specified,0.08,13.9,7.59,Regular Air,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Central,Illinois,Saint Charles,60174,5/8/2015,5/9/2015,9.862,196.41
Not Specified,0.07,55.99,5,Express Air,Corporate,Technology,Telephones and Communication,Small Pack,Central,Illinois,Springfield,62701,3/31/2015,4/2/2015,-232.991,54.08
Not Specified,0.05,7.64,5.83,Regular Air,Home Office,Office Supplies,Paper,Wrap Bag,East,New York,Deer Park,11729,1/5/2015,1/6/2015,-40.2752,47.18
High,0.04,9.06,9.86,Regular Air,Home Office,Office Supplies,Paper,Small Box,East,New York,Deer Park,11729,4/24/2015,4/25/2015,-53.25,30.87
Not Specified,0.06,30.42,8.65,Regular Air,Corporate,Technology,Computer Peripherals,Small Box,East,New York,Deer Park,11729,5/13/2015,5/15/2015,-159.25,309.05
Not Specified,0.02,37.94,5.08,Regular Air,Corporate,Office Supplies,Paper,Wrap Bag,East,New York,Deer Park,11729,5/13/2015,5/14/2015,206.517,299.3
High,0.04,14.27,7.27,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,East,New York,Dix Hills,11746,4/24/2015,4/25/2015,2.125,45.24
Medium,0.02,15.14,4.53,Regular Air,Small Business,Office Supplies,Storage & Organization,Small Box,West,California,Oxnard,93030,5/5/2015,5/6/2015,5.884,51.02
Not Specified,0.05,328.14,91.05,Delivery Truck,Home Office,Office Supplies,Appliances,Jumbo Drum,Central,Nebraska,Omaha,68046,4/10/2015,4/11/2015,772.04,2291.39
