Monthly Hours,Department,Salary,Number_of_Projects,Tenure,Filed Complaint,Recently_Promoted,Last_Evaluation,Employee_Satisfaction,Status
250,Engineering,Medium,3,6,0,0,0.89,0.75,Employed
255,Engineering,Low,6,4,0,0,0.97,0.16,Left
285,Engineering,Low,6,4,0,0,0.9,0.13,Left
200,Support,Medium,3,2,0,0,0.76,0.61,Employed
142,Engineering,Low,2,3,0,0,,0.54,Employed
172,Sales,Medium,4,3,1,0,0.87,0.82,Employed
227,Marketing,Medium,4,3,0,0,1,0.97,Employed
170,It,Low,5,4,0,0,0.76,0.81,Employed
187,Sales,Medium,5,3,0,0,0.69,0.61,Employed
233,Support,Medium,4,3,0,0,0.67,0.63,Employed
270,Sales,Medium,4,3,1,0,0.51,0.8,Employed
181,Procurement,Low,6,4,0,0,0.51,0.62,Employed
273,Engineering,Low,5,2,0,0,0.95,0.81,Employed
213,Support,Low,4,3,0,0,0.8,0.95,Employed
250,Sales,Medium,3,3,0,0,0.68,0.59,Employed
183,Sales,Low,4,3,0,0,,0.92,Employed
190,It,Medium,3,10,1,0,0.66,0.78,Employed
182,Admin,Medium,4,2,1,0,0.76,0.64,Employed
223,Engineering,Low,3,3,0,0,0.55,0.46,Employed
208,Management,Medium,3,4,0,0,0.69,0.79,Employed
166,Sales,Medium,3,6,1,0,0.51,0.98,Employed
192,It,Low,4,3,0,0,0.68,0.81,Employed
193,Sales,Medium,6,4,0,0,0.65,0.91,Employed
306,Product,Medium,7,4,0,0,0.8,0.13,Left
255,Marketing,Low,3,4,1,0,0.56,0.96,Employed
175,Procurement,Medium,3,3,0,0,0.78,0.8,Employed
140,Sales,Medium,2,3,0,0,0.44,0.36,Left
132,Sales,Medium,2,3,0,0,0.48,0.5,Left
269,Finance,Medium,4,4,0,0,0.59,0.57,Employed
237,Sales,Medium,4,2,0,0,0.63,0.9,Employed
274,Management,Low,4,2,0,0,0.51,0.84,Employed
158,Sales,Low,5,3,0,0,,0.76,Employed
252,Sales,High,4,2,0,1,,0.75,Employed
159,Product,Low,4,3,0,0,,0.84,Employed
128,Engineering,Medium,2,3,0,0,0.5,0.47,Left
135,Procurement,Low,4,3,1,1,0.97,0.78,Employed
192,Sales,High,4,6,0,0,0.67,0.16,Employed
260,Support,Low,6,4,0,0,0.97,0.06,Left
128,,Medium,4,6,0,0,0.98,0.51,Employed
147,It,Low,3,3,0,0,0.76,0.75,Employed
134,Engineering,Low,2,3,0,0,0.57,0.42,Left
189,Engineering,Medium,5,3,0,0,0.78,0.6,Employed
244,Sales,Low,5,5,0,0,0.8,0.79,Left
151,Product,Medium,3,3,0,0,0.89,0.6,Employed
264,Product,Low,4,2,1,0,0.6,0.52,Employed
247,Engineering,High,3,2,0,0,,0.82,Employed
249,Engineering,Medium,4,4,0,0,0.93,0.58,Employed
292,Engineering,Low,6,4,0,1,0.77,0.06,Left
158,Sales,Medium,3,2,1,0,0.53,0.95,Employed
237,It,Low,3,3,0,0,0.75,0.74,Employed
133,Sales,Low,4,2,0,0,0.76,1,Employed
124,Sales,Low,2,2,0,0,0.38,0.62,Employed
199,Support,Low,4,3,0,0,,0.8,Employed
132,Engineering,Medium,4,4,0,0,0.68,0.61,Employed
177,Sales,Low,4,7,0,0,0.88,0.7,Employed
134,Engineering,Low,4,3,0,0,0.61,0.57,Employed
141,Sales,Low,2,3,1,0,0.46,0.47,Left
212,Sales,Low,4,3,0,0,1,0.84,Employed
243,Sales,Low,6,4,1,0,0.92,0.16,Left
168,Sales,Low,4,2,0,0,0.51,0.47,Employed
187,,Low,4,4,1,0,0.89,0.5,Employed
156,Engineering,Low,2,3,0,0,0.45,0.49,Left
191,It,Medium,4,3,0,0,0.79,0.76,Employed
251,Product,Low,6,4,0,0,0.96,0.09,Employed
149,Finance,Low,2,3,0,0,,0.44,Left
143,Management,Medium,4,8,0,0,0.63,0.66,Employed
146,It,Low,2,3,0,0,0.5,0.39,Left
145,Sales,Low,2,3,0,0,,0.48,Left
87,Temp,Medium,2,,1,0,,,Employed
239,Engineering,Medium,4,2,0,0,0.77,0.95,Employed
263,It,Medium,4,3,0,0,0.58,0.55,Employed
179,,Low,4,3,0,0,0.81,0.66,Employed
169,Procurement,Low,3,3,0,0,0.79,0.83,Employed
215,,Low,3,2,0,0,0.97,0.81,Employed
258,Support,Low,4,3,0,0,0.43,0.5,Employed
224,,Medium,5,3,0,0,0.56,0.67,Employed
141,Marketing,Low,4,2,0,0,0.93,0.9,Employed
157,Finance,Low,2,3,0,0,0.54,0.47,Left
259,Sales,Medium,4,5,0,0,0.99,0.87,Left
286,Sales,Low,7,4,0,0,0.86,0.1,Left
199,It,Medium,4,2,0,0,0.67,0.76,Employed
161,Management,High,5,3,0,0,1,0.6,Employed
294,Engineering,Low,4,3,0,0,,0.45,Left
200,Sales,Medium,4,4,0,0,0.95,0.83,Employed
263,Support,Medium,4,4,0,0,0.85,0.75,Employed
214,Marketing,Low,5,3,1,0,0.67,0.97,Employed
188,Sales,Low,3,3,1,0,0.51,0.93,Employed
139,Engineering,Medium,2,3,0,0,0.58,0.3,Employed
153,Engineering,Medium,3,3,0,0,0.76,0.71,Employed
151,Sales,Low,2,3,0,0,0.5,0.39,Left
140,Sales,Low,2,3,0,0,0.51,0.35,Left
74,Temp,Low,1,,0,0,,,Left
272,Support,Low,4,2,0,0,0.94,0.59,Employed
191,,Medium,5,4,0,0,0.79,0.97,Employed
261,It,Medium,5,3,0,0,0.56,0.87,Employed
134,,Low,2,3,0,0,,0.47,Left
256,,Low,4,6,0,0,0.54,0.65,Employed
149,,Medium,4,2,0,0,0.55,1,Employed
260,Engineering,High,5,6,0,0,0.75,0.12,Employed
149,Finance,Low,2,3,0,0,0.59,0.45,Left
163,Marketing,Low,2,2,0,0,0.55,0.49,Employed
166,Engineering,Medium,6,5,1,0,0.96,0.56,Employed
197,Engineering,Low,3,2,0,0,0.73,0.46,Employed
179,Marketing,Low,4,4,0,0,0.58,1,Employed
290,Support,Low,6,4,0,0,0.86,0.1,Left
155,Engineering,Medium,3,3,0,0,0.87,0.76,Employed
176,Management,Medium,3,3,0,0,0.88,0.7,Employed
118,Finance,Low,6,2,0,0,0.63,0.94,Employed
261,Product,Medium,4,3,1,0,0.78,0.77,Employed
211,Engineering,Low,3,4,0,0,0.53,0.53,Employed
153,Product,Low,4,7,0,0,0.47,0.76,Employed
173,Support,Medium,4,2,0,0,0.77,0.76,Employed
195,Support,Low,3,3,0,0,0.91,0.86,Employed
254,Marketing,Low,5,5,0,0,0.57,0.63,Employed
226,Product,Medium,4,5,0,0,0.86,0.77,Left
162,Sales,Medium,4,2,0,0,0.66,0.75,Employed
246,Support,Medium,4,2,1,0,0.91,0.87,Employed
160,Engineering,High,2,2,0,0,0.68,0.55,Employed
256,Support,Medium,3,2,0,0,0.87,0.54,Employed
233,Support,Low,5,3,0,0,0.79,0.65,Employed
152,Sales,Medium,3,2,1,0,0.74,0.92,Employed
251,Engineering,Medium,2,6,0,0,0.73,0.79,Employed
129,Temp,Low,2,,0,0,,,Employed
198,Sales,Medium,4,7,0,0,0.81,0.85,Employed
273,Engineering,High,3,3,0,0,,0.9,Employed
191,It,Low,5,2,0,0,0.5,0.66,Employed
241,Support,Medium,3,3,0,0,0.67,0.68,Employed
263,Product,Medium,3,3,0,0,0.69,0.79,Employed
228,Marketing,Medium,3,2,0,1,,0.93,Employed
208,,Medium,3,3,0,0,0.53,0.86,Employed
285,Sales,Low,6,4,0,0,0.43,0.65,Employed
227,Sales,Medium,3,3,0,0,0.9,0.56,Employed
138,It,Medium,3,2,0,0,0.99,0.81,Employed
138,Support,Low,3,3,0,0,,0.67,Employed
160,Sales,Low,2,3,0,0,0.55,0.4,Left
259,Sales,Medium,4,2,1,1,,0.58,Employed
194,It,Low,2,2,0,0,0.46,0.54,Employed
265,Support,Medium,4,2,0,0,0.6,0.72,Employed
263,Support,Low,3,3,0,0,0.6,1,Employed
179,Sales,Low,3,2,1,0,0.45,0.56,Employed
212,Support,Low,4,3,0,0,0.96,1,Employed
213,It,High,3,3,0,0,0.51,0.84,Employed
219,Marketing,Low,3,6,0,0,0.88,0.18,Employed
203,Engineering,Low,5,6,0,0,0.46,0.88,Employed
229,Marketing,Low,7,3,0,0,0.59,0.12,Left
136,It,Low,2,3,0,0,0.55,0.32,Left
287,Engineering,Low,6,4,0,0,0.92,0.14,Left
195,Support,Low,3,10,0,0,0.92,0.54,Employed
178,Sales,Low,5,5,0,0,0.75,0.29,Employed
214,It,Medium,3,2,0,0,0.67,0.56,Employed
231,Sales,Medium,3,3,0,0,0.7,0.69,Employed
155,Engineering,Medium,2,3,0,0,0.5,0.36,Left
227,Engineering,Medium,6,4,0,0,0.54,0.14,Employed
215,Support,Medium,2,6,0,0,0.57,0.38,Employed
259,Sales,Low,4,3,0,0,0.51,0.95,Employed
205,Management,Medium,3,8,1,0,0.7,0.93,Employed
239,Sales,Low,4,5,0,0,0.91,0.74,Left
231,Finance,Medium,3,2,0,0,0.62,0.69,Employed
218,Sales,Low,3,4,0,0,0.58,0.92,Employed
203,Management,Low,4,2,0,0,,0.94,Employed
235,It,Medium,4,2,0,0,,0.54,Employed
255,Sales,Low,4,6,0,0,1,0.75,Left
145,Finance,Low,3,2,0,0,0.69,0.69,Employed
262,Engineering,Low,4,3,0,0,0.9,0.26,Employed
222,Sales,Low,5,2,0,0,0.54,0.89,Employed
242,It,Low,4,2,0,0,0.84,0.74,Employed
256,Support,Low,4,3,1,0,0.45,0.54,Employed
135,Sales,Low,2,3,0,0,0.48,0.43,Left
239,Engineering,Low,3,3,0,0,0.88,0.71,Employed
132,Support,Low,2,3,0,0,0.5,0.42,Left
155,Marketing,High,4,3,0,0,0.54,0.86,Employed
204,Support,Low,4,8,1,0,0.85,0.69,Employed
272,Engineering,Low,6,4,0,0,0.84,0.55,Employed
234,Sales,Low,5,3,1,0,,0.58,Employed
246,Sales,Medium,5,5,1,0,0.86,0.83,Left
207,Engineering,High,4,5,0,0,0.8,0.22,Employed
227,Support,Medium,6,5,0,0,0.67,0.18,Employed
189,Support,Low,5,3,0,0,1,0.82,Employed
251,Sales,Medium,2,3,0,0,0.51,0.83,Employed
262,Marketing,Medium,4,3,1,1,0.56,1,Employed
111,Sales,Low,2,2,0,0,,0.42,Employed
132,Engineering,Medium,3,3,0,0,0.8,0.86,Employed
289,It,Low,7,4,0,0,0.9,0.13,Left
139,Sales,Low,2,3,0,0,0.53,0.48,Left
176,Marketing,Medium,4,2,0,0,0.73,0.5,Employed
145,Finance,Medium,2,3,0,0,0.44,0.47,Left
255,Sales,Medium,5,4,0,0,0.76,0.76,Employed
160,Marketing,Medium,3,3,0,0,0.7,0.67,Employed
144,Sales,Low,2,3,0,0,0.58,0.47,Left
248,Support,Low,6,5,0,0,0.54,0.16,Employed
149,Admin,Medium,4,6,1,0,0.72,0.95,Employed
128,Sales,Low,2,3,0,0,,0.4,Left
146,Sales,Low,4,4,0,0,0.69,0.84,Employed
156,Support,Medium,4,2,0,0,,0.67,Employed
274,Product,Low,5,5,0,0,1,0.8,Left
101,Engineering,Low,2,3,0,0,0.92,0.66,Employed
128,Sales,Low,2,3,0,0,0.52,0.43,Left
258,Support,High,4,2,0,0,0.66,0.69,Employed
144,Finance,Low,4,3,1,0,,0.75,Employed
137,Engineering,Low,5,5,1,0,0.96,0.14,Employed
289,Support,Low,6,4,1,0,0.89,0.06,Left
245,Sales,Low,5,5,0,0,0.84,0.83,Left
216,Support,Low,4,2,0,0,0.55,0.82,Employed
182,Product,Low,3,3,1,0,0.39,0.14,Employed
269,Management,High,4,10,0,0,0.93,0.83,Employed
213,Management,Medium,4,3,0,0,0.91,0.85,Employed
275,Sales,High,5,4,1,0,0.54,0.11,Employed
222,Management,Low,4,3,0,0,0.69,0.66,Employed
192,Support,Low,2,2,1,0,0.63,0.56,Employed
223,Engineering,Low,4,4,0,0,0.81,0.16,Employed
158,Sales,Low,2,3,0,0,0.55,0.37,Left
155,Finance,High,4,4,0,0,0.53,0.78,Employed
240,It,Low,6,6,0,0,0.91,0.92,Employed
307,Sales,Low,6,4,0,0,0.98,0.14,Left
174,Marketing,Low,5,3,0,0,0.76,0.67,Employed
135,It,Low,2,3,0,0,0.53,0.34,Left
181,Finance,Low,3,4,1,0,0.51,0.42,Employed
97,Finance,High,5,6,1,0,0.82,0.43,Employed
267,Support,Low,4,4,0,0,0.91,0.5,Employed
119,Sales,Low,5,2,0,0,0.94,0.4,Employed
149,Sales,Low,2,3,0,0,0.89,0.86,Employed
199,Product,Low,3,3,0,0,0.84,0.7,Employed
137,Marketing,Low,2,3,0,0,0.56,0.45,Left
202,It,Medium,3,2,0,0,0.74,0.69,Employed
174,Information_Technology,Low,2,3,0,0,0.46,0.55,Employed
147,Support,Low,2,3,0,0,0.45,0.34,Left
208,Sales,Low,4,3,0,0,,0.47,Employed
148,Management,High,2,2,1,1,,0.48,Employed
203,Product,Medium,5,6,0,0,0.8,0.21,Employed
227,Support,Low,6,2,0,0,0.54,0.25,Employed
134,Marketing,High,3,3,1,0,,0.97,Employed
229,Sales,Low,4,6,0,0,0.9,0.92,Left
299,Sales,Low,7,4,0,0,0.88,0.13,Left
245,Support,Low,3,4,0,0,0.62,0.5,Employed
191,Engineering,Low,4,2,0,0,0.9,0.58,Employed
157,Marketing,Medium,4,3,0,0,0.98,0.74,Employed
266,Product,Low,4,3,0,0,0.7,0.6,Employed
260,Product,Medium,4,3,0,0,0.81,0.86,Employed
149,It,Medium,4,4,1,0,0.88,0.6,Employed
190,Information_Technology,Medium,4,4,1,0,0.65,0.96,Employed
206,Sales,Low,4,3,0,0,0.87,0.57,Employed
266,Procurement,Medium,3,3,0,0,0.65,0.57,Employed
137,,Medium,2,3,0,0,0.45,0.46,Left
273,Sales,Low,4,2,0,0,0.67,0.79,Employed
242,Engineering,Low,4,4,0,0,0.69,0.69,Employed
151,Sales,Low,5,2,1,0,0.76,0.14,Employed
136,Sales,Medium,2,6,0,0,0.65,0.22,Employed
239,Admin,Medium,4,3,0,0,1,0.8,Employed
110,Finance,Medium,3,2,0,0,0.38,0.13,Employed
275,Sales,Medium,3,4,1,0,0.72,0.82,Employed
149,It,Medium,4,3,0,0,0.58,0.71,Employed
275,Sales,Low,5,5,0,0,0.89,0.87,Left
219,,Medium,4,3,0,0,0.67,0.74,Employed
252,It,Low,5,2,0,0,,0.82,Employed
187,Information_Technology,Low,3,2,0,0,0.95,0.57,Employed
162,Finance,Medium,3,3,1,0,0.88,0.81,Employed
156,Product,Low,4,3,0,0,0.64,0.78,Employed
254,Sales,Medium,4,2,0,0,0.55,0.62,Employed
134,Marketing,Medium,2,3,0,0,0.44,0.38,Left
270,Sales,Medium,4,3,1,0,0.66,0.9,Employed
247,Sales,Medium,4,2,0,0,0.74,0.62,Employed
249,It,Medium,3,2,0,0,0.96,0.79,Employed
176,Marketing,Low,5,3,0,0,0.95,0.54,Employed
162,Support,Medium,4,2,1,0,0.96,0.75,Employed
201,Sales,High,3,3,1,0,0.8,0.7,Employed
243,Engineering,Low,5,2,0,0,,0.82,Employed
144,Engineering,High,4,4,0,0,0.66,0.73,Employed
215,Sales,Low,3,2,0,0,0.7,0.68,Employed
146,Support,Low,2,3,0,0,0.51,0.38,Left
249,Finance,Medium,5,3,1,0,0.88,0.47,Employed
153,Sales,Medium,4,3,1,0,0.66,0.4,Employed
251,Support,High,4,3,0,0,0.75,0.63,Employed
147,Sales,Low,2,3,0,0,0.54,0.46,Left
211,Sales,Low,4,4,0,0,0.56,0.61,Employed
147,Sales,Medium,4,3,0,0,0.73,0.73,Employed
274,Engineering,Medium,4,2,0,0,0.69,0.85,Employed
275,Product,Medium,5,4,0,0,0.78,0.15,Left
237,Engineering,High,5,3,0,0,0.97,0.69,Employed
205,Finance,Low,5,3,0,0,0.91,0.27,Employed
223,Management,Low,3,3,0,0,0.82,0.55,Employed
164,Engineering,Low,4,2,0,0,0.75,0.86,Employed
228,It,Low,3,2,1,0,0.6,0.78,Employed
142,Product,Medium,2,3,0,0,,0.37,Left
232,Engineering,Medium,4,5,0,0,0.98,0.83,Left
246,Finance,Low,5,2,1,0,0.73,0.89,Employed
224,Admin,Low,6,4,0,1,0.94,0.7,Employed
185,Product,Medium,3,3,0,0,,1,Employed
279,Sales,Low,6,4,0,0,0.81,0.13,Left
144,,Medium,2,3,0,0,0.46,0.38,Left
268,Product,Low,6,4,0,0,0.87,0.11,Left
163,Support,Low,4,5,0,1,0.65,0.22,Employed
152,,Medium,5,5,0,0,0.55,0.18,Employed
198,Support,Medium,4,3,0,0,0.78,0.49,Employed
267,Sales,Medium,7,4,0,0,0.9,0.13,Left
231,Engineering,Low,3,3,0,0,,0.8,Employed
203,Management,High,5,3,0,0,0.53,0.9,Employed
232,Sales,Low,5,3,0,0,0.86,0.23,Left
257,Engineering,Low,5,3,0,0,0.84,0.85,Employed
173,Support,Medium,5,4,0,0,0.53,0.11,Employed
141,Engineering,Medium,2,3,0,0,0.49,0.42,Left
136,Engineering,Low,3,4,1,0,0.56,0.53,Employed
127,It,Medium,2,3,0,0,0.47,0.43,Left
244,Sales,Medium,6,4,1,0,0.81,0.08,Left
174,Sales,Low,3,3,0,0,0.99,0.79,Employed
109,Engineering,Low,3,6,0,0,0.98,0.4,Employed
221,Engineering,Low,4,3,0,0,0.7,0.71,Employed
262,Management,High,3,7,1,1,0.8,0.76,Employed
229,Sales,Low,4,5,0,0,0.97,0.89,Left
299,Engineering,Low,6,4,0,0,0.97,0.12,Left
282,Engineering,Low,7,5,0,0,0.86,0.13,Left
268,Engineering,Medium,3,10,0,0,0.71,0.89,Employed
127,It,Medium,2,3,0,0,0.47,0.37,Left
246,Support,Low,4,3,0,0,0.43,0.49,Employed
203,Support,Medium,2,4,0,0,0.72,0.93,Employed
199,Engineering,Low,4,2,0,0,,0.63,Employed
279,Sales,Low,5,4,0,0,0.76,0.55,Employed
147,Support,Low,2,3,0,0,,0.48,Left
151,Engineering,Low,3,2,0,0,0.88,0.61,Employed
248,Engineering,Medium,4,2,1,0,0.92,0.71,Employed
149,Finance,Low,4,3,0,0,0.58,0.21,Employed
254,Sales,Low,7,4,0,0,1,0.09,Left
202,Sales,Medium,3,3,0,0,0.7,1,Employed
104,Support,Medium,2,3,1,0,,0.66,Employed
130,Support,High,2,3,0,0,,0.44,Left
235,Engineering,Low,3,3,0,0,0.68,0.83,Employed
149,Support,Low,3,3,0,0,0.52,0.83,Employed
150,Sales,Medium,3,3,1,0,0.63,0.32,Employed
241,Sales,Medium,5,2,0,0,0.8,0.71,Employed
156,Support,Medium,3,3,1,0,0.51,0.72,Employed
84,Temp,Low,2,,0,0,,,Employed
167,Sales,Low,3,5,0,0,0.37,0.15,Employed
173,Marketing,Medium,4,2,0,0,0.56,0.55,Employed
282,Engineering,Medium,6,4,0,0,0.86,0.13,Left
144,Sales,Medium,3,3,0,0,0.51,0.62,Employed
310,Sales,Medium,6,4,0,0,0.76,0.13,Left
167,Support,Low,3,2,0,0,0.97,0.89,Employed
239,Admin,Medium,5,5,0,0,0.93,0.78,Left
261,It,Low,5,6,1,0,0.47,0.34,Employed
131,Sales,Low,2,3,0,0,0.56,0.43,Left
191,Support,Low,6,4,0,0,0.54,0.19,Employed
253,Information_Technology,High,4,4,0,0,0.77,0.67,Employed
140,Engineering,High,3,2,0,0,0.61,0.85,Employed
256,Engineering,Medium,3,4,0,0,0.74,0.79,Employed
216,Product,Medium,4,4,0,0,0.8,0.68,Employed
251,Sales,Medium,4,3,0,0,0.65,0.74,Employed
263,Sales,Medium,3,3,0,0,0.65,0.89,Employed
255,Marketing,Low,3,2,1,0,,1,Employed
146,Support,Low,2,3,0,0,,0.45,Left
260,Sales,Medium,4,3,0,0,0.98,0.73,Employed
121,Engineering,Medium,4,2,0,1,0.55,0.92,Employed
284,Sales,Low,6,4,0,0,0.93,0.08,Left
222,Management,High,4,3,0,0,0.45,0.57,Employed
183,Support,Medium,3,3,0,0,,0.98,Employed
217,Management,High,3,3,0,0,,0.85,Employed
115,Support,Low,5,5,0,0,0.56,0.67,Employed
259,Engineering,Low,4,3,1,0,0.74,0.5,Employed
186,Engineering,Low,3,2,0,0,0.69,0.74,Employed
155,Sales,Low,2,3,0,0,0.46,0.4,Left
155,,Medium,4,2,0,0,0.63,0.5,Employed
136,Sales,Low,5,3,0,0,0.69,0.81,Employed
102,Sales,Low,4,3,0,0,0.59,0.82,Employed
177,Sales,High,3,2,0,0,0.9,0.79,Employed
238,Sales,Low,2,2,1,0,0.9,0.91,Employed
242,Sales,High,5,3,0,0,0.63,0.48,Employed
237,Support,Medium,4,3,1,0,0.81,0.67,Employed
151,Support,Low,2,3,0,0,0.48,0.39,Left
150,Support,Low,4,2,1,0,0.93,0.57,Employed
269,Sales,Medium,3,3,0,0,,0.95,Employed
236,Sales,Medium,5,3,1,1,,0.98,Employed
206,It,Medium,3,2,0,0,0.64,0.56,Employed
188,Support,Low,3,3,0,0,,0.36,Employed
158,Engineering,Medium,4,3,1,0,1,0.92,Employed
228,Engineering,Medium,6,5,0,0,0.59,0.41,Employed
191,It,Low,4,4,0,0,0.65,0.65,Employed
153,,Low,2,3,0,0,,0.46,Left
212,Product,Medium,3,2,0,0,0.68,0.66,Employed
286,It,Low,5,5,0,0,0.74,0.34,Employed
228,Engineering,Low,4,4,0,0,0.83,0.7,Employed
206,Marketing,Low,5,2,0,0,0.55,0.81,Employed
100,Temp,Medium,1,,0,0,,,Employed
237,Engineering,Low,5,3,1,0,0.81,0.83,Employed
224,Sales,High,4,3,0,0,0.6,0.64,Employed
247,,Low,3,2,0,0,0.97,0.89,Employed
307,Support,Low,7,4,0,0,0.95,0.09,Left
243,Engineering,Medium,5,5,0,0,0.92,0.95,Left
167,Management,Low,4,2,0,0,0.65,0.5,Employed
261,Information_Technology,Medium,5,5,0,0,0.51,0.51,Employed
267,Engineering,Medium,5,3,0,0,0.5,0.57,Employed
181,Management,Medium,5,4,1,0,0.71,0.83,Employed
165,Sales,Medium,3,4,0,0,0.86,0.88,Employed
292,It,Low,6,4,0,0,0.82,0.1,Left
157,It,Low,5,3,0,0,0.73,0.92,Employed
256,Support,Low,6,4,0,0,0.96,0.08,Left
239,Product,Low,4,3,1,0,,0.75,Employed
270,Finance,Low,4,3,0,0,0.53,0.7,Employed
262,Sales,Low,4,3,0,0,0.8,0.58,Employed
192,Marketing,Low,3,3,0,0,0.89,0.76,Employed
104,It,Medium,3,5,0,0,0.64,0.57,Employed
258,Sales,Medium,4,3,0,0,0.66,0.88,Employed
269,Sales,Low,3,3,0,0,0.83,0.63,Employed
204,Engineering,Medium,4,3,0,0,0.51,0.87,Employed
160,Support,Low,2,4,0,0,0.93,0.86,Employed
232,Management,Low,5,6,0,0,0.93,0.82,Left
213,Finance,High,5,2,0,0,0.73,0.33,Employed
256,Sales,Low,6,5,0,0,0.4,0.88,Employed
176,Product,Low,2,5,0,0,0.51,0.68,Employed
163,Engineering,Low,4,3,0,0,,0.9,Employed
147,Engineering,Low,6,3,0,0,,0.9,Employed
134,Support,Low,4,2,0,0,0.85,0.7,Employed
98,Support,Low,2,4,0,0,0.46,0.52,Employed
179,Engineering,Low,5,2,0,0,0.91,0.93,Employed
147,Sales,High,5,4,0,0,0.61,0.9,Employed
222,It,Medium,5,3,1,0,0.79,0.78,Employed
151,Engineering,Low,2,3,0,0,,0.42,Left
174,Sales,Medium,2,3,0,0,0.65,0.36,Employed
140,Sales,Low,2,3,0,0,0.51,0.42,Left
212,Sales,Low,5,4,0,0,0.48,0.64,Employed
217,Product,Medium,3,4,0,0,0.91,0.62,Employed
203,Engineering,Low,4,5,0,0,0.67,0.22,Employed
240,Product,Medium,3,3,1,0,0.81,0.57,Employed
202,Procurement,Medium,3,2,0,0,0.76,0.76,Employed
176,Sales,Medium,5,3,0,0,0.95,0.86,Employed
248,Product,Medium,3,3,0,0,0.41,0.61,Employed
238,Sales,Medium,3,2,0,0,0.96,0.62,Employed
97,It,Medium,3,6,0,0,0.46,0.28,Employed
124,Temp,Medium,2,,1,0,,,Employed
273,Support,Medium,5,3,0,0,0.69,0.88,Employed
157,Admin,Low,2,4,0,0,0.75,0.68,Left
250,It,Low,5,3,0,0,,0.62,Employed
171,Admin,Medium,5,2,0,0,0.85,0.99,Employed
266,Product,High,4,2,1,0,0.99,0.87,Employed
258,Engineering,Medium,5,3,0,0,0.87,0.22,Employed
296,Sales,Low,7,4,0,0,0.88,0.14,Left
241,Sales,Medium,3,10,0,0,0.64,0.92,Employed
223,Support,Medium,3,2,0,0,0.44,0.74,Employed
162,Support,Medium,4,2,0,0,0.58,0.83,Employed
142,Support,Low,4,2,1,0,0.79,0.67,Employed
199,Sales,Medium,3,2,0,0,0.89,0.17,Employed
160,Support,Low,3,3,0,0,0.93,0.88,Employed
195,Sales,Medium,3,3,0,0,0.61,0.61,Employed
257,Finance,Medium,5,5,0,0,0.95,0.91,Left
155,Support,Medium,3,3,1,0,0.96,0.73,Employed
198,Sales,Medium,4,7,0,0,0.81,0.93,Employed
156,Marketing,Low,4,3,1,0,0.97,0.96,Employed
133,,Medium,3,3,0,0,0.82,0.59,Employed
188,Engineering,Low,4,6,0,0,0.56,0.72,Employed
236,Admin,Low,5,4,0,0,0.47,0.26,Employed
246,Procurement,Medium,3,3,0,0,0.43,0.5,Employed
155,Management,Low,3,2,0,0,0.8,0.55,Employed
122,Management,High,3,3,0,0,0.54,0.61,Employed
187,Sales,Medium,4,2,0,0,,0.55,Employed
257,Sales,Low,5,6,0,0,0.99,0.75,Left
268,Finance,Low,5,3,0,0,0.56,0.35,Employed
149,Engineering,Low,2,3,0,0,,0.46,Left
140,Product,Low,2,3,0,0,0.44,0.47,Left
229,Sales,Low,4,2,0,0,,0.62,Employed
228,Engineering,Medium,5,3,0,1,0.62,0.84,Employed
230,Support,Medium,3,3,0,0,0.8,0.59,Employed
105,Engineering,Medium,6,6,0,0,0.37,0.29,Employed
178,It,Low,3,3,0,0,0.84,0.73,Employed
228,Support,Medium,4,5,0,0,1,0.83,Left
260,Procurement,Low,3,2,0,0,,0.95,Employed
98,Marketing,Low,6,3,0,0,0.48,0.84,Employed
283,Engineering,Low,6,4,1,0,0.82,0.15,Left
146,Support,Low,2,3,0,0,0.48,0.47,Left
223,Support,Medium,4,3,0,0,,0.79,Employed
259,Sales,Low,4,3,0,0,0.57,0.51,Employed
194,,Low,5,3,1,0,,0.54,Employed
236,Sales,Medium,3,4,0,0,1,0.32,Left
195,Sales,Low,3,2,0,0,0.96,0.86,Employed
130,Support,Medium,5,4,1,0,0.84,0.95,Left
213,It,Low,4,2,0,0,0.51,0.63,Employed
254,Support,High,4,2,0,0,,0.91,Employed
185,Support,Medium,2,6,0,0,0.8,0.44,Employed
273,Engineering,Medium,6,5,0,0,0.77,0.94,Employed
231,Sales,Low,3,3,0,0,0.53,0.52,Employed
212,Sales,Low,4,4,1,0,0.68,0.44,Left
272,Sales,Low,4,2,0,0,0.97,0.83,Employed
137,Sales,Medium,4,3,0,0,0.73,0.68,Employed
186,Sales,Low,2,2,0,0,0.6,0.46,Employed
151,Support,Medium,4,4,1,0,0.57,0.58,Employed
222,Sales,Medium,4,2,0,0,0.76,0.6,Employed
147,Support,Low,2,3,0,0,0.42,0.44,Left
117,Sales,Medium,4,3,0,0,0.95,0.4,Employed
146,Sales,Medium,2,3,0,0,0.48,0.42,Left
131,Sales,Medium,3,3,0,0,0.42,0.76,Employed
102,Temp,Low,2,,0,0,,,Employed
262,Sales,Low,4,2,0,0,,0.89,Employed
247,Sales,Medium,2,4,0,0,0.59,0.1,Left
232,Support,Low,3,2,0,0,0.86,0.67,Employed
176,Marketing,Low,2,5,0,1,0.63,0.83,Employed
