Rank,School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score
68,Andover High,https://www.schooldigger.com/go/MA/schools/0195000045/school.aspx,Andover,https://www.schooldigger.com/go/MA/district/01950/search.aspx,80 Shawsheen Road,Andover,https://www.schooldigger.com/go/MA/city/Andover/search.aspx,1810,Essex County,(978) 247-5500,9,12,No,No,No,No,1679,128,13.1,,2.9%,0.4%,19.5%,7.9%,0.1%,2.7%,66.4%,80.6
69,Hopkins Academy,https://www.schooldigger.com/go/MA/schools/0558000813/school.aspx,Hadley,https://www.schooldigger.com/go/MA/district/05580/search.aspx,131 Russell Street,Hadley,https://www.schooldigger.com/go/MA/city/Hadley/search.aspx,1035,Hampshire County,(413) 584-1106,7,12,No,No,No,No,236,25.6,9.2,,5.1%,0.4%,4.2%,8.5%,3.8%,2.5%,74.6%,80.4
70,Melrose High,https://www.schooldigger.com/go/MA/schools/0762001193/school.aspx,Melrose,https://www.schooldigger.com/go/MA/district/07620/search.aspx,360 Lynn Fells Parkway,Melrose,https://www.schooldigger.com/go/MA/city/Melrose/search.aspx,2176,Middlesex County,(781) 979-2200,9,12,No,No,No,No,923,69.7,13.2,,7.8%,0.0%,5.1%,5.1%,0.0%,5.0%,76.8%,80.1
71,Brooke Charter School,https://www.schooldigger.com/go/MA/schools/0007101747/school.aspx,Brooke Charter School (District),https://www.schooldigger.com/go/MA/district/00071/search.aspx,190 Cummins Highway,Roslindale,https://www.schooldigger.com/go/MA/city/Roslindale/search.aspx,2131,Suffolk County,(617) 325-7977,KG,12,Yes,Yes,No,No,2145,180.4,11.8,,51.9%,0.2%,1.7%,39.1%,0.1%,2.6%,4.4%,79.8
72,Swampscott High,https://www.schooldigger.com/go/MA/schools/1143001887/school.aspx,Swampscott,https://www.schooldigger.com/go/MA/district/11430/search.aspx,200 Essex Street,Swampscott,https://www.schooldigger.com/go/MA/city/Swampscott/search.aspx,1907,Essex County,(781) 596-8830,9,12,Yes,No,No,No,653,60.8,10.7,,5.7%,0.3%,3.4%,12.9%,0.0%,2.0%,75.7%,79.6
73,Hopedale Junior Senior High,https://www.schooldigger.com/go/MA/schools/0630000915/school.aspx,Hopedale,https://www.schooldigger.com/go/MA/district/06300/search.aspx,25 Adin Street,Hopedale,https://www.schooldigger.com/go/MA/city/Hopedale/search.aspx,1747,Worcester County,(508) 634-2217,7,12,No,No,No,No,471,44.3,10.6,,1.1%,0.2%,2.8%,11.0%,0.4%,1.7%,82.4%,79.4
74,Grafton High School,https://www.schooldigger.com/go/MA/schools/0537000786/school.aspx,Grafton,https://www.schooldigger.com/go/MA/district/05370/search.aspx,24 Providence Rd,Grafton,https://www.schooldigger.com/go/MA/city/Grafton/search.aspx,1519,Worcester County,(508) 839-5425,9,12,No,No,No,No,909,70.7,12.8,,2.1%,0.2%,10.2%,6.5%,0.1%,2.9%,77.9%,79.2
75,Sandwich High,https://www.schooldigger.com/go/MA/schools/1047001673/school.aspx,Sandwich,https://www.schooldigger.com/go/MA/district/10470/search.aspx,365 Quaker Meetinghouse Rd,East Sandwich,https://www.schooldigger.com/go/MA/city/East+Sandwich/search.aspx,2537,Barnstable County,(508) 888-4900,9,12,No,No,No,No,611,61.9,9.8,,0.7%,0.5%,1.8%,2.0%,0.2%,1.3%,93.3%,79.1
76,Mt Greylock Regional High,https://www.schooldigger.com/go/MA/schools/0816001273/school.aspx,Mount Greylock,https://www.schooldigger.com/go/MA/district/08160/search.aspx,1781 Cold Spring Road,Williamstown,https://www.schooldigger.com/go/MA/city/Williamstown/search.aspx,1267,Berkshire County,(413) 458-9582,7,12,No,No,No,No,524,47.3,11,,3.2%,0.0%,1.9%,5.2%,0.0%,3.4%,85.5%,78.8
77,Seekonk High,https://www.schooldigger.com/go/MA/schools/1059001699/school.aspx,Seekonk,https://www.schooldigger.com/go/MA/district/10590/search.aspx,261 Arcade Avenue,Seekonk,https://www.schooldigger.com/go/MA/city/Seekonk/search.aspx,2771,Bristol County,(508) 336-7272,9,12,No,No,No,No,591,50.2,11.7,,2.7%,0.0%,3.4%,5.8%,0.2%,3.7%,83.9%,78.7
78,Tantasqua Regional Senior High,https://www.schooldigger.com/go/MA/schools/1149001900/school.aspx,Tantasqua,https://www.schooldigger.com/go/MA/district/11490/search.aspx,319 Brookfield Rd,Fiskdale,https://www.schooldigger.com/go/MA/city/Fiskdale/search.aspx,1518,Worcester County,(508) 347-9301,9,12,No,No,No,No,678,74.8,9,,1.2%,0.1%,1.9%,7.8%,0.0%,4.4%,84.2%,78.4
79,Pembroke High School,https://www.schooldigger.com/go/MA/schools/0942001824/school.aspx,Pembroke,https://www.schooldigger.com/go/MA/district/09420/search.aspx,80 Learning Lane,Pembroke,https://www.schooldigger.com/go/MA/city/Pembroke/search.aspx,2359,Plymouth County,(781) 293-9281,9,12,No,No,No,No,785,56.7,13.8,,0.4%,0.0%,1.5%,1.1%,0.0%,1.1%,95.3%,77.9
80,King Philip Regional High,https://www.schooldigger.com/go/MA/schools/0651000940/school.aspx,King Philip,https://www.schooldigger.com/go/MA/district/06510/search.aspx,201 Franklin Street,Wrentham,https://www.schooldigger.com/go/MA/city/Wrentham/search.aspx,2093,Norfolk County,(508) 384-1000,9,12,No,No,No,No,1162,83.3,13.9,,2.7%,0.2%,3.2%,4.2%,0.0%,2.4%,87.3%,77.4
81,Wakefield Memorial High,https://www.schooldigger.com/go/MA/schools/1191001951/school.aspx,Wakefield,https://www.schooldigger.com/go/MA/district/11910/search.aspx,60 Farm Street,Wakefield,https://www.schooldigger.com/go/MA/city/Wakefield/search.aspx,1880,Middlesex County,(781) 246-6440,9,12,Yes,No,No,No,846,77.3,10.9,,3.3%,0.2%,4.0%,7.7%,0.0%,2.5%,82.2%,77.1
82,Monument Mt Regional High,https://www.schooldigger.com/go/MA/schools/0253000154/school.aspx,Berkshire Hills,https://www.schooldigger.com/go/MA/district/02530/search.aspx,600 Stockbridge Road,Great Barrington,https://www.schooldigger.com/go/MA/city/Great+Barrington/search.aspx,1230,Berkshire County,(413) 528-3346,9,12,No,No,No,No,512,44.4,11.5,,2.0%,0.4%,2.1%,11.1%,0.4%,3.5%,80.5%,77.1
83,Wilmington High,https://www.schooldigger.com/go/MA/schools/1305002158/school.aspx,Wilmington,https://www.schooldigger.com/go/MA/district/13050/search.aspx,159 Church Street,Wilmington,https://www.schooldigger.com/go/MA/city/Wilmington/search.aspx,1887,Middlesex County,(978) 694-6060,9,12,No,No,No,No,695,71.3,9.7,,1.4%,0.3%,5.8%,6.0%,0.0%,3.9%,82.4%,76.9
84,Oliver Ames High,https://www.schooldigger.com/go/MA/schools/0462000623/school.aspx,Easton,https://www.schooldigger.com/go/MA/district/04620/search.aspx,100 Lothrop Street,North Easton,https://www.schooldigger.com/go/MA/city/North+Easton/search.aspx,2356,Bristol County,(508) 230-3210,9,12,No,No,No,No,1113,85.8,12.9,,6.7%,0.4%,3.6%,5.5%,0.0%,3.5%,80.1%,76.9
85,North Quincy High,https://www.schooldigger.com/go/MA/schools/0987001577/school.aspx,Quincy,https://www.schooldigger.com/go/MA/district/09870/search.aspx,316 Hancock Street,Quincy,https://www.schooldigger.com/go/MA/city/Quincy/search.aspx,2171,Norfolk County,(617) 984-8744,9,12,No,No,No,No,1408,87.7,16,,3.8%,0.2%,53.5%,4.4%,0.3%,3.6%,34.2%,76.6
86,Lunenburg High,https://www.schooldigger.com/go/MA/schools/0708001058/school.aspx,Lunenburg,https://www.schooldigger.com/go/MA/district/07080/search.aspx,1079 Massachusetts Avenue,Lunenburg,https://www.schooldigger.com/go/MA/city/Lunenburg/search.aspx,1462,Worcester County,(978) 582-4115,9,12,No,No,No,No,450,33.5,13.4,,1.3%,0.7%,1.6%,10.4%,0.9%,2.2%,82.7%,76.6
87,North Reading High,https://www.schooldigger.com/go/MA/schools/0882001422/school.aspx,North Reading,https://www.schooldigger.com/go/MA/district/08820/search.aspx,189 Park Street,North Reading,https://www.schooldigger.com/go/MA/city/North+Reading/search.aspx,1864,Middlesex County,(978) 664-7800,9,12,No,No,No,No,639,67.9,9.4,,0.0%,0.0%,4.5%,3.6%,0.2%,2.5%,89.2%,76.6
88,Billerica Memorial High School,https://www.schooldigger.com/go/MA/schools/0267000177/school.aspx,Billerica,https://www.schooldigger.com/go/MA/district/02670/search.aspx,35 River Street,Billerica,https://www.schooldigger.com/go/MA/city/Billerica/search.aspx,1821,Middlesex County,(978) 528-8712,8,12,No,No,No,No,1718,125.8,13.6,,6.5%,0.1%,9.8%,7.9%,0.2%,2.1%,73.3%,76.4
89,Amherst Regional High,https://www.schooldigger.com/go/MA/schools/0192000042/school.aspx,Amherst-Pelham,https://www.schooldigger.com/go/MA/district/01920/search.aspx,21 Mattoon Street,Amherst,https://www.schooldigger.com/go/MA/city/Amherst/search.aspx,1002,Hampshire County,(413) 362-1701,9,12,No,No,No,No,858,70.1,12.2,,8.4%,0.0%,9.1%,18.2%,0.0%,8.6%,55.1%,76.3
90,Francis W. Parker Charter Essential School,https://www.schooldigger.com/go/MA/schools/0003800581/school.aspx,Francis W. Parker Charter Essential (District),https://www.schooldigger.com/go/MA/district/00038/search.aspx,49 Antietam St,Devens,https://www.schooldigger.com/go/MA/city/Devens/search.aspx,1434,Middlesex County,(978) 772-3293,7,12,No,Yes,No,No,386,45.5,8.4,,2.1%,0.0%,2.3%,4.1%,0.0%,3.4%,87.6%,76.3
91,Sutton High School,https://www.schooldigger.com/go/MA/schools/1140001414/school.aspx,Sutton,https://www.schooldigger.com/go/MA/district/11400/search.aspx,409 Boston Road,Sutton,https://www.schooldigger.com/go/MA/city/Sutton/search.aspx,1590,Worcester County,(508) 581-1640,9,12,No,No,No,No,359,31.7,11.3,,1.9%,0.0%,1.7%,3.9%,0.0%,3.6%,88.3%,75.9
92,Canton High,https://www.schooldigger.com/go/MA/schools/0330000451/school.aspx,Canton,https://www.schooldigger.com/go/MA/district/03300/search.aspx,900 Washington Street,Canton,https://www.schooldigger.com/go/MA/city/Canton/search.aspx,2021,Norfolk County,(781) 821-5050,9,12,No,No,No,No,903,67.4,13.3,,13.1%,0.0%,11.4%,5.6%,0.0%,4.2%,65.2%,75.7
93,Foxborough High,https://www.schooldigger.com/go/MA/schools/0495000708/school.aspx,Foxborough,https://www.schooldigger.com/go/MA/district/04950/search.aspx,120 South Street,Foxboro,https://www.schooldigger.com/go/MA/city/Foxboro/search.aspx,2035,Norfolk County,(508) 543-1616,9,12,No,No,No,No,772,64.5,11.9,,8.3%,0.6%,3.2%,6.6%,0.0%,2.1%,79.0%,75.6
94,Marblehead High,https://www.schooldigger.com/go/MA/schools/0726001124/school.aspx,Marblehead,https://www.schooldigger.com/go/MA/district/07260/search.aspx,2 Humphrey Street,Marblehead,https://www.schooldigger.com/go/MA/city/Marblehead/search.aspx,1945,Essex County,(781) 639-3100,9,12,No,No,No,No,931,87.9,10.5,,3.4%,0.1%,1.1%,6.7%,0.1%,2.0%,86.0%,75.5
95,Nauset Regional High,https://www.schooldigger.com/go/MA/schools/0456000610/school.aspx,Nauset,https://www.schooldigger.com/go/MA/district/04560/search.aspx,100 Cable Rd,North Eastham,https://www.schooldigger.com/go/MA/city/North+Eastham/search.aspx,2651,Barnstable County,(508) 255-1505,9,12,Yes,No,No,No,833,79.2,10.5,,5.8%,0.1%,2.2%,4.3%,0.1%,2.4%,84.5%,75.5
96,Hull High,https://www.schooldigger.com/go/MA/schools/0642000930/school.aspx,Hull,https://www.schooldigger.com/go/MA/district/06420/search.aspx,180 Main Street,Hull,https://www.schooldigger.com/go/MA/city/Hull/search.aspx,2045,Plymouth County,(781) 925-3000,9,12,No,No,No,No,248,25.8,9.6,,1.2%,0.0%,1.2%,3.6%,0.0%,1.2%,92.7%,75.3
97,Pentucket Regional Senior High,https://www.schooldigger.com/go/MA/schools/0945001513/school.aspx,Pentucket,https://www.schooldigger.com/go/MA/district/09450/search.aspx,24 Main Street,West Newbury,https://www.schooldigger.com/go/MA/city/West+Newbury/search.aspx,1985,Essex County,(978) 363-5507,9,12,No,No,No,No,632,53.3,11.8,,0.5%,0.0%,1.7%,6.2%,0.2%,1.7%,89.6%,75.2
98,North Middlesex Regional,https://www.schooldigger.com/go/MA/schools/0879001415/school.aspx,North Middlesex,https://www.schooldigger.com/go/MA/district/08790/search.aspx,19 Main Street,Townsend,https://www.schooldigger.com/go/MA/city/Townsend/search.aspx,1469,Middlesex County,(978) 597-8721,9,12,No,No,No,No,785,56.2,13.9,,1.8%,0.1%,2.4%,6.0%,0.1%,3.1%,86.2%,75.2
99,Burlington High,https://www.schooldigger.com/go/MA/schools/0324000426/school.aspx,Burlington,https://www.schooldigger.com/go/MA/district/03240/search.aspx,123 Cambridge Street,Burlington,https://www.schooldigger.com/go/MA/city/Burlington/search.aspx,1803,Middlesex County,(781) 270-1836,9,12,No,No,No,No,997,89.2,11.1,,8.8%,0.4%,18.5%,10.4%,0.0%,3.9%,57.7%,74.1
100,Marshfield High,https://www.schooldigger.com/go/MA/schools/0735001142/school.aspx,Marshfield,https://www.schooldigger.com/go/MA/district/07350/search.aspx,167 Forest Street,Marshfield,https://www.schooldigger.com/go/MA/city/Marshfield/search.aspx,2050,Plymouth County,(781) 834-5050,9,12,No,No,No,No,1245,106.4,11.6,,0.7%,0.2%,0.8%,2.9%,0.1%,1.7%,93.7%,73.4
101,North Andover High,https://www.schooldigger.com/go/MA/schools/0870001397/school.aspx,North Andover,https://www.schooldigger.com/go/MA/district/08700/search.aspx,430 Osgood Street,North Andover,https://www.schooldigger.com/go/MA/city/North+Andover/search.aspx,1845,Essex County,(978) 794-1711,9,12,No,No,No,No,1335,101.3,13.1,,3.4%,0.1%,7.0%,11.9%,0.1%,2.8%,74.8%,73.2
102,Walpole High,https://www.schooldigger.com/go/MA/schools/1197001964/school.aspx,Walpole,https://www.schooldigger.com/go/MA/district/11970/search.aspx,275 Common Street,Walpole,https://www.schooldigger.com/go/MA/city/Walpole/search.aspx,2081,Norfolk County,(508) 660-7257,9,12,No,No,No,No,1044,85.5,12.2,,3.5%,0.4%,6.3%,6.3%,0.0%,2.2%,80.9%,73
103,Amesbury High,https://www.schooldigger.com/go/MA/schools/0186000034/school.aspx,Amesbury,https://www.schooldigger.com/go/MA/district/01860/search.aspx,5 Highland Street,Amesbury,https://www.schooldigger.com/go/MA/city/Amesbury/search.aspx,1913,Essex County,(978) 388-4800,9,12,No,No,No,No,463,46.7,9.8,,1.5%,0.0%,1.5%,7.1%,0.2%,4.8%,84.7%,72.9
104,Georgetown High School,https://www.schooldigger.com/go/MA/schools/0522000764/school.aspx,Georgetown,https://www.schooldigger.com/go/MA/district/05220/search.aspx,11 Winter Street,Georgetown,https://www.schooldigger.com/go/MA/city/Georgetown/search.aspx,1833,Essex County,(978) 352-5790,9,12,No,No,No,No,322,34.7,9.2,,1.2%,0.0%,1.2%,5.3%,0.3%,0.9%,90.7%,72.6
105,Falmouth High,https://www.schooldigger.com/go/MA/schools/0486000686/school.aspx,Falmouth,https://www.schooldigger.com/go/MA/district/04860/search.aspx,874 Gifford Street,Falmouth,https://www.schooldigger.com/go/MA/city/Falmouth/search.aspx,2540,Barnstable County,(508) 540-2200,9,12,No,No,No,No,805,68.2,11.7,,6.0%,0.5%,2.1%,7.2%,0.0%,4.7%,78.5%,72.5
106,Douglas High School,https://www.schooldigger.com/go/MA/schools/0423000570/school.aspx,Douglas,https://www.schooldigger.com/go/MA/district/04230/search.aspx,33 Davis Street,Douglas,https://www.schooldigger.com/go/MA/city/Douglas/search.aspx,1516,Worcester County,(508) 476-4100,9,12,No,No,No,No,336,34.2,9.8,,0.6%,0.0%,1.5%,5.4%,0.3%,1.8%,90.5%,72.4
107,Ayer Shirley Regional High School,https://www.schooldigger.com/go/MA/schools/0054202738/school.aspx,Ayer Shirley School District,https://www.schooldigger.com/go/MA/district/00542/search.aspx,141 Washington Street,Ayer,https://www.schooldigger.com/go/MA/city/Ayer/search.aspx,1432,Middlesex County,(978) 772-8600,9,12,Yes,No,No,No,368,37.3,9.8,,3.8%,1.9%,2.4%,12.2%,0.8%,3.8%,75.0%,72.3
108,Millis High School,https://www.schooldigger.com/go/MA/schools/0792001255/school.aspx,Millis,https://www.schooldigger.com/go/MA/district/07920/search.aspx,245 Plain Street,Millis,https://www.schooldigger.com/go/MA/city/Millis/search.aspx,2054,Norfolk County,(508) 376-7010,9,12,No,No,No,No,328,28.7,11.4,,1.8%,0.0%,2.1%,9.5%,0.0%,4.9%,80.5%,71.9
109,Minnechaug Regional High,https://www.schooldigger.com/go/MA/schools/0573000824/school.aspx,Hampden-Wilbraham,https://www.schooldigger.com/go/MA/district/05730/search.aspx,621 Main Street,Wilbraham,https://www.schooldigger.com/go/MA/city/Wilbraham/search.aspx,1095,Hampden County,(413) 596-9011,9,12,No,No,No,No,1017,70.7,14.3,,3.6%,0.5%,3.1%,8.8%,0.0%,3.5%,80.3%,71.2
110,Dedham High,https://www.schooldigger.com/go/MA/schools/0405000548/school.aspx,Dedham,https://www.schooldigger.com/go/MA/district/04050/search.aspx,140 Whiting Avenue,Dedham,https://www.schooldigger.com/go/MA/city/Dedham/search.aspx,2026,Norfolk County,(781) 310-1100,9,12,No,No,No,No,701,61,11.4,,9.3%,0.0%,2.3%,17.5%,0.0%,2.9%,67.3%,71.2
111,Apponequet Regional High,https://www.schooldigger.com/go/MA/schools/0507000746/school.aspx,Freetown-Lakeville,https://www.schooldigger.com/go/MA/district/05070/search.aspx,100 Howland Rd,Lakeville,https://www.schooldigger.com/go/MA/city/Lakeville/search.aspx,2347,Plymouth County,(508) 947-2660,9,12,No,No,No,No,718,61.3,11.7,,2.5%,0.0%,0.6%,2.6%,0.1%,1.8%,91.9%,71.1
112,Pioneer Valley Performing Arts Charter Public School,https://www.schooldigger.com/go/MA/schools/0004400816/school.aspx,Pioneer Valley Performing Arts Charter Public (District),https://www.schooldigger.com/go/MA/district/00044/search.aspx,15 Mulligan Drive,South Hadley,https://www.schooldigger.com/go/MA/city/South+Hadley/search.aspx,1075,Hampshire County,(413) 552-1580,7,12,Yes,Yes,No,No,400,43,9.3,,8.3%,0.0%,1.0%,18.8%,0.0%,6.8%,64.3%,70.4
113,Dartmouth High,https://www.schooldigger.com/go/MA/schools/0402000540/school.aspx,Dartmouth,https://www.schooldigger.com/go/MA/district/04020/search.aspx,555 Bakerville Road,Dartmouth,https://www.schooldigger.com/go/MA/city/Dartmouth/search.aspx,2748,Bristol County,(508) 961-2700,9,12,No,No,No,No,1032,76.5,13.4,,2.7%,0.0%,0.5%,6.2%,0.1%,8.3%,82.2%,70.3
114,Mashpee High,https://www.schooldigger.com/go/MA/schools/0744000886/school.aspx,Mashpee,https://www.schooldigger.com/go/MA/district/07440/search.aspx,500 Old Barnstable Road,Mashpee,https://www.schooldigger.com/go/MA/city/Mashpee/search.aspx,2649,Barnstable County,(508) 539-3600,9,12,No,No,No,No,440,43.7,10,,5.2%,6.4%,2.7%,3.4%,0.2%,8.4%,73.4%,69.9
115,Whittier Regional Vocational,https://www.schooldigger.com/go/MA/schools/1295002300/school.aspx,Whittier Regional Vocational Technical,https://www.schooldigger.com/go/MA/district/12950/search.aspx,115 Amesbury Line Rd,Haverhill,https://www.schooldigger.com/go/MA/city/Haverhill/search.aspx,1830,Essex County,(978) 373-4101,9,12,Yes,No,No,No,1282,114.7,11.1,,3.0%,0.6%,1.4%,25.4%,0.0%,3.9%,65.4%,69.6
116,Wahconah Regional High,https://www.schooldigger.com/go/MA/schools/0339000467/school.aspx,Central Berkshire,https://www.schooldigger.com/go/MA/district/03390/search.aspx,150 Windsor Rd,Dalton,https://www.schooldigger.com/go/MA/city/Dalton/search.aspx,1226,Berkshire County,(413) 684-1330,9,12,Yes,No,No,No,513,43.5,11.7,,0.8%,0.0%,0.6%,4.3%,0.0%,3.7%,90.6%,69.3
117,Braintree High,https://www.schooldigger.com/go/MA/schools/0294000361/school.aspx,Braintree,https://www.schooldigger.com/go/MA/district/02940/search.aspx,128 Town Street,Braintree,https://www.schooldigger.com/go/MA/city/Braintree/search.aspx,2184,Norfolk County,(781) 848-4000,9,12,No,No,No,No,1729,117.3,14.7,,5.9%,0.1%,22.4%,6.1%,0.2%,1.6%,63.6%,69.1
118,Northampton High,https://www.schooldigger.com/go/MA/schools/0885001432/school.aspx,Northampton,https://www.schooldigger.com/go/MA/district/08850/search.aspx,380 Elm Street,Northampton,https://www.schooldigger.com/go/MA/city/Northampton/search.aspx,1060,Hampshire County,(413) 587-1346,9,12,No,No,No,No,908,61.1,14.8,,2.2%,0.3%,3.3%,13.4%,0.0%,6.7%,72.7%,69
119,Bristol County Agricultural High,https://www.schooldigger.com/go/MA/schools/0307000382/school.aspx,Bristol County Agricultural,https://www.schooldigger.com/go/MA/district/03070/search.aspx,135 Center Street,Dighton,https://www.schooldigger.com/go/MA/city/Dighton/search.aspx,2715,Bristol County,(508) 669-6744,9,12,Yes,No,No,No,499,36.8,13.5,,2.8%,0.0%,0.2%,9.0%,0.2%,0.4%,87.4%,69
120,Wachusett Regional High,https://www.schooldigger.com/go/MA/schools/1188001940/school.aspx,Wachusett,https://www.schooldigger.com/go/MA/district/11880/search.aspx,1401 Main Street,Holden,https://www.schooldigger.com/go/MA/city/Holden/search.aspx,1520,Worcester County,(508) 829-6771,9,12,No,No,No,No,1964,140.8,13.9,,2.0%,0.1%,3.7%,5.9%,0.0%,2.2%,86.0%,68.6
121,Monomoy Regional High School,https://www.schooldigger.com/go/MA/schools/0054402836/school.aspx,Monomoy Regional School District,https://www.schooldigger.com/go/MA/district/00544/search.aspx,75 Oak Street,Harwich,https://www.schooldigger.com/go/MA/city/Harwich/search.aspx,2645,Barnstable County,(508) 430-7200,8,12,No,No,No,No,670,61.6,10.8,,6.0%,0.9%,1.3%,9.3%,0.3%,4.2%,77.6%,68.2
122,Tyngsborough High School,https://www.schooldigger.com/go/MA/schools/1176001934/school.aspx,Tyngsborough,https://www.schooldigger.com/go/MA/district/11760/search.aspx,36 Norris Rd,Tyngsboro,https://www.schooldigger.com/go/MA/city/Tyngsboro/search.aspx,1879,Middlesex County,(978) 649-7571,9,12,No,No,No,No,425,32,13.2,,3.3%,0.0%,8.2%,7.5%,0.0%,3.8%,77.2%,67.7
123,Martha's Vineyard Regional High,https://www.schooldigger.com/go/MA/schools/0738001145/school.aspx,Martha's Vineyard,https://www.schooldigger.com/go/MA/district/07380/search.aspx,100 Edgartown-Vineyard Haven R,Oak Bluffs,https://www.schooldigger.com/go/MA/city/Oak+Bluffs/search.aspx,2557,Dukes County,(508) 693-1033,9,12,Yes,No,No,No,706,76.6,9.2,,5.4%,1.7%,1.1%,23.2%,0.0%,5.4%,63.2%,67.5
124,Minuteman Regional High,https://www.schooldigger.com/go/MA/schools/0798501264/school.aspx,Minuteman Regional Vocational Technical,https://www.schooldigger.com/go/MA/district/07985/search.aspx,758 Marrett Rd,Lexington,https://www.schooldigger.com/go/MA/city/Lexington/search.aspx,2421,Middlesex County,(781) 861-6500,9,12,Yes,No,No,No,655,76.7,8.5,,4.0%,0.3%,4.3%,8.4%,0.0%,6.4%,75.6%,67.3
125,Rockport High,https://www.schooldigger.com/go/MA/schools/1020002597/school.aspx,Rockport,https://www.schooldigger.com/go/MA/district/10200/search.aspx,24 Jerdens Lane,Rockport,https://www.schooldigger.com/go/MA/city/Rockport/search.aspx,1966,Essex County,(978) 546-1234,9,12,No,No,No,No,231,30.5,7.5,,1.3%,0.0%,1.3%,5.2%,0.4%,2.6%,89.2%,67.2
126,West Boylston Junior/Senior High,https://www.schooldigger.com/go/MA/schools/1239002035/school.aspx,West Boylston,https://www.schooldigger.com/go/MA/district/12390/search.aspx,125 Crescent Street,West Boylston,https://www.schooldigger.com/go/MA/city/West+Boylston/search.aspx,1583,Worcester County,(508) 835-4475,6,12,No,No,No,No,472,45.7,10.3,,2.8%,0.2%,3.2%,11.0%,0.2%,3.8%,78.8%,66
127,Montachusett Regional Vocational Technical,https://www.schooldigger.com/go/MA/schools/0805002279/school.aspx,Montachusett Regional Vocational Technical,https://www.schooldigger.com/go/MA/district/08050/search.aspx,1050 Westminster Street,Fitchburg,https://www.schooldigger.com/go/MA/city/Fitchburg/search.aspx,1420,Worcester County,(978) 345-9200,9,12,Yes,No,No,No,1413,113.4,12.4,,2.0%,0.0%,1.3%,18.0%,0.1%,5.2%,72.6%,65.9
128,So Shore Vocational Technical High,https://www.schooldigger.com/go/MA/schools/1093001756/school.aspx,South Shore Regional Vocational Technical,https://www.schooldigger.com/go/MA/district/10930/search.aspx,476 Webster Street,Hanover,https://www.schooldigger.com/go/MA/city/Hanover/search.aspx,2339,Plymouth County,(781) 878-8822,9,12,Yes,No,No,No,655,62.2,10.5,,2.7%,0.3%,0.8%,5.0%,0.0%,1.2%,89.8%,65.9
129,Norton High,https://www.schooldigger.com/go/MA/schools/0900001451/school.aspx,Norton,https://www.schooldigger.com/go/MA/district/09000/search.aspx,66 West Main Street,Norton,https://www.schooldigger.com/go/MA/city/Norton/search.aspx,2766,Bristol County,(508) 285-0160,9,12,No,No,No,No,677,59.1,11.4,,3.1%,0.1%,2.1%,3.8%,0.0%,2.4%,88.2%,65.9
130,Maynard High,https://www.schooldigger.com/go/MA/schools/0750001153/school.aspx,Maynard,https://www.schooldigger.com/go/MA/district/07500/search.aspx,1 Tiger Drive,Maynard,https://www.schooldigger.com/go/MA/city/Maynard/search.aspx,1754,Middlesex County,(978) 897-8891,9,12,No,No,No,No,311,33,9.4,,2.6%,0.3%,2.3%,15.4%,0.0%,3.5%,74.6%,65
131,Auburn Senior High,https://www.schooldigger.com/go/MA/schools/0222000100/school.aspx,Auburn,https://www.schooldigger.com/go/MA/district/02220/search.aspx,99 Auburn Street,Auburn,https://www.schooldigger.com/go/MA/city/Auburn/search.aspx,1501,Worcester County,(508) 832-7711,9,12,No,No,No,No,840,66.6,12.5,,3.5%,0.0%,5.4%,10.5%,0.1%,3.3%,76.9%,64.9
132,Salem Academy Charter School,https://www.schooldigger.com/go/MA/schools/0008401847/school.aspx,Salem Academy Charter (District),https://www.schooldigger.com/go/MA/district/00084/search.aspx,45 Congress St.,Salem,https://www.schooldigger.com/go/MA/city/Salem/search.aspx,1970,Essex County,(978) 744-2105,6,12,Yes,Yes,No,No,495,48.6,10.1,,11.3%,0.0%,5.9%,47.7%,0.0%,1.8%,33.1%,64.8
133,Dighton-Rehoboth Regional High School,https://www.schooldigger.com/go/MA/schools/0420000568/school.aspx,Dighton-Rehoboth,https://www.schooldigger.com/go/MA/district/04200/search.aspx,2700 Regional Rd,North Dighton,https://www.schooldigger.com/go/MA/city/North+Dighton/search.aspx,2764,Bristol County,(508) 252-5025,9,12,No,No,No,No,709,63.2,11.2,,1.1%,0.1%,1.0%,4.5%,0.0%,3.2%,89.6%,64.5
134,Stoughton High,https://www.schooldigger.com/go/MA/schools/1125001864/school.aspx,Stoughton,https://www.schooldigger.com/go/MA/district/11250/search.aspx,232 Pearl Street,Stoughton,https://www.schooldigger.com/go/MA/city/Stoughton/search.aspx,2072,Norfolk County,(781) 344-7001,9,12,No,No,No,No,1049,98.2,10.6,,26.6%,0.1%,6.9%,12.2%,0.8%,5.0%,48.5%,64.5
