School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Standard Score
Summit School,https://www.schooldigger.com/go/WA/schools/0111000188/school.aspx,Central Valley School District,https://www.schooldigger.com/go/WA/district/01110/search.aspx,13313 E Broadway Ave,Spokane Valley,https://www.schooldigger.com/go/WA/city/Spokane+Valley/search.aspx,99216,Spokane County,(509) 558-3252,KG,8,No,No,No,No,379,25,15.1,20.8,1.3,0.3,2.9,3.2,0.8,2.6,88.9,74.2
Poulsbo Elementary School,https://www.schooldigger.com/go/WA/schools/0576000854/school.aspx,North Kitsap School District,https://www.schooldigger.com/go/WA/district/05760/search.aspx,18531 Noll Rd NE,Poulsbo,https://www.schooldigger.com/go/WA/city/Poulsbo/search.aspx,98370,Kitsap County,(360) 396-3500,PK,5,No,No,No,No,363,23.4,15.5,25.9,1.1,0.6,3.9,12.9,0.3,10.7,70.5,73.8
Woodmoor Elementary,https://www.schooldigger.com/go/WA/schools/0591002330/school.aspx,Northshore School District,https://www.schooldigger.com/go/WA/district/05910/search.aspx,12225 NE 160,Bothell,https://www.schooldigger.com/go/WA/city/Bothell/search.aspx,98011,King County,(425) 408-5600,PK,5,No,No,No,No,699,47.7,14.6,19.9,2.4,0.6,16.3,22.5,0.4,9.4,48.4,73.7
Carnation Elementary School,https://www.schooldigger.com/go/WA/schools/0456000714/school.aspx,Riverview School District,https://www.schooldigger.com/go/WA/district/04560/search.aspx,4950 Tolt Ave,Carnation,https://www.schooldigger.com/go/WA/city/Carnation/search.aspx,98014,King County,(425) 844-4550,PK,5,Yes,No,No,No,316,27.1,11.6,19.6,2.2,0.3,5.7,16.8,0,1.6,73.4,73.7
Big Lake Elementary School,https://www.schooldigger.com/go/WA/schools/0774001272/school.aspx,Sedro-Woolley School District,https://www.schooldigger.com/go/WA/district/07740/search.aspx,16802 Lake View Blvd.,Mount Vernon,https://www.schooldigger.com/go/WA/city/Mount+Vernon/search.aspx,98274,Skagit County,(360) 855-3525,KG,6,No,No,No,No,254,16.7,15.1,23.2,0.8,0.8,1.6,9.4,0,4.3,83.1,73.7
Pateros Elementary,https://www.schooldigger.com/go/WA/schools/0660000974/school.aspx,Pateros School District,https://www.schooldigger.com/go/WA/district/06600/search.aspx,344 W Beach St.,Pateros,https://www.schooldigger.com/go/WA/city/Pateros/search.aspx,98846,Okanogan County,(509) 923-2343,PK,6,Yes,No,No,No,142,10.8,13,62,0,1.4,0.7,50.7,0,3.5,43.7,73.6
Fruitland Elementary,https://www.schooldigger.com/go/WA/schools/0696001027/school.aspx,Puyallup School District,https://www.schooldigger.com/go/WA/district/06960/search.aspx,1515 Fruitland Ave,Puyallup,https://www.schooldigger.com/go/WA/city/Puyallup/search.aspx,98371,Pierce County,(253) 841-8734,KG,6,No,No,No,No,571,33.2,17.1,22.9,2.3,1.4,6.3,10.9,1.2,14.7,63.2,73.3
Colbert Elementary School,https://www.schooldigger.com/go/WA/schools/0492000744/school.aspx,Mead School District,https://www.schooldigger.com/go/WA/district/04920/search.aspx,4625 E Greenbluff Rd,Colbert,https://www.schooldigger.com/go/WA/city/Colbert/search.aspx,99005,Spokane County,(509) 465-6300,KG,5,No,No,No,No,388,29.9,12.9,12.9,1,0.3,0.5,4.1,0,3.9,90.2,73.1
Jefferson,https://www.schooldigger.com/go/WA/schools/0870001474/school.aspx,Tacoma School District,https://www.schooldigger.com/go/WA/district/08700/search.aspx,6501 N 23rd St,Tacoma,https://www.schooldigger.com/go/WA/city/Tacoma/search.aspx,98406,Pierce County,(253) 571-2261,PK,5,No,No,No,No,316,21.9,14.4,38.6,4.4,0.6,3.2,9.2,0.3,23.1,59.2,72.9
Kamiak Elementary,https://www.schooldigger.com/go/WA/schools/0693003694/school.aspx,Pullman School District,https://www.schooldigger.com/go/WA/district/06930/search.aspx,1400 NW Terre View Drive,Pullman,https://www.schooldigger.com/go/WA/city/Pullman/search.aspx,99163,Whitman County,(509) 336-7205,PK,5,Yes,No,No,No,339,24,14,40.7,2.7,1.5,6.8,16.5,0.6,7.1,64.9,72.8
Arbor Heights Elementary School,https://www.schooldigger.com/go/WA/schools/0771001135/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,3701 SW 104th Street,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98146,King County,(206) 252-9250,PK,5,No,No,No,No,555,39,14.2,15,3.8,0.2,5.2,13.2,0.4,14.8,62.5,72.7
Ridgecrest Elementary,https://www.schooldigger.com/go/WA/schools/0792001314/school.aspx,Shoreline School District,https://www.schooldigger.com/go/WA/district/07920/search.aspx,16516 10th Avenue N.E.,Shoreline,https://www.schooldigger.com/go/WA/city/Shoreline/search.aspx,98155,King County,(206) 393-4272,KG,5,Yes,No,No,No,434,28.2,15.3,29,11.3,0,13.4,11.8,0.2,10.8,52.5,72.3
Lyman Elementary School,https://www.schooldigger.com/go/WA/schools/0774001276/school.aspx,Sedro-Woolley School District,https://www.schooldigger.com/go/WA/district/07740/search.aspx,8183 Lyman Avenue,Lyman,https://www.schooldigger.com/go/WA/city/Lyman/search.aspx,98263,Skagit County,(360) 855-3535,KG,6,No,No,No,No,155,8.8,17.4,40,0,1.3,0,8.4,0,7.7,82.6,72.3
Asotin Elementary,https://www.schooldigger.com/go/WA/schools/0028000027/school.aspx,Asotin-Anatone School District,https://www.schooldigger.com/go/WA/district/00280/search.aspx,314 1st St,Asotin,https://www.schooldigger.com/go/WA/city/Asotin/search.aspx,99402,Asotin County,(509) 243-4147,PK,5,Yes,No,No,No,292,20,14.5,35.6,0,0,1,4.1,0.7,3.8,90.4,72.2
Boston Harbor Elementary,https://www.schooldigger.com/go/WA/schools/0618000922/school.aspx,Olympia School District,https://www.schooldigger.com/go/WA/district/06180/search.aspx,7300 Zangle Rd NE,Olympia,https://www.schooldigger.com/go/WA/city/Olympia/search.aspx,98506,Thurston County,(360) 596-6200,PK,5,No,No,No,No,179,11.8,15.1,14,0,0,1.1,6.7,0.6,12.8,78.8,72.2
Elk Ridge Elementary,https://www.schooldigger.com/go/WA/schools/0978001661/school.aspx,White River School District,https://www.schooldigger.com/go/WA/district/09780/search.aspx,340 River Ave North,Buckley,https://www.schooldigger.com/go/WA/city/Buckley/search.aspx,98321,Pierce County,(360) 829-3354,PK,5,No,No,No,No,498,28.5,17.4,25.7,0.2,0.8,0.6,11.2,0,9.4,77.7,72.2
Illahee Elementary School,https://www.schooldigger.com/go/WA/schools/0270002877/school.aspx,Evergreen School District (Clark),https://www.schooldigger.com/go/WA/district/02700/search.aspx,19401 SE 1st Street,Camas,https://www.schooldigger.com/go/WA/city/Camas/search.aspx,98607,Clark County,(360) 604-3350,PK,5,No,No,No,No,461,30.5,15.1,22.8,2,0.4,16.5,15.2,0.7,11.1,54.2,72.1
Olympic Peninsula Academy,https://www.schooldigger.com/go/WA/schools/0783002552/school.aspx,Sequim School District,https://www.schooldigger.com/go/WA/district/07830/search.aspx,400 N. 2nd Ave,Sequim,https://www.schooldigger.com/go/WA/city/Sequim/search.aspx,98382,Clallam County,(360) 582-3403,KG,12,No,No,No,No,90,5.1,17.3,34.4,1.1,0,0,5.6,0,13.3,80,72.1
Southwood Elementary School,https://www.schooldigger.com/go/WA/schools/0000100382/school.aspx,Enumclaw School District,https://www.schooldigger.com/go/WA/district/00001/search.aspx,3240 McDougall Avenue,Enumclaw,https://www.schooldigger.com/go/WA/city/Enumclaw/search.aspx,98022,King County,(360) 802-7370,PK,5,Yes,No,No,No,299,21.3,13.9,37.1,3,0,0,15.7,0.3,4.7,76.3,72.1
Woodside Elementary,https://www.schooldigger.com/go/WA/schools/0267001792/school.aspx,Everett School District,https://www.schooldigger.com/go/WA/district/02670/search.aspx,17000 23rd Ave. SE,Bothell,https://www.schooldigger.com/go/WA/city/Bothell/search.aspx,98012,Snohomish County,(425) 385-7800,PK,5,No,No,No,No,525,32.7,16,33.3,5.5,0,17,23,0,9.3,45.1,72.1
Farwell Elementary School,https://www.schooldigger.com/go/WA/schools/0492000746/school.aspx,Mead School District,https://www.schooldigger.com/go/WA/district/04920/search.aspx,13005 N Crestline,Spokane,https://www.schooldigger.com/go/WA/city/Spokane/search.aspx,99208,Spokane County,(509) 465-6500,KG,5,No,No,No,No,556,33.7,16.4,25,0.7,0.4,1.6,11.2,0.9,8.1,77.2,72
Stevens Elementary School,https://www.schooldigger.com/go/WA/schools/0771001251/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,1242 18 Av E,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98112,King County,(206) 252-3400,KG,5,No,No,No,No,193,17,11.3,28.5,12.4,0,5.2,10.4,0,16.6,55.4,71.8
Ridgecrest Elementary,https://www.schooldigger.com/go/WA/schools/0696001795/school.aspx,Puyallup School District,https://www.schooldigger.com/go/WA/district/06960/search.aspx,12616 Shaw Rd E,Puyallup,https://www.schooldigger.com/go/WA/city/Puyallup/search.aspx,98374,Pierce County,(253) 841-8753,KG,6,Yes,No,No,No,444,27.8,15.9,40.3,4.3,0.2,3.6,18.5,2.5,12.8,58.1,71.8
Washington Elementary School,https://www.schooldigger.com/go/WA/schools/0966001638/school.aspx,Wenatchee School District,https://www.schooldigger.com/go/WA/district/09660/search.aspx,1401 Washington St.,Wenatchee,https://www.schooldigger.com/go/WA/city/Wenatchee/search.aspx,98801,Chelan County,(509) 662-5504,KG,5,No,No,No,No,464,35,13.2,36.9,0.9,0.4,1.3,39,0.2,1.5,56.7,71.3
Spokane International Academy,https://www.schooldigger.com/go/WA/schools/0033703539/school.aspx,Spokane International Academy,https://www.schooldigger.com/go/WA/district/00337/search.aspx,777 E Magnesium Rd,Spokane,https://www.schooldigger.com/go/WA/city/Spokane/search.aspx,99208,Spokane County,(509) 209-8730,KG,8,Yes,Yes,Yes,No,599,34.1,17.5,46.6,2.5,2.2,2,11.5,0.2,15.9,65.4,71.3
John Rogers Elementary School,https://www.schooldigger.com/go/WA/schools/0771001193/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,4030 NE 109 St,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98125,King County,(206) 252-4320,KG,5,Yes,No,No,No,288,20.8,13.8,39.2,20.8,0.3,10.4,11.5,0,14.2,42.7,71.1
Waterville Elementary,https://www.schooldigger.com/go/WA/schools/0960002192/school.aspx,Waterville School District,https://www.schooldigger.com/go/WA/district/09600/search.aspx,200 E Birch St,Waterville,https://www.schooldigger.com/go/WA/city/Waterville/search.aspx,98858,Douglas County,(509) 745-8583,PK,6,No,No,No,No,134,9,14.8,38.1,0.7,1.5,0.7,17.9,0,0.7,78.4,71
Sartori Elementary School,https://www.schooldigger.com/go/WA/schools/0723003651/school.aspx,Renton School District,https://www.schooldigger.com/go/WA/district/07230/search.aspx,332 Park Ave N,Renton,https://www.schooldigger.com/go/WA/city/Renton/search.aspx,98057,King County,(425) 204-4500,KG,5,No,No,Yes,No,543,30.9,17.5,34.8,15.1,0.4,25,20.8,0.6,14.4,23.6,70.8
Fishers Landing Elementary School,https://www.schooldigger.com/go/WA/schools/0270002511/school.aspx,Evergreen School District (Clark),https://www.schooldigger.com/go/WA/district/02700/search.aspx,3800 SE Hiddenbrook Drive,Vancouver,https://www.schooldigger.com/go/WA/city/Vancouver/search.aspx,98683,Clark County,(360) 604-6650,PK,5,No,No,No,No,509,33.8,15,19.6,2.6,0.6,16.7,11.8,1,10.8,56.6,70.7
Vinland Elementary,https://www.schooldigger.com/go/WA/schools/0576001626/school.aspx,North Kitsap School District,https://www.schooldigger.com/go/WA/district/05760/search.aspx,22104 Rhododendron Ln NW,Poulsbo,https://www.schooldigger.com/go/WA/city/Poulsbo/search.aspx,98370,Kitsap County,(360) 396-3600,PK,5,No,No,No,No,461,28.1,16.3,28.4,1.1,1.5,3.7,24.9,0.4,9.3,59,70.6
Hillcrest Elementary School,https://www.schooldigger.com/go/WA/schools/0420000651/school.aspx,Lake Stevens School District,https://www.schooldigger.com/go/WA/district/04200/search.aspx,9315 4th St SE,Lake Stevens,https://www.schooldigger.com/go/WA/city/Lake+Stevens/search.aspx,98258,Snohomish County,(425) 335-1545,PK,5,No,No,No,No,738,44,16.7,21.1,4.1,0.1,6.5,17.8,0.7,8.9,61.9,70.5
Maltby Elementary,https://www.schooldigger.com/go/WA/schools/0513000774/school.aspx,Monroe School District,https://www.schooldigger.com/go/WA/district/05130/search.aspx,9700 212th St. SE,Snohomish,https://www.schooldigger.com/go/WA/city/Snohomish/search.aspx,98296,Snohomish County,(360) 804-3500,KG,5,No,No,No,No,448,26.4,16.9,19.2,1.6,0,2.2,15.2,0.2,5.6,75.2,70.4
Grapeview Elementary & Middle School,https://www.schooldigger.com/go/WA/schools/0324000507/school.aspx,Grapeview School District,https://www.schooldigger.com/go/WA/district/03240/search.aspx,822 E Mason Benson Rd,Grapeview,https://www.schooldigger.com/go/WA/city/Grapeview/search.aspx,98546,Mason County,(360) 426-4921,KG,8,Yes,No,No,No,199,14,14.1,39.2,1,0,2.5,9,0,10.6,76.9,70.3
Chester Elementary School,https://www.schooldigger.com/go/WA/schools/0111000192/school.aspx,Central Valley School District,https://www.schooldigger.com/go/WA/district/01110/search.aspx,3525 S. Pines Road,Spokane Valley,https://www.schooldigger.com/go/WA/city/Spokane+Valley/search.aspx,99206,Spokane County,(509) 558-3150,PK,5,No,No,No,No,405,27.8,14.5,21.7,2.5,1.7,2,5.2,0.5,4.7,83.5,70.3
Stillwater Elementary,https://www.schooldigger.com/go/WA/schools/0456002258/school.aspx,Riverview School District,https://www.schooldigger.com/go/WA/district/04560/search.aspx,11530 320th Ave NE,Carnation,https://www.schooldigger.com/go/WA/city/Carnation/search.aspx,98014,King County,(425) 844-4680,KG,5,No,No,No,No,472,28.9,16.2,11.4,0,0.6,1.5,13.6,0,4.4,79.9,70.2
Edison Elementary,https://www.schooldigger.com/go/WA/schools/0078000156/school.aspx,Burlington-Edison School District,https://www.schooldigger.com/go/WA/district/00780/search.aspx,5801 Main St,Bow,https://www.schooldigger.com/go/WA/city/Bow/search.aspx,98232,Skagit County,(360) 757-3375,KG,8,No,No,No,No,402,23.1,17.3,25.4,1,1,2,14.9,0.2,7,73.9,70.1
Carbonado Historical School 19,https://www.schooldigger.com/go/WA/schools/0087000166/school.aspx,Carbonado School District,https://www.schooldigger.com/go/WA/district/00870/search.aspx,427 4th St,Carbonado,https://www.schooldigger.com/go/WA/city/Carbonado/search.aspx,98323,Pierce County,(360) 829-0121,PK,8,Yes,No,No,No,204,11.5,17.7,19.6,0,0,0,1.5,0,2.9,95.6,70.1
Geneva Elementary School,https://www.schooldigger.com/go/WA/schools/0042000105/school.aspx,Bellingham School District,https://www.schooldigger.com/go/WA/district/00420/search.aspx,1401 Geneva St,Bellingham,https://www.schooldigger.com/go/WA/city/Bellingham/search.aspx,98229,Whatcom County,(360) 676-6416,PK,5,No,No,No,No,403,26.4,15.2,24.3,1.5,1,0.7,10.4,0.5,6,79.9,70
Columbia Elementary School,https://www.schooldigger.com/go/WA/schools/0042000103/school.aspx,Bellingham School District,https://www.schooldigger.com/go/WA/district/00420/search.aspx,2508 Utter St,Bellingham,https://www.schooldigger.com/go/WA/city/Bellingham/search.aspx,98225,Whatcom County,(360) 676-6413,PK,5,No,No,No,No,261,18.8,13.8,22.2,1.1,0.8,2.3,9.2,0,5,81.6,70
Picnic Point Elementary,https://www.schooldigger.com/go/WA/schools/0543001853/school.aspx,Mukilteo School District,https://www.schooldigger.com/go/WA/district/05430/search.aspx,5819 140th St SW,Edmonds,https://www.schooldigger.com/go/WA/city/Edmonds/search.aspx,98026,Snohomish County,(425) 366-3400,KG,5,No,No,No,No,428,31,13.8,30.4,7.5,0.5,11.4,19.4,0.5,12.4,48.4,70
Hockinson Heights Elementary School,https://www.schooldigger.com/go/WA/schools/0357003440/school.aspx,Hockinson School District,https://www.schooldigger.com/go/WA/district/03570/search.aspx,20000 NE 164th St,Brush Prairie,https://www.schooldigger.com/go/WA/city/Brush+Prairie/search.aspx,98606,Clark County,(360) 448-6430,KG,5,Yes,No,No,No,739,51,14.4,20.3,1.4,0.4,1.6,7.4,0.4,7,81.7,69.8
Cascade Elementary,https://www.schooldigger.com/go/WA/schools/0231000317/school.aspx,Eastmont School District,https://www.schooldigger.com/go/WA/district/02310/search.aspx,2330 N. Baker Ave.,East Wenatchee,https://www.schooldigger.com/go/WA/city/East+Wenatchee/search.aspx,98802,Douglas County,(509) 884-0523,KG,4,Yes,No,No,No,458,27.5,16.6,38.6,0,0.2,1.1,35.6,0,1.7,61.4,69.8
Beachwood Elementary School,https://www.schooldigger.com/go/WA/schools/0141000246/school.aspx,Clover Park School District,https://www.schooldigger.com/go/WA/district/01410/search.aspx,8890 Concord Avenue,Joint Base Lewis McChord,https://www.schooldigger.com/go/WA/city/Joint+Base+Lewis+McChord/search.aspx,98433,Pierce County,(253) 583-5260,PK,5,No,No,No,No,290,18.4,15.7,30.7,14.8,1.7,1.7,27.6,3.1,13.8,36.9,69.8
Lake Spokane Elementary,https://www.schooldigger.com/go/WA/schools/0564000836/school.aspx,Nine Mile Falls School District,https://www.schooldigger.com/go/WA/district/05640/search.aspx,6015 Hwy 291,Nine Mile Falls,https://www.schooldigger.com/go/WA/city/Nine+Mile+Falls/search.aspx,99026,Stevens County,(509) 340-4040,PK,5,Yes,No,No,No,411,28.7,14.3,29.9,0.2,0.2,0.7,8.5,0.7,4.9,84.7,69.7
Highland Elementary,https://www.schooldigger.com/go/WA/schools/0420002756/school.aspx,Lake Stevens School District,https://www.schooldigger.com/go/WA/district/04200/search.aspx,3220 113th Ave NE,Lake Stevens,https://www.schooldigger.com/go/WA/city/Lake+Stevens/search.aspx,98258,Snohomish County,(425) 335-1585,PK,5,No,No,No,No,515,33.2,15.5,19.4,2.5,0.4,1.6,11.3,0.2,8.3,75.7,69.7
Coupeville Elementary School,https://www.schooldigger.com/go/WA/schools/0180000289/school.aspx,Coupeville School District,https://www.schooldigger.com/go/WA/district/01800/search.aspx,6 South Main Street,Coupeville,https://www.schooldigger.com/go/WA/city/Coupeville/search.aspx,98239,Island County,(360) 678-2473,PK,5,Yes,No,No,No,432,27.7,15.5,32.6,1.4,0.2,0.5,18.1,0,9.7,70.1,69.6
Spinning Elementary,https://www.schooldigger.com/go/WA/schools/0696001040/school.aspx,Puyallup School District,https://www.schooldigger.com/go/WA/district/06960/search.aspx,1306 E Pioneer,Puyallup,https://www.schooldigger.com/go/WA/city/Puyallup/search.aspx,98372,Pierce County,(253) 841-8742,KG,6,Yes,No,No,No,312,21.7,14.3,47.4,2.6,1,5.4,20.2,3.8,13.5,53.5,69.4
Maple Elementary School,https://www.schooldigger.com/go/WA/schools/0771001209/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,4925 Corson Av S,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98108,King County,(206) 252-8310,KG,5,Yes,No,No,No,490,37.4,13,52.4,4.1,0.6,51.6,16.1,0.2,11.6,15.7,69.3
Conway School District 317,https://www.schooldigger.com/go/WA/schools/0168000287/school.aspx,Conway School District,https://www.schooldigger.com/go/WA/district/01680/search.aspx,19710 State Route 534,Mount Vernon,https://www.schooldigger.com/go/WA/city/Mount+Vernon/search.aspx,98274,Skagit County,(360) 445-5785,KG,8,Yes,No,No,No,468,25,18.7,17.9,1.5,0.2,0.9,13.2,0,0,84.2,69
Hilder Pearson Elementary,https://www.schooldigger.com/go/WA/schools/0576000853/school.aspx,North Kitsap School District,https://www.schooldigger.com/go/WA/district/05760/search.aspx,15650 Central Valley Rd NW,Poulsbo,https://www.schooldigger.com/go/WA/city/Poulsbo/search.aspx,98370,Kitsap County,(360) 396-3750,PK,5,No,No,No,No,233,16.4,14.1,24.9,1.3,0,3,12.9,1.7,9.4,71.7,68.9
Columbia Elementary,https://www.schooldigger.com/go/WA/schools/0543002263/school.aspx,Mukilteo School District,https://www.schooldigger.com/go/WA/district/05430/search.aspx,10520 Harbour Pointe Blvd,Mukilteo,https://www.schooldigger.com/go/WA/city/Mukilteo/search.aspx,98275,Snohomish County,(425) 366-2600,PK,5,No,No,No,No,531,36.5,14.5,28.8,6.6,0.2,14.9,18.8,0.9,14.5,44.1,68.9
Hamilton Elementary,https://www.schooldigger.com/go/WA/schools/0682000999/school.aspx,Port Angeles School District,https://www.schooldigger.com/go/WA/district/06820/search.aspx,1822 W 7th St,Port Angeles,https://www.schooldigger.com/go/WA/city/Port+Angeles/search.aspx,98363,Clallam County,(360) 452-6818,PK,6,Yes,No,No,No,297,19.2,15.3,49.2,0,5.1,1.3,10.1,0.7,10.1,72.7,68.6
Sunnycrest Elementary School,https://www.schooldigger.com/go/WA/schools/0420000655/school.aspx,Lake Stevens School District,https://www.schooldigger.com/go/WA/district/04200/search.aspx,3411 99th Ave NE,Lake Stevens,https://www.schooldigger.com/go/WA/city/Lake+Stevens/search.aspx,98258,Snohomish County,(425) 335-1535,PK,5,No,No,No,No,606,33.3,18.1,20.8,2.8,0.2,6.3,13.7,0.2,12.5,64.4,68.6
Sawyer Woods Elementary School,https://www.schooldigger.com/go/WA/schools/0396001610/school.aspx,Kent School District,https://www.schooldigger.com/go/WA/district/03960/search.aspx,31135 228th Ave SE,Black Diamond,https://www.schooldigger.com/go/WA/city/Black+Diamond/search.aspx,98010,King County,(253) 373-7750,PK,6,No,No,No,No,420,23.6,17.7,22.1,4,0.7,5.7,12.1,0,9.8,67.6,68.4
Isom Elementary School,https://www.schooldigger.com/go/WA/schools/0462002260/school.aspx,Lynden School District,https://www.schooldigger.com/go/WA/district/04620/search.aspx,8461 Benson Rd,Lynden,https://www.schooldigger.com/go/WA/city/Lynden/search.aspx,98264,Whatcom County,(360) 354-1992,KG,5,No,No,No,No,395,28.5,13.8,29.9,0.5,1.3,4.6,28.1,0,3.3,62.3,68.4
Betz Elementary,https://www.schooldigger.com/go/WA/schools/0123000221/school.aspx,Cheney School District,https://www.schooldigger.com/go/WA/district/01230/search.aspx,317 N 7th,Cheney,https://www.schooldigger.com/go/WA/city/Cheney/search.aspx,99004,Spokane County,(509) 559-4800,PK,5,Yes,No,No,No,410,27.2,15,47.6,1.2,0,2,13.7,0.5,7.6,74.9,68.3
Kennydale Elementary School,https://www.schooldigger.com/go/WA/schools/0723001075/school.aspx,Renton School District,https://www.schooldigger.com/go/WA/district/07230/search.aspx,1700 NE 28th St,Renton,https://www.schooldigger.com/go/WA/city/Renton/search.aspx,98056,King County,(425) 204-4700,KG,5,No,No,No,No,601,33.9,17.6,30.1,8.3,0,27.6,23,0,12.5,28.6,68.1
Brentwood Elementary School,https://www.schooldigger.com/go/WA/schools/0492000743/school.aspx,Mead School District,https://www.schooldigger.com/go/WA/district/04920/search.aspx,406 W Regina Ave,Spokane,https://www.schooldigger.com/go/WA/city/Spokane/search.aspx,99218,Spokane County,(509) 465-6200,KG,5,Yes,No,No,No,438,29.6,14.7,25.6,1.6,0.9,1.1,6.2,0.2,10.7,79.2,68
Serene Lake Elementary,https://www.schooldigger.com/go/WA/schools/0543000821/school.aspx,Mukilteo School District,https://www.schooldigger.com/go/WA/district/05430/search.aspx,4709 Picnic Point Rd,Edmonds,https://www.schooldigger.com/go/WA/city/Edmonds/search.aspx,98026,Snohomish County,(425) 366-3500,KG,5,No,No,No,No,466,29.4,15.8,41.8,7.3,0.4,18.9,13.7,0.6,9.4,49.6,67.9
Suquamish Elementary School,https://www.schooldigger.com/go/WA/schools/0576000855/school.aspx,North Kitsap School District,https://www.schooldigger.com/go/WA/district/05760/search.aspx,18950 Park Ave NE,Suquamish,https://www.schooldigger.com/go/WA/city/Suquamish/search.aspx,98392,Kitsap County,(360) 396-3850,PK,5,Yes,No,No,No,298,19.5,15.2,39.6,0.3,18.1,1.7,14.4,0,11.4,54,67.8
Woodridge Elementary,https://www.schooldigger.com/go/WA/schools/0825001883/school.aspx,Spokane School District,https://www.schooldigger.com/go/WA/district/08250/search.aspx,5100 W Shawnee Ave,Spokane,https://www.schooldigger.com/go/WA/city/Spokane/search.aspx,99208,Spokane County,(509) 354-4600,PK,6,No,No,No,No,394,23.9,16.4,29.4,2,2.5,0.5,8.4,0.5,8.9,77.2,67.8
Spokane Public Montessori,https://www.schooldigger.com/go/WA/schools/0825003502/school.aspx,Spokane School District,https://www.schooldigger.com/go/WA/district/08250/search.aspx,1300 West Knox Ave.,Spokane,https://www.schooldigger.com/go/WA/city/Spokane/search.aspx,99205,Spokane County,(509) 354-6404,PK,8,No,No,No,No,426,22.7,18.7,21.4,0.5,0.5,1.2,7.3,0.2,10.3,80,67.7
Clear Lake Elementary School,https://www.schooldigger.com/go/WA/schools/0774001274/school.aspx,Sedro-Woolley School District,https://www.schooldigger.com/go/WA/district/07740/search.aspx,23631 Lake Street,Clearlake,https://www.schooldigger.com/go/WA/city/Clearlake/search.aspx,98235,Skagit County,(360) 855-3530,KG,6,No,No,No,No,231,16.3,14.1,35.1,0,1.7,0.4,17.3,0.4,4.3,75.8,67.7
Sherwood Elementary,https://www.schooldigger.com/go/WA/schools/0240000360/school.aspx,Edmonds School District,https://www.schooldigger.com/go/WA/district/02400/search.aspx,22901 106th Ave W,Edmonds,https://www.schooldigger.com/go/WA/city/Edmonds/search.aspx,98020,Snohomish County,(425) 431-7460,KG,6,No,No,No,No,505,34.7,14.5,21,4.8,1,3.2,14.7,0.8,15.2,60.4,67.5
Catalyst Public Schools,https://www.schooldigger.com/go/WA/schools/0034703723/school.aspx,Catalyst Public Schools,https://www.schooldigger.com/go/WA/district/00347/search.aspx,1305 Ironsides Ave,Bremerton,https://www.schooldigger.com/go/WA/city/Bremerton/search.aspx,98310,Kitsap County,(360) 830-6037,KG,8,No,Yes,No,No,165,9.9,16.5,36.4,9.7,0.6,1.8,13.9,1.2,11.5,60.6,67.5
Ardmore Elementary School,https://www.schooldigger.com/go/WA/schools/0039000058/school.aspx,Bellevue School District,https://www.schooldigger.com/go/WA/district/00390/search.aspx,16616 NE 32nd Street,Bellevue,https://www.schooldigger.com/go/WA/city/Bellevue/search.aspx,98008,King County,(425) 456-4700,PK,5,Yes,No,No,No,382,31.7,12,33.8,6.8,0.3,44.2,21.5,0.3,3.9,23,67.4
Balboa Elementary,https://www.schooldigger.com/go/WA/schools/0825001364/school.aspx,Spokane School District,https://www.schooldigger.com/go/WA/district/08250/search.aspx,3010 W Holyoke Ave,Spokane,https://www.schooldigger.com/go/WA/city/Spokane/search.aspx,99208,Spokane County,(509) 354-2220,PK,6,No,No,No,No,290,20.1,14.4,40.7,0.7,0,0.7,10.3,0.3,11,76.9,67.3
Port Gardner,https://www.schooldigger.com/go/WA/schools/0267002897/school.aspx,Everett School District,https://www.schooldigger.com/go/WA/district/02670/search.aspx,3516 Rucker Ave.,Everett,https://www.schooldigger.com/go/WA/city/Everett/search.aspx,98201,Snohomish County,(425) 385-5150,KG,12,No,No,No,No,106,2.7,39.1,25.5,0.9,0,2.8,16,0,14.2,66,67.2
Pioneer Valley Elementary,https://www.schooldigger.com/go/WA/schools/0048002430/school.aspx,Bethel School District,https://www.schooldigger.com/go/WA/district/00480/search.aspx,7315 Eustis Hunt Road,Spanaway,https://www.schooldigger.com/go/WA/city/Spanaway/search.aspx,98387,Pierce County,(253) 800-8900,KG,5,No,No,No,No,440,32.9,13.3,41.8,5,0.5,3.2,20,5.5,19.8,46.1,67.2
