School,School URL,District,District URL,City,City URL,Zip,County,Phone,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2016-17)
James F Delaney Elementary,https://www.schooldigger.com/go/TX/schools/2550006280/school.aspx,Kennedale Independent School District,https://www.schooldigger.com/go/TX/district/25500/search.aspx,Kennedale,https://www.schooldigger.com/go/TX/city/Kennedale/search.aspx,76060,Tarrant,(817) 563-8400,Yes,No,No,(n/a),746,50,14.9,46,14,0,4,26,0,4,51,72.1
Wiederstein Elementary,https://www.schooldigger.com/go/TX/schools/3948004490/school.aspx,Schertz-Cibolo-U City Independent School District,https://www.schooldigger.com/go/TX/district/39480/search.aspx,Cibolo,https://www.schooldigger.com/go/TX/city/Cibolo/search.aspx,78108,Guadalupe,(210) 619-4550,Yes,No,No,(n/a),851,51,16.6,31,11,0,2,38,1,5,43,72.1
South Georgia Elementary,https://www.schooldigger.com/go/TX/schools/0813000178/school.aspx,Amarillo Independent School District,https://www.schooldigger.com/go/TX/district/08130/search.aspx,Amarillo,https://www.schooldigger.com/go/TX/city/Amarillo/search.aspx,79110,Randall,(806) 326-5350,Yes,No,No,(n/a),450,29,15.5,57,5,0,0,38,0,3,53,72
Braun Station Elementary,https://www.schooldigger.com/go/TX/schools/3312005785/school.aspx,Northside Independent School District,https://www.schooldigger.com/go/TX/district/33120/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78254,Bexar,(210) 397-1550,Yes,No,No,(n/a),588,54,10.8,45,3,0,1,63,0,4,29,72
Mission Valley Elementary,https://www.schooldigger.com/go/TX/schools/4415005009/school.aspx,Victoria Independent School District,https://www.schooldigger.com/go/TX/district/44150/search.aspx,Victoria,https://www.schooldigger.com/go/TX/city/Victoria/search.aspx,77901,Victoria,(361) 788-9514,No,No,No,(n/a),226,15,15,38,0,0,0,35,0,1,64,72
Santa Rita Elementary,https://www.schooldigger.com/go/TX/schools/3870004320/school.aspx,San Angelo Independent School District,https://www.schooldigger.com/go/TX/district/38700/search.aspx,San Angelo,https://www.schooldigger.com/go/TX/city/San+Angelo/search.aspx,76901,Tom Green,(325) 659-3672,Yes,No,No,(n/a),379,23,16.4,47,4,1,0,43,0,1,51,72
Woden Elementary,https://www.schooldigger.com/go/TX/schools/4632005277/school.aspx,Woden Independent School District,https://www.schooldigger.com/go/TX/district/46320/search.aspx,Woden,https://www.schooldigger.com/go/TX/city/Woden/search.aspx,75978,Nacogdoches,(936) 564-2386,Yes,No,No,(n/a),376,27,13.9,64,1,0,1,23,0,4,72,72
Poolville Elementary,https://www.schooldigger.com/go/TX/schools/3534008011/school.aspx,Poolville Independent School District,https://www.schooldigger.com/go/TX/district/35340/search.aspx,Poolville,https://www.schooldigger.com/go/TX/city/Poolville/search.aspx,76487,Parker,(817) 599-3308,Yes,No,No,(n/a),251,19,13.2,63,0,1,0,19,0,1,79,72
Irma Dru Hutchison Elementary,https://www.schooldigger.com/go/TX/schools/2658010666/school.aspx,Lamar Consolidated Independent School District,https://www.schooldigger.com/go/TX/district/26580/search.aspx,Richmond,https://www.schooldigger.com/go/TX/city/Richmond/search.aspx,77469,Fort Bend,(832) 223-1700,No,No,No,(n/a),793,45,17.6,33,33,1,20,24,0,3,19,72
Summitt Elementary,https://www.schooldigger.com/go/TX/schools/0894000358/school.aspx,Austin Independent School District,https://www.schooldigger.com/go/TX/district/08940/search.aspx,Austin,https://www.schooldigger.com/go/TX/city/Austin/search.aspx,78727,Travis,(512) 414-4484,No,No,No,(n/a),774,51,15.1,35,4,0,24,27,0,5,39,72
Magee Elementary,https://www.schooldigger.com/go/TX/schools/1242000737/school.aspx,Calallen Independent School District,https://www.schooldigger.com/go/TX/district/12420/search.aspx,Corpus Christi,https://www.schooldigger.com/go/TX/city/Corpus+Christi/search.aspx,78410,Nueces,(361) 242-5900,Yes,No,No,(n/a),572,40,14.3,46,2,0,1,56,0,1,39,71.9
Fernandez Elementary,https://www.schooldigger.com/go/TX/schools/3312021008/school.aspx,Northside Independent School District,https://www.schooldigger.com/go/TX/district/33120/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78250,Bexar,(210) 397-1900,Yes,No,No,(n/a),663,43,15.4,57,6,0,3,68,1,3,20,71.9
Sweet Home Elementary,https://www.schooldigger.com/go/TX/schools/4200004782/school.aspx,Sweet Home Independent School District,https://www.schooldigger.com/go/TX/district/42000/search.aspx,Sweet Home,https://www.schooldigger.com/go/TX/city/Sweet+Home/search.aspx,77987,Lavaca,(361) 293-3221,Yes,No,No,(n/a),154,11,14,16,1,0,0,21,0,3,76,71.9
Elkhart Intermediate,https://www.schooldigger.com/go/TX/schools/1839012739/school.aspx,Elkhart Independent School District,https://www.schooldigger.com/go/TX/district/18390/search.aspx,Elkhart,https://www.schooldigger.com/go/TX/city/Elkhart/search.aspx,75839,Anderson,(903) 764-8535,Yes,No,No,(n/a),256,22,11.6,55,6,0,2,11,0,2,79,71.8
Tatum Elementary,https://www.schooldigger.com/go/TX/schools/4224004804/school.aspx,Tatum Independent School District,https://www.schooldigger.com/go/TX/district/42240/search.aspx,Tatum,https://www.schooldigger.com/go/TX/city/Tatum/search.aspx,75691,Rusk,(903) 947-6482,Yes,No,No,(n/a),396,23,17.2,58,24,0,0,27,0,2,47,71.8
Crockett Elementary,https://www.schooldigger.com/go/TX/schools/2115005731/school.aspx,Goose Creek Consolidated Independent School District,https://www.schooldigger.com/go/TX/district/21150/search.aspx,Baytown,https://www.schooldigger.com/go/TX/city/Baytown/search.aspx,77521,Harris,(281) 420-4645,Yes,No,No,(n/a),648,38,17,59,14,0,2,56,0,3,25,71.8
Elliott Elementary,https://www.schooldigger.com/go/TX/schools/2001012247/school.aspx,Frisco Independent School District,https://www.schooldigger.com/go/TX/district/20010/search.aspx,McKinney,https://www.schooldigger.com/go/TX/city/McKinney/search.aspx,75070,Collin,(469) 633-3750,Yes,No,No,(n/a),536,33,16.2,17,15,0,10,20,0,5,50,71.8
Neches Elementary,https://www.schooldigger.com/go/TX/schools/3225003574/school.aspx,Neches Independent School District,https://www.schooldigger.com/go/TX/district/32250/search.aspx,Palestine,https://www.schooldigger.com/go/TX/city/Palestine/search.aspx,75803,Anderson,(903) 584-3401,Yes,No,No,(n/a),256,23,11.1,42,9,0,0,12,0,1,78,71.8
Erma Nash Elementary,https://www.schooldigger.com/go/TX/schools/2892009660/school.aspx,Mansfield Independent School District,https://www.schooldigger.com/go/TX/district/28920/search.aspx,Mansfield,https://www.schooldigger.com/go/TX/city/Mansfield/search.aspx,76063,Tarrant,(817) 299-6900,Yes,No,No,(n/a),622,43,14.4,73,8,1,1,61,0,4,26,71.8
Lubbock-Cooper Central Elementary,https://www.schooldigger.com/go/TX/schools/1518012577/school.aspx,Lubbock-Cooper Independent School District,https://www.schooldigger.com/go/TX/district/15180/search.aspx,Lubbock,https://www.schooldigger.com/go/TX/city/Lubbock/search.aspx,79423,Lubbock,(806) 776-2150,Yes,No,No,(n/a),689,43,16,40,0,1,0,30,0,2,66,71.7
Longoria Elementary,https://www.schooldigger.com/go/TX/schools/1168000656/school.aspx,Brownsville Independent School District,https://www.schooldigger.com/go/TX/district/11680/search.aspx,Brownsville,https://www.schooldigger.com/go/TX/city/Brownsville/search.aspx,78520,Cameron,(956) 982-2700,Yes,No,No,(n/a),381,27,14.1,96,0,0,0,100,0,0,1,71.7
Cannon Elementary,https://www.schooldigger.com/go/TX/schools/2166005736/school.aspx,Grapevine-Colleyville Independent School District,https://www.schooldigger.com/go/TX/district/21660/search.aspx,Grapevine,https://www.schooldigger.com/go/TX/city/Grapevine/search.aspx,76051,Tarrant,(817) 251-5680,Yes,No,No,(n/a),523,36,14.5,49,4,0,3,45,0,5,42,71.7
Northwood Hills Elementary,https://www.schooldigger.com/go/TX/schools/3702004145/school.aspx,Richardson Independent School District,https://www.schooldigger.com/go/TX/district/37020/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75240,Dallas,(469) 593-4300,Yes,No,No,(n/a),426,29,14.6,67,19,1,5,51,0,2,23,71.7
Hallsville Intermediate,https://www.schooldigger.com/go/TX/schools/2217002230/school.aspx,Hallsville Independent School District,https://www.schooldigger.com/go/TX/district/22170/search.aspx,Hallsville,https://www.schooldigger.com/go/TX/city/Hallsville/search.aspx,75650,Harrison,(903) 668-5990,Yes,No,No,(n/a),745,57,13,42,6,0,1,13,0,3,77,71.6
Carl Schurz Elementary,https://www.schooldigger.com/go/TX/schools/3237003589/school.aspx,New Braunfels Independent School District,https://www.schooldigger.com/go/TX/district/32370/search.aspx,New Braunfels,https://www.schooldigger.com/go/TX/city/New+Braunfels/search.aspx,78130,Comal,(830) 627-6680,Yes,No,No,(n/a),570,34,16.7,43,0,0,0,58,0,1,41,71.6
Purple Sage Elementary,https://www.schooldigger.com/go/TX/schools/3808005804/school.aspx,Round Rock Independent School District,https://www.schooldigger.com/go/TX/district/38080/search.aspx,Austin,https://www.schooldigger.com/go/TX/city/Austin/search.aspx,78750,Williamson,(512) 428-3500,Yes,No,No,(n/a),320,25,12.8,37,4,0,3,43,0,5,45,71.6
Benavides Elementary,https://www.schooldigger.com/go/TX/schools/1168008137/school.aspx,Brownsville Independent School District,https://www.schooldigger.com/go/TX/district/11680/search.aspx,Brownsville,https://www.schooldigger.com/go/TX/city/Brownsville/search.aspx,78520,Cameron,(956) 350-3250,Yes,No,No,(n/a),653,42,15.5,89,0,0,0,99,0,0,1,71.6
Anne L Magee Elementary,https://www.schooldigger.com/go/TX/schools/1818009558/school.aspx,Edinburg Consolidated Independent School District,https://www.schooldigger.com/go/TX/district/18180/search.aspx,Edinburg,https://www.schooldigger.com/go/TX/city/Edinburg/search.aspx,78541,Hidalgo,(956) 289-2306,Yes,No,No,(n/a),466,31,15,94,0,0,0,99,0,0,1,71.5
Springridge Elementary,https://www.schooldigger.com/go/TX/schools/3702004161/school.aspx,Richardson Independent School District,https://www.schooldigger.com/go/TX/district/37020/search.aspx,Richardson,https://www.schooldigger.com/go/TX/city/Richardson/search.aspx,75081,Dallas,(469) 593-8600,Yes,No,No,(n/a),369,25,14.7,63,32,0,14,27,1,4,22,71.5
Ward Elementary,https://www.schooldigger.com/go/TX/schools/3312009469/school.aspx,Northside Independent School District,https://www.schooldigger.com/go/TX/district/33120/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78254,Bexar,(210) 397-6800,Yes,No,No,(n/a),890,53,16.7,52,6,0,1,71,0,4,18,71.5
Abbett Elementary,https://www.schooldigger.com/go/TX/schools/2034006706/school.aspx,Garland Independent School District,https://www.schooldigger.com/go/TX/district/20340/search.aspx,Garland,https://www.schooldigger.com/go/TX/city/Garland/search.aspx,75044,Dallas,(972) 675-3000,Yes,No,No,(n/a),682,41,16.6,37,11,1,14,31,0,3,41,71.5
Schultz Elementary,https://www.schooldigger.com/go/TX/schools/2574006986/school.aspx,Klein Independent School District,https://www.schooldigger.com/go/TX/district/25740/search.aspx,Tomball,https://www.schooldigger.com/go/TX/city/Tomball/search.aspx,77375,Harris,(832) 484-7000,Yes,No,No,(n/a),923,60,15.3,46,6,1,5,46,0,3,40,71.5
Rolling Meadows Elementary,https://www.schooldigger.com/go/TX/schools/2499012467/school.aspx,Judson Independent School District,https://www.schooldigger.com/go/TX/district/24990/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78233,Bexar,(210) 945-5700,Yes,No,No,(n/a),761,45,16.9,37,13,0,4,55,1,5,23,71.5
Spring Creek Elementary,https://www.schooldigger.com/go/TX/schools/2034005728/school.aspx,Garland Independent School District,https://www.schooldigger.com/go/TX/district/20340/search.aspx,Garland,https://www.schooldigger.com/go/TX/city/Garland/search.aspx,75040,Dallas,(972) 675-3060,Yes,No,No,(n/a),640,38,16.8,71,17,1,23,42,0,3,15,71.5
Nancy Smith Elementary,https://www.schooldigger.com/go/TX/schools/0768000055/school.aspx,Albany Independent School District,https://www.schooldigger.com/go/TX/district/07680/search.aspx,Albany,https://www.schooldigger.com/go/TX/city/Albany/search.aspx,76430,Shackelford,(325) 762-3384,Yes,No,No,(n/a),274,24,11.4,43,3,1,0,15,0,3,79,71.5
Liberty Elementary,https://www.schooldigger.com/go/TX/schools/4554005177/school.aspx,White Settlement Independent School District,https://www.schooldigger.com/go/TX/district/45540/search.aspx,White Settlement,https://www.schooldigger.com/go/TX/city/White+Settlement/search.aspx,76108,Tarrant,(817) 367-1312,Yes,No,No,(n/a),493,33,14.9,75,6,1,1,46,0,2,43,71.4
Bransom Elementary,https://www.schooldigger.com/go/TX/schools/1218009319/school.aspx,Burleson Independent School District,https://www.schooldigger.com/go/TX/district/12180/search.aspx,Burleson,https://www.schooldigger.com/go/TX/city/Burleson/search.aspx,76028,Johnson,(817) 245-3600,No,No,No,(n/a),504,35,14.4,32,2,1,1,14,0,3,78,71.4
Moore Elementary,https://www.schooldigger.com/go/TX/schools/1611005438/school.aspx,Cypress-Fairbanks Independent School District,https://www.schooldigger.com/go/TX/district/16110/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77070,Harris,(281) 370-4040,No,No,No,(n/a),1071,54,19.8,32,11,0,14,24,0,5,46,71.3
Sam Houston Elementary,https://www.schooldigger.com/go/TX/schools/1623001283/school.aspx,Dallas Independent School District,https://www.schooldigger.com/go/TX/district/16230/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75219,Dallas,(972) 749-5800,Yes,No,No,(n/a),241,20,12,88,12,0,1,84,1,0,3,71.3
Dr Pablo Perez,https://www.schooldigger.com/go/TX/schools/2967011450/school.aspx,McAllen Independent School District,https://www.schooldigger.com/go/TX/district/29670/search.aspx,McAllen,https://www.schooldigger.com/go/TX/city/McAllen/search.aspx,78504,Hidalgo,(956) 971-1125,Yes,No,No,(n/a),565,34,16.6,54,1,1,3,87,0,2,8,71.3
Norma Krueger El/Bert Karrer Campus,https://www.schooldigger.com/go/TX/schools/2910009632/school.aspx,Marion Independent School District,https://www.schooldigger.com/go/TX/district/29100/search.aspx,Marion,https://www.schooldigger.com/go/TX/city/Marion/search.aspx,78124,Guadalupe,(830) 914-2803,Yes,No,No,(n/a),290,21,13.8,45,1,0,0,39,0,1,58,71.3
Koennecke Elementary,https://www.schooldigger.com/go/TX/schools/3969006475/school.aspx,Seguin Independent School District,https://www.schooldigger.com/go/TX/district/39690/search.aspx,Seguin,https://www.schooldigger.com/go/TX/city/Seguin/search.aspx,78155,Guadalupe,(830) 401-8741,Yes,No,No,(n/a),533,32,16.6,64,3,0,1,59,0,2,35,71.3
Owens Elementary,https://www.schooldigger.com/go/TX/schools/4347006180/school.aspx,Tyler Independent School District,https://www.schooldigger.com/go/TX/district/43470/search.aspx,Tyler,https://www.schooldigger.com/go/TX/city/Tyler/search.aspx,75703,Smith,(903) 262-2175,Yes,No,No,(n/a),650,38,17.1,39,15,1,1,15,0,4,65,71.2
Lantrip Elementary,https://www.schooldigger.com/go/TX/schools/2364002515/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77023,Harris,(713) 924-1670,Yes,No,Yes,(n/a),801,45,17.8,81,2,0,1,96,0,0,1,71.2
Northampton Elementary,https://www.schooldigger.com/go/TX/schools/2574002904/school.aspx,Klein Independent School District,https://www.schooldigger.com/go/TX/district/25740/search.aspx,Spring,https://www.schooldigger.com/go/TX/city/Spring/search.aspx,77389,Harris,(832) 484-5550,No,No,No,(n/a),848,58,14.6,24,3,0,3,31,0,2,61,71.2
Horizon Heights Elementary,https://www.schooldigger.com/go/TX/schools/4071005922/school.aspx,Socorro Independent School District,https://www.schooldigger.com/go/TX/district/40710/search.aspx,El Paso,https://www.schooldigger.com/go/TX/city/El+Paso/search.aspx,79928,El Paso,(915) 937-7400,Yes,No,No,(n/a),786,41,19.1,63,3,0,1,91,0,1,5,71.1
Vysehrad Elementary,https://www.schooldigger.com/go/TX/schools/4425005027/school.aspx,Vysehrad Independent School District,https://www.schooldigger.com/go/TX/district/44250/search.aspx,Hallettsville,https://www.schooldigger.com/go/TX/city/Hallettsville/search.aspx,77964,Lavaca,(361) 798-4118,No,No,No,(n/a),110,11,10,45,9,0,5,9,0,3,75,71.1
Jefferson Elementary,https://www.schooldigger.com/go/TX/schools/4578005214/school.aspx,Wichita Falls Independent School District,https://www.schooldigger.com/go/TX/district/45780/search.aspx,Wichita Falls,https://www.schooldigger.com/go/TX/city/Wichita+Falls/search.aspx,76310,Wichita,(940) 235-1168,Yes,No,No,(n/a),465,33,14,59,5,1,3,21,0,6,64,71
Freddy Gonzalez Elementary,https://www.schooldigger.com/go/TX/schools/1818001640/school.aspx,Edinburg Consolidated Independent School District,https://www.schooldigger.com/go/TX/district/18180/search.aspx,Edinburg,https://www.schooldigger.com/go/TX/city/Edinburg/search.aspx,78539,Hidalgo,(956) 289-2520,Yes,No,No,(n/a),526,29,18.1,67,1,1,1,93,0,0,5,71
Oak Meadow Elementary,https://www.schooldigger.com/go/TX/schools/3294021108/school.aspx,North East Independent School District,https://www.schooldigger.com/go/TX/district/32940/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78231,Bexar,(210) 407-5800,No,No,No,(n/a),510,39,13,30,3,0,3,55,0,4,35,71
Raye McCoy Elementary,https://www.schooldigger.com/go/TX/schools/2060007490/school.aspx,Georgetown Independent School District,https://www.schooldigger.com/go/TX/district/20600/search.aspx,Georgetown,https://www.schooldigger.com/go/TX/city/Georgetown/search.aspx,78628,Williamson,(512) 943-5030,No,No,No,(n/a),558,38,14.6,22,3,0,2,21,0,2,72,70.9
Kreinhop Elementary,https://www.schooldigger.com/go/TX/schools/2574010771/school.aspx,Klein Independent School District,https://www.schooldigger.com/go/TX/district/25740/search.aspx,Spring,https://www.schooldigger.com/go/TX/city/Spring/search.aspx,77388,Harris,(832) 484-7400,No,No,No,(n/a),881,59,14.9,31,10,1,6,37,0,3,44,70.9
Everette Lee Degolyer Elementary,https://www.schooldigger.com/go/TX/schools/1623006933/school.aspx,Dallas Independent School District,https://www.schooldigger.com/go/TX/district/16230/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75229,Dallas,(972) 794-2800,Yes,No,No,(n/a),393,28,14,56,6,1,2,61,0,2,27,70.9
Norma Dorsey Elementary,https://www.schooldigger.com/go/TX/schools/2034007257/school.aspx,Garland Independent School District,https://www.schooldigger.com/go/TX/district/20340/search.aspx,Rowlett,https://www.schooldigger.com/go/TX/city/Rowlett/search.aspx,75089,Dallas,(972) 463-5595,Yes,No,No,(n/a),630,35,18,43,12,1,7,40,0,3,38,70.9
Mountain View Elementary,https://www.schooldigger.com/go/TX/schools/2566006574/school.aspx,Killeen Independent School District,https://www.schooldigger.com/go/TX/district/25660/search.aspx,Harker Heights,https://www.schooldigger.com/go/TX/city/Harker+Heights/search.aspx,76548,Bell,(254) 336-1900,Yes,No,No,(n/a),886,54,16.4,34,23,1,5,22,1,10,39,70.8
Myrtle Cooper Elementary,https://www.schooldigger.com/go/TX/schools/4071006326/school.aspx,Socorro Independent School District,https://www.schooldigger.com/go/TX/district/40710/search.aspx,El Paso,https://www.schooldigger.com/go/TX/city/El+Paso/search.aspx,79936,El Paso,(915) 937-7700,Yes,No,No,(n/a),865,40,21.6,80,3,0,1,89,0,1,6,70.8
Cambridge Elementary,https://www.schooldigger.com/go/TX/schools/0759000047/school.aspx,Alamo Heights Independent School District,https://www.schooldigger.com/go/TX/district/07590/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78209,Bexar,(210) 822-3611,Yes,No,No,(n/a),805,61,13.1,20,2,0,3,38,0,1,56,70.8
Wooden Elementary,https://www.schooldigger.com/go/TX/schools/3666006164/school.aspx,Red Oak Independent School District,https://www.schooldigger.com/go/TX/district/36660/search.aspx,Red Oak,https://www.schooldigger.com/go/TX/city/Red+Oak/search.aspx,75154,Ellis,(972) 617-2977,Yes,No,No,(n/a),483,30,16.1,57,7,1,0,49,0,2,40,70.8
Santa Gertrudis School,https://www.schooldigger.com/go/TX/schools/3930004477/school.aspx,Santa Gertrudis Independent School District,https://www.schooldigger.com/go/TX/district/39300/search.aspx,Kingsville,https://www.schooldigger.com/go/TX/city/Kingsville/search.aspx,78363,Kleberg,(361) 592-7582,Yes,No,No,(n/a),291,17,17.1,30,2,0,2,75,0,1,21,70.7
Hooks Elementary,https://www.schooldigger.com/go/TX/schools/2349002381/school.aspx,Hooks Independent School District,https://www.schooldigger.com/go/TX/district/23490/search.aspx,Hooks,https://www.schooldigger.com/go/TX/city/Hooks/search.aspx,75561,Bowie,(903) 547-2291,Yes,No,No,(n/a),315,22,14.3,65,12,0,0,10,0,8,70,70.7
Humphreys Highland Elementary,https://www.schooldigger.com/go/TX/schools/0813000160/school.aspx,Amarillo Independent School District,https://www.schooldigger.com/go/TX/district/08130/search.aspx,Amarillo,https://www.schooldigger.com/go/TX/city/Amarillo/search.aspx,79104,Potter,(806) 326-4550,Yes,No,No,(n/a),596,38,15.6,91,2,0,0,84,0,0,13,70.7
Houser Elementary,https://www.schooldigger.com/go/TX/schools/1500008993/school.aspx,Conroe Independent School District,https://www.schooldigger.com/go/TX/district/15000/search.aspx,Conroe,https://www.schooldigger.com/go/TX/city/Conroe/search.aspx,77385,Montgomery,(832) 663-4000,Yes,No,No,(n/a),848,50,16.9,56,10,1,2,45,0,3,40,70.5
Slaughter Elementary,https://www.schooldigger.com/go/TX/schools/2985006953/school.aspx,McKinney Independent School District,https://www.schooldigger.com/go/TX/district/29850/search.aspx,McKinney,https://www.schooldigger.com/go/TX/city/McKinney/search.aspx,75070,Collin,(469) 302-6100,Yes,No,No,(n/a),650,50,13,53,15,0,3,47,0,2,33,70.5
Kirksey Elementary,https://www.schooldigger.com/go/TX/schools/1083000549/school.aspx,Booker Independent School District,https://www.schooldigger.com/go/TX/district/10830/search.aspx,Booker,https://www.schooldigger.com/go/TX/city/Booker/search.aspx,79005,Lipscomb,(806) 658-4559,Yes,No,No,(n/a),232,18,12.8,50,0,0,0,69,0,0,30,70.5
Gladys Polk Elementary,https://www.schooldigger.com/go/TX/schools/1119005413/school.aspx,Brazosport Independent School District,https://www.schooldigger.com/go/TX/district/11190/search.aspx,Richwood,https://www.schooldigger.com/go/TX/city/Richwood/search.aspx,77531,Brazoria,(979) 730-7200,Yes,No,No,(n/a),445,35,12.7,52,6,0,1,55,0,4,34,70.4
Blackshear Elementary,https://www.schooldigger.com/go/TX/schools/0894000300/school.aspx,Austin Independent School District,https://www.schooldigger.com/go/TX/district/08940/search.aspx,Austin,https://www.schooldigger.com/go/TX/city/Austin/search.aspx,78702,Travis,(512) 414-2021,Yes,No,No,(n/a),276,25,11,91,28,1,0,65,0,1,4,70.4
Lake Highlands Elementary,https://www.schooldigger.com/go/TX/schools/3702004137/school.aspx,Richardson Independent School District,https://www.schooldigger.com/go/TX/district/37020/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75238,Dallas,(469) 593-2100,No,No,No,(n/a),692,43,16,39,11,0,2,35,0,2,49,70.4
Eastridge Elementary,https://www.schooldigger.com/go/TX/schools/3666003774/school.aspx,Red Oak Independent School District,https://www.schooldigger.com/go/TX/district/36660/search.aspx,Red Oak,https://www.schooldigger.com/go/TX/city/Red+Oak/search.aspx,75154,Ellis,(972) 617-2266,Yes,No,No,(n/a),408,25,16.3,52,12,0,0,35,0,3,51,70.4
Seashore Learning Center,https://www.schooldigger.com/go/TX/schools/0028907412/school.aspx,Seashore Charter Schools,https://www.schooldigger.com/go/TX/district/00289/search.aspx,Corpus Christi,https://www.schooldigger.com/go/TX/city/Corpus+Christi/search.aspx,78418,Nueces,(361) 949-1222,No,Yes,No,(n/a),261,20,13,0,0,1,1,15,0,2,81,70.4
Jane Long Elementary,https://www.schooldigger.com/go/TX/schools/2658002987/school.aspx,Lamar Consolidated Independent School District,https://www.schooldigger.com/go/TX/district/26580/search.aspx,Richmond,https://www.schooldigger.com/go/TX/city/Richmond/search.aspx,77469,Fort Bend,(832) 223-1900,Yes,No,No,(n/a),603,42,14.3,51,22,1,1,64,0,1,12,70.3
Henderson Elementary,https://www.schooldigger.com/go/TX/schools/3312012344/school.aspx,Northside Independent School District,https://www.schooldigger.com/go/TX/district/33120/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78254,Bexar,(210) 398-1050,No,No,No,(n/a),645,42,15.3,40,5,0,0,68,0,4,23,70.3
Living Way Leadership Academy,https://www.schooldigger.com/go/TX/schools/0017912747/school.aspx,Jubilee Academic Center,https://www.schooldigger.com/go/TX/district/00179/search.aspx,Brownsville,https://www.schooldigger.com/go/TX/city/Brownsville/search.aspx,78526,Cameron,(956) 554-0999,Yes,Yes,No,(n/a),1215,65,18.6,71,0,0,0,98,0,0,2,70.2
Sharp Elementary,https://www.schooldigger.com/go/TX/schools/1168000666/school.aspx,Brownsville Independent School District,https://www.schooldigger.com/go/TX/district/11680/search.aspx,Brownsville,https://www.schooldigger.com/go/TX/city/Brownsville/search.aspx,78520,Cameron,(956) 982-2930,Yes,No,No,(n/a),529,36,14.6,89,0,0,0,99,0,0,1,70.2
Holliday Elementary,https://www.schooldigger.com/go/TX/schools/2340002374/school.aspx,Holliday Independent School District,https://www.schooldigger.com/go/TX/district/23400/search.aspx,Holliday,https://www.schooldigger.com/go/TX/city/Holliday/search.aspx,76366,Archer,(940) 586-1986,Yes,No,No,(n/a),424,29,14.6,28,0,1,0,7,0,2,89,70.1
O M Roberts Elementary,https://www.schooldigger.com/go/TX/schools/1119000593/school.aspx,Brazosport Independent School District,https://www.schooldigger.com/go/TX/district/11190/search.aspx,Lake Jackson,https://www.schooldigger.com/go/TX/city/Lake+Jackson/search.aspx,77566,Brazoria,(979) 730-7205,Yes,No,No,(n/a),533,32,16.6,52,13,1,4,41,0,2,39,70
North Euless Elementary,https://www.schooldigger.com/go/TX/schools/2406002676/school.aspx,Hurst-Euless-Bedford Independent School District,https://www.schooldigger.com/go/TX/district/24060/search.aspx,Euless,https://www.schooldigger.com/go/TX/city/Euless/search.aspx,76039,Tarrant,(817) 354-3505,Yes,No,No,(n/a),722,40,18,67,21,0,8,32,4,5,30,70
Dr Bryan C Jack Elementary,https://www.schooldigger.com/go/TX/schools/4347011326/school.aspx,Tyler Independent School District,https://www.schooldigger.com/go/TX/district/43470/search.aspx,Tyler,https://www.schooldigger.com/go/TX/city/Tyler/search.aspx,75703,Smith,(903) 262-3260,No,No,No,(n/a),742,44,16.8,30,17,0,5,9,0,4,65,69.9
Mims Elementary,https://www.schooldigger.com/go/TX/schools/3104006146/school.aspx,Mission Consolidated Independent School District,https://www.schooldigger.com/go/TX/district/31040/search.aspx,Mission,https://www.schooldigger.com/go/TX/city/Mission/search.aspx,78574,Hidalgo,(956) 323-4400,Yes,No,No,(n/a),592,32,18.5,60,0,0,1,97,0,0,2,69.9
Arrow Academy - Champions Academy,https://www.schooldigger.com/go/TX/schools/0141613152/school.aspx,Arrow Academy,https://www.schooldigger.com/go/TX/district/01416/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77090,Harris,(979) 703-8220,Yes,Yes,No,(n/a),118,9,13.1,42,78,0,2,16,0,0,4,69.9
