Rank,School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2024-25)
63,Odyssey Early College and Career Options,https://www.schooldigger.com/go/CO/schools/0306006580/school.aspx,Colorado Springs School District No. 11,https://www.schooldigger.com/go/CO/district/03060/search.aspx,2115 Afton Way,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80909,El Paso County,(719) 328-3009,9,12,No,No,No,No,287,10,28.7,51.20%,7.00%,0.30%,2.80%,30.00%,1.00%,10.50%,48.40%,79.9
64,Chaparral High School,https://www.schooldigger.com/go/CO/schools/0345001578/school.aspx,Douglas County School District No. Re 1,https://www.schooldigger.com/go/CO/district/03450/search.aspx,15655 Brookstone Drive,Parker,https://www.schooldigger.com/go/CO/city/Parker/search.aspx,80134,Douglas County,(303) 387-3500,9,12,No,No,No,No,2007,93.4,21.4,21.50%,3.20%,0.30%,5.70%,18.40%,0.10%,5.90%,66.30%,79.7
65,Golden High School,https://www.schooldigger.com/go/CO/schools/0480000733/school.aspx,Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,701  24th Street,Golden,https://www.schooldigger.com/go/CO/city/Golden/search.aspx,80401,Jefferson County,(303) 982-4200,9,12,No,No,No,No,1469,68.7,21.3,22.10%,1.00%,0.50%,1.40%,14.10%,0.10%,3.90%,79.00%,79.7
66,Lewis-Palmer High School,https://www.schooldigger.com/go/CO/schools/0582001003/school.aspx,Lewis-Palmer Consolidated School District No. 38,https://www.schooldigger.com/go/CO/district/05820/search.aspx,1300 Higby Road,Monument,https://www.schooldigger.com/go/CO/city/Monument/search.aspx,80132,El Paso County,(719) 488-4720,9,12,No,No,No,No,1144,50.5,22.6,,1.60%,0.10%,1.70%,13.40%,0.10%,6.60%,76.50%,79
67,Legend High School,https://www.schooldigger.com/go/CO/schools/0345006400/school.aspx,Douglas County School District No. Re 1,https://www.schooldigger.com/go/CO/district/03450/search.aspx,22219 Hilltop Road,Parker,https://www.schooldigger.com/go/CO/city/Parker/search.aspx,80138,Douglas County,(303) 387-4500,9,12,No,No,No,No,2206,95.2,23.1,13.20%,1.30%,0.20%,4.40%,13.00%,0.30%,6.60%,74.10%,78.9
68,East High School,https://www.schooldigger.com/go/CO/schools/0336000338/school.aspx,School District No. 1,https://www.schooldigger.com/go/CO/district/03360/search.aspx,1600 City Park Esplanade,Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80206,Denver County,(720) 423-8300,9,12,No,No,No,No,2476,116.6,21.2,32.50%,13.60%,0.40%,2.80%,22.90%,0.30%,7.40%,51.80%,78.9
69,Caprock Academy,https://www.schooldigger.com/go/CO/schools/0002006305/school.aspx,State Charter School Institute,https://www.schooldigger.com/go/CO/district/00020/search.aspx,714 24 1/2 Road,Grand Junction,https://www.schooldigger.com/go/CO/city/Grand+Junction/search.aspx,81505,Mesa County,(970) 243-1771,KG,12,No,Yes,No,No,871,62.6,13.9,,1.60%,0.70%,2.50%,15.20%,0.50%,3.90%,75.70%,78.7
70,Silver Creek High School,https://www.schooldigger.com/go/CO/schools/0537001814/school.aspx,St. Vrain Valley School District No. Re1J,https://www.schooldigger.com/go/CO/district/05370/search.aspx,4901 Nelson Road,Longmont,https://www.schooldigger.com/go/CO/city/Longmont/search.aspx,80503,Boulder County,(720) 494-3721,9,12,No,No,No,No,1208,52.5,22.9,27.00%,1.40%,0.20%,4.60%,21.90%,0.10%,3.50%,68.40%,78.3
71,Soroco High School,https://www.schooldigger.com/go/CO/schools/0591001014/school.aspx,South Routt School District No. Re 3,https://www.schooldigger.com/go/CO/district/05910/search.aspx,305 South Grant Street,Oak Creek,https://www.schooldigger.com/go/CO/city/Oak+Creek/search.aspx,80467,Routt County,(970) 736-2531,9,12,No,No,No,No,103,10.3,9.9,26.20%,0.00%,0.00%,1.00%,14.60%,0.00%,1.00%,83.50%,78.2
72,DSST: Cedar High School,https://www.schooldigger.com/go/CO/schools/0336006684/school.aspx,School District No. 1,https://www.schooldigger.com/go/CO/district/03360/search.aspx,150 South Pearl Street,Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80209,Denver County,(303) 524-6350,9,12,No,Yes,No,No,546,34.7,15.7,57.10%,25.50%,0.20%,3.70%,35.20%,0.00%,4.60%,29.90%,77.9
73,Erie High School,https://www.schooldigger.com/go/CO/schools/0537001889/school.aspx,St. Vrain Valley School District No. Re1J,https://www.schooldigger.com/go/CO/district/05370/search.aspx,3180 County Road 5,Erie,https://www.schooldigger.com/go/CO/city/Erie/search.aspx,80516,Weld County,(303) 828-4213,9,12,No,No,No,No,1727,73.9,23.3,13.10%,0.80%,0.10%,4.60%,14.50%,0.10%,2.60%,77.40%,77.8
74,James Irwin Charter High School,https://www.schooldigger.com/go/CO/schools/0453001781/school.aspx,Harrison School District No. 2,https://www.schooldigger.com/go/CO/district/04530/search.aspx,5525 Astrozon Blvd.,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80916,El Paso County,(719) 576-8055,9,12,No,Yes,No,No,425,26.8,15.8,48.70%,8.00%,0.00%,1.60%,50.60%,1.40%,12.20%,26.10%,77.7
75,Ascent Classical Academy of Douglas County,https://www.schooldigger.com/go/CO/schools/0002006760/school.aspx,State Charter School Institute,https://www.schooldigger.com/go/CO/district/00020/search.aspx,10004 Park Meadows Drive,Lone Tree,https://www.schooldigger.com/go/CO/city/Lone+Tree/search.aspx,80124,Douglas County,(720) 531-8775,KG,12,No,Yes,No,No,852,55.8,15.2,,0.90%,0.40%,7.70%,10.10%,0.10%,3.20%,77.60%,77.2
76,Highlands Ranch High School,https://www.schooldigger.com/go/CO/schools/0345001437/school.aspx,Douglas County School District No. Re 1,https://www.schooldigger.com/go/CO/district/03450/search.aspx,9375 Cresthill Lane,Highlands Ranch,https://www.schooldigger.com/go/CO/city/Highlands+Ranch/search.aspx,80126,Douglas County,(303) 387-2500,9,12,No,No,No,No,1323,68.9,19.1,23.70%,3.20%,0.40%,4.90%,19.40%,0.30%,7.30%,64.50%,77
77,South High School,https://www.schooldigger.com/go/CO/schools/0336000408/school.aspx,School District No. 1,https://www.schooldigger.com/go/CO/district/03360/search.aspx,1700 East Louisiana Avenue,Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80210,Denver County,(720) 423-6000,9,12,No,No,No,No,1950,100.3,19.4,38.60%,7.70%,0.40%,4.10%,29.60%,0.00%,6.80%,50.90%,76.4
78,Broomfield High School,https://www.schooldigger.com/go/CO/schools/0249000103/school.aspx,Boulder Valley School District No. Re2,https://www.schooldigger.com/go/CO/district/02490/search.aspx,1 Eagle Way,Broomfield,https://www.schooldigger.com/go/CO/city/Broomfield/search.aspx,80020,Broomfield County,(720) 561-8100,9,12,No,No,No,No,1693,77.9,21.7,24.70%,1.80%,0.00%,3.40%,23.70%,0.30%,4.60%,66.10%,76.3
79,Twin Peaks Classical Academy,https://www.schooldigger.com/go/CO/schools/0537001572/school.aspx,St. Vrain Valley School District No. Re1J,https://www.schooldigger.com/go/CO/district/05370/search.aspx,340 South Sunset Street,Longmont,https://www.schooldigger.com/go/CO/city/Longmont/search.aspx,80501,Boulder County,(303) 772-7286,KG,12,No,Yes,No,No,879,57.3,15.3,38.80%,1.50%,0.10%,3.60%,29.00%,0.50%,4.80%,60.50%,76.3
80,Monument Charter Academy Secondary School,https://www.schooldigger.com/go/CO/schools/0582001536/school.aspx,Lewis-Palmer Consolidated School District No. 38,https://www.schooldigger.com/go/CO/district/05820/search.aspx,4303 Pinehurst Circle,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80905,El Paso County,(719) 481-1950,6,12,No,Yes,No,No,541,31,17.4,10.90%,2.20%,0.00%,1.80%,10.20%,0.00%,7.90%,77.80%,75.5
81,Berthoud High School,https://www.schooldigger.com/go/CO/schools/0540000927/school.aspx,Thompson School District R-2j,https://www.schooldigger.com/go/CO/district/05400/search.aspx,850 Spartan Avenue,Berthoud,https://www.schooldigger.com/go/CO/city/Berthoud/search.aspx,80513,Larimer County,(970) 613-7700,9,12,No,No,No,No,722,36.7,19.6,14.70%,0.10%,0.80%,1.00%,15.80%,0.10%,4.00%,78.10%,75.3
82,Nederland Middle-Senior High School,https://www.schooldigger.com/go/CO/schools/0249000131/school.aspx,Boulder Valley School District No. Re2,https://www.schooldigger.com/go/CO/district/02490/search.aspx,597 Eldora Road,Nederland,https://www.schooldigger.com/go/CO/city/Nederland/search.aspx,80466,Boulder County,(720) 561-4900,6,12,No,No,No,No,235,17.5,13.4,38.30%,0.00%,0.90%,0.00%,4.70%,0.00%,5.50%,88.50%,75.1
83,Colorado Early Colleges Online Campus,https://www.schooldigger.com/go/CO/schools/0002006867/school.aspx,State Charter School Institute,https://www.schooldigger.com/go/CO/district/00020/search.aspx,321 Inverness Drive South,Englewood,https://www.schooldigger.com/go/CO/city/Englewood/search.aspx,80112,Douglas County,(303) 872-3391,6,12,(n/a),Yes,(n/a),Yes,404,9.4,42.6,,3.50%,0.50%,1.70%,17.80%,0.70%,6.40%,69.30%,75
84,Eads High School,https://www.schooldigger.com/go/CO/schools/0351000459/school.aspx,Kiowa County School District No. Re-1,https://www.schooldigger.com/go/CO/district/03510/search.aspx,210 West 10 Street,Eads,https://www.schooldigger.com/go/CO/city/Eads/search.aspx,81036,Kiowa County,(719) 438-2214,9,12,No,No,No,No,48,6.2,7.7,62.50%,0.00%,0.00%,0.00%,12.50%,0.00%,0.00%,87.50%,74.8
85,Rampart High School,https://www.schooldigger.com/go/CO/schools/0192001321/school.aspx,Academy School District No. 20,https://www.schooldigger.com/go/CO/district/01920/search.aspx,8250 Lexington Drive,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80920,El Paso County,(719) 234-2000,9,12,No,No,No,No,1305,77.6,16.8,31.40%,3.80%,0.30%,4.50%,22.80%,0.50%,8.00%,60.00%,74.5
86,Cherokee Trail High School,https://www.schooldigger.com/go/CO/schools/0291001951/school.aspx,Cherry Creek School District No. 5,https://www.schooldigger.com/go/CO/district/02910/search.aspx,25901 Arapahoe Parkway,Aurora,https://www.schooldigger.com/go/CO/city/Aurora/search.aspx,80016,Arapahoe County,(720) 886-1900,9,12,No,No,No,No,3089,152.9,20.2,21.10%,10.10%,0.40%,9.60%,19.70%,0.20%,8.20%,51.50%,74.5
87,Lakewood High School,https://www.schooldigger.com/go/CO/schools/0480000747/school.aspx,Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,9700 West 8th Avenue,Lakewood,https://www.schooldigger.com/go/CO/city/Lakewood/search.aspx,80215,Jefferson County,(303) 982-7085,9,12,No,No,No,No,1735,91.5,18.9,36.80%,2.10%,0.50%,4.30%,38.80%,0.20%,4.90%,49.30%,74.5
88,Poudre High School,https://www.schooldigger.com/go/CO/schools/0399000541/school.aspx,Poudre School District R-1,https://www.schooldigger.com/go/CO/district/03990/search.aspx,201 Impala Drive,Fort Collins,https://www.schooldigger.com/go/CO/city/Fort+Collins/search.aspx,80521,Larimer County,(970) 488-6000,9,12,No,No,No,No,1409,85.7,16.4,45.30%,1.30%,0.40%,1.10%,30.40%,0.30%,3.80%,62.70%,74.3
89,Ridgway High School,https://www.schooldigger.com/go/CO/schools/0621001090/school.aspx,Ridgway School District No. R-2,https://www.schooldigger.com/go/CO/district/06210/search.aspx,1200 Green Street,Ridgway,https://www.schooldigger.com/go/CO/city/Ridgway/search.aspx,81432,Ouray County,(970) 626-5788,9,12,No,No,No,No,97,12.1,7.9,26.80%,0.00%,0.00%,2.10%,14.40%,0.00%,10.30%,72.20%,74.3
90,Peak Virtual Academy,https://www.schooldigger.com/go/CO/schools/0579006499/school.aspx,Montrose County School District Re-1J,https://www.schooldigger.com/go/CO/district/05790/search.aspx,526 N. 6th Street,Montrose,https://www.schooldigger.com/go/CO/city/Montrose/search.aspx,81401,Montrose County,(970) 249-7726,KG,12,No,No,No,Yes,262,13.7,19,38.20%,0.00%,0.40%,0.80%,14.90%,0.00%,3.10%,80.90%,74.2
91,Castle View High School,https://www.schooldigger.com/go/CO/schools/0345001918/school.aspx,Douglas County School District No. Re 1,https://www.schooldigger.com/go/CO/district/03450/search.aspx,5254 North Meadows Dr,Castle Rock,https://www.schooldigger.com/go/CO/city/Castle+Rock/search.aspx,80109,Douglas County,(303) 387-9000,9,12,No,No,No,No,1938,80,24.2,17.80%,1.30%,0.40%,1.60%,18.30%,0.10%,6.00%,72.30%,73.1
92,Woodland Park High School,https://www.schooldigger.com/go/CO/schools/0738001267/school.aspx,Woodland Park School District No. Re-2,https://www.schooldigger.com/go/CO/district/07380/search.aspx,151 Panther Way,Woodland Park,https://www.schooldigger.com/go/CO/city/Woodland+Park/search.aspx,80863,Teller County,(719) 686-2067,9,12,No,No,No,No,490,29.4,16.6,35.70%,0.80%,0.40%,1.20%,12.40%,0.00%,6.70%,78.40%,72.8
93,New Vista High School,https://www.schooldigger.com/go/CO/schools/0249000465/school.aspx,Boulder Valley School District No. Re2,https://www.schooldigger.com/go/CO/district/02490/search.aspx,700 20th Street,Boulder,https://www.schooldigger.com/go/CO/city/Boulder/search.aspx,80302,Boulder County,(720) 561-8700,9,12,No,No,No,No,327,18.3,17.8,26.30%,1.20%,1.20%,2.10%,12.20%,0.30%,5.50%,75.20%,72.8
94,Swallows Charter Academy High School,https://www.schooldigger.com/go/CO/schools/0615006360/school.aspx,Pueblo County School District 70,https://www.schooldigger.com/go/CO/district/06150/search.aspx,101 Civic Center Drive,Pueblo West,https://www.schooldigger.com/go/CO/city/Pueblo+West/search.aspx,81007,Pueblo County,(719) 547-1627,9,12,No,Yes,No,No,178,6.6,26.9,32.00%,0.00%,0.60%,1.70%,27.00%,0.00%,11.20%,59.60%,71.9
95,Durango High School,https://www.schooldigger.com/go/CO/schools/0348000448/school.aspx,Durango School District No. 9-R,https://www.schooldigger.com/go/CO/district/03480/search.aspx,2390 Main Avenue,Durango,https://www.schooldigger.com/go/CO/city/Durango/search.aspx,81301,La Plata County,(970) 259-1630,9,12,No,No,No,No,1352,83.9,16.1,30.10%,0.80%,4.90%,0.40%,22.50%,0.10%,3.60%,67.70%,71.8
96,Liberty High School,https://www.schooldigger.com/go/CO/schools/0192001429/school.aspx,Academy School District No. 20,https://www.schooldigger.com/go/CO/district/01920/search.aspx,8720 Scarborough Drive,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80920,El Paso County,(719) 234-2200,9,12,No,No,No,No,1526,87.5,17.4,25.40%,3.70%,0.30%,2.20%,18.70%,0.50%,8.50%,66.30%,71.4
97,Byers Junior-Senior High School,https://www.schooldigger.com/go/CO/schools/0270000164/school.aspx,Byers School District No. 32J,https://www.schooldigger.com/go/CO/district/02700/search.aspx,444 East Front Street,Byers,https://www.schooldigger.com/go/CO/city/Byers/search.aspx,80103,Arapahoe County,(303) 822-5292,7,12,No,No,No,No,235,10.4,22.5,31.90%,1.30%,0.90%,0.00%,24.70%,0.00%,1.30%,71.90%,71.3
98,Littleton High School,https://www.schooldigger.com/go/CO/schools/0531000884/school.aspx,Littleton School District No. 6,https://www.schooldigger.com/go/CO/district/05310/search.aspx,199 East Littleton Blvd,Littleton,https://www.schooldigger.com/go/CO/city/Littleton/search.aspx,80121,Arapahoe County,(303) 347-7700,9,12,No,No,No,No,1187,60.4,19.6,40.20%,2.10%,0.40%,2.60%,33.50%,0.00%,5.30%,56.00%,70.7
99,Liberty Tree Academy,https://www.schooldigger.com/go/CO/schools/0387006744/school.aspx,El Paso County Colorado School District 49,https://www.schooldigger.com/go/CO/district/03870/search.aspx,8579 Eastonville Road,Falcon,https://www.schooldigger.com/go/CO/city/Falcon/search.aspx,80831,El Paso County,(719) 338-6470,KG,12,No,Yes,No,No,602,40.5,14.8,28.10%,4.50%,0.00%,1.50%,19.30%,0.00%,8.00%,66.80%,70
100,Dakota Ridge Senior High School,https://www.schooldigger.com/go/CO/schools/0480001543/school.aspx,Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,13399 West Coal Mine Avenue,Littleton,https://www.schooldigger.com/go/CO/city/Littleton/search.aspx,80127,Jefferson County,(303) 982-1970,9,12,No,No,No,No,1277,65.8,19.4,24.30%,0.90%,0.10%,4.90%,19.10%,0.00%,5.60%,69.30%,69.9
101,Williamsburg Academy of Colorado,https://www.schooldigger.com/go/CO/schools/0028206846/school.aspx,Education Reenvisioned BOCES,https://www.schooldigger.com/go/CO/district/00282/search.aspx,1942 Broadway Street Ste 314c,Boulder,https://www.schooldigger.com/go/CO/city/Boulder/search.aspx,80302,Boulder County,(303) 345-4145,6,12,(n/a),No,(n/a),Yes,622,20.1,30.8,,5.00%,0.80%,1.00%,26.70%,0.00%,9.20%,57.40%,69.8
102,Horizon High School,https://www.schooldigger.com/go/CO/schools/0690001491/school.aspx,Adams 12 Five Star Schools,https://www.schooldigger.com/go/CO/district/06900/search.aspx,5321 East 136th Avenue,Brighton,https://www.schooldigger.com/go/CO/city/Brighton/search.aspx,80602,Adams County,(720) 972-4400,9,12,No,No,No,No,1966,97.5,20.1,33.10%,1.30%,0.30%,4.90%,35.10%,0.20%,5.20%,53.00%,69.6
103,Green Mountain High School,https://www.schooldigger.com/go/CO/schools/0480000736/school.aspx,Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,13175 W Green Mountain Drive,Lakewood,https://www.schooldigger.com/go/CO/city/Lakewood/search.aspx,80228,Jefferson County,(303) 982-9500,9,12,No,No,No,No,1071,53.3,20,23.80%,0.90%,0.60%,2.10%,20.20%,0.10%,4.40%,71.70%,69.4
104,Meeker High School,https://www.schooldigger.com/go/CO/schools/0561000967/school.aspx,Meeker School District Re1,https://www.schooldigger.com/go/CO/district/05610/search.aspx,550 School Street,Meeker,https://www.schooldigger.com/go/CO/city/Meeker/search.aspx,81641,Rio Blanco County,(970) 878-9070,9,12,No,No,No,No,224,14.7,15.1,37.90%,0.00%,0.00%,0.00%,17.40%,0.00%,0.40%,82.10%,69.2
105,Polaris Expeditionary Learning School,https://www.schooldigger.com/go/CO/schools/0399006334/school.aspx,Poudre School District R-1,https://www.schooldigger.com/go/CO/district/03990/search.aspx,1905 Orchard Place,Fort Collins,https://www.schooldigger.com/go/CO/city/Fort+Collins/search.aspx,80521,Larimer County,(970) 488-8260,KG,12,No,No,No,No,406,26.5,15.2,26.80%,0.20%,0.70%,0.00%,6.20%,0.20%,6.20%,86.20%,68.8
106,Arvada West High School,https://www.schooldigger.com/go/CO/schools/0480000695/school.aspx,Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,11595 Allendale Drive,Arvada,https://www.schooldigger.com/go/CO/city/Arvada/search.aspx,80004,Jefferson County,(303) 982-1303,9,12,No,No,No,No,1923,88.9,21.6,28.40%,1.10%,0.50%,1.80%,21.10%,0.10%,4.80%,70.60%,68.2
107,DSST: Conservatory Green High School,https://www.schooldigger.com/go/CO/schools/0336006730/school.aspx,School District No. 1,https://www.schooldigger.com/go/CO/district/03360/search.aspx,5590 N Central Park Blvd #4,Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80238,Denver County,(303) 802-4127,9,12,Yes,Yes,No,No,556,41,13.5,69.80%,17.30%,0.20%,3.40%,65.60%,0.00%,5.40%,8.10%,67.6
108,Columbine High School,https://www.schooldigger.com/go/CO/schools/0480000707/school.aspx,Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,6201 South Pierce Street,Littleton,https://www.schooldigger.com/go/CO/city/Littleton/search.aspx,80123,Jefferson County,(303) 982-4400,9,12,No,No,No,No,1710,82.4,20.7,29.70%,1.60%,0.30%,2.90%,26.00%,0.10%,4.90%,64.20%,67.6
109,Eaglecrest High School,https://www.schooldigger.com/go/CO/schools/0291006156/school.aspx,Cherry Creek School District No. 5,https://www.schooldigger.com/go/CO/district/02910/search.aspx,5100 South Picadilly Street,Centennial,https://www.schooldigger.com/go/CO/city/Centennial/search.aspx,80015,Arapahoe County,(720) 886-1000,9,12,No,No,No,No,2851,139.2,20.4,35.10%,15.90%,0.60%,7.40%,23.70%,0.50%,8.90%,42.60%,67.1
110,Manitou Springs High School,https://www.schooldigger.com/go/CO/schools/0549000946/school.aspx,Manitou Springs School District No. 14,https://www.schooldigger.com/go/CO/district/05490/search.aspx,401 El Monte Place,Manitou Springs,https://www.schooldigger.com/go/CO/city/Manitou+Springs/search.aspx,80829,El Paso County,(719) 685-2074,9,12,No,No,No,No,367,28.1,13,34.60%,2.70%,0.30%,0.50%,10.60%,0.00%,6.80%,78.70%,67.1
111,Fruita Monument High School,https://www.schooldigger.com/go/CO/schools/0435000609/school.aspx,Mesa County Valley School District No. 51,https://www.schooldigger.com/go/CO/district/04350/search.aspx,1102 Wildcat Ave,Fruita,https://www.schooldigger.com/go/CO/city/Fruita/search.aspx,81521,Mesa County,(970) 254-6600,9,12,No,No,No,No,1427,73.8,19.3,30.10%,0.20%,0.40%,1.30%,12.80%,0.10%,3.90%,81.40%,67.1
112,Compass Montessori - Golden Charter School,https://www.schooldigger.com/go/CO/schools/0480001766/school.aspx,Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,4441 Salvia Street,Golden,https://www.schooldigger.com/go/CO/city/Golden/search.aspx,80403,Jefferson County,(303) 271-1977,PK,12,No,Yes,No,No,425,28.1,15,,0.00%,0.20%,1.60%,9.40%,0.20%,7.30%,81.20%,66.5
113,Rocky Mountain School of Expeditionary Learning,https://www.schooldigger.com/go/CO/schools/0000400709/school.aspx,Denver 1,https://www.schooldigger.com/go/CO/district/00004/search.aspx,1700 South Holly Street,Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80222,Denver County,(303) 759-2076,KG,12,No,No,No,No,382,23.6,16.1,2.40%,1.30%,0.00%,0.30%,13.40%,0.00%,6.80%,77.70%,65.4
114,Mead High School,https://www.schooldigger.com/go/CO/schools/0537006423/school.aspx,St. Vrain Valley School District No. Re1J,https://www.schooldigger.com/go/CO/district/05370/search.aspx,12750 County Road #7,Longmont,https://www.schooldigger.com/go/CO/city/Longmont/search.aspx,80504,Weld County,(720) 494-3940,9,12,No,No,No,No,1174,55.6,21.1,26.10%,0.80%,0.40%,1.90%,25.80%,0.20%,2.60%,68.30%,64.7
115,Swink Junior-Senior High School,https://www.schooldigger.com/go/CO/schools/0684001169/school.aspx,Swink School District No. 33,https://www.schooldigger.com/go/CO/district/06840/search.aspx,610 Columbia Street,Swink,https://www.schooldigger.com/go/CO/city/Swink/search.aspx,81077,Otero County,(719) 384-8103,6,12,No,No,No,No,159,10.3,15.4,44.00%,0.60%,0.60%,1.90%,19.50%,0.00%,0.00%,77.40%,64.4
116,Douglas County High School,https://www.schooldigger.com/go/CO/schools/0345000440/school.aspx,Douglas County School District No. Re 1,https://www.schooldigger.com/go/CO/district/03450/search.aspx,2842 Front Street,Castle Rock,https://www.schooldigger.com/go/CO/city/Castle+Rock/search.aspx,80104,Douglas County,(303) 387-1000,9,12,No,No,No,No,1659,85.8,19.3,23.70%,1.70%,0.20%,3.40%,21.50%,0.20%,4.90%,67.90%,63.9
117,Caliche Junior-Senior High School,https://www.schooldigger.com/go/CO/schools/0669001147/school.aspx,School District No. Re-1 Valley,https://www.schooldigger.com/go/CO/district/06690/search.aspx,26308 Buffalo Road,Iliff,https://www.schooldigger.com/go/CO/city/Iliff/search.aspx,80736,Logan County,(970) 522-8200,7,12,No,No,No,No,104,11.3,9.1,42.30%,0.00%,0.00%,0.00%,17.30%,0.00%,3.80%,78.80%,63.5
118,Power Technical,https://www.schooldigger.com/go/CO/schools/0387006693/school.aspx,El Paso County Colorado School District 49,https://www.schooldigger.com/go/CO/district/03870/search.aspx,2460 Waynoka Place,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80915,El Paso County,(719) 302-9025,6,12,No,Yes,No,No,405,34.2,11.8,46.40%,1.70%,0.50%,0.50%,26.90%,1.20%,4.70%,64.40%,62.8
119,Ponderosa High School,https://www.schooldigger.com/go/CO/schools/0345001341/school.aspx,Douglas County School District No. Re 1,https://www.schooldigger.com/go/CO/district/03450/search.aspx,7007 East Bayou Gulch Road,Parker,https://www.schooldigger.com/go/CO/city/Parker/search.aspx,80134,Douglas County,(303) 387-4000,9,12,No,No,No,No,1406,69.1,20.3,15.80%,2.30%,0.40%,1.40%,14.50%,0.00%,4.30%,77.00%,62.5
120,Colorado Early Colleges Colorado Springs,https://www.schooldigger.com/go/CO/schools/0002006310/school.aspx,State Charter School Institute,https://www.schooldigger.com/go/CO/district/00020/search.aspx,4405 North Chestnut St Suite D,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80907,El Paso County,(719) 955-4675,6,12,No,Yes,No,No,677,48.2,14,39.00%,4.60%,1.20%,2.10%,22.30%,0.10%,10.00%,59.70%,62.4
121,Jeffco Virtual Academy,https://www.schooldigger.com/go/CO/schools/0480006439/school.aspx,Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,1829 Denver West Drive Bldg #,Golden,https://www.schooldigger.com/go/CO/city/Golden/search.aspx,80401,Jefferson County,(303) 982-6770,6,12,No,No,No,Yes,441,26.2,16.8,,0.70%,0.90%,0.90%,32.40%,0.20%,5.00%,59.90%,62
122,Venture Academy of Leadership and Entrepreneurship,https://www.schooldigger.com/go/CO/schools/0345006873/school.aspx,Douglas County School District No. Re 1,https://www.schooldigger.com/go/CO/district/03450/search.aspx,15653 Brookstone Dr,Parker,https://www.schooldigger.com/go/CO/city/Parker/search.aspx,80134,Douglas County,(303) 242-6165,9,12,(n/a),No,(n/a),No,88,8.2,10.7,10.20%,3.40%,0.00%,2.30%,6.80%,0.00%,6.80%,80.70%,61.7
123,Gilpin County Undivided High School,https://www.schooldigger.com/go/CO/schools/0423001298/school.aspx,Gilpin County School District No. Re-1,https://www.schooldigger.com/go/CO/district/04230/search.aspx,10595 Highway 119,Black Hawk,https://www.schooldigger.com/go/CO/city/Black+Hawk/search.aspx,80422,Gilpin County,(303) 582-3444,6,12,No,No,No,No,200,16.9,11.7,38.00%,1.00%,0.00%,0.00%,11.00%,0.00%,9.00%,79.00%,61.4
124,Cedaredge High School,https://www.schooldigger.com/go/CO/schools/0333001335/school.aspx,Delta County Joint District No. 50,https://www.schooldigger.com/go/CO/district/03330/search.aspx,575 SE Deer Creek Dr,Cedaredge,https://www.schooldigger.com/go/CO/city/Cedaredge/search.aspx,81413,Delta County,(970) 856-6882,9,12,No,No,No,No,280,17.6,15.8,48.90%,0.00%,0.40%,0.00%,14.30%,0.00%,3.90%,81.40%,61
125,Platte Canyon High School,https://www.schooldigger.com/go/CO/schools/0237000087/school.aspx,Platte Canyon School District No. 1,https://www.schooldigger.com/go/CO/district/02370/search.aspx,57243 Us Highway 285,Bailey,https://www.schooldigger.com/go/CO/city/Bailey/search.aspx,80421,Park County,(303) 838-7666,9,12,No,No,No,No,183,15,12.1,30.10%,1.10%,0.00%,0.00%,12.60%,0.00%,5.50%,80.90%,61
