School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent Homes Rented,Percent of  Unemployment,Percent Parents with Masters and above education,Percent parents with less than High School education,Percent Home Incomes with less than Median income,Home Prices Ranking,Community Health Ranking,Standard Score
Tonkawa High School,https://www.schooldigger.com/go/OK/schools/3012029686/school.aspx,Tonkawa,https://www.schooldigger.com/go/OK/district/30120/search.aspx,500 East North Avenue,Tonkawa,https://www.schooldigger.com/go/OK/city/Tonkawa/search.aspx,74653,Kay County,(580) 628-2566,9,12,No,No,(n/a),No,194,15.3,12.6,59.3,2.6,24.7,0,10.3,0.5,1,60.8,71.2
Broken Arrow High School,https://www.schooldigger.com/go/OK/schools/0549002795/school.aspx,Broken Arrow,https://www.schooldigger.com/go/OK/district/05490/search.aspx,1901 E Albany,Broken Arrow,https://www.schooldigger.com/go/OK/city/Broken+Arrow/search.aspx,74012,Tulsa County,(918) 259-4310,9,12,No,No,(n/a),No,4369,208.4,20.9,30.1,7.3,7.3,3.8,15.9,0.1,10,55.8,70.1
Washington High School,https://www.schooldigger.com/go/OK/schools/3171001755/school.aspx,Washington,https://www.schooldigger.com/go/OK/district/31710/search.aspx,101 East Kerby,Washington,https://www.schooldigger.com/go/OK/city/Washington/search.aspx,73093,McClain County,(405) 288-2354,9,12,No,No,(n/a),No,304,18.5,16.4,29.6,1.3,14.5,0,10.5,0.3,1.3,72,69.3
Kiowa High School,https://www.schooldigger.com/go/OK/schools/1665029744/school.aspx,Kiowa,https://www.schooldigger.com/go/OK/district/16650/search.aspx,406 E 8th Street,Kiowa,https://www.schooldigger.com/go/OK/city/Kiowa/search.aspx,74553,Pittsburg County,(918) 432-5641,9,12,No,No,(n/a),No,76,9.1,8.2,32.9,0,38.2,0,3.9,0,9.2,48.7,69.2
Morrison High School,https://www.schooldigger.com/go/OK/schools/2034001011/school.aspx,Morrison,https://www.schooldigger.com/go/OK/district/20340/search.aspx,2nd Street & C Avenue,Morrison,https://www.schooldigger.com/go/OK/city/Morrison/search.aspx,73061,Noble County,(580) 724-3307,9,12,No,No,(n/a),No,170,11.3,15,58.2,0,4.7,0.6,4.7,0.6,27.6,61.8,69.1
Ada High School,https://www.schooldigger.com/go/OK/schools/0243000003/school.aspx,Ada,https://www.schooldigger.com/go/OK/district/02430/search.aspx,1400 Stadium Drive,Ada,https://www.schooldigger.com/go/OK/city/Ada/search.aspx,74820,Pontotoc County,(580) 310-7220,10,12,Yes,No,(n/a),No,498,39.6,12.5,54.8,3.4,18.5,1.6,12.2,0,22.7,41.6,68.7
Harrah High School,https://www.schooldigger.com/go/OK/schools/1389000655/school.aspx,Harrah,https://www.schooldigger.com/go/OK/district/13890/search.aspx,20370 Elm Street,Harrah,https://www.schooldigger.com/go/OK/city/Harrah/search.aspx,73045,Oklahoma County,(405) 347-2100,9,12,No,No,(n/a),No,541,35.8,15,49.4,1.1,18.7,1.3,6.7,0.2,3.5,68.6,68
Elmore City-Pernell High School,https://www.schooldigger.com/go/OK/schools/1086029670/school.aspx,Elmore City-Pernell,https://www.schooldigger.com/go/OK/district/10860/search.aspx,100 North Muse Avenue,Elmore City,https://www.schooldigger.com/go/OK/city/Elmore+City/search.aspx,73433,Garvin County,(580) 788-2565,9,12,Yes,No,(n/a),No,157,11.3,13.8,35.7,1.9,13.4,0,5.1,0,7,72.6,67.9
Tishomingo High School,https://www.schooldigger.com/go/OK/schools/3006001573/school.aspx,Tishomingo,https://www.schooldigger.com/go/OK/district/30060/search.aspx,1300 East Main Street,Tishomingo,https://www.schooldigger.com/go/OK/city/Tishomingo/search.aspx,73460,Johnston County,(580) 371-9190,9,12,Yes,No,(n/a),No,232,21.2,10.9,67.7,2.6,30.2,0.4,10.8,0,7.3,48.7,67.7
Pryor High School,https://www.schooldigger.com/go/OK/schools/2520001322/school.aspx,Pryor,https://www.schooldigger.com/go/OK/district/25200/search.aspx,1100 S E  9th,Pryor,https://www.schooldigger.com/go/OK/city/Pryor/search.aspx,74361,Mayes County,(918) 825-2340,9,12,No,No,(n/a),No,691,55.5,12.4,37.6,0.4,30.7,0.9,7.5,0.1,14.8,45.6,66.1
Eufaula High School,https://www.schooldigger.com/go/OK/schools/1116000529/school.aspx,Eufaula,https://www.schooldigger.com/go/OK/district/11160/search.aspx,1 Anderson Bell Dr,Eufaula,https://www.schooldigger.com/go/OK/city/Eufaula/search.aspx,74432,McIntosh County,(918) 689-2556,9,12,Yes,No,(n/a),No,336,24.5,13.6,65.8,4.2,36,0.6,4.2,0,9.5,45.5,65.8
Okla. Virtual Charter Academy High School,https://www.schooldigger.com/go/OK/schools/0077802788/school.aspx,Oklahoma Virtual Charter Academy,https://www.schooldigger.com/go/OK/district/00778/search.aspx,1117 S Douglas Blvd Suite F,Midwest City,https://www.schooldigger.com/go/OK/city/Midwest+City/search.aspx,73130,Oklahoma County,(405) 259-9478,9,12,Yes,Yes,(n/a),Yes,1085,38.2,28.3,63.7,8,5.5,1.1,14.1,0.3,15.5,55.5,65.7
Southmoore High School,https://www.schooldigger.com/go/OK/schools/2025002395/school.aspx,Moore,https://www.schooldigger.com/go/OK/district/20250/search.aspx,2901 South Santa Fe,Moore,https://www.schooldigger.com/go/OK/city/Moore/search.aspx,73170,Cleveland County,(405) 735-4900,9,12,No,No,(n/a),No,1972,107.1,18.4,38.3,6.4,4.1,5.6,18.1,0,19.9,45.9,65.6
eSCHOOL VIRTUAL CHARTER High School,https://www.schooldigger.com/go/OK/schools/0080402899/school.aspx,eSCHOOL VIRTUAL CHARTER Academy,https://www.schooldigger.com/go/OK/district/00804/search.aspx,2403 S  Division  Suite B,Guthrie,https://www.schooldigger.com/go/OK/city/Guthrie/search.aspx,73044,Logan County,(405) 724-4643,9,12,Yes,Yes,(n/a),Yes,259,7.5,34.5,57.1,10.4,5,1.5,0.8,0,11.2,71,65.5
Moore High School,https://www.schooldigger.com/go/OK/schools/2025000998/school.aspx,Moore,https://www.schooldigger.com/go/OK/district/20250/search.aspx,300 North Eastern Avenue,Moore,https://www.schooldigger.com/go/OK/city/Moore/search.aspx,73160,Cleveland County,(405) 735-4700,9,12,No,No,(n/a),No,2491,126.5,19.6,35.2,7.2,4.1,1.8,14.6,0.3,22,49.9,65.4
Okarche High School,https://www.schooldigger.com/go/OK/schools/2259001105/school.aspx,Okarche,https://www.schooldigger.com/go/OK/district/22590/search.aspx,632 West Oklahoma Avenue,Okarche,https://www.schooldigger.com/go/OK/city/Okarche/search.aspx,73762,Kingfisher County,(405) 263-7212,10,12,No,No,(n/a),No,90,10.3,8.7,17.8,0,5.6,0,5.6,0,3.3,85.6,65.1
Purcell High School,https://www.schooldigger.com/go/OK/schools/2523001328/school.aspx,Purcell,https://www.schooldigger.com/go/OK/district/25230/search.aspx,2020 North Green Avenue,Purcell,https://www.schooldigger.com/go/OK/city/Purcell/search.aspx,73080,McClain County,(405) 442-0099,9,12,Yes,No,(n/a),No,334,25.7,12.9,49.4,0.9,9.3,0,27.5,0,12.6,49.7,64.9
Prague High School,https://www.schooldigger.com/go/OK/schools/2493001313/school.aspx,Prague,https://www.schooldigger.com/go/OK/district/24930/search.aspx,1100 Blue Bell,Prague,https://www.schooldigger.com/go/OK/city/Prague/search.aspx,74864,Lincoln County,(405) 567-2281,9,12,No,No,(n/a),No,272,18.4,14.7,45.6,2.6,8.5,0.4,5.9,0,18.8,64,64.8
Konawa High School,https://www.schooldigger.com/go/OK/schools/1671000780/school.aspx,Konawa,https://www.schooldigger.com/go/OK/district/16710/search.aspx,701 West South Street,Konawa,https://www.schooldigger.com/go/OK/city/Konawa/search.aspx,74849,Seminole County,(580) 925-3221,9,12,No,No,(n/a),No,160,12.5,12.7,67.5,3.1,41.3,0,3.1,0,5,47.5,64.7
Sterling High School,https://www.schooldigger.com/go/OK/schools/2859001499/school.aspx,Sterling,https://www.schooldigger.com/go/OK/district/28590/search.aspx,400 S Tiger Blvd,Sterling,https://www.schooldigger.com/go/OK/city/Sterling/search.aspx,73567,Comanche County,(580) 365-4303,9,12,No,No,(n/a),No,110,7.7,14.2,38.2,0,9.1,0,4.5,0,12.7,73.6,64.4
Choctaw High School,https://www.schooldigger.com/go/OK/schools/0762000310/school.aspx,Choctaw-Nicoma Park,https://www.schooldigger.com/go/OK/district/07620/search.aspx,14300 Northeast 10th Street,Choctaw,https://www.schooldigger.com/go/OK/city/Choctaw/search.aspx,73020,Oklahoma County,(405) 390-8899,9,12,No,No,(n/a),No,1602,81.8,19.5,34.6,7.6,5.2,1.2,6.1,0.1,13.5,66.2,64.3
Porum High School,https://www.schooldigger.com/go/OK/schools/2484001307/school.aspx,Porum,https://www.schooldigger.com/go/OK/district/24840/search.aspx,410 N 4th St,Porum,https://www.schooldigger.com/go/OK/city/Porum/search.aspx,74455,Muskogee County,(918) 484-5122,9,12,Yes,No,(n/a),No,129,11.2,11.4,69,0.8,53.5,0,1.6,0,0.8,43.4,64.3
Geronimo High School,https://www.schooldigger.com/go/OK/schools/1263000590/school.aspx,Geronimo,https://www.schooldigger.com/go/OK/district/12630/search.aspx,800 West Main Street,Geronimo,https://www.schooldigger.com/go/OK/city/Geronimo/search.aspx,73543,Comanche County,(580) 355-3160,9,12,No,No,(n/a),No,92,6.3,14.5,63,0,12,0,22.8,0,17.4,47.8,64.2
Bristow High School,https://www.schooldigger.com/go/OK/schools/0546000193/school.aspx,Bristow,https://www.schooldigger.com/go/OK/district/05460/search.aspx,808 N  Ash,Bristow,https://www.schooldigger.com/go/OK/city/Bristow/search.aspx,74010,Creek County,(918) 367-2241,9,12,No,No,(n/a),No,460,30.6,15,55.7,7.8,27.2,0.7,3,0.2,5.2,55.9,63.6
Frontier High School,https://www.schooldigger.com/go/OK/schools/0002029709/school.aspx,Frontier,https://www.schooldigger.com/go/OK/district/00020/search.aspx,17750 Valley Rd,Red Rock,https://www.schooldigger.com/go/OK/city/Red+Rock/search.aspx,74651,Noble County,(580) 723-4360,9,12,No,No,(n/a),No,94,14.1,6.6,73.4,1.1,56.4,1.1,5.3,0,6.4,29.8,62.9
McAlester High School,https://www.schooldigger.com/go/OK/schools/1944000922/school.aspx,McAlester,https://www.schooldigger.com/go/OK/district/19440/search.aspx,1 Buffalo Drive,McAlester,https://www.schooldigger.com/go/OK/city/McAlester/search.aspx,74501,Pittsburg County,(918) 423-4776,9,12,No,No,(n/a),No,931,52.8,17.6,64.2,3.1,15.7,1.5,14.5,0.2,18.2,46.8,62.7
Glenpool High School,https://www.schooldigger.com/go/OK/schools/1272000594/school.aspx,Glenpool,https://www.schooldigger.com/go/OK/district/12720/search.aspx,140 W 141st,Glenpool,https://www.schooldigger.com/go/OK/city/Glenpool/search.aspx,74033,Tulsa County,(918) 322-9500,9,12,No,No,(n/a),No,751,52.9,14.1,50.9,3.6,12.4,4.4,10.8,0.1,21.7,47,62.3
Foyil High School,https://www.schooldigger.com/go/OK/schools/1209000565/school.aspx,Foyil,https://www.schooldigger.com/go/OK/district/12090/search.aspx,1700 East 4th Street,Foyil,https://www.schooldigger.com/go/OK/city/Foyil/search.aspx,74031,Rogers County,(918) 342-1782,10,12,No,No,(n/a),No,102,8,12.7,65.7,1,32.4,1,4.9,0,9.8,51,62
Mooreland High School,https://www.schooldigger.com/go/OK/schools/2028029839/school.aspx,Mooreland,https://www.schooldigger.com/go/OK/district/20280/search.aspx,304 NW 4th,Mooreland,https://www.schooldigger.com/go/OK/city/Mooreland/search.aspx,73852,Woodward County,(580) 994-5426,9,12,No,No,(n/a),No,145,14.9,9.6,43.4,0,3.4,0.7,10.3,0,2.8,82.8,61.9
Fort Gibson High School,https://www.schooldigger.com/go/OK/schools/1197000558/school.aspx,Fort Gibson,https://www.schooldigger.com/go/OK/district/11970/search.aspx,500 South Ross Avenue,Fort Gibson,https://www.schooldigger.com/go/OK/city/Fort+Gibson/search.aspx,74434,Muskogee County,(918) 478-2452,9,12,No,No,(n/a),No,522,37.6,13.8,35.8,1.9,48.5,0.4,4,0,1,44.3,61.8
Pocola High School,https://www.schooldigger.com/go/OK/schools/2463001288/school.aspx,Pocola,https://www.schooldigger.com/go/OK/district/24630/search.aspx,603 East Pryor Avenue,Pocola,https://www.schooldigger.com/go/OK/city/Pocola/search.aspx,74902,Le Flore County,(918) 436-2042,9,12,No,No,(n/a),No,198,12,16.4,49,1.5,16.7,1,2.5,0,16.7,61.6,61.2
Newkirk High School,https://www.schooldigger.com/go/OK/schools/2154002071/school.aspx,Newkirk,https://www.schooldigger.com/go/OK/district/21540/search.aspx,625 West South Street,Newkirk,https://www.schooldigger.com/go/OK/city/Newkirk/search.aspx,74647,Kay County,(580) 362-6241,9,12,No,No,(n/a),No,233,19.4,11.9,47.6,0.4,24.5,0,2.1,0,3,70,61.1
Crowder High School,https://www.schooldigger.com/go/OK/schools/0909000385/school.aspx,Crowder,https://www.schooldigger.com/go/OK/district/09090/search.aspx,400 Bond Street,Crowder,https://www.schooldigger.com/go/OK/city/Crowder/search.aspx,74430,Pittsburg County,(918) 334-3203,9,12,Yes,No,(n/a),No,97,10.3,9.3,70.1,0,41.2,0,1,0,8.2,49.5,61
Perry High School,https://www.schooldigger.com/go/OK/schools/2385001266/school.aspx,Perry,https://www.schooldigger.com/go/OK/district/23850/search.aspx,900 Fir Street,Perry,https://www.schooldigger.com/go/OK/city/Perry/search.aspx,73077,Noble County,(580) 336-4415,9,12,No,No,(n/a),No,279,18.8,14.8,30.8,1.4,10.4,0.4,6.8,0,1.1,79.9,60.9
Sallisaw High School,https://www.schooldigger.com/go/OK/schools/2679001401/school.aspx,Sallisaw,https://www.schooldigger.com/go/OK/district/26790/search.aspx,2301 West Ruth Street,Sallisaw,https://www.schooldigger.com/go/OK/city/Sallisaw/search.aspx,74955,Sequoyah County,(918) 775-7761,9,12,Yes,No,(n/a),No,544,36.5,14.8,60.5,1.7,41.5,1.1,7.4,0,7.5,40.8,60.9
Skiatook High School,https://www.schooldigger.com/go/OK/schools/2775001475/school.aspx,Skiatook,https://www.schooldigger.com/go/OK/district/27750/search.aspx,1000 West Fourth Street,Skiatook,https://www.schooldigger.com/go/OK/city/Skiatook/search.aspx,74070,Osage County,(918) 396-1790,9,12,Yes,No,(n/a),No,638,44.8,14.2,36.4,0.9,22.1,0.2,4.7,0.2,16.3,55.6,60.5
Canute High School,https://www.schooldigger.com/go/OK/schools/0651000256/school.aspx,Canute,https://www.schooldigger.com/go/OK/district/06510/search.aspx,216 East Walk Street,Canute,https://www.schooldigger.com/go/OK/city/Canute/search.aspx,73626,Washita County,(580) 472-3295,9,12,No,No,(n/a),No,110,9.1,12,55.5,6.4,4.5,1.8,8.2,0,3.6,75.5,60
Wyandotte High School,https://www.schooldigger.com/go/OK/schools/3324029731/school.aspx,Wyandotte,https://www.schooldigger.com/go/OK/district/33240/search.aspx,5 South 1st Street,Wyandotte,https://www.schooldigger.com/go/OK/city/Wyandotte/search.aspx,74370,Ottawa County,(918) 678-2222,9,12,Yes,No,(n/a),No,200,19.8,10,55,0,35.5,1.5,5,0.5,6,51.5,59.9
Alva High School,https://www.schooldigger.com/go/OK/schools/0288000042/school.aspx,Alva,https://www.schooldigger.com/go/OK/district/02880/search.aspx,501 14th Street,Alva,https://www.schooldigger.com/go/OK/city/Alva/search.aspx,73717,Woods County,(580) 327-3682,9,12,No,No,(n/a),No,246,20.1,12.2,47.6,2.4,1.6,0.4,19.1,0,8.1,68.3,59.7
Newcastle High School,https://www.schooldigger.com/go/OK/schools/2151001057/school.aspx,Newcastle,https://www.schooldigger.com/go/OK/district/21510/search.aspx,101 North Main Street,Newcastle,https://www.schooldigger.com/go/OK/city/Newcastle/search.aspx,73065,McClain County,(405) 387-4304,9,12,No,No,(n/a),No,646,34.3,18.8,29.1,1.9,13,0.5,10.8,0,11.8,62.1,59.3
Savanna High School,https://www.schooldigger.com/go/OK/schools/2700001429/school.aspx,Savanna,https://www.schooldigger.com/go/OK/district/27000/search.aspx,9567 South Us Hwy 69,Savanna,https://www.schooldigger.com/go/OK/city/Savanna/search.aspx,74565,Pittsburg County,(918) 548-3777,9,12,No,No,(n/a),No,166,12.2,13.5,62,1.2,38,1.8,3.6,0.6,1.8,53,59.1
Putnam City North High School,https://www.schooldigger.com/go/OK/schools/2529001871/school.aspx,Putnam City,https://www.schooldigger.com/go/OK/district/25290/search.aspx,11800 North Rockwell Avenue,Oklahoma City,https://www.schooldigger.com/go/OK/city/Oklahoma+City/search.aspx,73162,Oklahoma County,(405) 722-4220,9,12,Yes,No,(n/a),No,1533,108.2,14.1,59.1,33.7,1.7,7.4,11,0.1,10.1,35.9,58.4
Rock Creek High School,https://www.schooldigger.com/go/OK/schools/3360129841/school.aspx,Rock Creek,https://www.schooldigger.com/go/OK/district/33601/search.aspx,200 East Steakley Street,Bokchito,https://www.schooldigger.com/go/OK/city/Bokchito/search.aspx,74726,Bryan County,(580) 295-3761,9,12,Yes,No,(n/a),No,105,8.2,12.7,55.2,0,25.7,0,10.5,0,4.8,59,58
Rush Springs High School,https://www.schooldigger.com/go/OK/schools/2655001390/school.aspx,Rush Springs,https://www.schooldigger.com/go/OK/district/26550/search.aspx,601 West Blakley,Rush Springs,https://www.schooldigger.com/go/OK/city/Rush+Springs/search.aspx,73082,Grady County,(580) 476-3596,9,12,No,No,(n/a),No,134,11.9,11.1,49.3,0.7,19.4,0,3.7,0,4.5,71.6,57.8
Antlers High School,https://www.schooldigger.com/go/OK/schools/0306000057/school.aspx,Antlers,https://www.schooldigger.com/go/OK/district/03060/search.aspx,805 Bearcat Drive,Antlers,https://www.schooldigger.com/go/OK/city/Antlers/search.aspx,74523,Pushmataha County,(580) 298-2141,9,12,No,No,(n/a),No,241,22.6,10.6,69.7,1.7,32,0,3.7,0,9.5,53.1,57.7
Preston High School,https://www.schooldigger.com/go/OK/schools/2505001315/school.aspx,Preston,https://www.schooldigger.com/go/OK/district/25050/search.aspx,11100 Will Sampson Rd,Okmulgee,https://www.schooldigger.com/go/OK/city/Okmulgee/search.aspx,74447,Okmulgee County,(918) 756-3388,9,12,No,No,(n/a),No,193,9.7,19.7,48.7,7.8,28,0.5,8.8,0,22.3,32.6,57.5
Carl Albert High School,https://www.schooldigger.com/go/OK/schools/1995000952/school.aspx,Midwest City-Del City,https://www.schooldigger.com/go/OK/district/19950/search.aspx,2009 S Post Road,Oklahoma City,https://www.schooldigger.com/go/OK/city/Oklahoma+City/search.aspx,73130,Oklahoma County,(405) 739-1726,9,12,No,No,(n/a),No,1005,59.8,16.7,37.1,20.9,6.8,1.3,11,0.4,6.9,52.7,57.5
Cache High School,https://www.schooldigger.com/go/OK/schools/0612029647/school.aspx,Cache,https://www.schooldigger.com/go/OK/district/06120/search.aspx,102 SW H Ave,Cache,https://www.schooldigger.com/go/OK/city/Cache/search.aspx,73527,Comanche County,(580) 429-3214,9,12,No,No,(n/a),No,598,36.6,16.3,40.3,9.4,14.5,2,14.4,0.5,11.5,47.7,57.3
Ponca City High School,https://www.schooldigger.com/go/OK/schools/2469001296/school.aspx,Ponca City,https://www.schooldigger.com/go/OK/district/24690/search.aspx,927 North Fifth,Ponca City,https://www.schooldigger.com/go/OK/city/Ponca+City/search.aspx,74601,Kay County,(580) 767-9500,9,12,No,No,(n/a),No,1331,78.9,16.8,48.7,3.5,14.4,0.4,10.6,2,10,59.2,57.3
Stigler High School,https://www.schooldigger.com/go/OK/schools/2865001503/school.aspx,Stigler,https://www.schooldigger.com/go/OK/district/28650/search.aspx,309 Northwest 'E' Street,Stigler,https://www.schooldigger.com/go/OK/city/Stigler/search.aspx,74462,Haskell County,(918) 967-8834,9,12,Yes,No,(n/a),No,383,24.2,15.8,61.9,0.3,25.6,0.5,6,0,12.5,55.1,57.3
Turpin High School,https://www.schooldigger.com/go/OK/schools/3033001689/school.aspx,Turpin,https://www.schooldigger.com/go/OK/district/30330/search.aspx,316 S  Lee,Turpin,https://www.schooldigger.com/go/OK/city/Turpin/search.aspx,73950,Beaver County,(580) 778-3333,9,12,Yes,No,(n/a),No,112,8.1,13.7,54.5,0.9,0,0,53.6,0,0,45.5,56.2
Nowata High School,https://www.schooldigger.com/go/OK/schools/2193001094/school.aspx,Nowata,https://www.schooldigger.com/go/OK/district/21930/search.aspx,707 West Osage Avenue,Nowata,https://www.schooldigger.com/go/OK/city/Nowata/search.aspx,74048,Nowata County,(918) 273-2221,9,12,No,No,(n/a),No,220,14,15.6,62.3,2.7,45,0,3.2,0,10.9,38.2,55.8
Waurika High School,https://www.schooldigger.com/go/OK/schools/3198001767/school.aspx,Waurika,https://www.schooldigger.com/go/OK/district/31980/search.aspx,600 East Florida Avenue,Waurika,https://www.schooldigger.com/go/OK/city/Waurika/search.aspx,73573,Jefferson County,(580) 228-2341,9,12,No,No,(n/a),No,110,8.8,12.4,68.2,0.9,5.5,0,20.9,0,2.7,70,55.6
Charles Page High School,https://www.schooldigger.com/go/OK/schools/2688001405/school.aspx,Sand Springs,https://www.schooldigger.com/go/OK/district/26880/search.aspx,500 North Adams Road,Sand Springs,https://www.schooldigger.com/go/OK/city/Sand+Springs/search.aspx,74063,Tulsa County,(918) 246-1470,9,12,No,No,(n/a),No,1657,84.1,19.6,56.9,3.6,13.8,0.4,8.6,0.1,12,61.6,55.2
Shawnee High School,https://www.schooldigger.com/go/OK/schools/2757001463/school.aspx,Shawnee,https://www.schooldigger.com/go/OK/district/27570/search.aspx,1001 North Kennedy Street,Shawnee,https://www.schooldigger.com/go/OK/city/Shawnee/search.aspx,74801,Pottawatomie County,(405) 275-3084,9,12,Yes,No,(n/a),No,1039,72.3,14.3,56.7,4.8,12.5,0.6,13.2,0.1,20.1,48.7,54.9
Dewey High School,https://www.schooldigger.com/go/OK/schools/0981000423/school.aspx,Dewey,https://www.schooldigger.com/go/OK/district/09810/search.aspx,One Bulldogger Road,Dewey,https://www.schooldigger.com/go/OK/city/Dewey/search.aspx,74029,Washington County,(918) 534-0933,9,12,No,No,(n/a),No,379,23.1,16.3,44.1,1.1,26.1,0.3,6.3,0.3,4,62,54.9
Senior High School,https://www.schooldigger.com/go/OK/schools/2160029672/school.aspx,Ninnekah,https://www.schooldigger.com/go/OK/district/21600/search.aspx,810 S Walnut,Ninnekah,https://www.schooldigger.com/go/OK/city/Ninnekah/search.aspx,73067,Grady County,(405) 224-4299,9,12,No,No,(n/a),No,146,9.3,15.6,67.8,0.7,4.1,0,6.2,0,11,78.1,54.9
Stuart High School,https://www.schooldigger.com/go/OK/schools/2910001531/school.aspx,Stuart,https://www.schooldigger.com/go/OK/district/29100/search.aspx,8837 Fourth Street,Stuart,https://www.schooldigger.com/go/OK/city/Stuart/search.aspx,74570,Hughes County,(918) 546-2474,9,12,No,No,(n/a),No,89,7.7,11.4,75.3,0,51.7,0,4.5,0,9,34.8,53.7
Rattan High School,https://www.schooldigger.com/go/OK/schools/2550001362/school.aspx,Rattan,https://www.schooldigger.com/go/OK/district/25500/search.aspx,420 West Main,Rattan,https://www.schooldigger.com/go/OK/city/Rattan/search.aspx,74743,Pushmataha County,(580) 587-2715,9,12,No,No,(n/a),No,131,10.4,12.5,64.1,0,31.3,0,4.6,0,5.3,58.8,53.6
Muldrow High School,https://www.schooldigger.com/go/OK/schools/2088001027/school.aspx,Muldrow,https://www.schooldigger.com/go/OK/district/20880/search.aspx,801 West Shawntel Smith Blvd,Muldrow,https://www.schooldigger.com/go/OK/city/Muldrow/search.aspx,74948,Sequoyah County,(918) 427-3274,9,12,Yes,No,(n/a),No,431,27.6,15.5,60.6,3.2,42.5,1.6,6.7,0,0,45.9,53.5
Tahlequah High School,https://www.schooldigger.com/go/OK/schools/2938001544/school.aspx,Tahlequah,https://www.schooldigger.com/go/OK/district/29380/search.aspx,591 Pendleton Street,Tahlequah,https://www.schooldigger.com/go/OK/city/Tahlequah/search.aspx,74464,Cherokee County,(918) 458-4150,9,12,Yes,No,(n/a),No,1246,83.1,14.9,54.5,1.1,40.4,0.6,16.1,0,15.5,26.2,53.4
Claremore High School,https://www.schooldigger.com/go/OK/schools/0774000322/school.aspx,Claremore,https://www.schooldigger.com/go/OK/district/07740/search.aspx,201 Stuart Roosa,Claremore,https://www.schooldigger.com/go/OK/city/Claremore/search.aspx,74017,Rogers County,(918) 923-4211,9,12,Yes,No,(n/a),No,1182,70.3,16.8,34.3,1.6,25.6,0.8,9,0,13.5,49.6,53.4
Berryhill High School,https://www.schooldigger.com/go/OK/schools/0402000127/school.aspx,Berryhill,https://www.schooldigger.com/go/OK/district/04020/search.aspx,3128 South 63rd West Avenue,Tulsa,https://www.schooldigger.com/go/OK/city/Tulsa/search.aspx,74107,Tulsa County,(918) 445-6035,9,12,No,No,(n/a),No,378,24.1,15.6,32.3,0.5,6.6,0.5,3.7,0,26.7,61.9,53.4
Atoka High School,https://www.schooldigger.com/go/OK/schools/0336000084/school.aspx,Atoka,https://www.schooldigger.com/go/OK/district/03360/search.aspx,1758 S  Great House Dr,Atoka,https://www.schooldigger.com/go/OK/city/Atoka/search.aspx,74525,Atoka County,(580) 889-3361,9,12,No,No,(n/a),No,323,17,18.9,89.5,6.2,23.2,1.5,5.3,0,17.6,46.1,53.4
Laverne High School,https://www.schooldigger.com/go/OK/schools/1722000796/school.aspx,Laverne,https://www.schooldigger.com/go/OK/district/17220/search.aspx,605 W  Jane Jayroe Blvd,Laverne,https://www.schooldigger.com/go/OK/city/Laverne/search.aspx,73848,Harper County,(580) 921-3361,9,12,No,No,(n/a),No,118,10.1,11.5,46.6,0,1.7,0,37.3,0,1.7,59.3,53.2
Coalgate High School,https://www.schooldigger.com/go/OK/schools/0813002063/school.aspx,Coalgate,https://www.schooldigger.com/go/OK/district/08130/search.aspx,111 West Cedar,Coalgate,https://www.schooldigger.com/go/OK/city/Coalgate/search.aspx,74538,Coal County,(580) 927-2592,9,12,No,No,(n/a),No,230,17.2,13.3,55.7,3,41.3,1.3,7.4,0,2.2,44.8,53.1
Lexington High School,https://www.schooldigger.com/go/OK/schools/1758000854/school.aspx,Lexington,https://www.schooldigger.com/go/OK/district/17580/search.aspx,801 East Broadway,Lexington,https://www.schooldigger.com/go/OK/city/Lexington/search.aspx,73051,Cleveland County,(405) 527-7236,9,12,No,No,(n/a),No,286,18.5,15.3,57,0.7,10.5,0,11.5,0,8.4,68.9,52.9
Coweta High School,https://www.schooldigger.com/go/OK/schools/0885000373/school.aspx,Coweta,https://www.schooldigger.com/go/OK/district/08850/search.aspx,14607 S  305th E  Ave,Coweta,https://www.schooldigger.com/go/OK/city/Coweta/search.aspx,74429,Wagoner County,(918) 486-4474,10,12,No,No,(n/a),No,711,36.8,19.2,35,3.5,27.4,2.4,5.3,0.3,0.3,60.8,52.7
Merritt High School,https://www.schooldigger.com/go/OK/schools/1980000941/school.aspx,Merritt,https://www.schooldigger.com/go/OK/district/19800/search.aspx,19693 East 1130 Road,Elk City,https://www.schooldigger.com/go/OK/city/Elk+City/search.aspx,73644,Beckham County,(580) 225-5460,9,12,Yes,No,(n/a),No,186,13,14.3,54.8,1.1,7,0.5,11.3,0,1.1,79,52.6
Oklahoma Union High School,https://www.schooldigger.com/go/OK/schools/0002129712/school.aspx,Oklahoma Union,https://www.schooldigger.com/go/OK/district/00021/search.aspx,Rural Route 1  # 377-7,S Coffeyville,https://www.schooldigger.com/go/OK/city/S+Coffeyville/search.aspx,74072,Nowata County,(918) 255-6550,9,12,No,No,(n/a),No,185,12,15.4,42.2,0,32.4,0.5,3.8,0,11.9,51.4,52.6
