School,School_URL,District,District_URL,Address,City,City_URL,Zip,County,Phone,Is_Title_I,Is_Charter,Is_Magnet,Is_Virtual,Number_Students,Number_Full-time_Teachers,Student_Teacher_Ratio,Percent_Free_Disc_Lunch,Percent_African_American,Percent_American_Indian,Percent_Asian,Percent_Hispanic,Percent_Pacific_Islander,Percent_Two_or_More_Races,Percent_White,Standard_Score
Zeeland East High School,https://www.schooldigger.com/go/MI/schools/3666007296/school.aspx,Zeeland Public Schools,https://www.schooldigger.com/go/MI/district/36660/search.aspx,3333 96th Ave,Zeeland,https://www.schooldigger.com/go/MI/city/Zeeland/search.aspx,49464,Ottawa County,(616) 748-3100,No,No,No,No,908,50.3,18,19.6,0.8,0,4.7,13.1,0,3,78.4,68.2
Vicksburg High School,https://www.schooldigger.com/go/MI/schools/3495007065/school.aspx,Vicksburg Community Schools,https://www.schooldigger.com/go/MI/district/34950/search.aspx,501 East Highway St,Vicksburg,https://www.schooldigger.com/go/MI/city/Vicksburg/search.aspx,49097,Kalamazoo County,(269) 321-1100,No,No,No,No,793,38.6,20.5,21.9,1.4,0.4,0.3,3.2,0.1,5.2,89.5,68.1
Clinton High School,https://www.schooldigger.com/go/MI/schools/1005004490/school.aspx,Clinton Community Schools,https://www.schooldigger.com/go/MI/district/10050/search.aspx,340 East Michigan Ave,Clinton,https://www.schooldigger.com/go/MI/city/Clinton/search.aspx,49236,Lenawee County,(517) 456-6511,No,No,No,No,393,18.3,21.4,27.5,1.5,1,0.8,5.3,0,1,90.3,68
Milan High School,https://www.schooldigger.com/go/MI/schools/2385006072/school.aspx,Milan Area Schools,https://www.schooldigger.com/go/MI/district/23850/search.aspx,200 Big Red Dr,Milan,https://www.schooldigger.com/go/MI/city/Milan/search.aspx,48160,Monroe County,(734) 439-5000,No,No,No,No,621,33.4,18.5,22.7,4,1.3,0.8,4.8,0.3,3.5,85.2,67.8
Brimley Area School,https://www.schooldigger.com/go/MI/schools/0690004291/school.aspx,Brimley Area Schools,https://www.schooldigger.com/go/MI/district/06900/search.aspx,7134 South M 221,Brimley,https://www.schooldigger.com/go/MI/city/Brimley/search.aspx,49715,Chippewa County,(906) 248-3218,Yes,No,No,No,516,35.4,14.5,57,1.7,51.7,0.4,0.8,0,0.2,45.2,67.8
Mattawan High School,https://www.schooldigger.com/go/MI/schools/2325006011/school.aspx,Mattawan Consolidated School,https://www.schooldigger.com/go/MI/district/23250/search.aspx,56720 Murray St,Mattawan,https://www.schooldigger.com/go/MI/city/Mattawan/search.aspx,49071,Van Buren County,(269) 668-3361,No,No,No,No,1163,52.1,22.3,13,2.3,0.4,2.1,4.6,0,4.5,86.1,67.4
Spring Lake High School,https://www.schooldigger.com/go/MI/schools/3255006806/school.aspx,Spring Lake Public Schools,https://www.schooldigger.com/go/MI/district/32550/search.aspx,16140 148th Ave,Spring Lake,https://www.schooldigger.com/go/MI/city/Spring+Lake/search.aspx,49456,Ottawa County,(616) 846-5501,No,No,No,No,839,38.4,21.8,18.1,1.4,0.2,1.5,2.7,0.4,1.4,92.3,67.2
Laingsburg High School,https://www.schooldigger.com/go/MI/schools/2055005727/school.aspx,Laingsburg Community Schools,https://www.schooldigger.com/go/MI/district/20550/search.aspx,8008 Woodbury Rd,Laingsburg,https://www.schooldigger.com/go/MI/city/Laingsburg/search.aspx,48848,Shiawassee County,(517) 651-5091,No,No,No,No,374,17.1,21.8,20.6,0.8,0,0.5,4,0,1.9,92.8,66.5
Gull Lake Virtual Partnership,https://www.schooldigger.com/go/MI/schools/1725008242/school.aspx,Gull Lake Community Schools,https://www.schooldigger.com/go/MI/district/17250/search.aspx,315 Hutchinson Rd,Battle Creek,https://www.schooldigger.com/go/MI/city/Battle+Creek/search.aspx,49017,Calhoun County,(269) 548-3430,No,No,No,Yes,477,27,17.6,23.7,1.9,0.4,0.8,4.6,0,6.3,86,66.4
Martin High School,https://www.schooldigger.com/go/MI/schools/2298005986/school.aspx,Martin Public Schools,https://www.schooldigger.com/go/MI/district/22980/search.aspx,1556 Chalmers,Martin,https://www.schooldigger.com/go/MI/city/Martin/search.aspx,49070,Allegan County,(269) 442-0400,No,No,No,No,331,17.4,18.9,47.4,1.5,0.3,0.9,10,0,2.1,85.2,66.4
Charyl Stockwell Academy High School,https://www.schooldigger.com/go/MI/schools/0010007835/school.aspx,Charyl Stockwell Academy,https://www.schooldigger.com/go/MI/district/00100/search.aspx,1032 Karl Greimel Dr,Brighton,https://www.schooldigger.com/go/MI/city/Brighton/search.aspx,48116,Livingston County,(810) 225-9940,No,Yes,No,No,563,32.6,17.2,16.5,1.1,0,0.7,5.3,0,2.7,90.2,66.3
University High School Academy,https://www.schooldigger.com/go/MI/schools/3231007791/school.aspx,Southfield Public School District,https://www.schooldigger.com/go/MI/district/32310/search.aspx,19301 W 12 Mile Road,Lathrup Village,https://www.schooldigger.com/go/MI/city/Lathrup+Village/search.aspx,48076,Oakland County,(248) 746-4370,No,No,Yes,No,389,21.8,17.8,27,96.1,0,1.5,0.5,0.5,0.3,1,65.8
Lowell Senior High School,https://www.schooldigger.com/go/MI/schools/2205005926/school.aspx,Lowell Area Schools,https://www.schooldigger.com/go/MI/district/22050/search.aspx,11700 Vergennes St,Lowell,https://www.schooldigger.com/go/MI/city/Lowell/search.aspx,49331,Kent County,(616) 987-2900,No,No,No,No,1130,56.1,20.1,22,1.2,0.3,0.8,4.2,0,2.2,91.2,65.7
Paw Paw High School,https://www.schooldigger.com/go/MI/schools/2766006352/school.aspx,Paw Paw Public School District,https://www.schooldigger.com/go/MI/district/27660/search.aspx,30609 East Red Arrow Hwy,Paw Paw,https://www.schooldigger.com/go/MI/city/Paw+Paw/search.aspx,49079,Van Buren County,(269) 415-5600,No,No,No,Yes,860,40.4,21.2,33.7,1.4,0.3,0.8,6.5,0,3,87.9,65.6
Dansville High School,https://www.schooldigger.com/go/MI/schools/1140004572/school.aspx,Dansville Schools,https://www.schooldigger.com/go/MI/district/11400/search.aspx,1264 Adams St,Dansville,https://www.schooldigger.com/go/MI/city/Dansville/search.aspx,48819,Ingham County,(517) 623-6120,No,No,No,Yes,253,12.2,20.6,24.9,0.8,0.8,0.4,1.6,0,0.8,95.7,65.6
Ferndale High School,https://www.schooldigger.com/go/MI/schools/1428005072/school.aspx,Ferndale Public Schools,https://www.schooldigger.com/go/MI/district/14280/search.aspx,881 Pinecrest Dr,Ferndale,https://www.schooldigger.com/go/MI/city/Ferndale/search.aspx,48220,Oakland County,(248) 548-8622,No,No,No,No,690,34.7,19.8,56.5,58.1,0.3,0.6,3,0,7.1,30.9,65.5
DeWitt High School,https://www.schooldigger.com/go/MI/schools/1155004582/school.aspx,DeWitt Public Schools,https://www.schooldigger.com/go/MI/district/11550/search.aspx,13601 Panther Dr,Dewitt,https://www.schooldigger.com/go/MI/city/Dewitt/search.aspx,48820,Clinton County,(517) 668-3100,No,No,No,No,1009,47.8,21,16.8,1.4,0.1,1.3,7.6,0,4.6,85,65.5
Grand Rapids Public Museum High,https://www.schooldigger.com/go/MI/schools/1644008677/school.aspx,Grand Rapids Public Schools,https://www.schooldigger.com/go/MI/district/16440/search.aspx,54 Jefferson Ave SE,Grand Rapids,https://www.schooldigger.com/go/MI/city/Grand+Rapids/search.aspx,49503,Kent County,(616) 819-6450,Yes,No,No,No,199,14,14.2,62.8,15.1,0.5,1.5,24.1,0,8.5,50.3,65.5
Dakota High School,https://www.schooldigger.com/go/MI/schools/0957000623/school.aspx,Chippewa Valley Schools,https://www.schooldigger.com/go/MI/district/09570/search.aspx,21051 21 Mile Rd,Macomb,https://www.schooldigger.com/go/MI/city/Macomb/search.aspx,48044,Macomb County,(586) 723-2700,No,No,Yes,No,2826,134.5,21,17.3,8.1,0.1,3.1,3.5,0.1,3.4,81.6,65.4
AGBU AlexMarie Manoogian School,https://www.schooldigger.com/go/MI/schools/0010600688/school.aspx,AGBU Alex-Marie Manoogian School,https://www.schooldigger.com/go/MI/district/00106/search.aspx,22001 Northwestern Hwy,Southfield,https://www.schooldigger.com/go/MI/city/Southfield/search.aspx,48075,Oakland County,(248) 569-2988,Yes,Yes,No,No,373,24.1,15.4,55.5,1.6,0,0,0.3,0,0,98.1,65.3
Oxford Virtual Academy,https://www.schooldigger.com/go/MI/schools/2724008274/school.aspx,Oxford Community Schools,https://www.schooldigger.com/go/MI/district/27240/search.aspx,168 S Washington St,Oxford,https://www.schooldigger.com/go/MI/city/Oxford/search.aspx,48371,Oakland County,(248) 969-5021,No,No,No,Yes,2054,127.3,16.1,25.7,4.1,0.3,2.9,8.3,0,5,79.4,65.3
Greenville Senior High School,https://www.schooldigger.com/go/MI/schools/1716005395/school.aspx,Greenville Public Schools,https://www.schooldigger.com/go/MI/district/17160/search.aspx,111 North Hillcrest St,Greenville,https://www.schooldigger.com/go/MI/city/Greenville/search.aspx,48838,Montcalm County,(616) 754-3681,No,No,No,No,1077,54.4,19.7,54.7,1.3,0.4,0.7,5.2,0.1,1.7,90.6,65.2
Maple Valley JrSr High School,https://www.schooldigger.com/go/MI/schools/2262005970/school.aspx,Maple Valley Schools,https://www.schooldigger.com/go/MI/district/22620/search.aspx,11090 Nashville Hwy,Vermontville,https://www.schooldigger.com/go/MI/city/Vermontville/search.aspx,49096,Eaton County,(517) 852-9275,No,No,Yes,No,400,20.4,19.5,53.8,0.3,0.3,0,3,0,2.3,94.3,64.8
Linden High School,https://www.schooldigger.com/go/MI/schools/2169005870/school.aspx,Linden Community Schools,https://www.schooldigger.com/go/MI/district/21690/search.aspx,7201 Silver Lake Rd,Linden,https://www.schooldigger.com/go/MI/city/Linden/search.aspx,48451,Genesee County,(810) 591-0410,No,No,No,No,895,40.2,22.2,20.7,1,0.4,0.3,2.3,0.2,3.7,92,64.8
Howell High School,https://www.schooldigger.com/go/MI/schools/1872005550/school.aspx,Howell Public Schools,https://www.schooldigger.com/go/MI/district/18720/search.aspx,1200 West Grand River Ave,Howell,https://www.schooldigger.com/go/MI/city/Howell/search.aspx,48843,Livingston County,(517) 540-8300,No,No,No,No,2081,98,21.2,20.9,0.7,0.4,1.2,3.9,0.4,1.9,91.5,64.7
Mona Shores High School,https://www.schooldigger.com/go/MI/schools/2412006085/school.aspx,Mona Shores Public School District,https://www.schooldigger.com/go/MI/district/24120/search.aspx,1121 Seminole Rd,Muskegon,https://www.schooldigger.com/go/MI/city/Muskegon/search.aspx,49441,Muskegon County,(231) 780-4711,No,No,No,No,1281,60.9,21,42.7,12.7,0.5,2.1,5.4,0,4.5,74.8,64.4
Utica High School,https://www.schooldigger.com/go/MI/schools/3447007005/school.aspx,Utica Community Schools,https://www.schooldigger.com/go/MI/district/34470/search.aspx,47255 Shelby Rd,Utica,https://www.schooldigger.com/go/MI/city/Utica/search.aspx,48317,Macomb County,(586) 797-2200,No,No,No,No,1404,67.8,20.7,36.4,4.7,0.1,4.1,4.3,0.2,2.3,84.3,64.4
Glen Lake Community School,https://www.schooldigger.com/go/MI/schools/1602005253/school.aspx,Glen Lake Community Schools,https://www.schooldigger.com/go/MI/district/16020/search.aspx,3375 West Burdickville Rd,Maple City,https://www.schooldigger.com/go/MI/city/Maple+City/search.aspx,49664,Leelanau County,(231) 334-3061,Yes,No,No,No,700,49,14.2,33.6,0.4,0.4,0.3,2.4,0,1.4,95,64
Gull Lake High School,https://www.schooldigger.com/go/MI/schools/1725005406/school.aspx,Gull Lake Community Schools,https://www.schooldigger.com/go/MI/district/17250/search.aspx,7753 North 34th St,Richland,https://www.schooldigger.com/go/MI/city/Richland/search.aspx,49083,Kalamazoo County,(269) 548-3505,No,No,No,No,853,44.8,19,23.3,3.9,0.1,0.9,4.9,0,4,86.2,63.9
Hamilton High School,https://www.schooldigger.com/go/MI/schools/1740005416/school.aspx,Hamilton Community Schools,https://www.schooldigger.com/go/MI/district/17400/search.aspx,4911 136th Ave,Hamilton,https://www.schooldigger.com/go/MI/city/Hamilton/search.aspx,49419,Allegan County,(269) 751-5185,No,No,No,No,798,41.8,19,21.3,1,0,1,5.9,0,3,89.1,63.8
Calumet High School,https://www.schooldigger.com/go/MI/schools/0769004352/school.aspx,Public Schools of Calumet Laurium & Keweenaw,https://www.schooldigger.com/go/MI/district/07690/search.aspx,57070 Mine St,Calumet,https://www.schooldigger.com/go/MI/city/Calumet/search.aspx,49913,Houghton County,(906) 337-0311,No,No,No,No,487,25.7,18.9,43.1,0.2,0.2,0,0.6,0,1.4,97.5,63.6
Birch Run High School,https://www.schooldigger.com/go/MI/schools/0582004210/school.aspx,Birch Run Area Schools,https://www.schooldigger.com/go/MI/district/05820/search.aspx,12450 Church St,Birch Run,https://www.schooldigger.com/go/MI/city/Birch+Run/search.aspx,48415,Saginaw County,(989) 624-9392,No,No,No,No,630,26.8,23.4,38.1,1.3,0.8,0.2,7.3,0,2.1,88.4,62.6
Michigan Connections Academy,https://www.schooldigger.com/go/MI/schools/0096908139/school.aspx,Michigan Connections Academy,https://www.schooldigger.com/go/MI/district/00969/search.aspx,3950 Heritage Ave,Okemos,https://www.schooldigger.com/go/MI/city/Okemos/search.aspx,48864,Ingham County,(517) 507-5390,Yes,Yes,No,Yes,1689,70.8,23.8,58,19.4,0.2,3.1,7.5,0.1,5.9,63.8,62.4
Clare High School,https://www.schooldigger.com/go/MI/schools/0975004465/school.aspx,Clare Public Schools,https://www.schooldigger.com/go/MI/district/09750/search.aspx,306 Schoolcrest Ave,Clare,https://www.schooldigger.com/go/MI/city/Clare/search.aspx,48617,Clare County,(989) 386-7789,No,No,No,No,444,25.8,17.1,44.4,0.5,0.5,0.2,2.3,0,1.8,94.8,62.3
Millington High School,https://www.schooldigger.com/go/MI/schools/2391006075/school.aspx,Millington Community Schools,https://www.schooldigger.com/go/MI/district/23910/search.aspx,8780 Dean Dr,Millington,https://www.schooldigger.com/go/MI/city/Millington/search.aspx,48746,Tuscola County,(989) 660-2407,No,No,No,No,398,19.9,19.9,44.7,1,0.5,0.8,1,0,1,95.7,62.1
Superior Central School,https://www.schooldigger.com/go/MI/schools/0001906583/school.aspx,Superior Central School District,https://www.schooldigger.com/go/MI/district/00019/search.aspx,E2865 State Rd 94,Eben Junction,https://www.schooldigger.com/go/MI/city/Eben+Junction/search.aspx,49825,Alger County,(906) 439-5531,Yes,No,No,No,309,23.4,13.2,55.7,1,8.4,1,1.3,0,1.3,87.1,62
Benzie Central Senior High School,https://www.schooldigger.com/go/MI/schools/0495004182/school.aspx,Benzie County Central Schools,https://www.schooldigger.com/go/MI/district/04950/search.aspx,9300 Homestead Rd,Benzonia,https://www.schooldigger.com/go/MI/city/Benzonia/search.aspx,49616,Benzie County,(231) 882-4497,No,No,No,No,409,17.6,23.1,52.1,0,3.4,1.2,4.4,0.2,2.4,88.3,61.8
Wayland High School,https://www.schooldigger.com/go/MI/schools/3555007169/school.aspx,Wayland Union Schools,https://www.schooldigger.com/go/MI/district/35550/search.aspx,870 East Superior St,Wayland,https://www.schooldigger.com/go/MI/city/Wayland/search.aspx,49348,Allegan County,(269) 792-2254,No,No,No,No,824,41.6,19.8,30.5,1.3,0.8,1.2,5.5,0,3.8,87.4,61.7
Armada High School,https://www.schooldigger.com/go/MI/schools/0324004042/school.aspx,Armada Area Schools,https://www.schooldigger.com/go/MI/district/03240/search.aspx,23655 Armada Center Rd,Armada,https://www.schooldigger.com/go/MI/city/Armada/search.aspx,48005,Macomb County,(586) 784-2400,No,No,No,No,595,31,19.1,17.1,0,1,0.7,2,0.2,0.8,95.3,61.6
West Bloomfield High School,https://www.schooldigger.com/go/MI/schools/3582007181/school.aspx,West Bloomfield School District,https://www.schooldigger.com/go/MI/district/35820/search.aspx,4925 Orchard Lake Rd,West Bloomfield,https://www.schooldigger.com/go/MI/city/West+Bloomfield/search.aspx,48323,Oakland County,(248) 865-6720,No,No,No,No,1843,98.2,18.7,34.2,42.4,0.1,6.2,4.6,0.2,3.9,42.6,61.5
Bath High School,https://www.schooldigger.com/go/MI/schools/0417004090/school.aspx,Bath Community Schools,https://www.schooldigger.com/go/MI/district/04170/search.aspx,6175 Clark Rd,Bath,https://www.schooldigger.com/go/MI/city/Bath/search.aspx,48808,Clinton County,(517) 641-6724,No,No,No,No,315,13.2,23.7,37.5,2.9,0.3,1,8.3,0,6.3,81.3,61.5
Kensington Woods Schools,https://www.schooldigger.com/go/MI/schools/0009900612/school.aspx,Kensington Woods Schools,https://www.schooldigger.com/go/MI/district/00099/search.aspx,9501 Pettys Road,Lakeland,https://www.schooldigger.com/go/MI/city/Lakeland/search.aspx,48143,Livingston County,(517) 545-0828,Yes,Yes,No,No,115,9.7,11.8,31.3,0,0,0.9,0.9,0,0.9,97.4,61.2
Marshall Academy,https://www.schooldigger.com/go/MI/schools/0025001225/school.aspx,Marshall Academy,https://www.schooldigger.com/go/MI/district/00250/search.aspx,18203 Homer Rd,Marshall,https://www.schooldigger.com/go/MI/city/Marshall/search.aspx,49068,Calhoun County,(269) 781-6330,Yes,Yes,No,No,258,14.5,17.7,53.9,31.4,0.4,0.8,5.4,0,3.9,58.1,61.2
Onekama Consolidated Schools,https://www.schooldigger.com/go/MI/schools/2649006294/school.aspx,Onekama Consolidated Schools,https://www.schooldigger.com/go/MI/district/26490/search.aspx,5016 Main St,Onekama,https://www.schooldigger.com/go/MI/city/Onekama/search.aspx,49675,Manistee County,(231) 889-5521,Yes,No,No,No,326,18.7,17.3,51.5,0.9,1.8,0,3.1,0,4.9,89.3,61.1
Boyne City High School,https://www.schooldigger.com/go/MI/schools/0650004252/school.aspx,Boyne City Public Schools,https://www.schooldigger.com/go/MI/district/06500/search.aspx,1035 Boyne Ave,Boyne City,https://www.schooldigger.com/go/MI/city/Boyne+City/search.aspx,49712,Charlevoix County,(231) 439-8100,No,No,No,No,444,25.5,17.3,34.9,0.2,0.9,1.1,2.7,0,2.3,92.8,60.9
Clarenceville High School,https://www.schooldigger.com/go/MI/schools/0984004469/school.aspx,Clarenceville School District,https://www.schooldigger.com/go/MI/district/09840/search.aspx,20155 Middlebelt Rd,Livonia,https://www.schooldigger.com/go/MI/city/Livonia/search.aspx,48152,Wayne County,(248) 919-0408,No,No,No,No,724,33,21.9,53.3,39.5,0.4,1.9,4.1,0.1,5.7,48.2,60.7
Lakeland High School,https://www.schooldigger.com/go/MI/schools/1899005584/school.aspx,Huron Valley Schools,https://www.schooldigger.com/go/MI/district/18990/search.aspx,1630 Bogie Lake Rd,White Lake,https://www.schooldigger.com/go/MI/city/White+Lake/search.aspx,48383,Oakland County,(248) 676-8320,No,No,No,No,989,64.7,15.2,18.7,1,0.5,0.5,5.5,0.1,1.5,90.9,60.6
Grand Ledge High School,https://www.schooldigger.com/go/MI/schools/1641005293/school.aspx,Grand Ledge Public Schools,https://www.schooldigger.com/go/MI/district/16410/search.aspx,820 Spring St,Grand Ledge,https://www.schooldigger.com/go/MI/city/Grand+Ledge/search.aspx,48837,Eaton County,(517) 925-5823,No,No,No,No,1647,84.2,19.5,26.9,4.5,0.7,3.6,8,0.3,3.9,78.9,60.4
Schoolcraft High School,https://www.schooldigger.com/go/MI/schools/3102006732/school.aspx,Schoolcraft Community Schools,https://www.schooldigger.com/go/MI/district/31020/search.aspx,551 Lyons,Schoolcraft,https://www.schooldigger.com/go/MI/city/Schoolcraft/search.aspx,49087,Kalamazoo County,(269) 488-7350,No,No,No,No,325,25.4,12.7,23.1,0.6,0,0.6,1.8,0,2.8,94.2,60.3
Sandusky JuniorSenior High School,https://www.schooldigger.com/go/MI/schools/3084006714/school.aspx,Sandusky Community School District,https://www.schooldigger.com/go/MI/district/30840/search.aspx,191 Pine Tree Ln,Sandusky,https://www.schooldigger.com/go/MI/city/Sandusky/search.aspx,48471,Sanilac County,(810) 648-3401,No,No,No,No,474,23.9,19.7,45.6,0.4,0.6,0.6,3.8,0,0.2,94.3,60.3
Tawas Area High School,https://www.schooldigger.com/go/MI/schools/3351006885/school.aspx,Tawas Area Schools,https://www.schooldigger.com/go/MI/district/33510/search.aspx,255 West M 55,Tawas City,https://www.schooldigger.com/go/MI/city/Tawas+City/search.aspx,48763,Iosco County,(989) 984-2100,No,No,No,No,390,21.3,18.3,46.9,1.3,0.5,2.8,3.1,0,3.1,89.2,59.9
Portland High School,https://www.schooldigger.com/go/MI/schools/2912006497/school.aspx,Portland Public Schools,https://www.schooldigger.com/go/MI/district/29120/search.aspx,1100 Ionia Rd,Portland,https://www.schooldigger.com/go/MI/city/Portland/search.aspx,48875,Ionia County,(517) 647-2981,No,No,No,No,694,34.7,19.9,34.1,0.1,0,0.4,4.6,0,2.7,92.1,59.8
Western High School,https://www.schooldigger.com/go/MI/schools/3594007200/school.aspx,Western School District,https://www.schooldigger.com/go/MI/district/35940/search.aspx,1400 South Dearing Rd,Parma,https://www.schooldigger.com/go/MI/city/Parma/search.aspx,49269,Jackson County,(517) 841-8270,No,No,No,No,872,42.9,20.2,26.9,2.1,0.2,1.1,4.2,0,4.9,87.4,59.8
Kingsford High School,https://www.schooldigger.com/go/MI/schools/0672004267/school.aspx,Breitung Township School District,https://www.schooldigger.com/go/MI/district/06720/search.aspx,431 Hamilton Ave,Kingsford,https://www.schooldigger.com/go/MI/city/Kingsford/search.aspx,49802,Dickinson County,(906) 779-2670,No,No,No,No,586,26,22.4,32.1,0.3,0.3,0.7,2.4,0,5.3,91,59.7
Plainwell High School,https://www.schooldigger.com/go/MI/schools/2853006402/school.aspx,Plainwell Community Schools,https://www.schooldigger.com/go/MI/district/28530/search.aspx,684 Starr Rd,Plainwell,https://www.schooldigger.com/go/MI/city/Plainwell/search.aspx,49080,Allegan County,(269) 685-9554,No,No,No,No,834,37.4,22.2,31.2,2.4,0.1,2.2,6.4,0,1.1,87.9,59.7
Lawton High School,https://www.schooldigger.com/go/MI/schools/2124005847/school.aspx,Lawton Community School District,https://www.schooldigger.com/go/MI/district/21240/search.aspx,101 Blue Pride Dr,Lawton,https://www.schooldigger.com/go/MI/city/Lawton/search.aspx,49065,Van Buren County,(269) 624-7800,No,No,No,No,301,15.4,19.4,41.2,0.3,0,0.3,15.3,0,4.3,79.7,59.6
Negaunee High School,https://www.schooldigger.com/go/MI/schools/2502006179/school.aspx,Negaunee Public Schools,https://www.schooldigger.com/go/MI/district/25020/search.aspx,500 West Arch St,Negaunee,https://www.schooldigger.com/go/MI/city/Negaunee/search.aspx,49866,Marquette County,(906) 475-7861,No,No,No,No,426,28,15.1,23.7,1.2,1.9,0.7,1.9,0,5.4,89,59.5
Creative Technologies Academy,https://www.schooldigger.com/go/MI/schools/0020701134/school.aspx,Creative Technologies Academy,https://www.schooldigger.com/go/MI/district/00207/search.aspx,350 Pine St,Cedar Springs,https://www.schooldigger.com/go/MI/city/Cedar+Springs/search.aspx,49319,Kent County,(616) 696-4905,Yes,Yes,No,No,309,18.9,16.3,47.9,1.6,0,0.3,5.5,0,1,91.6,59.4
Brandon High School,https://www.schooldigger.com/go/MI/schools/0657004257/school.aspx,Brandon School District,https://www.schooldigger.com/go/MI/district/06570/search.aspx,1025 South Ortonville Rd,Ortonville,https://www.schooldigger.com/go/MI/city/Ortonville/search.aspx,48462,Oakland County,(248) 627-1820,No,No,No,No,809,36.6,22,32.4,2.8,0.9,2.2,8.3,0,2.8,82.9,59.3
PewamoWestphalia MiddleHigh School,https://www.schooldigger.com/go/MI/schools/2796006378/school.aspx,Pewamo-Westphalia Community Schools,https://www.schooldigger.com/go/MI/district/27960/search.aspx,5101 South Clintonia Rd,Westphalia,https://www.schooldigger.com/go/MI/city/Westphalia/search.aspx,48894,Clinton County,(989) 587-5100,No,No,No,No,475,21.5,22,12.4,0.6,0,0.6,4.8,0,0.8,93.1,59
Grand Blanc Community High School,https://www.schooldigger.com/go/MI/schools/1635005272/school.aspx,Grand Blanc Community Schools,https://www.schooldigger.com/go/MI/district/16350/search.aspx,12500 Holly Rd,Grand Blanc,https://www.schooldigger.com/go/MI/city/Grand+Blanc/search.aspx,48439,Genesee County,(810) 591-6638,No,No,No,No,2051,102.4,20,26.7,15.9,0.1,3.8,5.2,0,7.1,67.9,58.9
Shepherd High School,https://www.schooldigger.com/go/MI/schools/3138006741/school.aspx,Shepherd Public Schools,https://www.schooldigger.com/go/MI/district/31380/search.aspx,301 S Fourth,Shepherd,https://www.schooldigger.com/go/MI/city/Shepherd/search.aspx,48883,Isabella County,(989) 828-6601,No,No,No,No,508,19.7,25.7,38.2,0.2,2.8,0,3.5,0.2,3.7,89.6,58.9
Grand Haven High School,https://www.schooldigger.com/go/MI/schools/1638005282/school.aspx,Grand Haven Area Public Schools,https://www.schooldigger.com/go/MI/district/16380/search.aspx,17001 Ferris St,Grand Haven,https://www.schooldigger.com/go/MI/city/Grand+Haven/search.aspx,49417,Ottawa County,(616) 850-6000,No,No,No,No,1781,91.6,19.4,23.1,1.7,0.2,2.1,4.6,0.1,2.5,88.9,58.9
Gobles High School,https://www.schooldigger.com/go/MI/schools/1605005256/school.aspx,Gobles Public School District,https://www.schooldigger.com/go/MI/district/16050/search.aspx,409 North State St,Gobles,https://www.schooldigger.com/go/MI/city/Gobles/search.aspx,49055,Van Buren County,(269) 628-9340,No,No,No,No,296,16.6,17.7,34.8,0.7,0,0.3,5.7,0,4.1,89.2,58.9
Davison High School,https://www.schooldigger.com/go/MI/schools/1143004574/school.aspx,Davison Community Schools,https://www.schooldigger.com/go/MI/district/11430/search.aspx,1250 North Oak Rd,Davison,https://www.schooldigger.com/go/MI/city/Davison/search.aspx,48423,Genesee County,(810) 591-3539,No,No,No,No,1682,70.9,23.7,35.1,4.1,0.4,0.4,5.6,0.1,4.1,85.3,58.7
Romeo High School,https://www.schooldigger.com/go/MI/schools/3009006597/school.aspx,Romeo Community Schools,https://www.schooldigger.com/go/MI/district/30090/search.aspx,62300 Jewell Rd,Washington,https://www.schooldigger.com/go/MI/city/Washington/search.aspx,48094,Macomb County,(586) 752-0300,No,No,No,No,1658,103.6,15.9,22,1.7,0.1,0.8,9.1,0,2,86.3,58.4
Meridian Early College High School,https://www.schooldigger.com/go/MI/schools/2358008394/school.aspx,Meridian Public Schools,https://www.schooldigger.com/go/MI/district/23580/search.aspx,3303 N Meridian Rd,Sanford,https://www.schooldigger.com/go/MI/city/Sanford/search.aspx,48657,Midland County,(989) 687-3300,No,No,No,No,451,19.8,22.7,43,0.4,0,0.2,1.8,0,2.2,95.3,58
Whiteford High School,https://www.schooldigger.com/go/MI/schools/3627007215/school.aspx,Whiteford Agricultural School District,https://www.schooldigger.com/go/MI/district/36270/search.aspx,6655 Consear Rd,Ottawa Lake,https://www.schooldigger.com/go/MI/city/Ottawa+Lake/search.aspx,49267,Monroe County,(734) 856-1443,No,No,No,No,259,24.6,10.5,21.2,1.9,0,0.4,4.6,0,0.4,92.7,58
St Clair High School,https://www.schooldigger.com/go/MI/schools/1242004943/school.aspx,East China School District,https://www.schooldigger.com/go/MI/district/12420/search.aspx,2200 Clinton Ave,Saint Clair,https://www.schooldigger.com/go/MI/city/Saint+Clair/search.aspx,48079,St. Clair County,(810) 676-1700,No,No,Yes,No,774,38.6,20,24.4,0.5,0,1.8,1.3,0,1.4,95,57.8
Lakeview High School,https://www.schooldigger.com/go/MI/schools/2088005759/school.aspx,Lakeview Public Schools (Macomb),https://www.schooldigger.com/go/MI/district/20880/search.aspx,21100 East 11 Mile Rd,Saint Clair Shores,https://www.schooldigger.com/go/MI/city/Saint+Clair+Shores/search.aspx,48081,Macomb County,(586) 445-4045,No,No,No,No,1154,60.5,19,33.9,12,0.3,0.8,4.2,0.2,5.5,77.1,57.8
